"Time","unused terminations","success termination","immediate termination"
2021-07-29 14:21:40,,,
2021-07-29 14:21:50,,,
2021-07-29 14:22:00,,,
2021-07-29 14:22:10,,,
2021-07-29 14:22:20,,,
2021-07-29 14:22:30,,,
2021-07-29 14:22:40,,,
2021-07-29 14:22:50,,,
2021-07-29 14:23:00,,,
2021-07-29 14:23:10,,,
2021-07-29 14:23:20,,,
2021-07-29 14:23:30,,,
2021-07-29 14:23:40,,,
2021-07-29 14:23:50,,,
2021-07-29 14:24:00,,,
2021-07-29 14:24:10,,,
2021-07-29 14:24:20,,,
2021-07-29 14:24:30,,,
2021-07-29 14:24:40,,,
2021-07-29 14:24:50,,,
2021-07-29 14:25:00,,,
2021-07-29 14:25:10,,,
2021-07-29 14:25:20,,,
2021-07-29 14:25:30,,,
2021-07-29 14:25:40,,,
2021-07-29 14:25:50,,,
2021-07-29 14:26:00,,,
2021-07-29 14:26:10,,,
2021-07-29 14:26:20,,,
2021-07-29 14:26:30,,,
2021-07-29 14:26:40,,,
2021-07-29 14:26:50,,,
2021-07-29 14:27:00,,,
2021-07-29 14:27:10,,,
2021-07-29 14:27:20,,,
2021-07-29 14:27:30,,,
2021-07-29 14:27:40,,,
2021-07-29 14:27:50,,,
2021-07-29 14:28:00,,,
2021-07-29 14:28:10,,,
2021-07-29 14:28:20,,,
2021-07-29 14:28:30,,,
2021-07-29 14:28:40,,,
2021-07-29 14:28:50,,,
2021-07-29 14:29:00,,,
2021-07-29 14:29:10,,,
2021-07-29 14:29:20,,,
2021-07-29 14:29:30,,,
2021-07-29 14:29:40,,,
2021-07-29 14:29:50,,,
2021-07-29 14:30:00,,,
2021-07-29 14:30:10,,,
2021-07-29 14:30:20,,,
2021-07-29 14:30:30,,,
2021-07-29 14:30:40,,,
2021-07-29 14:30:50,,,
2021-07-29 14:31:00,,,
2021-07-29 14:31:10,,,
2021-07-29 14:31:20,,,
2021-07-29 14:31:30,,,
2021-07-29 14:31:40,,,
2021-07-29 14:31:50,,,
2021-07-29 14:32:00,,,
2021-07-29 14:32:10,,,
2021-07-29 14:32:20,,,
2021-07-29 14:32:30,,,
2021-07-29 14:32:40,,,
2021-07-29 14:32:50,,,
2021-07-29 14:33:00,,,
2021-07-29 14:33:10,,,
2021-07-29 14:33:20,,,
2021-07-29 14:33:30,,,
2021-07-29 14:33:40,,,
2021-07-29 14:33:50,,,
2021-07-29 14:34:00,,,
2021-07-29 14:34:10,,,
2021-07-29 14:34:20,,,
2021-07-29 14:34:30,,,
2021-07-29 14:34:40,,,
2021-07-29 14:34:50,,,
2021-07-29 14:35:00,,,
2021-07-29 14:35:10,,,
2021-07-29 14:35:20,,,
2021-07-29 14:35:30,,,
2021-07-29 14:35:40,,,
2021-07-29 14:35:50,0,0,0
2021-07-29 14:36:00,0,0,0
2021-07-29 14:36:10,0,0,5
2021-07-29 14:36:20,0,0,22
2021-07-29 14:36:30,0,0,40
2021-07-29 14:36:40,0,0,69
2021-07-29 14:36:50,0,0,85
2021-07-29 14:37:00,0,0,102
2021-07-29 14:37:10,0,0,129
2021-07-29 14:37:20,0,0,142
2021-07-29 14:37:30,0,0,185
2021-07-29 14:37:40,0,0,207
2021-07-29 14:37:50,0,0,226
2021-07-29 14:38:00,0,0,245
2021-07-29 14:38:10,0,0,271
2021-07-29 14:38:20,0,0,290
2021-07-29 14:38:30,0,0,311
2021-07-29 14:38:40,0,0,349
2021-07-29 14:38:50,0,0,366
2021-07-29 14:39:00,0,0,386
2021-07-29 14:39:10,0,0,422
2021-07-29 14:39:20,0,0,461
2021-07-29 14:39:30,0,0,485
2021-07-29 14:39:40,0,0,530
2021-07-29 14:39:50,0,0,560
2021-07-29 14:40:00,0,0,663
2021-07-29 14:40:10,0,0,749
2021-07-29 14:40:20,0,0,833
2021-07-29 14:40:30,0,0,866
2021-07-29 14:40:40,0,0,875
2021-07-29 14:40:50,0,0,927
2021-07-29 14:41:00,0,0,942
2021-07-29 14:41:10,0,0,1013
2021-07-29 14:41:20,0,0,1042
2021-07-29 14:41:30,0,0,1074
2021-07-29 14:41:40,0,0,1110
2021-07-29 14:41:50,0,0,1228
2021-07-29 14:42:00,0,0,1275
2021-07-29 14:42:10,0,0,1301
2021-07-29 14:42:20,0,0,1392
2021-07-29 14:42:30,0,0,1449
2021-07-29 14:42:40,0,0,1567
2021-07-29 14:42:50,0,0,1603
2021-07-29 14:43:00,0,0,1639
2021-07-29 14:43:10,0,0,1668
2021-07-29 14:43:20,0,0,1676
2021-07-29 14:43:30,0,0,1712
2021-07-29 14:43:40,0,0,1733
2021-07-29 14:43:50,0,0,1804
2021-07-29 14:44:00,0,0,1844
2021-07-29 14:44:10,0,0,1875
2021-07-29 14:44:20,0,0,1903
2021-07-29 14:44:30,0,0,1913
2021-07-29 14:44:40,0,0,1932
2021-07-29 14:44:50,0,0,1949
2021-07-29 14:45:00,0,0,1961
2021-07-29 14:45:10,0,0,1978
2021-07-29 14:45:20,0,0,2033
2021-07-29 14:45:30,0,0,2063
2021-07-29 14:45:40,0,0,2087
2021-07-29 14:45:50,0,0,2102
2021-07-29 14:46:00,0,0,2121
2021-07-29 14:46:10,0,0,2174
2021-07-29 14:46:20,0,0,2204
2021-07-29 14:46:30,0,0,2227
2021-07-29 14:46:40,0,0,2238
2021-07-29 14:46:50,0,0,2280
2021-07-29 14:47:00,0,0,2320
2021-07-29 14:47:10,0,0,2340
2021-07-29 14:47:20,0,0,2373
2021-07-29 14:47:30,0,0,2431
2021-07-29 14:47:40,0,0,2453
2021-07-29 14:47:50,0,0,2474
2021-07-29 14:48:00,0,0,2503
2021-07-29 14:48:10,0,0,2561
2021-07-29 14:48:20,0,0,2583
2021-07-29 14:48:30,0,0,2636
2021-07-29 14:48:40,0,0,2655
2021-07-29 14:48:50,0,0,2686
2021-07-29 14:49:00,0,0,2718
2021-07-29 14:49:10,0,0,2822
2021-07-29 14:49:20,0,0,2895
2021-07-29 14:49:30,0,0,2908
2021-07-29 14:49:40,0,0,2927
2021-07-29 14:49:50,0,0,2998
2021-07-29 14:50:00,0,0,3012
2021-07-29 14:50:10,0,0,3092
2021-07-29 14:50:20,0,0,3113
2021-07-29 14:50:30,0,0,3129
2021-07-29 14:50:40,0,0,3151
2021-07-29 14:50:50,0,0,3183
2021-07-29 14:51:00,0,0,3195
2021-07-29 14:51:10,0,0,3215
2021-07-29 14:51:20,0,0,3232
2021-07-29 14:51:30,0,0,3257
2021-07-29 14:51:40,0,0,3329
2021-07-29 14:51:50,0,0,3367
2021-07-29 14:52:00,0,0,3394
2021-07-29 14:52:10,0,0,3440
2021-07-29 14:52:20,0,0,3533
2021-07-29 14:52:30,0,0,3564
2021-07-29 14:52:40,0,0,3611
2021-07-29 14:52:50,0,0,3629
2021-07-29 14:53:00,0,0,3656
2021-07-29 14:53:10,0,0,3689
2021-07-29 14:53:20,0,0,3702
2021-07-29 14:53:30,,,
2021-07-29 14:53:40,,,
2021-07-29 14:53:50,,,
2021-07-29 14:54:00,,,
2021-07-29 14:54:10,,,
2021-07-29 14:54:20,,,
2021-07-29 14:54:30,,,
2021-07-29 14:54:40,,,
2021-07-29 14:54:50,,,
2021-07-29 14:55:00,,,
2021-07-29 14:55:10,,,
2021-07-29 14:55:20,,,
2021-07-29 14:55:30,,,
2021-07-29 14:55:40,,,
2021-07-29 14:55:50,,,
2021-07-29 14:56:00,,,
2021-07-29 14:56:10,,,
2021-07-29 14:56:20,,,
2021-07-29 14:56:30,,,
2021-07-29 14:56:40,,,
2021-07-29 14:56:50,,,
2021-07-29 14:57:00,,,
2021-07-29 14:57:10,,,
2021-07-29 14:57:20,,,
2021-07-29 14:57:30,,,
2021-07-29 14:57:40,,,
2021-07-29 14:57:50,,,
2021-07-29 14:58:00,,,
2021-07-29 14:58:10,,,
2021-07-29 14:58:20,,,
2021-07-29 14:58:30,,,
2021-07-29 14:58:40,,,
2021-07-29 14:58:50,,,
2021-07-29 14:59:00,,,
2021-07-29 14:59:10,,,
2021-07-29 14:59:20,,,
2021-07-29 14:59:30,,,
2021-07-29 14:59:40,,,
2021-07-29 14:59:50,,,
2021-07-29 15:00:00,,,
2021-07-29 15:00:10,,,
2021-07-29 15:00:20,,,
2021-07-29 15:00:30,,,
2021-07-29 15:00:40,,,
2021-07-29 15:00:50,,,
2021-07-29 15:01:00,,,
2021-07-29 15:01:10,,,
2021-07-29 15:01:20,,,
2021-07-29 15:01:30,,,
2021-07-29 15:01:40,,,
2021-07-29 15:01:50,,,
2021-07-29 15:02:00,,,
2021-07-29 15:02:10,,,
2021-07-29 15:02:20,,,
2021-07-29 15:02:30,,,
2021-07-29 15:02:40,,,
2021-07-29 15:02:50,,,
2021-07-29 15:03:00,,,
2021-07-29 15:03:10,,,
2021-07-29 15:03:20,,,
2021-07-29 15:03:30,,,
2021-07-29 15:03:40,,,
2021-07-29 15:03:50,,,
2021-07-29 15:04:00,,,
2021-07-29 15:04:10,,,
2021-07-29 15:04:20,,,
2021-07-29 15:04:30,,,
2021-07-29 15:04:40,,,
