"Time","running","pending","completed"
2021-07-29 14:36:00,83,5080,127
2021-07-29 14:36:05,302,9167,476
2021-07-29 14:36:10,447,13137,885
2021-07-29 14:36:15,538,17322,1308
2021-07-29 14:36:20,543,21473,1637
2021-07-29 14:36:25,553,25431,2051
2021-07-29 14:36:30,559,29352,2487
2021-07-29 14:36:35,529,33432,2891
2021-07-29 14:36:40,535,37659,3211
2021-07-29 14:36:45,531,41593,3612
2021-07-29 14:36:50,556,45667,3999
2021-07-29 14:36:55,559,49700,4350
2021-07-29 14:37:00,512,53804,4731
2021-07-29 14:37:05,510,57859,5142
2021-07-29 14:37:10,496,61805,5539
2021-07-29 14:37:15,521,65830,5912
2021-07-29 14:37:20,544,69741,6302
2021-07-29 14:37:25,552,73956,6581
2021-07-29 14:37:30,554,77801,6974
2021-07-29 14:37:35,498,82099,7376
2021-07-29 14:37:40,480,86188,7732
2021-07-29 14:37:45,528,90284,8131
2021-07-29 14:37:50,476,94177,8490
2021-07-29 14:37:55,517,93778,8807
2021-07-29 14:38:00,522,93508,9124
2021-07-29 14:38:05,532,93132,9512
2021-07-29 14:38:10,489,92792,9872
2021-07-29 14:38:15,528,92416,10229
2021-07-29 14:38:20,537,92042,10595
2021-07-29 14:38:25,550,91573,10964
2021-07-29 14:38:30,558,91360,11255
2021-07-29 14:38:35,568,90988,11583
2021-07-29 14:38:40,539,90641,11933
2021-07-29 14:38:45,550,90285,12264
2021-07-29 14:38:50,564,90001,12591
2021-07-29 14:38:55,575,89608,12922
2021-07-29 14:39:00,612,89285,13217
2021-07-29 14:39:05,626,88921,13545
2021-07-29 14:39:10,635,88660,13877
2021-07-29 14:39:15,637,88292,14206
2021-07-29 14:39:20,590,87938,14620
2021-07-29 14:39:25,587,87565,14944
2021-07-29 14:39:30,583,87311,15251
2021-07-29 14:39:35,611,86945,15569
2021-07-29 14:39:40,608,86691,15882
2021-07-29 14:39:45,553,86348,16233
2021-07-29 14:39:50,564,85984,16598
2021-07-29 14:39:55,404,85890,16836
2021-07-29 14:40:00,383,85823,17065
2021-07-29 14:40:05,365,85560,17212
2021-07-29 14:40:10,386,85480,17407
2021-07-29 14:40:15,313,85369,17516
2021-07-29 14:40:20,449,84971,17722
2021-07-29 14:40:25,513,84806,17940
2021-07-29 14:40:30,404,84570,18143
2021-07-29 14:40:35,452,84344,18355
2021-07-29 14:40:40,555,83944,18618
2021-07-29 14:40:45,659,83640,18902
2021-07-29 14:40:50,623,83360,19172
2021-07-29 14:40:55,666,83011,19466
2021-07-29 14:41:00,694,82650,19834
2021-07-29 14:41:05,665,82259,20158
2021-07-29 14:41:10,695,82013,20433
2021-07-29 14:41:15,714,81865,20707
2021-07-29 14:41:20,593,81467,21036
2021-07-29 14:41:25,580,81222,21327
2021-07-29 14:41:30,575,80973,21587
2021-07-29 14:41:35,571,80692,21875
2021-07-29 14:41:40,554,80426,22168
2021-07-29 14:41:45,570,80163,22399
2021-07-29 14:41:50,558,80063,22614
2021-07-29 14:41:55,461,79904,22821
2021-07-29 14:42:00,399,79803,23013
2021-07-29 14:42:05,456,79596,23086
2021-07-29 14:42:10,560,79365,23248
2021-07-29 14:42:15,623,78995,23497
2021-07-29 14:42:20,696,78729,23787
2021-07-29 14:42:25,587,78618,23998
2021-07-29 14:42:30,604,78352,24202
2021-07-29 14:42:35,611,78238,24353
2021-07-29 14:42:40,564,78067,24551
2021-07-29 14:42:45,511,78004,24723
2021-07-29 14:42:50,589,77707,24891
2021-07-29 14:42:55,563,77551,25017
2021-07-29 14:43:00,652,77256,25204
2021-07-29 14:43:05,633,77136,25395
2021-07-29 14:43:10,644,76981,25552
2021-07-29 14:43:15,621,76756,25809
2021-07-29 14:43:20,757,76287,26067
2021-07-29 14:43:25,788,76051,26312
2021-07-29 14:43:30,810,75805,26515
2021-07-29 14:43:35,849,75512,26865
2021-07-29 14:43:40,721,75332,27088
2021-07-29 14:43:45,789,75184,27248
2021-07-29 14:43:50,614,75014,27512
2021-07-29 14:43:55,755,74704,27732
2021-07-29 14:44:00,876,74311,28013
2021-07-29 14:44:05,866,74110,28185
2021-07-29 14:44:10,794,73800,28520
2021-07-29 14:44:15,807,73967,28623
2021-07-29 14:44:20,670,73749,28765
2021-07-29 14:44:25,590,73644,28966
2021-07-29 14:44:30,620,73414,29143
2021-07-29 14:44:35,779,73005,29353
2021-07-29 14:44:40,822,72828,29499
2021-07-29 14:44:45,847,72576,29731
2021-07-29 14:44:50,831,72274,30017
2021-07-29 14:44:55,849,72145,30177
2021-07-29 14:45:00,856,71724,30546
2021-07-29 14:45:05,926,71548,30723
2021-07-29 14:45:10,907,71201,30998
2021-07-29 14:45:15,943,70920,31312
2021-07-29 14:45:20,928,70769,31478
2021-07-29 14:45:25,886,70412,31829
2021-07-29 14:45:30,901,70443,31971
2021-07-29 14:45:35,729,70158,32243
2021-07-29 14:45:40,704,70050,32424
2021-07-29 14:45:45,816,69854,32529
2021-07-29 14:45:50,838,69529,32818
2021-07-29 14:45:55,844,69303,33046
2021-07-29 14:46:00,851,69160,33206
2021-07-29 14:46:05,831,68836,33537
2021-07-29 14:46:10,778,68665,33704
2021-07-29 14:46:15,786,68507,33849
2021-07-29 14:46:20,760,68244,34109
2021-07-29 14:46:25,793,68175,34234
2021-07-29 14:46:30,822,67830,34460
2021-07-29 14:46:35,816,67631,34672
2021-07-29 14:46:40,887,67436,34850
2021-07-29 14:46:45,880,67095,35144
2021-07-29 14:46:50,885,66985,35294
2021-07-29 14:46:55,864,66775,35528
2021-07-29 14:47:00,841,66582,35752
2021-07-29 14:47:05,824,66414,35889
2021-07-29 14:47:10,866,66121,36188
2021-07-29 14:47:15,903,65989,36242
2021-07-29 14:47:20,880,65767,36561
2021-07-29 14:47:25,891,65653,36663
2021-07-29 14:47:30,831,65480,36913
2021-07-29 14:47:35,886,65140,37099
2021-07-29 14:47:40,921,65006,37208
2021-07-29 14:47:45,901,64685,37558
2021-07-29 14:47:50,928,64647,37624
2021-07-29 14:47:55,928,64224,37985
2021-07-29 14:48:00,918,64196,38096
2021-07-29 14:48:05,907,63870,38395
2021-07-29 14:48:10,898,63767,38547
2021-07-29 14:48:15,880,63568,38764
2021-07-29 14:48:20,850,63362,38938
2021-07-29 14:48:25,851,63213,39082
2021-07-29 14:48:30,910,62926,39326
2021-07-29 14:48:35,931,62786,39426
2021-07-29 14:48:40,911,62464,39766
2021-07-29 14:48:45,927,62449,39843
2021-07-29 14:48:50,895,62150,40132
2021-07-29 14:48:55,925,62023,40196
2021-07-29 14:49:00,879,61801,40495
2021-07-29 14:49:05,947,61690,40584
2021-07-29 14:49:10,952,61431,40823
2021-07-29 14:49:15,914,61499,40914
2021-07-29 14:49:20,786,61386,41046
