EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",6103031f252c34a52501bc9f,[],2,2,131072,131072,compute_haswell,chameleon,0,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",6103031f252c34a52501bca0,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_180#1625151845_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959669029,""CompletionDate"":1625157373,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5122.854072,""JobPrio"":0,""JobStartDate"":1625193518,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1321908,""MemoryUsage"":1291.9248046875,""JobSimSubmitDate"":1627587414.823632,""JobSimStartDate"":1627588401.729623,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334341_184#1625151845_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957055386,""CompletionDate"":1625157192,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4940.512598,""JobPrio"":0,""JobStartDate"":1625193516,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1321620,""MemoryUsage"":1291.6435546875,""JobSimSubmitDate"":1627587414.823606,""JobSimStartDate"":1627588401.738263,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627588401.96645,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",6103031f252c34a52501bca1,"[{""GlobalJobId"":""login05_osgconnect_net#11333932_0#1625147080_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9990083763,""CompletionDate"":1625154377,""CpusProvisioned"":2,""DiskProvisioned"":213157,""DiskUsage"":40430,""DiskUsage_RAW"":40430,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":1747.057965,""JobPrio"":0,""JobStartDate"":1625193898,""JobState"":""Exited"",""MemoryProvisioned"":11008,""ResidentSetSize"":830096,""MemoryUsage"":811.6396484375,""JobSimSubmitDate"":1627587414.827524,""JobSimStartDate"":1627588402.17308,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,120064,131072,compute_haswell,osg,1627588402.335228,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",6103031fe941703e63062e7d,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_822#1625151846_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9942775863,""CompletionDate"":1625158972,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5347.133096,""JobPrio"":0,""JobStartDate"":1625194893,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1358740,""MemoryUsage"":1327.8935546875,""JobSimSubmitDate"":1627587414.84867,""JobSimStartDate"":1627588402.51939,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334059_6426#1625149948_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9932367788,""CompletionDate"":1625156907,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3116.688408,""JobPrio"":0,""JobStartDate"":1625195059,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":85208,""MemoryUsage"":84.2099609375,""JobSimSubmitDate"":1627587414.848688,""JobSimStartDate"":1627588402.589092,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627588402.7559307,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",6103031fe941703e63062e7e,"[{""GlobalJobId"":""login05_osgconnect_net#11333932_0#1625147080_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9977814206,""CompletionDate"":1625152455,""CpusProvisioned"":2,""DiskProvisioned"":213157,""DiskUsage"":40430,""DiskUsage_RAW"":40723,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":2096.426061,""JobPrio"":0,""JobStartDate"":1625191625,""JobState"":""Exited"",""MemoryProvisioned"":11008,""ResidentSetSize"":1294972,""MemoryUsage"":1265.6201171875,""JobSimSubmitDate"":1627587414.813231,""JobSimStartDate"":1627588403.479615,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.3540287725509271,""WastedCost"":0.3540287725509271,""Machine"":null,""action"":""start""}]",2,0,120064,131072,compute_haswell,osg,1627588403.6472125,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",6103031f252c34a52501bca2,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_3823#1625151848_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9946582487,""CompletionDate"":1625160560,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5231.890402,""JobPrio"":0,""JobStartDate"":1625196596,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1320520,""MemoryUsage"":1290.5693359375,""JobSimSubmitDate"":1627587414.885923,""JobSimStartDate"":1627588403.612112,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334057_409#1625149933_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9945082248,""CompletionDate"":1625163639,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":15977483,""DiskUsage_RAW"":15477157,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7267.235299,""JobPrio"":0,""JobStartDate"":1625197623,""JobState"":""Exited"",""MemoryProvisioned"":512,""ResidentSetSize"":170116,""MemoryUsage"":167.1279296875,""JobSimSubmitDate"":1627587414.908313,""JobSimStartDate"":1627588403.806136,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127488,131072,compute_haswell,osg,1627588369.7485473,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6103031fe941703e63062e7f,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_296#1625151845_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9978834719,""CompletionDate"":1625158094,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5291.753864,""JobPrio"":0,""JobStartDate"":1625194070,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1351852,""MemoryUsage"":1321.1669921875,""JobSimSubmitDate"":1627587414.833619,""JobSimStartDate"":1627588401.5797,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.5922768097374989,""WastedCost"":0.5922768097374989,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11334341_3114#1625151847_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9948972108,""CompletionDate"":1625161401,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5763.608558,""JobPrio"":0,""JobStartDate"":1625196905,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1441876,""MemoryUsage"":1409.0810546875,""JobSimSubmitDate"":1627587414.89424,""JobSimStartDate"":1627588403.724803,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627588370.0782723,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",6103031f252c34a52501bca3,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_1669#1625151846_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.996715062,""CompletionDate"":1625159411,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5210.633005,""JobPrio"":0,""JobStartDate"":1625195467,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356476,""MemoryUsage"":1325.6826171875,""JobSimSubmitDate"":1627587414.859043,""JobSimStartDate"":1627588402.626545,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334341_1630#1625151846_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9960381067,""CompletionDate"":1625159427,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5231.263304,""JobPrio"":0,""JobStartDate"":1625195464,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356456,""MemoryUsage"":1325.6630859375,""JobSimSubmitDate"":1627587414.848712,""JobSimStartDate"":1627588402.627986,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627588343.5161958,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",6103031fe941703e63062e80,"[{""GlobalJobId"":""login05_osgconnect_net#11333805_9001#1625144620_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957562702,""CompletionDate"":1625154220,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5115.629396,""JobPrio"":0,""JobStartDate"":1625190372,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1355176,""MemoryUsage"":1324.4130859375,""JobSimSubmitDate"":1627587414.791555,""JobSimStartDate"":1627588402.281156,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11331959_839#1625128908_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9962234998,""CompletionDate"":1625134622,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":74,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5466.694275,""JobPrio"":0,""JobStartDate"":1625170423,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1319260,""MemoryUsage"":1289.3388671875,""JobSimSubmitDate"":1627587414.506438,""JobSimStartDate"":1627588402.469946,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":9.774495631722445,""WastedCost"":9.774495631722445,""Machine"":null,""action"":""start""}]",2,0,124928,131072,compute_haswell,osg,1627588343.1814432,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6103031f252c34a52501bca4,"[{""GlobalJobId"":""login05_osgconnect_net#11331323_1249#1625125878_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9947347722,""CompletionDate"":1625129036,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":1791,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":1951.187732,""JobPrio"":0,""JobStartDate"":1625168351,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1363592,""MemoryUsage"":1332.6318359375,""JobSimSubmitDate"":1627587414.414614,""JobSimStartDate"":1627588402.363618,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":10.255210049575,""WastedCost"":10.255210049575,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login04_osgconnect_net#12335123_0#1625131098_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0010358845,""CompletionDate"":1625142529,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5652.464969,""JobPrio"":0,""JobStartDate"":1625178145,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":196424,""MemoryUsage"":192.8193359375,""JobSimSubmitDate"":1627587414.64404,""JobSimStartDate"":1627588402.761489,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":5.583103524957749,""WastedCost"":5.583103524957749,""Machine"":null,""action"":""start""}]",2,0,125952,131072,compute_haswell,osg,1627588344.1838255,inuse
