"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 14:35:55,10.7,1.19,9.52
2021-07-29 14:36:00,18.2,1.09,17.5
2021-07-29 14:36:05,55.1,0,55.1
2021-07-29 14:36:10,83.9,1.82,83.2
2021-07-29 14:36:15,100,2.19,97.4
2021-07-29 14:36:20,99.6,2.92,97.1
2021-07-29 14:36:25,99.6,0,99.6
2021-07-29 14:36:30,99.3,0.365,99.6
2021-07-29 14:36:35,99.3,1.82,98.2
2021-07-29 14:36:40,99.3,2.92,97.1
2021-07-29 14:36:45,100,4.38,95.6
2021-07-29 14:36:50,100,4.38,95.6
2021-07-29 14:36:55,99.6,8.03,92.0
2021-07-29 14:37:00,99.6,7.66,90.5
2021-07-29 14:37:05,99.6,9.49,90.1
2021-07-29 14:37:10,99.6,12.8,88.3
2021-07-29 14:37:15,97.8,9.49,86.5
2021-07-29 14:37:20,99.3,10.2,90.5
2021-07-29 14:37:25,98.9,6.93,93.1
2021-07-29 14:37:30,99.3,7.66,92.3
2021-07-29 14:37:35,99.3,18.6,81.4
2021-07-29 14:37:40,99.6,20.8,79.2
2021-07-29 14:37:45,99.3,13.9,86.5
2021-07-29 14:37:50,99.3,13.5,86.5
2021-07-29 14:37:55,100,15.0,85.0
2021-07-29 14:38:00,99.6,13.5,86.5
2021-07-29 14:38:05,99.3,15.7,83.9
2021-07-29 14:38:10,98.9,16.4,83.6
2021-07-29 14:38:15,99.6,15.0,85.0
2021-07-29 14:38:20,99.6,16.4,83.6
2021-07-29 14:38:25,99.6,13.1,86.9
2021-07-29 14:38:30,99.3,12.8,85.4
2021-07-29 14:38:35,99.6,13.1,86.5
2021-07-29 14:38:40,99.6,17.5,82.5
2021-07-29 14:38:45,99.3,20.1,79.9
2021-07-29 14:38:50,99.6,16.4,83.6
2021-07-29 14:38:55,99.3,11.3,88.3
2021-07-29 14:39:00,99.6,4.74,93.8
2021-07-29 14:39:05,99.3,3.65,96.7
2021-07-29 14:39:10,99.3,5.47,94.2
2021-07-29 14:39:15,98.9,6.57,93.4
2021-07-29 14:39:20,99.6,11.7,88.3
2021-07-29 14:39:25,99.6,12.4,87.2
2021-07-29 14:39:30,99.6,13.5,86.5
2021-07-29 14:39:35,99.3,12.4,87.6
2021-07-29 14:39:40,99.6,14.2,85.8
2021-07-29 14:39:45,100,23.0,77.0
2021-07-29 14:39:50,99.6,21.9,78.5
2021-07-29 14:39:55,99.6,54.0,46.0
2021-07-29 14:40:00,73.7,82.5,19.0
2021-07-29 14:40:05,76.3,34.7,40.1
2021-07-29 14:40:10,99.3,86.1,13.5
2021-07-29 14:40:15,80.7,55.8,24.8
2021-07-29 14:40:20,81.0,27.0,54.0
2021-07-29 14:40:25,98.9,53.3,46.7
2021-07-29 14:40:30,99.6,59.9,40.1
2021-07-29 14:40:35,79.2,28.5,50.7
2021-07-29 14:40:40,98.9,23.4,75.9
2021-07-29 14:40:45,98.5,8.39,91.2
2021-07-29 14:40:50,99.6,25.2,74.5
2021-07-29 14:40:55,99.3,9.49,90.5
2021-07-29 14:41:00,98.9,6.57,92.7
2021-07-29 14:41:05,99.6,4.74,94.9
2021-07-29 14:41:10,100,6.20,93.4
2021-07-29 14:41:15,99.6,25.2,74.8
2021-07-29 14:41:20,99.6,26.6,73.0
2021-07-29 14:41:25,99.3,27.0,73.0
2021-07-29 14:41:30,99.6,31.0,69.0
2021-07-29 14:41:35,99.6,32.5,67.5
2021-07-29 14:41:40,99.6,38.3,61.7
2021-07-29 14:41:45,99.6,35.8,63.9
2021-07-29 14:41:50,99.6,49.6,50.4
2021-07-29 14:41:55,99.6,70.8,29.2
2021-07-29 14:42:00,99.6,78.1,21.5
2021-07-29 14:42:05,97.8,52.9,47.1
2021-07-29 14:42:10,97.8,40.1,58.4
2021-07-29 14:42:15,99.6,34.7,65.7
2021-07-29 14:42:20,97.8,23.7,77.4
2021-07-29 14:42:25,99.6,44.9,54.4
2021-07-29 14:42:30,99.6,39.8,59.9
2021-07-29 14:42:35,98.5,44.5,55.5
2021-07-29 14:42:40,98.9,60.2,39.4
2021-07-29 14:42:45,98.5,73.7,26.3
2021-07-29 14:42:50,97.1,45.6,51.8
2021-07-29 14:42:55,88.7,43.1,45.6
2021-07-29 14:43:00,92.3,29.2,63.1
2021-07-29 14:43:05,99.6,40.9,57.3
2021-07-29 14:43:10,99.6,43.4,56.6
2021-07-29 14:43:15,86.9,28.1,58.8
2021-07-29 14:43:20,100,15.7,84.3
2021-07-29 14:43:25,98.9,13.1,86.9
2021-07-29 14:43:30,99.6,11.0,89.0
2021-07-29 14:43:35,98.9,1.83,97.8
2021-07-29 14:43:40,99.6,27.1,72.9
2021-07-29 14:43:45,99.3,19.4,83.9
2021-07-29 14:43:50,91.9,28.9,63.0
2021-07-29 14:43:55,87.9,0.733,86.8
2021-07-29 14:44:00,99.3,1.83,98.9
2021-07-29 14:44:05,99.6,9.52,90.5
2021-07-29 14:44:10,99.3,11.0,89.0
2021-07-29 14:44:15,99.7,54.2,45.8
2021-07-29 14:44:20,99.7,56.9,42.7
2021-07-29 14:44:25,99.0,54.5,45.5
2021-07-29 14:44:30,77.8,22.9,54.9
2021-07-29 14:44:35,92.7,15.6,76.7
2021-07-29 14:44:40,99.7,17.0,83.0
2021-07-29 14:44:45,99.0,17.4,82.6
2021-07-29 14:44:50,99.3,17.7,82.3
2021-07-29 14:44:55,99.7,14.6,85.1
2021-07-29 14:45:00,99.0,10.8,88.9
2021-07-29 14:45:05,99.0,3.83,97.6
2021-07-29 14:45:10,99.3,3.83,96.2
2021-07-29 14:45:15,99.7,1.05,99.0
2021-07-29 14:45:20,98.6,4.18,95.8
2021-07-29 14:45:25,99.0,10.8,87.8
2021-07-29 14:45:30,99.3,39.4,60.6
2021-07-29 14:45:35,99.7,42.2,57.8
2021-07-29 14:45:40,73.2,19.2,54.4
2021-07-29 14:45:45,99.7,26.1,74.9
2021-07-29 14:45:50,99.3,24.0,76.3
2021-07-29 14:45:55,99.3,25.1,74.9
2021-07-29 14:46:00,99.7,25.1,74.9
2021-07-29 14:46:05,100,23.3,75.6
2021-07-29 14:46:10,98.3,31.7,67.9
2021-07-29 14:46:15,98.6,35.5,64.1
2021-07-29 14:46:20,99.6,38.2,62.1
2021-07-29 14:46:25,99.3,31.6,68.4
2021-07-29 14:46:30,99.3,29.5,70.5
2021-07-29 14:46:35,99.6,29.5,70.5
2021-07-29 14:46:40,99.3,18.9,81.1
2021-07-29 14:46:45,99.3,16.8,82.8
2021-07-29 14:46:50,99.3,17.9,81.8
2021-07-29 14:46:55,99.3,26.3,73.7
2021-07-29 14:47:00,99.3,28.4,71.6
2021-07-29 14:47:05,98.6,31.9,68.1
2021-07-29 14:47:10,95.8,22.1,73.7
2021-07-29 14:47:15,99.6,19.3,80.7
2021-07-29 14:47:20,99.3,22.8,77.2
