"Time","unused terminations","success termination","immediate termination"
2021-07-30 00:00:35,,,
2021-07-30 00:00:40,,,
2021-07-30 00:00:45,,,
2021-07-30 00:00:50,,,
2021-07-30 00:00:55,,,
2021-07-30 00:01:00,,,
2021-07-30 00:01:05,,,
2021-07-30 00:01:10,,,
2021-07-30 00:01:15,,,
2021-07-30 00:01:20,,,
2021-07-30 00:01:25,,,
2021-07-30 00:01:30,,,
2021-07-30 00:01:35,,,
2021-07-30 00:01:40,,,
2021-07-30 00:01:45,,,
2021-07-30 00:01:50,,,
2021-07-30 00:01:55,,,
2021-07-30 00:02:00,,,
2021-07-30 00:02:05,,,
2021-07-30 00:02:10,,,
2021-07-30 00:02:15,,,
2021-07-30 00:02:20,,,
2021-07-30 00:02:25,,,
2021-07-30 00:02:30,,,
2021-07-30 00:02:35,,,
2021-07-30 00:02:40,,,
2021-07-30 00:02:45,,,
2021-07-30 00:02:50,,,
2021-07-30 00:02:55,,,
2021-07-30 00:03:00,,,
2021-07-30 00:03:05,,,
2021-07-30 00:03:10,,,
2021-07-30 00:03:15,,,
2021-07-30 00:03:20,,,
2021-07-30 00:03:25,,,
2021-07-30 00:03:30,,,
2021-07-30 00:03:35,,,
2021-07-30 00:03:40,,,
2021-07-30 00:03:45,,,
2021-07-30 00:03:50,,,
2021-07-30 00:03:55,,,
2021-07-30 00:04:00,,,
2021-07-30 00:04:05,,,
2021-07-30 00:04:10,,,
2021-07-30 00:04:15,,,
2021-07-30 00:04:20,,,
2021-07-30 00:04:25,,,
2021-07-30 00:04:30,,,
2021-07-30 00:04:35,,,
2021-07-30 00:04:40,,,
2021-07-30 00:04:45,,,
2021-07-30 00:04:50,,,
2021-07-30 00:04:55,,,
2021-07-30 00:05:00,,,
2021-07-30 00:05:05,,,
2021-07-30 00:05:10,,,
2021-07-30 00:05:15,,,
2021-07-30 00:05:20,,,
2021-07-30 00:05:25,,,
2021-07-30 00:05:30,,,
2021-07-30 00:05:35,,,
2021-07-30 00:05:40,,,
2021-07-30 00:05:45,,,
2021-07-30 00:05:50,,,
2021-07-30 00:05:55,,,
2021-07-30 00:06:00,,,
2021-07-30 00:06:05,,,
2021-07-30 00:06:10,,,
2021-07-30 00:06:15,,,
2021-07-30 00:06:20,,,
2021-07-30 00:06:25,,,
2021-07-30 00:06:30,,,
2021-07-30 00:06:35,,,
2021-07-30 00:06:40,,,
2021-07-30 00:06:45,,,
2021-07-30 00:06:50,,,
2021-07-30 00:06:55,,,
2021-07-30 00:07:00,,,
2021-07-30 00:07:05,,,
2021-07-30 00:07:10,,,
2021-07-30 00:07:15,,,
2021-07-30 00:07:20,,,
2021-07-30 00:07:25,,,
2021-07-30 00:07:30,,,
2021-07-30 00:07:35,,,
2021-07-30 00:07:40,,,
