EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",61038a4716703bc7d9cd45a7,"[{""GlobalJobId"":""login05_osgconnect_net#11330335_1356#1625107782_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9766031586,""CompletionDate"":1625114527,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":62,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5577.935414,""JobPrio"":0,""JobStartDate"":1625150217,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1323712,""MemoryUsage"":1293.6865234375,""JobSimSubmitDate"":1627622012.26248,""JobSimStartDate"":1627622976.309994,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11330335_937#1625107781_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9948529179,""CompletionDate"":1625113971,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5488.310635,""JobPrio"":0,""JobStartDate"":1625149751,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1349220,""MemoryUsage"":1318.5966796875,""JobSimSubmitDate"":1627622012.251188,""JobSimStartDate"":1627622976.354165,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.2277236864159354,""WastedCost"":0.2277236864159354,""Machine"":null,""action"":""start""}]",2,0,124928,131072,compute_haswell,osg,1627622976.4943051,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",61038a47e13c56cba0d7249f,[],2,2,131072,131072,compute_haswell,chameleon,0,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",61038a4716703bc7d9cd45a8,[],2,2,131072,131072,compute_haswell,chameleon,0,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",61038a4716703bc7d9cd45a9,[],2,2,131072,131072,compute_haswell,chameleon,0,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",61038a47e13c56cba0d724a0,[],2,2,131072,131072,compute_haswell,chameleon,0,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",61038a4716703bc7d9cd45aa,"[{""GlobalJobId"":""login04_osgconnect_net#12297804_0#1625093981_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9978415642,""CompletionDate"":1625095797,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":1091.041878,""JobPrio"":0,""JobStartDate"":1625135974,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":195448,""MemoryUsage"":191.8662109375,""JobSimSubmitDate"":1627622011.921401,""JobSimStartDate"":1627622969.916802,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12299782_0#1625094545_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9965914102,""CompletionDate"":1625095630,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":1004.501448,""JobPrio"":0,""JobStartDate"":1625135893,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":194808,""MemoryUsage"":191.2412109375,""JobSimSubmitDate"":1627622011.920511,""JobSimStartDate"":1627622969.918934,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627622970.100275,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",61038a47e13c56cba0d724a1,"[{""GlobalJobId"":""login04_osgconnect_net#12296283_0#1625093573_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968320962,""CompletionDate"":1625095104,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":957.077921,""JobPrio"":0,""JobStartDate"":1625135415,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":200016,""MemoryUsage"":196.3271484375,""JobSimSubmitDate"":1627622011.911454,""JobSimStartDate"":1627622969.77434,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12295545_0#1625093418_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968651983,""CompletionDate"":1625095002,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":1070.68736,""JobPrio"":0,""JobStartDate"":1625135199,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":200004,""MemoryUsage"":196.3154296875,""JobSimSubmitDate"":1627622011.900744,""JobSimStartDate"":1627622969.781016,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627622969.9000094,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",61038a47e13c56cba0d724a2,"[{""GlobalJobId"":""login04_osgconnect_net#12301441_0#1625094931_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9970391584,""CompletionDate"":1625096394,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":1234.170277,""JobPrio"":0,""JobStartDate"":1625136428,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":196140,""MemoryUsage"":192.5419921875,""JobSimSubmitDate"":1627622011.950517,""JobSimStartDate"":1627622970.799061,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12301483_0#1625094942_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9973945657,""CompletionDate"":1625096270,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":1099.704827,""JobPrio"":0,""JobStartDate"":1625136438,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":197320,""MemoryUsage"":193.6943359375,""JobSimSubmitDate"":1627622011.950537,""JobSimStartDate"":1627622970.812861,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627622971.0504055,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",61038a4716703bc7d9cd45ab,"[{""GlobalJobId"":""login-el7_xenon_ci-connect_net#7056354_0#1625072225_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1810095701,""CompletionDate"":1625073680,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":181892,""DiskUsage_RAW"":10548,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":981.644143,""JobPrio"":624934501,""JobStartDate"":1625113966,""JobState"":""Exited"",""MemoryProvisioned"":5120,""ResidentSetSize"":467964,""MemoryUsage"":457.9951171875,""JobSimSubmitDate"":1627622011.630712,""JobSimStartDate"":1627622970.3205,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":4.753419184500438,""WastedCost"":4.753419184500438,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11329452_7347#1625066113_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957028482,""CompletionDate"":1625078208,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5430.705301,""JobPrio"":0,""JobStartDate"":1625114046,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1447264,""MemoryUsage"":1414.3427734375,""JobSimSubmitDate"":1627622011.630748,""JobSimStartDate"":1627622970.327616,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":3.869203617483693,""WastedCost"":3.869203617483693,""Machine"":null,""action"":""start""}]",2,0,122880,131072,compute_haswell,osg,1627622970.5190632,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",61038a47e13c56cba0d724a3,"[{""GlobalJobId"":""login05_osgconnect_net#11329945_3530#1625087334_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9982997244,""CompletionDate"":1625094639,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3267.655151,""JobPrio"":0,""JobStartDate"":1625132640,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":88288,""MemoryUsage"":87.2177734375,""JobSimSubmitDate"":1627622011.864614,""JobSimStartDate"":1627622970.182635,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11330087_4739#1625094548_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966502567,""CompletionDate"":1625108617,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5552.417075,""JobPrio"":0,""JobStartDate"":1625144333,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1345800,""MemoryUsage"":1315.2568359375,""JobSimSubmitDate"":1627622012.204063,""JobSimStartDate"":1627622973.865109,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627622944.1579118,inuse
