"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627797157581,77,1,6
1627797157713,77,1,6
1627797158217,233,1,12
1627797158531,255,2,17
1627797158728,253,2,19
1627797159219,253,2,19
1627797159734,253,2,19
1627797160224,253,2,19
1627797160741,253,2,19
1627797161744,210,2,62
1627797162749,170,2,102
1627797163749,146,2,126
1627797164763,115,1,158
1627797165771,87,1,186
1627797166403,68,1,205
1627797166767,59,0,215
1627797167297,46,0,228
1627797167638,37,1,236
1627797167784,32,1,241
1627797167946,29,2,243
1627797168105,28,3,243
1627797168258,24,4,246
1627797168412,19,6,249
1627797168786,7,3,264
1627797169303,0,3,271
1627797169798,0,3,271
1627797170291,0,3,271
1627797170612,0,1,273
1627797170790,0,2,272
1627797170980,0,2,272
1627797171168,0,3,271
1627797171309,0,4,270
1627797171484,2,2,270
1627797171824,0,0,274
1627797172369,0,0,274
1627797172824,0,0,274
1627797173830,0,0,274
1627797174216,0,0,274
1627797174381,0,1,273
1627797174557,0,2,272
1627797174757,0,3,271
1627797174972,0,4,270
1627797175136,0,5,269
1627797175276,0,5,269
1627797175448,0,6,268
1627797175864,0,5,269
1627797176349,0,5,269
1627797176850,0,5,269
1627797177349,0,5,269
1627797177863,0,5,269
1627797178358,0,5,269
1627797178669,0,6,268
1627797178904,0,6,268
1627797179082,0,7,267
1627797180055,0,7,267
1627797180251,0,8,266
1627797180406,0,5,269
1627797180582,0,6,268
1627797180892,0,5,269
1627797181375,0,5,269
1627797181909,0,5,269
1627797182406,0,4,270
1627797182911,1,0,273
1627797183404,0,0,274
1627797183930,0,0,274
1627797184412,0,0,274
1627797184607,0,1,273
1627797184933,0,1,273
1627797185430,0,1,273
1627797185933,0,1,273
1627797186424,0,1,273
1627797186734,0,2,272
1627797186980,0,3,271
1627797187143,0,3,271
1627797187367,0,4,270
1627797187557,0,5,269
1627797187783,2,2,270
1627797187975,1,1,272
1627797188441,0,1,273
1627797188966,0,1,273
1627797189455,0,1,273
1627797189962,0,1,273
1627797190473,0,1,273
1627797190967,0,1,273
1627797191462,0,1,273
1627797191978,0,1,273
1627797192463,0,1,273
1627797193009,0,1,273
1627797193483,0,1,273
1627797193993,0,1,273
1627797194488,0,1,273
1627797194813,0,2,272
1627797195000,0,3,271
1627797195129,0,3,271
1627797195294,0,4,270
1627797195456,0,5,269
1627797195663,2,3,269
1627797196025,0,1,273
1627797196823,0,1,273
1627797197006,0,2,272
1627797197241,0,3,271
1627797197386,0,4,270
1627797197515,1,4,269
1627797197708,1,4,269
1627797197892,1,2,271
1627797198088,0,2,272
1627797198256,0,9,265
1627797198535,0,8,266
1627797199061,0,8,266
1627797199532,0,8,266
1627797200055,0,8,266
