"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-30 00:12:38,0,0,0
2021-07-30 00:12:40,6.20,1.09,5.47
2021-07-30 00:12:42,8.03,0.730,6.93
2021-07-30 00:12:44,22.3,1.09,21.5
2021-07-30 00:12:46,42.7,0.365,42.3
2021-07-30 00:12:48,56.2,0,56.2
2021-07-30 00:12:50,68.2,1.82,66.4
2021-07-30 00:12:52,78.8,0.730,77.7
2021-07-30 00:12:54,87.6,0,87.2
2021-07-30 00:12:56,99.6,1.82,97.8
2021-07-30 00:12:58,99.6,1.82,98.2
2021-07-30 00:13:00,99.6,2.55,97.4
2021-07-30 00:13:02,99.6,1.82,98.2
2021-07-30 00:13:04,99.3,0.730,99.3
2021-07-30 00:13:06,99.6,0,100
2021-07-30 00:13:08,100,1.09,98.5
2021-07-30 00:13:10,99.6,0.365,99.6
2021-07-30 00:13:12,99.6,0.365,99.6
2021-07-30 00:13:14,99.6,0.365,99.6
2021-07-30 00:13:16,99.6,1.09,98.9
2021-07-30 00:13:18,99.6,0.365,99.3
2021-07-30 00:13:20,99.6,3.28,96.7
2021-07-30 00:13:22,99.6,2.92,96.4
2021-07-30 00:13:24,99.6,3.65,96.0
2021-07-30 00:13:26,99.3,2.92,96.7
2021-07-30 00:13:28,99.6,4.01,96.0
2021-07-30 00:13:30,99.6,3.65,96.4
2021-07-30 00:13:32,99.6,3.65,96.4
2021-07-30 00:13:34,99.6,3.65,96.4
2021-07-30 00:13:36,99.3,4.74,95.3
2021-07-30 00:13:38,99.6,8.03,92.0
2021-07-30 00:13:40,99.6,8.76,91.2
2021-07-30 00:13:42,98.9,8.03,92.0
2021-07-30 00:13:44,99.3,7.66,91.6
2021-07-30 00:13:46,99.6,9.12,90.9
2021-07-30 00:13:48,100,9.49,90.5
2021-07-30 00:13:50,99.6,11.7,88.0
2021-07-30 00:13:52,99.6,12.8,86.9
2021-07-30 00:13:54,99.6,11.7,88.0
2021-07-30 00:13:56,100,12.0,88.3
2021-07-30 00:13:58,97.1,9.49,86.9
2021-07-30 00:14:00,99.6,7.66,92.0
2021-07-30 00:14:02,99.6,10.2,89.8
2021-07-30 00:14:04,100,9.49,90.5
2021-07-30 00:14:06,99.6,10.6,89.4
2021-07-30 00:14:08,98.9,7.66,92.0
2021-07-30 00:14:10,100,6.93,93.1
2021-07-30 00:14:12,99.6,6.93,93.1
2021-07-30 00:14:14,99.6,7.66,93.1
2021-07-30 00:14:16,98.9,6.93,92.7
2021-07-30 00:14:18,99.6,17.9,81.4
2021-07-30 00:14:20,99.6,19.7,79.9
2021-07-30 00:14:22,99.6,20.8,78.8
2021-07-30 00:14:24,99.6,19.3,80.3
2021-07-30 00:14:26,98.9,13.9,86.5
2021-07-30 00:14:28,99.6,13.5,86.5
2021-07-30 00:14:30,99.6,15.0,84.7
2021-07-30 00:14:32,99.3,13.5,86.5
2021-07-30 00:14:34,99.3,13.5,86.1
2021-07-30 00:14:36,99.6,13.5,86.5
2021-07-30 00:14:38,99.6,15.0,84.7
2021-07-30 00:14:40,99.3,13.1,86.5
2021-07-30 00:14:42,100,14.6,85.4
2021-07-30 00:14:44,99.6,14.6,85.4
2021-07-30 00:14:46,99.6,15.7,83.9
2021-07-30 00:14:48,99.3,14.2,85.8
2021-07-30 00:14:50,100,13.9,86.1
2021-07-30 00:14:52,99.6,15.3,84.7
2021-07-30 00:14:54,99.6,16.8,82.8
2021-07-30 00:14:56,99.6,15.3,84.7
2021-07-30 00:14:58,99.6,15.0,85.0
2021-07-30 00:15:00,100,15.3,85.0
2021-07-30 00:15:02,99.6,16.4,83.6
2021-07-30 00:15:04,99.6,15.0,85.0
2021-07-30 00:15:06,99.6,15.0,85.0
2021-07-30 00:15:08,99.6,13.1,86.9
2021-07-30 00:15:10,99.6,13.9,86.9
2021-07-30 00:15:12,99.6,14.2,85.8
2021-07-30 00:15:14,99.3,12.4,87.2
2021-07-30 00:15:16,99.6,11.3,88.7
2021-07-30 00:15:18,100,13.1,86.5
2021-07-30 00:15:20,100,13.5,86.5
2021-07-30 00:15:22,99.6,15.7,84.3
2021-07-30 00:15:24,99.6,18.2,81.4
2021-07-30 00:15:26,99.3,17.5,82.1
2021-07-30 00:15:28,99.6,19.0,80.7
2021-07-30 00:15:30,99.6,17.5,82.5
2021-07-30 00:15:32,99.6,16.4,83.2
2021-07-30 00:15:34,99.3,15.7,84.3
2021-07-30 00:15:36,99.6,14.2,85.4
2021-07-30 00:15:38,99.3,11.3,88.7
2021-07-30 00:15:40,98.5,5.47,92.7
2021-07-30 00:15:42,99.6,4.74,94.9
2021-07-30 00:15:44,99.6,4.74,94.9
2021-07-30 00:15:46,96.4,2.55,93.8
2021-07-30 00:15:48,100,3.65,96.0
2021-07-30 00:15:50,99.6,5.47,94.5
2021-07-30 00:15:52,99.6,4.01,96.0
2021-07-30 00:15:54,100,5.84,94.2
2021-07-30 00:15:56,99.6,4.38,95.3
2021-07-30 00:15:58,99.6,6.57,93.4
2021-07-30 00:16:00,100,12.0,88.0
2021-07-30 00:16:02,99.6,11.7,88.3
2021-07-30 00:16:04,99.6,10.6,89.1
2021-07-30 00:16:06,99.6,12.0,88.0
2021-07-30 00:16:08,99.6,10.9,89.1
2021-07-30 00:16:10,99.6,12.8,87.2
2021-07-30 00:16:12,99.6,13.5,86.5
2021-07-30 00:16:14,99.6,14.6,85.4
2021-07-30 00:16:16,99.3,13.9,84.7
2021-07-30 00:16:18,98.9,12.4,87.2
2021-07-30 00:16:20,99.6,12.4,87.6
2021-07-30 00:16:22,99.6,13.5,86.5
2021-07-30 00:16:24,99.3,14.2,86.5
2021-07-30 00:16:26,99.6,22.6,77.4
2021-07-30 00:16:28,99.6,23.0,77.0
2021-07-30 00:16:30,99.6,23.4,76.6
2021-07-30 00:16:32,99.6,21.9,77.7
2021-07-30 00:16:34,99.6,23.0,76.6
2021-07-30 00:16:36,99.6,52.9,47.1
2021-07-30 00:16:38,99.6,54.4,45.6
2021-07-30 00:16:40,99.6,55.5,44.5
2021-07-30 00:16:42,98.9,82.8,18.2
2021-07-30 00:16:44,76.6,56.2,20.4
2021-07-30 00:16:46,96.4,58.4,38.0
2021-07-30 00:16:48,99.6,62.0,37.6
2021-07-30 00:16:50,83.6,38.7,44.9
2021-07-30 00:16:52,99.6,63.5,35.8
2021-07-30 00:16:54,98.9,87.2,12.8
2021-07-30 00:16:56,100,86.1,13.9
2021-07-30 00:16:58,99.3,82.8,17.2
2021-07-30 00:17:00,78.1,50,28.1
2021-07-30 00:17:02,96.0,53.3,43.1
2021-07-30 00:17:04,79.9,26.3,53.3
2021-07-30 00:17:06,93.4,28.5,65.3
2021-07-30 00:17:08,99.6,55.5,44.2
2021-07-30 00:17:10,99.6,54.0,46.4
2021-07-30 00:17:12,99.6,58.0,42.0
2021-07-30 00:17:14,99.6,59.9,40.1
2021-07-30 00:17:16,99.6,60.9,39.1
2021-07-30 00:17:18,98.5,57.7,42.3
2021-07-30 00:17:20,77.4,29.2,48.2
2021-07-30 00:17:22,92.3,27.0,65.3
2021-07-30 00:17:24,97.8,25.9,71.9
2021-07-30 00:17:26,99.6,23.7,76.3
2021-07-30 00:17:28,94.9,12.8,82.5
