"Time","unused terminations","success termination","immediate termination"
2021-07-30 00:49:30,,,
2021-07-30 00:49:35,,,
2021-07-30 00:49:40,,,
2021-07-30 00:49:45,,,
2021-07-30 00:49:50,,,
2021-07-30 00:49:55,,,
2021-07-30 00:50:00,,,
2021-07-30 00:50:05,,,
2021-07-30 00:50:10,,,
2021-07-30 00:50:15,,,
2021-07-30 00:50:20,,,
2021-07-30 00:50:25,,,
2021-07-30 00:50:30,,,
2021-07-30 00:50:35,,,
2021-07-30 00:50:40,,,
2021-07-30 00:50:45,,,
2021-07-30 00:50:50,,,
2021-07-30 00:50:55,,,
2021-07-30 00:51:00,,,
2021-07-30 00:51:05,,,
2021-07-30 00:51:10,,,
2021-07-30 00:51:15,,,
2021-07-30 00:51:20,,,
2021-07-30 00:51:25,,,
2021-07-30 00:51:30,,,
2021-07-30 00:51:35,,,
2021-07-30 00:51:40,,,
2021-07-30 00:51:45,,,
2021-07-30 00:51:50,,,
2021-07-30 00:51:55,,,
2021-07-30 00:52:00,,,
2021-07-30 00:52:05,,,
2021-07-30 00:52:10,,,
2021-07-30 00:52:15,,,
2021-07-30 00:52:20,,,
2021-07-30 00:52:25,,,
2021-07-30 00:52:30,,,
2021-07-30 00:52:35,,,
2021-07-30 00:52:40,,,
2021-07-30 00:52:45,,,
2021-07-30 00:52:50,,,
2021-07-30 00:52:55,,,
2021-07-30 00:53:00,,,
2021-07-30 00:53:05,,,
2021-07-30 00:53:10,,,
2021-07-30 00:53:15,,,
2021-07-30 00:53:20,,,
2021-07-30 00:53:25,,,
2021-07-30 00:53:30,,,
2021-07-30 00:53:35,,,
2021-07-30 00:53:40,,,
2021-07-30 00:53:45,,,
2021-07-30 00:53:50,,,
2021-07-30 00:53:55,,,
2021-07-30 00:54:00,,,
2021-07-30 00:54:05,,,
2021-07-30 00:54:10,,,
2021-07-30 00:54:15,,,
2021-07-30 00:54:20,,,
2021-07-30 00:54:25,,,
2021-07-30 00:54:30,,,
2021-07-30 00:54:35,,,
2021-07-30 00:54:40,,,
2021-07-30 00:54:45,,,
2021-07-30 00:54:50,,,
2021-07-30 00:54:55,,,
2021-07-30 00:55:00,,,
2021-07-30 00:55:05,,,
2021-07-30 00:55:10,,,
2021-07-30 00:55:15,,,
2021-07-30 00:55:20,,,
2021-07-30 00:55:25,,,
2021-07-30 00:55:30,,,
2021-07-30 00:55:35,,,
2021-07-30 00:55:40,,,
2021-07-30 00:55:45,,,
2021-07-30 00:55:50,,,
2021-07-30 00:55:55,0,0,0
2021-07-30 00:56:00,0,0,0
2021-07-30 00:56:05,0,0,0
2021-07-30 00:56:10,0,0,0
2021-07-30 00:56:15,0,0,4
2021-07-30 00:56:20,0,0,16
2021-07-30 00:56:25,0,0,27
2021-07-30 00:56:30,0,0,36
2021-07-30 00:56:35,0,0,52
2021-07-30 00:56:40,0,0,59
2021-07-30 00:56:45,0,0,69
2021-07-30 00:56:50,0,0,76
2021-07-30 00:56:55,0,0,87
2021-07-30 00:57:00,0,0,96
2021-07-30 00:57:05,0,0,109
2021-07-30 00:57:10,0,0,123
2021-07-30 00:57:15,0,0,131
2021-07-30 00:57:20,0,0,138
2021-07-30 00:57:25,0,0,148
2021-07-30 00:57:30,0,0,155
2021-07-30 00:57:35,0,0,198
2021-07-30 00:57:40,0,0,205
2021-07-30 00:57:45,0,0,218
2021-07-30 00:57:50,0,0,228
2021-07-30 00:57:55,0,0,238
2021-07-30 00:58:00,0,0,248
2021-07-30 00:58:05,0,0,259
2021-07-30 00:58:10,0,0,275
2021-07-30 00:58:15,0,0,279
2021-07-30 00:58:20,0,0,288
2021-07-30 00:58:25,0,0,293
2021-07-30 00:58:30,0,0,300
2021-07-30 00:58:35,0,0,315
2021-07-30 00:58:40,0,0,335
2021-07-30 00:58:45,0,0,352
2021-07-30 00:58:50,0,0,363
2021-07-30 00:58:55,0,0,370
2021-07-30 00:59:00,0,0,383
2021-07-30 00:59:05,0,0,396
2021-07-30 00:59:10,0,0,413
2021-07-30 00:59:15,0,0,425
2021-07-30 00:59:20,0,0,451
2021-07-30 00:59:25,0,0,466
2021-07-30 00:59:30,0,0,480
2021-07-30 00:59:35,0,0,488
2021-07-30 00:59:40,0,0,499
2021-07-30 00:59:45,0,0,533
2021-07-30 00:59:50,0,0,547
2021-07-30 00:59:55,0,0,561
2021-07-30 01:00:00,0,0,645
2021-07-30 01:00:05,0,0,654
2021-07-30 01:00:10,0,0,732
2021-07-30 01:00:15,0,0,738
2021-07-30 01:00:20,0,0,738
2021-07-30 01:00:25,0,0,798
2021-07-30 01:00:30,0,0,821
2021-07-30 01:00:35,0,0,823
2021-07-30 01:00:40,0,0,823
2021-07-30 01:00:45,0,0,827
2021-07-30 01:00:50,0,0,876
2021-07-30 01:00:55,0,0,881
2021-07-30 01:01:00,0,0,886
2021-07-30 01:01:05,0,0,893
2021-07-30 01:01:10,0,0,900
2021-07-30 01:01:15,0,0,967
2021-07-30 01:01:20,0,0,981
2021-07-30 01:01:25,0,0,992
2021-07-30 01:01:30,0,0,1008
2021-07-30 01:01:35,0,0,1024
2021-07-30 01:01:40,0,0,1039
2021-07-30 01:01:45,0,0,1047
2021-07-30 01:01:50,0,0,1117
2021-07-30 01:01:55,0,0,1166
2021-07-30 01:02:00,0,0,1208
2021-07-30 01:02:05,0,0,1212
2021-07-30 01:02:10,0,0,1214
2021-07-30 01:02:15,0,0,1223
2021-07-30 01:02:20,0,0,1266
2021-07-30 01:02:25,0,0,1303
2021-07-30 01:02:30,0,0,1323
