"Time","running","pending","completed"
2021-07-30 00:55:58,0,1328,12
2021-07-30 00:56:00,11,3148,34
2021-07-30 00:56:02,1,4955,85
2021-07-30 00:56:04,130,6568,185
2021-07-30 00:56:06,224,8164,306
2021-07-30 00:56:08,281,9835,481
2021-07-30 00:56:10,347,11581,644
2021-07-30 00:56:12,418,13172,800
2021-07-30 00:56:14,477,14893,970
2021-07-30 00:56:16,538,16459,1152
2021-07-30 00:56:18,521,18073,1308
2021-07-30 00:56:20,521,19833,1455
2021-07-30 00:56:22,543,21562,1622
2021-07-30 00:56:24,545,23172,1799
2021-07-30 00:56:26,530,24911,1939
2021-07-30 00:56:28,528,26588,2109
2021-07-30 00:56:30,549,28296,2253
2021-07-30 00:56:32,549,30160,2403
2021-07-30 00:56:34,551,31834,2576
2021-07-30 00:56:36,525,33529,2732
2021-07-30 00:56:38,524,35222,2902
2021-07-30 00:56:40,522,36933,3071
2021-07-30 00:56:42,536,38601,3234
2021-07-30 00:56:44,513,40177,3431
2021-07-30 00:56:46,533,41963,3591
2021-07-30 00:56:48,520,43716,3752
2021-07-30 00:56:50,516,45507,3925
2021-07-30 00:56:52,519,47150,4087
2021-07-30 00:56:54,535,48824,4247
2021-07-30 00:56:56,536,50493,4415
2021-07-30 00:56:58,491,52235,4582
2021-07-30 00:57:00,486,53950,4697
2021-07-30 00:57:02,509,55618,4869
2021-07-30 00:57:04,488,57385,5036
2021-07-30 00:57:06,486,59117,5208
2021-07-30 00:57:08,486,60801,5367
2021-07-30 00:57:10,472,62523,5520
2021-07-30 00:57:12,467,64137,5700
2021-07-30 00:57:14,474,65803,5861
2021-07-30 00:57:16,472,67455,6022
2021-07-30 00:57:18,507,69073,6182
2021-07-30 00:57:20,517,70746,6347
2021-07-30 00:57:22,494,72385,6508
2021-07-30 00:57:24,488,73941,6667
2021-07-30 00:57:26,505,75583,6824
2021-07-30 00:57:28,521,77196,6993
2021-07-30 00:57:30,504,78865,7142
2021-07-30 00:57:32,521,80456,7264
2021-07-30 00:57:34,505,82170,7440
2021-07-30 00:57:36,495,83834,7591
2021-07-30 00:57:38,449,85584,7756
2021-07-30 00:57:40,443,87266,7902
2021-07-30 00:57:42,432,88944,8049
2021-07-30 00:57:44,412,90591,8229
2021-07-30 00:57:46,452,92226,8377
2021-07-30 00:57:48,456,93862,8544
2021-07-30 00:57:50,474,93956,8701
2021-07-30 00:57:52,457,93807,8873
2021-07-30 00:57:54,479,93651,9050
2021-07-30 00:57:56,468,93515,9194
2021-07-30 00:57:58,481,93270,9352
2021-07-30 00:58:00,485,93109,9520
2021-07-30 00:58:02,471,93055,9637
2021-07-30 00:58:04,455,92922,9780
2021-07-30 00:58:06,464,92766,9931
2021-07-30 00:58:08,451,92539,10088
2021-07-30 00:58:10,441,92390,10255
2021-07-30 00:58:12,469,92252,10411
2021-07-30 00:58:14,448,92093,10575
2021-07-30 00:58:16,477,91949,10717
2021-07-30 00:58:18,477,91807,10887
2021-07-30 00:58:20,476,91654,11055
2021-07-30 00:58:22,462,91502,11198
2021-07-30 00:58:24,460,91251,11366
2021-07-30 00:58:26,485,91106,11527
2021-07-30 00:58:28,474,90963,11708
2021-07-30 00:58:30,489,90808,11873
2021-07-30 00:58:32,473,90666,12011
2021-07-30 00:58:34,493,90508,12141
2021-07-30 00:58:36,473,90359,12291
2021-07-30 00:58:38,473,90206,12442
2021-07-30 00:58:40,472,90070,12608
2021-07-30 00:58:42,470,89938,12751
2021-07-30 00:58:44,449,89801,12925
2021-07-30 00:58:46,466,89643,13079
2021-07-30 00:58:48,443,89404,13229
2021-07-30 00:58:50,466,89325,13386
2021-07-30 00:58:52,476,89191,13524
2021-07-30 00:58:54,480,88926,13691
2021-07-30 00:58:56,495,88758,13855
2021-07-30 00:58:58,507,88607,14011
2021-07-30 00:59:00,543,88456,14165
2021-07-30 00:59:02,545,88321,14297
2021-07-30 00:59:04,525,88158,14438
2021-07-30 00:59:06,512,88010,14569
2021-07-30 00:59:08,526,87850,14715
2021-07-30 00:59:10,520,87706,14877
2021-07-30 00:59:12,543,87558,15043
2021-07-30 00:59:14,521,87413,15183
2021-07-30 00:59:16,525,87268,15339
2021-07-30 00:59:18,520,87115,15494
2021-07-30 00:59:20,514,87010,15627
2021-07-30 00:59:22,496,86863,15769
2021-07-30 00:59:24,510,86709,15932
2021-07-30 00:59:26,485,86570,16067
2021-07-30 00:59:28,504,86421,16217
2021-07-30 00:59:30,488,86281,16379
2021-07-30 00:59:32,475,86128,16525
2021-07-30 00:59:34,491,85998,16679
2021-07-30 00:59:36,489,85827,16788
2021-07-30 00:59:38,501,85674,16925
2021-07-30 00:59:40,481,85527,17096
2021-07-30 00:59:42,477,85364,17256
2021-07-30 00:59:44,473,85211,17392
2021-07-30 00:59:46,437,85111,17559
2021-07-30 00:59:48,426,84971,17709
2021-07-30 00:59:50,448,84813,17877
2021-07-30 00:59:52,434,84678,18010
2021-07-30 00:59:54,404,84684,18160
2021-07-30 00:59:56,310,84560,18257
2021-07-30 00:59:58,258,84413,18408
2021-07-30 01:00:00,253,84527,18530
