EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",6103946e9d4970278278a9a4,"[{""GlobalJobId"":""login04_osgconnect_net#12145210_0#1624764893_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1816386577,""CompletionDate"":1624774556,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3347601,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9436.083449,""JobPrio"":618,""JobStartDate"":1624837337,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1645064,""MemoryUsage"":1607.5068359375,""JobSimSubmitDate"":1627624639.594153,""JobSimStartDate"":1627625929.175788,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11294143_1409#1624771269_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.995899191,""CompletionDate"":1624777243,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5609.706571,""JobPrio"":0,""JobStartDate"":1624843852,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1351196,""MemoryUsage"":1320.5263671875,""JobSimSubmitDate"":1627624639.681922,""JobSimStartDate"":1627625929.202237,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627625923.5049236,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",6103946e17d3eed8360faeb4,"[{""GlobalJobId"":""login04_osgconnect_net#12172023_0#1624777457_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1801768536,""CompletionDate"":1624787989,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3335704,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10032.491369,""JobPrio"":616,""JobStartDate"":1624850174,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1546136,""MemoryUsage"":1510.8974609375,""JobSimSubmitDate"":1627624639.773321,""JobSimStartDate"":1627625930.368441,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12172332_0#1624777694_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.4073036866,""CompletionDate"":1624788505,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3311277,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10423.591788,""JobPrio"":616,""JobStartDate"":1624850299,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1630140,""MemoryUsage"":1592.9326171875,""JobSimSubmitDate"":1627624639.773375,""JobSimStartDate"":1627625930.449402,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627625921.5214527,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",6103946e9d4970278278a9a5,"[{""GlobalJobId"":""login04_osgconnect_net#12173207_0#1624778211_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1576547616,""CompletionDate"":1624788365,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3334116,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9913.150309,""JobPrio"":616,""JobStartDate"":1624850669,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1641196,""MemoryUsage"":1603.7294921875,""JobSimSubmitDate"":1627624639.773409,""JobSimStartDate"":1627625930.469306,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12172026_0#1624777458_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0432634005,""CompletionDate"":1624787957,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3342467,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9467.372818,""JobPrio"":616,""JobStartDate"":1624850707,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1527084,""MemoryUsage"":1492.2919921875,""JobSimSubmitDate"":1627624639.773424,""JobSimStartDate"":1627625930.496955,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627625921.6915581,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",6103946e17d3eed8360faeb5,"[{""GlobalJobId"":""login04_osgconnect_net#12172028_0#1624777458_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2300525438,""CompletionDate"":1624787928,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3342123,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9437.791568,""JobPrio"":616,""JobStartDate"":1624850708,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1621512,""MemoryUsage"":1584.5068359375,""JobSimSubmitDate"":1627624639.773437,""JobSimStartDate"":1627625930.515096,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12172957_0#1624778084_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.158273796,""CompletionDate"":1624788372,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3339014,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9512.479413,""JobPrio"":616,""JobStartDate"":1624851074,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1624108,""MemoryUsage"":1587.0419921875,""JobSimSubmitDate"":1627624639.773516,""JobSimStartDate"":1627625930.578275,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627625921.728154,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6103946e17d3eed8360faeb6,"[{""GlobalJobId"":""login04_osgconnect_net#12173210_0#1624778212_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.115965994,""CompletionDate"":1624788675,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3342009,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9689.952215,""JobPrio"":616,""JobStartDate"":1624851203,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1653488,""MemoryUsage"":1615.7333984375,""JobSimSubmitDate"":1627624639.773547,""JobSimStartDate"":1627625930.867369,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12173204_0#1624778211_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1535886279,""CompletionDate"":1624788373,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3359853,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9391.704799,""JobPrio"":616,""JobStartDate"":1624851199,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1564656,""MemoryUsage"":1528.9833984375,""JobSimSubmitDate"":1627624639.773533,""JobSimStartDate"":1627625930.869111,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627625922.3156478,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",6103946e9d4970278278a9a6,"[{""GlobalJobId"":""login05_osgconnect_net#11294143_1408#1624771269_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9938724503,""CompletionDate"":1624776939,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4973.369452,""JobPrio"":0,""JobStartDate"":1624844184,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1357160,""MemoryUsage"":1326.3505859375,""JobSimSubmitDate"":1627624639.702581,""JobSimStartDate"":1627625930.874534,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12173666_0#1624778369_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3674437933,""CompletionDate"":1624788575,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3328000,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9456.970426,""JobPrio"":616,""JobStartDate"":1624851336,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1590264,""MemoryUsage"":1553.9912109375,""JobSimSubmitDate"":1627624639.773576,""JobSimStartDate"":1627625930.911805,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627625922.3134506,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",6103946e9d4970278278a9a7,"[{""GlobalJobId"":""login04_osgconnect_net#12145220_0#1624764894_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1180283048,""CompletionDate"":1624774309,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3357600,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9184.736904,""JobPrio"":618,""JobStartDate"":1624837342,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1579708,""MemoryUsage"":1543.6826171875,""JobSimSubmitDate"":1627624639.598045,""JobSimStartDate"":1627625929.111778,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12191558_0#1624788070_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9840143805,""CompletionDate"":1624800178,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3342824,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10648.155234,""JobPrio"":614,""JobStartDate"":1624861747,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1558244,""MemoryUsage"":1522.7216796875,""JobSimSubmitDate"":1627624639.923975,""JobSimStartDate"":1627625933.756022,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627625922.9262953,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",6103946e9d4970278278a9a8,"[{""GlobalJobId"":""login04_osgconnect_net#12172953_0#1624778084_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1228084964,""CompletionDate"":1624788398,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3344174,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9542.643401,""JobPrio"":616,""JobStartDate"":1624851073,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1726148,""MemoryUsage"":1686.6904296875,""JobSimSubmitDate"":1627624639.773499,""JobSimStartDate"":1627625930.870756,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11295058_155#1624789330_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9636633858,""CompletionDate"":1624795354,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5739.936816,""JobPrio"":0,""JobStartDate"":1624861833,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1344256,""MemoryUsage"":1313.7490234375,""JobSimSubmitDate"":1627624639.93624,""JobSimStartDate"":1627625933.756411,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627625869.2040353,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",6103946e17d3eed8360faeb7,"[{""GlobalJobId"":""login04_osgconnect_net#12173237_0#1624778221_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1562644522,""CompletionDate"":1624788421,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3331438,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9435.201818,""JobPrio"":616,""JobStartDate"":1624851204,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1677364,""MemoryUsage"":1639.0498046875,""JobSimSubmitDate"":1627624639.773562,""JobSimStartDate"":1627625930.637832,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12175973_0#1624779307_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.004179555,""CompletionDate"":1624789747,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3332857,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10100.99625,""JobPrio"":616,""JobStartDate"":1624851864,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1671824,""MemoryUsage"":1633.6396484375,""JobSimSubmitDate"":1627624639.773594,""JobSimStartDate"":1627625930.93634,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627625872.1263537,inuse
DISABLE,2018-08-22 17:53:20,100461200,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6103946e9d4970278278a9a9,[],2,2,131072,131072,compute_haswell,chameleon,0,inactive
