"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627869444559,25,0,0
1627869445321,75,1,8
1627869445690,75,1,8
1627869446157,249,1,8
1627869446475,258,2,14
1627869446687,254,3,17
1627869447162,253,2,19
1627869447678,253,2,19
1627869448169,253,2,19
1627869448681,253,2,19
1627869449704,210,2,62
1627869450696,184,2,88
1627869451710,141,2,131
1627869452724,109,1,164
1627869453700,75,1,198
1627869454333,38,1,235
1627869454722,35,0,239
1627869455242,16,0,258
1627869455596,7,0,267
1627869455775,5,1,268
1627869455904,0,2,272
1627869456064,0,3,271
1627869456260,0,4,270
1627869456462,0,6,268
1627869456733,0,3,271
1627869457231,1,3,270
1627869457745,0,3,271
1627869458232,0,3,271
1627869458556,0,1,273
1627869458687,1,1,272
1627869458858,0,2,272
1627869459023,0,3,271
1627869459217,0,4,270
1627869459417,3,1,270
1627869459770,0,0,274
1627869460265,0,0,274
1627869460772,0,0,274
1627869461794,0,0,274
1627869462174,0,0,274
1627869462399,0,1,273
1627869462571,0,2,272
1627869462759,0,3,271
1627869462967,0,4,270
1627869463159,0,5,269
1627869463343,0,5,269
1627869463513,0,6,268
1627869463797,0,5,269
1627869464292,0,5,269
1627869464806,0,5,269
1627869465292,0,5,269
1627869465822,0,5,269
1627869466299,0,5,269
1627869466619,0,6,268
1627869466840,1,6,267
1627869467020,0,7,267
1627869467180,0,7,267
1627869467378,0,7,267
1627869467827,0,5,269
1627869468326,0,5,269
1627869468856,0,5,269
1627869469334,0,5,269
1627869469847,0,5,269
1627869470347,0,4,270
1627869470860,3,0,271
1627869471360,0,0,274
1627869471883,0,0,274
1627869472354,1,0,273
1627869472526,0,1,273
1627869472883,0,1,273
1627869473353,0,1,273
1627869473876,0,1,273
1627869474364,0,1,273
1627869474678,0,2,272
1627869474815,0,3,271
1627869474945,0,3,271
1627869475127,0,4,270
1627869475310,0,5,269
1627869475506,2,3,269
1627869475903,0,1,273
1627869476398,0,1,273
1627869476987,1,1,272
1627869477460,0,2,272
1627869477905,0,1,273
1627869478409,0,1,273
1627869478925,0,1,273
1627869479402,1,1,272
1627869479923,0,1,273
1627869480409,0,1,273
1627869480922,0,1,273
1627869481413,0,1,273
1627869481933,0,1,273
1627869482431,0,1,273
1627869482749,0,2,272
1627869482963,0,3,271
1627869483154,0,3,271
1627869483336,0,4,270
1627869483507,0,5,269
1627869483726,3,2,269
1627869483964,0,1,273
1627869484762,0,1,273
1627869484968,0,2,272
1627869485125,0,3,271
1627869485277,0,4,270
