"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-30 00:55:58,9.71,0.529,4.23
2021-07-30 00:56:00,4.74,1.09,4.01
2021-07-30 00:56:02,6.57,1.09,5.47
2021-07-30 00:56:04,27.7,0.730,27.0
2021-07-30 00:56:06,41.6,0.365,40.9
2021-07-30 00:56:08,55.5,1.09,54.4
2021-07-30 00:56:10,67.2,1.09,65.7
2021-07-30 00:56:12,77.4,0.730,76.3
2021-07-30 00:56:14,92.0,0,91.6
2021-07-30 00:56:16,100,2.19,97.8
2021-07-30 00:56:18,99.6,1.82,98.2
2021-07-30 00:56:20,99.6,2.92,97.1
2021-07-30 00:56:22,100,1.82,98.2
2021-07-30 00:56:24,98.9,0,99.6
2021-07-30 00:56:26,99.6,0.730,99.3
2021-07-30 00:56:28,99.3,1.82,97.8
2021-07-30 00:56:30,99.6,0.365,99.6
2021-07-30 00:56:32,99.6,0.365,99.6
2021-07-30 00:56:34,99.6,0.365,99.6
2021-07-30 00:56:36,99.6,1.82,98.2
2021-07-30 00:56:38,99.6,0.730,98.9
2021-07-30 00:56:40,99.6,2.92,97.1
2021-07-30 00:56:42,99.6,2.92,97.1
2021-07-30 00:56:44,99.6,4.38,95.3
2021-07-30 00:56:46,100,2.92,97.1
2021-07-30 00:56:48,99.6,4.01,96.0
2021-07-30 00:56:50,99.6,4.01,96.0
2021-07-30 00:56:52,99.6,4.38,95.6
2021-07-30 00:56:54,99.6,4.38,95.6
2021-07-30 00:56:56,100,3.28,96.7
2021-07-30 00:56:58,99.6,8.03,92.0
2021-07-30 00:57:00,99.6,9.49,90.5
2021-07-30 00:57:02,99.6,8.03,91.6
2021-07-30 00:57:04,100,8.76,91.2
2021-07-30 00:57:06,99.3,9.12,90.5
2021-07-30 00:57:08,99.6,9.85,89.8
2021-07-30 00:57:10,99.6,11.7,88.3
2021-07-30 00:57:12,99.6,12.8,87.2
2021-07-30 00:57:14,99.6,11.7,88.3
2021-07-30 00:57:16,99.6,13.1,86.9
2021-07-30 00:57:18,98.5,8.76,91.2
2021-07-30 00:57:20,100,7.66,92.3
2021-07-30 00:57:22,99.3,9.49,90.5
2021-07-30 00:57:24,99.6,10.6,89.4
2021-07-30 00:57:26,99.3,9.49,90.1
2021-07-30 00:57:28,99.6,6.93,93.1
2021-07-30 00:57:30,99.6,6.93,93.1
2021-07-30 00:57:32,99.6,7.66,92.3
2021-07-30 00:57:34,99.3,8.39,91.6
2021-07-30 00:57:36,100,10.9,89.1
2021-07-30 00:57:38,99.6,19.7,79.9
2021-07-30 00:57:40,100,20.8,79.2
2021-07-30 00:57:42,100,19.3,80.7
2021-07-30 00:57:44,98.9,16.4,83.2
2021-07-30 00:57:46,99.6,13.5,86.5
2021-07-30 00:57:48,99.6,15.0,85.0
2021-07-30 00:57:50,99.3,13.5,86.5
2021-07-30 00:57:52,99.6,14.6,85.4
2021-07-30 00:57:54,99.3,13.5,86.5
2021-07-30 00:57:56,99.6,14.6,85.4
2021-07-30 00:57:58,99.6,13.5,86.1
2021-07-30 00:58:00,99.6,13.1,86.9
2021-07-30 00:58:02,99.6,14.6,85.0
2021-07-30 00:58:04,99.6,15.0,85.0
2021-07-30 00:58:06,99.3,14.6,83.9
2021-07-30 00:58:08,99.6,14.2,85.8
2021-07-30 00:58:10,100,15.3,84.7
2021-07-30 00:58:12,100,16.1,83.9
2021-07-30 00:58:14,99.3,15.3,84.3
2021-07-30 00:58:16,99.6,15.0,84.7
2021-07-30 00:58:18,99.6,15.0,85.0
2021-07-30 00:58:20,99.6,15.7,84.3
2021-07-30 00:58:22,99.3,15.3,84.3
2021-07-30 00:58:24,99.6,15.0,85.0
2021-07-30 00:58:26,98.5,13.1,85.4
2021-07-30 00:58:28,99.6,13.1,86.9
2021-07-30 00:58:30,99.6,12.8,87.2
2021-07-30 00:58:32,99.6,14.2,85.4
2021-07-30 00:58:34,100,12.4,87.6
2021-07-30 00:58:36,99.6,11.3,87.2
2021-07-30 00:58:38,100,13.1,86.9
2021-07-30 00:58:40,99.3,14.2,85.8
2021-07-30 00:58:42,99.6,16.8,83.2
2021-07-30 00:58:44,99.6,19.7,80.3
2021-07-30 00:58:46,99.6,17.5,82.1
2021-07-30 00:58:48,99.3,19.0,80.7
2021-07-30 00:58:50,99.6,17.2,82.5
2021-07-30 00:58:52,99.6,16.1,83.6
2021-07-30 00:58:54,99.3,14.6,84.7
2021-07-30 00:58:56,99.3,11.7,88.0
2021-07-30 00:58:58,98.2,5.47,92.3
2021-07-30 00:59:00,99.3,4.38,95.6
2021-07-30 00:59:02,99.6,5.84,93.8
2021-07-30 00:59:04,99.6,5.47,94.2
2021-07-30 00:59:06,97.8,2.92,95.3
2021-07-30 00:59:08,99.3,4.38,95.6
2021-07-30 00:59:10,99.6,5.47,94.2
2021-07-30 00:59:12,100,5.11,94.9
2021-07-30 00:59:14,99.3,4.01,95.6
2021-07-30 00:59:16,99.6,6.20,93.4
2021-07-30 00:59:18,99.6,6.57,93.4
2021-07-30 00:59:20,99.6,11.7,88.3
2021-07-30 00:59:22,99.6,11.7,88.3
2021-07-30 00:59:24,99.6,9.85,89.8
2021-07-30 00:59:26,99.6,12.4,87.6
2021-07-30 00:59:28,99.3,10.9,89.1
2021-07-30 00:59:30,99.3,13.9,86.1
2021-07-30 00:59:32,99.6,13.5,86.5
