"Time","unused terminations","success termination","immediate termination"
2021-07-29 23:39:25,,,
2021-07-29 23:39:30,,,
2021-07-29 23:39:35,,,
2021-07-29 23:39:40,,,
2021-07-29 23:39:45,,,
2021-07-29 23:39:50,,,
2021-07-29 23:39:55,,,
2021-07-29 23:40:00,,,
2021-07-29 23:40:05,,,
2021-07-29 23:40:10,,,
2021-07-29 23:40:15,,,
2021-07-29 23:40:20,,,
2021-07-29 23:40:25,,,
2021-07-29 23:40:30,,,
2021-07-29 23:40:35,,,
2021-07-29 23:40:40,,,
2021-07-29 23:40:45,,,
2021-07-29 23:40:50,,,
2021-07-29 23:40:55,,,
2021-07-29 23:41:00,,,
2021-07-29 23:41:05,,,
2021-07-29 23:41:10,,,
2021-07-29 23:41:15,,,
2021-07-29 23:41:20,,,
2021-07-29 23:41:25,,,
2021-07-29 23:41:30,,,
2021-07-29 23:41:35,,,
2021-07-29 23:41:40,,,
2021-07-29 23:41:45,,,
2021-07-29 23:41:50,,,
2021-07-29 23:41:55,,,
2021-07-29 23:42:00,,,
2021-07-29 23:42:05,,,
2021-07-29 23:42:10,,,
2021-07-29 23:42:15,,,
2021-07-29 23:42:20,,,
2021-07-29 23:42:25,,,
2021-07-29 23:42:30,,,
2021-07-29 23:42:35,,,
2021-07-29 23:42:40,,,
2021-07-29 23:42:45,,,
2021-07-29 23:42:50,,,
2021-07-29 23:42:55,,,
2021-07-29 23:43:00,,,
2021-07-29 23:43:05,,,
2021-07-29 23:43:10,,,
2021-07-29 23:43:15,,,
2021-07-29 23:43:20,,,
2021-07-29 23:43:25,,,
2021-07-29 23:43:30,,,
2021-07-29 23:43:35,,,
2021-07-29 23:43:40,,,
2021-07-29 23:43:45,,,
2021-07-29 23:43:50,,,
2021-07-29 23:43:55,,,
2021-07-29 23:44:00,,,
2021-07-29 23:44:05,,,
2021-07-29 23:44:10,,,
2021-07-29 23:44:15,,,
2021-07-29 23:44:20,,,
2021-07-29 23:44:25,,,
2021-07-29 23:44:30,,,
2021-07-29 23:44:35,,,
2021-07-29 23:44:40,,,
2021-07-29 23:44:45,,,
2021-07-29 23:44:50,,,
2021-07-29 23:44:55,,,
2021-07-29 23:45:00,,,
2021-07-29 23:45:05,,,
2021-07-29 23:45:10,,,
2021-07-29 23:45:15,,,
2021-07-29 23:45:20,,,
2021-07-29 23:45:25,,,
2021-07-29 23:45:30,,,
2021-07-29 23:45:35,,,
2021-07-29 23:45:40,,,
2021-07-29 23:45:45,,,
2021-07-29 23:45:50,,,
2021-07-29 23:45:55,,,
2021-07-29 23:46:00,,,
2021-07-29 23:46:05,,,
2021-07-29 23:46:10,,,
2021-07-29 23:46:15,,,
2021-07-29 23:46:20,,,
2021-07-29 23:46:25,,,
2021-07-29 23:46:30,,,
2021-07-29 23:46:35,,,
2021-07-29 23:46:40,,,
2021-07-29 23:46:45,,,
2021-07-29 23:46:50,,,
2021-07-29 23:46:55,,,
2021-07-29 23:47:00,,,
2021-07-29 23:47:05,,,
2021-07-29 23:47:10,,,
2021-07-29 23:47:15,,,
2021-07-29 23:47:20,,,
2021-07-29 23:47:25,,,
2021-07-29 23:47:30,,,
2021-07-29 23:47:35,,,
2021-07-29 23:47:40,,,
2021-07-29 23:47:45,,,
2021-07-29 23:47:50,,,
2021-07-29 23:47:55,,,
2021-07-29 23:48:00,,,
2021-07-29 23:48:05,,,
2021-07-29 23:48:10,,,
2021-07-29 23:48:15,,,
2021-07-29 23:48:20,,,
2021-07-29 23:48:25,,,
2021-07-29 23:48:30,,,
2021-07-29 23:48:35,,,
2021-07-29 23:48:40,,,
2021-07-29 23:48:45,,,
2021-07-29 23:48:50,,,
2021-07-29 23:48:55,,,
2021-07-29 23:49:00,,,
2021-07-29 23:49:05,,,
2021-07-29 23:49:10,,,
2021-07-29 23:49:15,,,
2021-07-29 23:49:20,,,
2021-07-29 23:49:25,,,
2021-07-29 23:49:30,,,
2021-07-29 23:49:35,,,
2021-07-29 23:49:40,,,
2021-07-29 23:49:45,,,
2021-07-29 23:49:50,,,
2021-07-29 23:49:55,,,
2021-07-29 23:50:00,,,
2021-07-29 23:50:05,,,
2021-07-29 23:50:10,,,
2021-07-29 23:50:15,,,
2021-07-29 23:50:20,,,
2021-07-29 23:50:25,,,
2021-07-29 23:50:30,,,
2021-07-29 23:50:35,,,
2021-07-29 23:50:40,,,
2021-07-29 23:50:45,,,
2021-07-29 23:50:50,,,
2021-07-29 23:50:55,,,
2021-07-29 23:51:00,0,0,0
2021-07-29 23:51:05,0,0,0
2021-07-29 23:51:10,0,0,0
2021-07-29 23:51:15,0,0,0
2021-07-29 23:51:20,0,0,10
2021-07-29 23:51:25,0,0,19
2021-07-29 23:51:30,0,0,29
2021-07-29 23:51:35,0,0,37
2021-07-29 23:51:40,0,0,46
2021-07-29 23:51:45,0,0,59
2021-07-29 23:51:50,0,0,70
2021-07-29 23:51:55,0,0,78
2021-07-29 23:52:00,0,0,88
2021-07-29 23:52:05,0,0,99
2021-07-29 23:52:10,0,0,111
2021-07-29 23:52:15,0,0,126
2021-07-29 23:52:20,0,0,136
2021-07-29 23:52:25,0,0,145
2021-07-29 23:52:30,0,0,154
2021-07-29 23:52:35,0,0,160
2021-07-29 23:52:40,0,0,203
2021-07-29 23:52:45,0,0,212
2021-07-29 23:52:50,0,0,222
2021-07-29 23:52:55,0,0,232
2021-07-29 23:53:00,0,0,241
2021-07-29 23:53:05,0,0,252
2021-07-29 23:53:10,0,0,263
2021-07-29 23:53:15,0,0,279
2021-07-29 23:53:20,0,0,287
2021-07-29 23:53:25,0,0,293
2021-07-29 23:53:30,0,0,298
2021-07-29 23:53:35,0,0,305
2021-07-29 23:53:40,0,0,316
2021-07-29 23:53:45,0,0,336
2021-07-29 23:53:50,0,0,352
2021-07-29 23:53:55,0,0,362
2021-07-29 23:54:00,0,0,370
2021-07-29 23:54:05,0,0,377
2021-07-29 23:54:10,0,0,389
2021-07-29 23:54:15,0,0,402
2021-07-29 23:54:20,0,0,415
2021-07-29 23:54:25,0,0,441
2021-07-29 23:54:30,0,0,455
2021-07-29 23:54:35,0,0,470
2021-07-29 23:54:40,0,0,478
2021-07-29 23:54:45,0,0,491
2021-07-29 23:54:50,0,0,523
2021-07-29 23:54:55,0,0,535
2021-07-29 23:55:00,0,0,551
2021-07-29 23:55:05,0,0,638
2021-07-29 23:55:10,0,0,641
2021-07-29 23:55:15,0,0,716
2021-07-29 23:55:20,0,0,725
2021-07-29 23:55:25,0,0,725
2021-07-29 23:55:30,0,0,791
2021-07-29 23:55:35,0,0,814
2021-07-29 23:55:40,0,0,818
2021-07-29 23:55:45,0,0,818
2021-07-29 23:55:50,0,0,826
2021-07-29 23:55:55,0,0,877
2021-07-29 23:56:00,0,0,880
2021-07-29 23:56:05,0,0,889
2021-07-29 23:56:10,0,0,896
2021-07-29 23:56:15,0,0,903
2021-07-29 23:56:20,0,0,967
2021-07-29 23:56:25,0,0,984
2021-07-29 23:56:30,0,0,996
2021-07-29 23:56:35,0,0,1015
2021-07-29 23:56:40,0,0,1031
2021-07-29 23:56:45,0,0,1050
2021-07-29 23:56:50,0,0,1058
2021-07-29 23:56:55,0,0,1132
2021-07-29 23:57:00,0,0,1176
2021-07-29 23:57:05,0,0,1211
2021-07-29 23:57:10,0,0,1211
2021-07-29 23:57:15,0,0,1213
2021-07-29 23:57:20,0,0,1227
2021-07-29 23:57:25,0,0,1283
2021-07-29 23:57:30,0,0,1316
2021-07-29 23:57:35,0,0,1338
2021-07-29 23:57:40,0,0,1397
2021-07-29 23:57:45,0,0,1434
2021-07-29 23:57:50,0,0,1474
2021-07-29 23:57:55,0,0,1505
2021-07-29 23:58:00,0,0,1505
2021-07-29 23:58:05,0,0,1539
2021-07-29 23:58:10,0,0,1550
2021-07-29 23:58:15,0,0,1563
2021-07-29 23:58:20,0,0,1574
2021-07-29 23:58:25,0,0,1574
2021-07-29 23:58:30,0,0,1580
2021-07-29 23:58:35,0,0,1582
2021-07-29 23:58:40,0,0,1616
2021-07-29 23:58:45,0,0,1623
2021-07-29 23:58:50,0,0,1651
2021-07-29 23:58:55,0,0,1704
2021-07-29 23:59:00,0,0,1704
2021-07-29 23:59:05,0,0,1704
2021-07-29 23:59:10,0,0,1730
2021-07-29 23:59:15,0,0,1743
2021-07-29 23:59:20,0,0,1763
2021-07-29 23:59:25,0,0,1777
2021-07-29 23:59:30,0,0,1790
2021-07-29 23:59:35,0,0,1790
2021-07-29 23:59:40,0,0,1790
2021-07-29 23:59:45,0,0,1798
2021-07-29 23:59:50,0,0,1805
2021-07-29 23:59:55,0,0,1815
2021-07-30 00:00:00,0,0,1820
2021-07-30 00:00:05,0,0,1828
2021-07-30 00:00:10,0,0,1836
2021-07-30 00:00:15,0,0,1843
2021-07-30 00:00:20,0,0,1848
2021-07-30 00:00:25,0,0,1858
2021-07-30 00:00:30,0,0,1872
2021-07-30 00:00:35,0,0,1886
2021-07-30 00:00:40,0,0,1909
2021-07-30 00:00:45,0,0,1928
2021-07-30 00:00:50,0,0,1949
2021-07-30 00:00:55,0,0,1949
2021-07-30 00:01:00,0,0,1953
2021-07-30 00:01:05,0,0,1962
2021-07-30 00:01:10,0,0,1970
2021-07-30 00:01:15,0,0,2000
2021-07-30 00:01:20,0,0,2027
2021-07-30 00:01:25,0,0,2038
2021-07-30 00:01:30,0,0,2043
2021-07-30 00:01:35,0,0,2049
2021-07-30 00:01:40,0,0,2059
2021-07-30 00:01:45,0,0,2063
2021-07-30 00:01:50,0,0,2068
2021-07-30 00:01:55,0,0,2079
2021-07-30 00:02:00,0,0,2111
2021-07-30 00:02:05,0,0,2135
2021-07-30 00:02:10,0,0,2143
2021-07-30 00:02:15,0,0,2151
2021-07-30 00:02:20,0,0,2155
2021-07-30 00:02:25,0,0,2170
2021-07-30 00:02:30,0,0,2198
2021-07-30 00:02:35,0,0,2220
2021-07-30 00:02:40,0,0,2224
2021-07-30 00:02:45,0,0,2235
2021-07-30 00:02:50,0,0,2246
2021-07-30 00:02:55,0,0,2254
2021-07-30 00:03:00,0,0,2262
2021-07-30 00:03:05,0,0,2276
2021-07-30 00:03:10,0,0,2295
2021-07-30 00:03:15,0,0,2306
2021-07-30 00:03:20,0,0,2342
2021-07-30 00:03:25,0,0,2354
