EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",610385373e1640bb84a96088,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_693#1624804349_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968117696,""CompletionDate"":1624810206,""CpusProvisioned"":1,""DiskProvisioned"":426313,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5422.096325,""JobPrio"":0,""JobStartDate"":1624866685,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":794384,""MemoryUsage"":776.7646484375,""JobSimSubmitDate"":1627620734.852229,""JobSimStartDate"":1627621714.753304,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12193529_0#1624793827_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0761155324,""CompletionDate"":1624805465,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3329383,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9835.053171,""JobPrio"":614,""JobStartDate"":1624857530,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1754496,""MemoryUsage"":1714.3740234375,""JobSimSubmitDate"":1627620734.675788,""JobSimStartDate"":1627621717.44794,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":4.153483082227269,""WastedCost"":4.153483082227269,""Machine"":null,""action"":""start""}]",2,0,129280,131072,compute_haswell,osg,1627621659.3040762,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",610385373e1640bb84a96089,"[{""GlobalJobId"":""login05_osgconnect_net#11315929_2779#1624818231_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966144905,""CompletionDate"":1624824020,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5211.634881,""JobPrio"":0,""JobStartDate"":1624880710,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1355808,""MemoryUsage"":1325.0302734375,""JobSimSubmitDate"":1627620735.042069,""JobSimStartDate"":1627621718.923977,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11315929_466#1624818229_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9891898044,""CompletionDate"":1624824480,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5627.954705,""JobPrio"":0,""JobStartDate"":1624880754,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1350796,""MemoryUsage"":1320.1357421875,""JobSimSubmitDate"":1627620735.06291,""JobSimStartDate"":1627621719.168173,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627621678.1803696,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",61038537e68f640de7a73c78,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_201#1624804349_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9969397477,""CompletionDate"":1624809703,""CpusProvisioned"":1,""DiskProvisioned"":426313,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5342.509413,""JobPrio"":0,""JobStartDate"":1624866263,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":785508,""MemoryUsage"":768.0966796875,""JobSimSubmitDate"":1627620734.824821,""JobSimStartDate"":1627621715.92268,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12206621_0#1624822015_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1357427908,""CompletionDate"":1624836025,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3334232,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9963.947055,""JobPrio"":613,""JobStartDate"":1624887962,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1587700,""MemoryUsage"":1551.4873046875,""JobSimSubmitDate"":1627620735.093546,""JobSimStartDate"":1627621719.683443,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,129280,131072,compute_haswell,osg,1627621683.2473488,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",610385373e1640bb84a9608a,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_179#1624804349_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9904942862,""CompletionDate"":1624809661,""CpusProvisioned"":1,""DiskProvisioned"":426313,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5304.277081,""JobPrio"":0,""JobStartDate"":1624866259,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":784708,""MemoryUsage"":767.3154296875,""JobSimSubmitDate"":1627620734.81798,""JobSimStartDate"":1627621715.995828,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12206164_0#1624821015_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0823088185,""CompletionDate"":1624833991,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3371829,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9493.840924,""JobPrio"":613,""JobStartDate"":1624886398,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1703652,""MemoryUsage"":1664.7216796875,""JobSimSubmitDate"":1627620735.092975,""JobSimStartDate"":1627621719.545501,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,129280,131072,compute_haswell,osg,1627621650.5247757,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",61038537e68f640de7a73c79,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_1062#1624804350_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9985414669,""CompletionDate"":1624810491,""CpusProvisioned"":1,""DiskProvisioned"":426314,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5280.431112,""JobPrio"":0,""JobStartDate"":1624867113,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":798028,""MemoryUsage"":780.3232421875,""JobSimSubmitDate"":1627620734.896319,""JobSimStartDate"":1627621715.627196,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11315929_481#1624818229_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9763588198,""CompletionDate"":1624824554,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5698.537075,""JobPrio"":0,""JobStartDate"":1624880758,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1360984,""MemoryUsage"":1330.0849609375,""JobSimSubmitDate"":1627620735.070358,""JobSimStartDate"":1627621719.169419,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127744,131072,compute_haswell,osg,1627621651.3321202,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",61038537e68f640de7a73c7a,"[{""GlobalJobId"":""login05_osgconnect_net#11313359_336#1624807990_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9980328252,""CompletionDate"":1624812762,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4459.071573,""JobPrio"":0,""JobStartDate"":1624870205,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1337668,""MemoryUsage"":1307.3154296875,""JobSimSubmitDate"":1627620734.937181,""JobSimStartDate"":1627621716.379538,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12206618_0#1624822014_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1453010962,""CompletionDate"":1624836794,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3352722,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10731.918362,""JobPrio"":613,""JobStartDate"":1624887963,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1597908,""MemoryUsage"":1561.4560546875,""JobSimSubmitDate"":1627620735.102677,""JobSimStartDate"":1627621719.699905,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627621661.7832305,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",61038537e68f640de7a73c7b,"[{""GlobalJobId"":""login05_osgconnect_net#11299315_0#1624794349_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9949077488,""CompletionDate"":1624886113,""CpusProvisioned"":1,""DiskProvisioned"":17052530,""DiskUsage"":39343,""DiskUsage_RAW"":19556,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":90281.506638,""JobPrio"":0,""JobStartDate"":1624857733,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":664600,""MemoryUsage"":650.0224609375,""JobSimSubmitDate"":1627620734.675819,""JobSimStartDate"":1627621712.103191,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12198899_1033#1624804350_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9974610933,""CompletionDate"":1624810277,""CpusProvisioned"":1,""DiskProvisioned"":426313,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5268.886748,""JobPrio"":0,""JobStartDate"":1624866910,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":797604,""MemoryUsage"":779.9091796875,""JobSimSubmitDate"":1627620734.881927,""JobSimStartDate"":1627621715.223637,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127744,131072,compute_haswell,osg,1627621658.0594776,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",610385373e1640bb84a9608b,"[{""GlobalJobId"":""login04_osgconnect_net#12198697_0#1624803957_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9967863079,""CompletionDate"":1624819023,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3343654,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8727.877537,""JobPrio"":613,""JobStartDate"":1624872195,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1635216,""MemoryUsage"":1597.8896484375,""JobSimSubmitDate"":1627620734.937843,""JobSimStartDate"":1627621716.771968,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11314257_3115#1624811513_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9976995187,""CompletionDate"":1624817386,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3492.255236,""JobPrio"":0,""JobStartDate"":1624875796,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":79084,""MemoryUsage"":78.2294921875,""JobSimSubmitDate"":1627620734.95766,""JobSimStartDate"":1627621717.636941,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128512,131072,compute_haswell,osg,1627621642.125372,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",610385373e1640bb84a9608c,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_1068#1624804350_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9972118668,""CompletionDate"":1624810551,""CpusProvisioned"":1,""DiskProvisioned"":426314,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5339.963981,""JobPrio"":0,""JobStartDate"":1624867113,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":790660,""MemoryUsage"":773.1279296875,""JobSimSubmitDate"":1627620734.881959,""JobSimStartDate"":1627621715.626942,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12198638_0#1624803937_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9946980779,""CompletionDate"":1624818296,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3347839,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8470.980384,""JobPrio"":613,""JobStartDate"":1624871725,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1611688,""MemoryUsage"":1574.9130859375,""JobSimSubmitDate"":1627620734.93762,""JobSimStartDate"":1627621716.61042,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,129280,131072,compute_haswell,osg,1627621671.8657677,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",61038537e68f640de7a73c7c,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_703#1624804349_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9955114829,""CompletionDate"":1624810168,""CpusProvisioned"":1,""DiskProvisioned"":426313,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5375.442168,""JobPrio"":0,""JobStartDate"":1624866694,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":778900,""MemoryUsage"":761.6435546875,""JobSimSubmitDate"":1627620734.863631,""JobSimStartDate"":1627621714.821325,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11315929_401#1624818229_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9952052875,""CompletionDate"":1624824031,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5523.535229,""JobPrio"":0,""JobStartDate"":1624880409,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1328552,""MemoryUsage"":1298.4130859375,""JobSimSubmitDate"":1627620735.006761,""JobSimStartDate"":1627621718.361439,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127744,131072,compute_haswell,osg,1627621661.8657591,inuse
