"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 23:51:02,0,0,0
2021-07-29 23:51:04,5.11,1.09,4.01
2021-07-29 23:51:06,9.12,0.730,8.39
2021-07-29 23:51:08,27.4,0.730,26.6
2021-07-29 23:51:10,40.5,0.365,40.1
2021-07-29 23:51:12,51.8,0.365,51.5
2021-07-29 23:51:14,66.4,2.19,64.2
2021-07-29 23:51:16,75.5,0.730,74.8
2021-07-29 23:51:18,87.6,0,87.6
2021-07-29 23:51:20,100,1.09,99.3
2021-07-29 23:51:22,99.3,2.19,97.4
2021-07-29 23:51:24,100,2.55,97.4
2021-07-29 23:51:26,99.6,1.82,97.1
2021-07-29 23:51:28,99.3,1.46,97.8
2021-07-29 23:51:30,99.3,1.09,98.9
2021-07-29 23:51:32,99.3,0.365,99.6
2021-07-29 23:51:34,99.6,0.365,99.3
2021-07-29 23:51:36,100,0.730,99.6
2021-07-29 23:51:38,99.6,0.365,99.6
2021-07-29 23:51:40,99.6,0.365,99.6
2021-07-29 23:51:42,99.6,0.365,99.6
2021-07-29 23:51:44,99.3,3.28,96.4
2021-07-29 23:51:46,99.6,2.92,97.1
2021-07-29 23:51:48,99.6,2.92,97.1
2021-07-29 23:51:50,99.3,4.38,95.3
2021-07-29 23:51:52,100,2.92,96.7
2021-07-29 23:51:54,99.6,4.01,95.6
2021-07-29 23:51:56,99.6,3.65,96.4
2021-07-29 23:51:58,99.3,4.38,95.6
2021-07-29 23:52:00,99.6,4.74,95.3
2021-07-29 23:52:02,99.6,8.03,91.6
2021-07-29 23:52:04,99.6,8.03,92.0
2021-07-29 23:52:06,99.6,9.49,90.1
2021-07-29 23:52:08,100,7.66,92.0
2021-07-29 23:52:10,99.6,9.49,90.5
2021-07-29 23:52:12,99.6,8.76,91.2
2021-07-29 23:52:14,99.6,12.0,87.6
2021-07-29 23:52:16,99.6,12.8,87.2
2021-07-29 23:52:18,99.6,11.7,88.3
2021-07-29 23:52:20,99.6,11.7,88.3
2021-07-29 23:52:22,99.3,13.1,86.5
2021-07-29 23:52:24,99.6,8.03,91.6
2021-07-29 23:52:26,99.6,10.2,89.8
2021-07-29 23:52:28,99.3,9.49,90.5
2021-07-29 23:52:30,99.6,10.9,89.1
2021-07-29 23:52:32,100,9.85,90.5
2021-07-29 23:52:34,99.3,6.93,93.1
2021-07-29 23:52:36,99.6,7.30,92.7
2021-07-29 23:52:38,99.6,7.66,92.3
2021-07-29 23:52:40,99.6,8.39,91.6
2021-07-29 23:52:42,99.6,17.9,81.8
2021-07-29 23:52:44,99.3,19.7,79.9
2021-07-29 23:52:46,99.6,20.8,79.2
2021-07-29 23:52:48,99.6,19.3,80.7
2021-07-29 23:52:50,98.5,13.9,84.7
2021-07-29 23:52:52,100,13.5,86.5
2021-07-29 23:52:54,99.3,15.0,84.7
2021-07-29 23:52:56,100,13.5,86.1
2021-07-29 23:52:58,99.3,13.5,85.8
2021-07-29 23:53:00,99.6,13.5,86.5
2021-07-29 23:53:02,99.6,15.0,85.0
2021-07-29 23:53:04,99.3,14.2,85.8
2021-07-29 23:53:06,100,13.5,86.5
2021-07-29 23:53:08,99.6,14.6,85.0
2021-07-29 23:53:10,99.6,15.7,84.3
2021-07-29 23:53:12,99.3,14.2,85.4
2021-07-29 23:53:14,99.3,13.9,85.0
2021-07-29 23:53:16,100,15.3,84.7
