"Time","unused terminations","success termination","immediate termination"
2021-07-30 00:23:00,,,
2021-07-30 00:23:05,,,
2021-07-30 00:23:10,,,
2021-07-30 00:23:15,,,
2021-07-30 00:23:20,,,
2021-07-30 00:23:25,,,
2021-07-30 00:23:30,,,
2021-07-30 00:23:35,,,
2021-07-30 00:23:40,,,
2021-07-30 00:23:45,,,
2021-07-30 00:23:50,,,
2021-07-30 00:23:55,,,
2021-07-30 00:24:00,,,
2021-07-30 00:24:05,,,
2021-07-30 00:24:10,,,
2021-07-30 00:24:15,,,
2021-07-30 00:24:20,,,
2021-07-30 00:24:25,,,
2021-07-30 00:24:30,,,
2021-07-30 00:24:35,,,
2021-07-30 00:24:40,,,
2021-07-30 00:24:45,,,
2021-07-30 00:24:50,,,
2021-07-30 00:24:55,,,
2021-07-30 00:25:00,,,
2021-07-30 00:25:05,,,
2021-07-30 00:25:10,,,
2021-07-30 00:25:15,,,
2021-07-30 00:25:20,,,
2021-07-30 00:25:25,,,
2021-07-30 00:25:30,,,
2021-07-30 00:25:35,,,
2021-07-30 00:25:40,,,
2021-07-30 00:25:45,,,
2021-07-30 00:25:50,,,
2021-07-30 00:25:55,,,
2021-07-30 00:26:00,,,
2021-07-30 00:26:05,,,
2021-07-30 00:26:10,,,
2021-07-30 00:26:15,,,
2021-07-30 00:26:20,,,
2021-07-30 00:26:25,,,
2021-07-30 00:26:30,,,
2021-07-30 00:26:35,,,
2021-07-30 00:26:40,,,
2021-07-30 00:26:45,,,
2021-07-30 00:26:50,,,
2021-07-30 00:26:55,,,
2021-07-30 00:27:00,,,
2021-07-30 00:27:05,,,
2021-07-30 00:27:10,,,
2021-07-30 00:27:15,,,
2021-07-30 00:27:20,,,
2021-07-30 00:27:25,,,
2021-07-30 00:27:30,,,
2021-07-30 00:27:35,,,
2021-07-30 00:27:40,,,
2021-07-30 00:27:45,,,
2021-07-30 00:27:50,,,
2021-07-30 00:27:55,,,
2021-07-30 00:28:00,,,
2021-07-30 00:28:05,,,
2021-07-30 00:28:10,,,
2021-07-30 00:28:15,,,
2021-07-30 00:28:20,,,
2021-07-30 00:28:25,,,
2021-07-30 00:28:30,,,
2021-07-30 00:28:35,,,
2021-07-30 00:28:40,,,
2021-07-30 00:28:45,,,
2021-07-30 00:28:50,,,
2021-07-30 00:28:55,,,
2021-07-30 00:29:00,,,
2021-07-30 00:29:05,,,
2021-07-30 00:29:10,,,
2021-07-30 00:29:15,,,
2021-07-30 00:29:20,,,
2021-07-30 00:29:25,,,
2021-07-30 00:29:30,,,
2021-07-30 00:29:35,,,
2021-07-30 00:29:40,,,
2021-07-30 00:29:45,,,
2021-07-30 00:29:50,,,
2021-07-30 00:29:55,,,
2021-07-30 00:30:00,,,
2021-07-30 00:30:05,,,
2021-07-30 00:30:10,,,
2021-07-30 00:30:15,,,
2021-07-30 00:30:20,,,
2021-07-30 00:30:25,,,
2021-07-30 00:30:30,,,
2021-07-30 00:30:35,,,
2021-07-30 00:30:40,,,
2021-07-30 00:30:45,,,
2021-07-30 00:30:50,,,
2021-07-30 00:30:55,,,
2021-07-30 00:31:00,,,
2021-07-30 00:31:05,,,
2021-07-30 00:31:10,,,
2021-07-30 00:31:15,,,
2021-07-30 00:31:20,,,
2021-07-30 00:31:25,,,
2021-07-30 00:31:30,,,
2021-07-30 00:31:35,,,
2021-07-30 00:31:40,,,
2021-07-30 00:31:45,,,
2021-07-30 00:31:50,,,
2021-07-30 00:31:55,,,
2021-07-30 00:32:00,,,
2021-07-30 00:32:05,,,
2021-07-30 00:32:10,,,
2021-07-30 00:32:15,,,
2021-07-30 00:32:20,,,
2021-07-30 00:32:25,,,
2021-07-30 00:32:30,,,
2021-07-30 00:32:35,,,
2021-07-30 00:32:40,,,
2021-07-30 00:32:45,,,
2021-07-30 00:32:50,,,
2021-07-30 00:32:55,,,
2021-07-30 00:33:00,,,
2021-07-30 00:33:05,,,
2021-07-30 00:33:10,,,
2021-07-30 00:33:15,,,
2021-07-30 00:33:20,,,
2021-07-30 00:33:25,,,
2021-07-30 00:33:30,,,
2021-07-30 00:33:35,,,
2021-07-30 00:33:40,,,
2021-07-30 00:33:45,,,
2021-07-30 00:33:50,,,
2021-07-30 00:33:55,0,0,0
2021-07-30 00:34:00,0,0,0
2021-07-30 00:34:05,0,0,0
