EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",610640acf5dab3827122da61,"[{""GlobalJobId"":""login05_osgconnect_net#11308411_0#1624799411_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964013409,""CompletionDate"":1624892298,""CpusProvisioned"":1,""DiskProvisioned"":17052530,""DiskUsage"":39339,""DiskUsage_RAW"":19556,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":91791.323057,""JobPrio"":0,""JobStartDate"":1624862407,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":729628,""MemoryUsage"":713.5263671875,""JobSimSubmitDate"":1627799795.817187,""JobSimStartDate"":1627800709.776841,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11314257_3133#1624811513_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9990276022,""CompletionDate"":1624817353,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3456.970689,""JobPrio"":0,""JobStartDate"":1624875798,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":85612,""MemoryUsage"":84.6044921875,""JobSimSubmitDate"":1627799795.931007,""JobSimStartDate"":1627800712.304275,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627799725.1402721,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",610640acf5dab3827122da62,"[{""GlobalJobId"":""scosg16_jlab_org#3699643_10#1625084221_round_3"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9992660326,""CompletionDate"":1625156187,""CpusProvisioned"":1,""DiskProvisioned"":5115754,""DiskUsage"":1420960,""DiskUsage_RAW"":2027485,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":12049.099127,""JobPrio"":0,""JobStartDate"":1625164172,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1199700,""MemoryUsage"":1172.5810546875,""JobSimSubmitDate"":1627799756.405472,""JobSimStartDate"":1627800107.795972,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.13033639597572022,""WastedCost"":0.13033639597572022,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login04_osgconnect_net#12198899_1072#1624804350_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9958736476,""CompletionDate"":1624810498,""CpusProvisioned"":1,""DiskProvisioned"":426314,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5283.12759,""JobPrio"":0,""JobStartDate"":1624867116,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":781572,""MemoryUsage"":764.2529296875,""JobSimSubmitDate"":1627799795.853841,""JobSimStartDate"":1627800711.151679,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126720,131072,compute_haswell,osg,1627799725.144748,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",610640ace6ed7cd17e3ce45e,"[{""GlobalJobId"":""login04_osgconnect_net#12198668_0#1624803950_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2752447647,""CompletionDate"":1624818564,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3341343,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8425.728342,""JobPrio"":613,""JobStartDate"":1624872039,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1061784,""MemoryUsage"":1037.8974609375,""JobSimSubmitDate"":1627799795.887248,""JobSimStartDate"":1627800711.958439,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12201150_0#1624810765_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2505924695,""CompletionDate"":1624825411,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3338593,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9236.48372,""JobPrio"":613,""JobStartDate"":1624878075,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1603068,""MemoryUsage"":1566.4951171875,""JobSimSubmitDate"":1627799795.939169,""JobSimStartDate"":1627800712.409313,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627799725.16635,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",610640acf5dab3827122da63,"[{""GlobalJobId"":""scosg16_jlab_org#3699645_61#1625084297_round_4"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9938107134,""CompletionDate"":1625139591,""CpusProvisioned"":1,""DiskProvisioned"":5115754,""DiskUsage"":1426655,""DiskUsage_RAW"":363346,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":13583.875768,""JobPrio"":0,""JobStartDate"":1625156357,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1185356,""MemoryUsage"":1158.5732421875,""JobSimSubmitDate"":1627799767.167,""JobSimStartDate"":1627800261.066402,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11307050_536#1624798361_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968567527,""CompletionDate"":1624804402,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5735.866052,""JobPrio"":0,""JobStartDate"":1624860568,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1358724,""MemoryUsage"":1327.8779296875,""JobSimSubmitDate"":1627799795.81629,""JobSimStartDate"":1627800710.504895,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627799725.1823745,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",610640ace6ed7cd17e3ce45f,"[{""GlobalJobId"":""login04_osgconnect_net#12197427_0#1624801430_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3075960909,""CompletionDate"":1624818698,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3334834,""DiskUsage_RAW"":3539552,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8456.558873,""JobPrio"":613,""JobStartDate"":1624872142,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1600204,""MemoryUsage"":1563.6982421875,""JobSimSubmitDate"":1627799795.930521,""JobSimStartDate"":1627800711.986836,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11315929_469#1624818229_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.995214857,""CompletionDate"":1624824049,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5531.42563,""JobPrio"":0,""JobStartDate"":1624880420,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1346416,""MemoryUsage"":1315.8583984375,""JobSimSubmitDate"":1627799796.008319,""JobSimStartDate"":1627800713.265207,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627799727.2148194,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610640ace6ed7cd17e3ce460,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_226#1624804349_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9971557011,""CompletionDate"":1624810165,""CpusProvisioned"":1,""DiskProvisioned"":426314,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5261.660072,""JobPrio"":0,""JobStartDate"":1624866805,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":780224,""MemoryUsage"":762.9365234375,""JobSimSubmitDate"":1627799795.85365,""JobSimStartDate"":1627800711.386565,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11315929_479#1624818229_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9952076283,""CompletionDate"":1624823945,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5426.156381,""JobPrio"":0,""JobStartDate"":1624880421,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1357332,""MemoryUsage"":1326.5185546875,""JobSimSubmitDate"":1627799796.008395,""JobSimStartDate"":1627800713.299815,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127744,131072,compute_haswell,osg,1627799725.1964178,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",610640acf5dab3827122da64,"[{""GlobalJobId"":""login05_osgconnect_net#11295058_738#1624789331_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9939459202,""CompletionDate"":1624795667,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5606.021716,""JobPrio"":0,""JobStartDate"":1624851963,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1359444,""MemoryUsage"":1328.5810546875,""JobSimSubmitDate"":1627799795.63405,""JobSimStartDate"":1627800707.179629,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11315929_465#1624818229_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0,""CompletionDate"":1624823881,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5362.957591,""JobPrio"":0,""JobStartDate"":1624880420,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1349080,""MemoryUsage"":1318.4599609375,""JobSimSubmitDate"":1627799796.008337,""JobSimStartDate"":1627800713.273583,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627799725.2025895,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",610640ace6ed7cd17e3ce461,"[{""GlobalJobId"":""login04_osgconnect_net#12194202_0#1624795098_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0090101486,""CompletionDate"":1624807611,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":4628,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10533.36689,""JobPrio"":614,""JobStartDate"":1624858980,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1572280,""MemoryUsage"":1536.4287109375,""JobSimSubmitDate"":1627799795.815294,""JobSimStartDate"":1627800707.565367,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11307050_504#1624798361_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9929293995,""CompletionDate"":1624804237,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5778.894453,""JobPrio"":0,""JobStartDate"":1624860361,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1352268,""MemoryUsage"":1321.5732421875,""JobSimSubmitDate"":1627799795.815611,""JobSimStartDate"":1627800707.798204,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627799727.7278001,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",610640acf5dab3827122da65,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_220#1624804349_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966693285,""CompletionDate"":1624809869,""CpusProvisioned"":1,""DiskProvisioned"":426314,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5301.138746,""JobPrio"":0,""JobStartDate"":1624866470,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":786604,""MemoryUsage"":769.1669921875,""JobSimSubmitDate"":1627799795.817894,""JobSimStartDate"":1627800710.687444,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11314257_202#1624811511_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9977880421,""CompletionDate"":1624816055,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3941.216177,""JobPrio"":0,""JobStartDate"":1624874015,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":80520,""MemoryUsage"":79.6318359375,""JobSimSubmitDate"":1627799795.930726,""JobSimStartDate"":1627800712.640157,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,129792,131072,compute_haswell,osg,1627799969.2472084,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610640acf5dab3827122da66,"[{""GlobalJobId"":""login05_osgconnect_net#11295058_741#1624789331_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9965245008,""CompletionDate"":1624795845,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5782.016744,""JobPrio"":0,""JobStartDate"":1624851965,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1428880,""MemoryUsage"":1396.3896484375,""JobSimSubmitDate"":1627799795.634117,""JobSimStartDate"":1627800709.617011,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11314257_238#1624811511_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9984473507,""CompletionDate"":1624815962,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3845.130718,""JobPrio"":0,""JobStartDate"":1624874019,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":80712,""MemoryUsage"":79.8193359375,""JobSimSubmitDate"":1627799795.930742,""JobSimStartDate"":1627800712.163696,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627799727.2189157,inuse
