"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627799724531,18,0,0
1627799725361,77,1,6
1627799725632,77,1,6
1627799726130,260,1,6
1627799726463,266,2,6
1627799726643,266,2,6
1627799727135,262,2,10
1627799727661,234,2,38
1627799728157,208,2,64
1627799728667,193,2,79
1627799729689,169,2,103
1627799730676,140,2,132
1627799731671,120,2,152
1627799732676,88,1,185
1627799733686,63,1,210
1627799734309,50,1,223
1627799734688,40,0,234
1627799735220,27,0,247
1627799735558,17,0,257
1627799735677,15,1,258
1627799735844,6,2,266
1627799736021,5,3,266
1627799736169,3,4,267
1627799736338,0,7,267
1627799736704,0,3,271
1627799737210,0,3,271
1627799737728,0,3,271
1627799738213,0,3,271
1627799738525,0,1,273
1627799738687,1,1,272
1627799738853,0,2,272
1627799739024,0,3,271
1627799739219,1,3,270
1627799739393,1,3,270
1627799739739,0,0,274
1627799740231,0,0,274
1627799740743,0,0,274
1627799741742,0,0,274
1627799742144,0,0,274
1627799742314,0,1,273
1627799742457,0,2,272
1627799742626,0,3,271
1627799742810,0,4,270
1627799742982,1,4,269
1627799743140,0,5,269
1627799743268,0,5,269
1627799743761,0,5,269
1627799744263,0,5,269
1627799744771,0,5,269
1627799745259,0,5,269
1627799745784,0,5,269
1627799746271,0,5,269
1627799746595,0,6,268
1627799746725,0,6,268
1627799746880,0,7,267
1627799747100,0,7,267
1627799747281,0,8,266
1627799748148,0,6,268
1627799748416,1,5,268
1627799748796,0,5,269
1627799749296,0,5,269
1627799749805,0,5,269
1627799750292,0,4,270
1627799750823,0,0,274
1627799751325,0,0,274
1627799751833,0,0,274
1627799752312,0,0,274
1627799752495,0,1,273
1627799752852,1,1,272
1627799753322,0,1,273
1627799753841,0,1,273
1627799754327,0,1,273
1627799754646,0,2,272
1627799754796,1,2,271
1627799755066,0,3,271
1627799755254,0,4,270
1627799755396,1,4,269
1627799755599,0,3,271
1627799755893,0,1,273
1627799756351,0,1,273
1627799756867,0,1,273
1627799757358,0,1,273
1627799757884,0,1,273
1627799758356,0,1,273
1627799758874,1,1,272
1627799759364,0,1,273
1627799759880,0,1,273
1627799760381,0,1,273
1627799760895,0,1,273
1627799761393,0,1,273
1627799761886,0,1,273
1627799762385,0,1,273
1627799762701,0,2,272
1627799762904,0,3,271
1627799763088,0,3,271
1627799763251,0,4,270
1627799763420,1,4,269
1627799763621,1,3,270
1627799763918,0,1,273
1627799764740,0,1,273
1627799764936,0,2,272
1627799765125,0,3,271
1627799765341,0,4,270
1627799765523,0,5,269
1627799765723,2,3,269
1627799765921,0,3,271
1627799766130,0,2,272
1627799766347,0,8,266
1627799766545,1,8,265
1627799766953,0,8,266
1627799767437,0,8,266
1627799767945,0,8,266
1627799768456,0,8,266
1627799768958,0,8,266
1627799769444,0,8,266
1627799769968,0,8,266
1627799770447,0,8,266
1627799770786,0,9,265
1627799770978,1,9,264
1627799771117,0,10,264
1627799771260,0,11,263
1627799771417,1,11,262
1627799771594,3,9,262
1627799771982,0,8,266
1627799772479,0,8,266
1627799772988,0,8,266
1627799773470,0,8,266
1627799773603,0,9,265
1627799774008,0,9,265
1627799774208,0,10,264
1627799774483,0,10,264
1627799774994,1,10,263
1627799775485,0,10,264
1627799776006,0,10,264
1627799776513,0,10,264
1627799777035,0,10,264
1627799777500,0,10,264
1627799778020,0,10,264
1627799778511,0,10,264
1627799778975,0,10,264
1627799779939,0,11,263
1627799780189,1,11,262
1627799781033,0,10,264
1627799781334,0,11,263
1627799781609,0,11,263
1627799781859,0,12,262
1627799781985,0,12,262
1627799782183,1,11,262
1627799782540,0,9,265
1627799783050,0,9,265
1627799783548,0,9,265
1627799784051,0,9,265
1627799784211,0,10,264
1627799784558,0,22,252
1627799785066,0,22,252
1627799785588,0,22,252
1627799786072,0,22,252
1627799786562,1,22,251
1627799786920,0,23,251
1627799787098,1,23,250
1627799787232,0,24,250
1627799787407,0,25,249
1627799787649,0,26,248
