"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-30 00:33:58,14.3,2.38,13.1
2021-07-30 00:34:00,12.0,1.09,11.3
2021-07-30 00:34:02,27.4,0.730,26.6
2021-07-30 00:34:04,45.3,1.09,44.5
2021-07-30 00:34:06,55.1,0.365,54.7
2021-07-30 00:34:08,66.1,0,65.7
2021-07-30 00:34:10,79.9,1.82,78.5
2021-07-30 00:34:12,90.5,0.730,89.4
2021-07-30 00:34:14,97.8,0,98.2
2021-07-30 00:34:16,99.6,2.19,97.8
2021-07-30 00:34:18,100,1.82,98.2
2021-07-30 00:34:20,100,2.92,97.1
2021-07-30 00:34:22,100,1.82,98.2
2021-07-30 00:34:24,99.6,0.365,99.6
2021-07-30 00:34:26,100,0.730,99.3
2021-07-30 00:34:28,99.6,1.82,97.8
2021-07-30 00:34:30,99.6,0.365,99.6
2021-07-30 00:34:32,99.6,0.365,99.6
2021-07-30 00:34:34,99.6,0.365,99.6
2021-07-30 00:34:36,99.6,1.82,97.8
2021-07-30 00:34:38,99.3,0.365,98.9
2021-07-30 00:34:40,99.6,3.28,96.7
2021-07-30 00:34:42,99.6,2.92,97.1
2021-07-30 00:34:44,99.6,4.38,95.6
2021-07-30 00:34:46,99.3,2.92,96.7
2021-07-30 00:34:48,99.6,4.01,95.6
2021-07-30 00:34:50,99.6,3.65,96.4
2021-07-30 00:34:52,99.3,4.38,95.6
2021-07-30 00:34:54,100,4.38,95.6
2021-07-30 00:34:56,99.3,3.28,96.7
2021-07-30 00:34:58,99.6,8.03,92.0
2021-07-30 00:35:00,99.6,9.12,90.9
2021-07-30 00:35:02,99.3,7.66,92.0
2021-07-30 00:35:04,99.6,8.39,91.6
2021-07-30 00:35:06,99.6,9.12,90.5
2021-07-30 00:35:08,99.6,9.85,90.1
2021-07-30 00:35:10,99.6,11.7,88.0
2021-07-30 00:35:12,99.6,12.8,87.2
2021-07-30 00:35:14,99.6,11.7,88.3
2021-07-30 00:35:16,99.6,12.8,87.2
2021-07-30 00:35:18,98.5,8.76,89.8
2021-07-30 00:35:20,99.6,7.66,92.3
2021-07-30 00:35:22,99.3,9.49,90.5
2021-07-30 00:35:24,99.6,10.6,89.4
2021-07-30 00:35:26,99.3,9.49,90.5
2021-07-30 00:35:28,98.9,6.93,92.7
2021-07-30 00:35:30,99.6,6.93,93.1
2021-07-30 00:35:32,99.6,7.66,92.3
