"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 23:16:02,0.578,0.578,0
2021-07-29 23:16:04,1.09,1.09,0
2021-07-29 23:16:06,1.09,1.09,0
2021-07-29 23:16:08,1.09,1.09,0
2021-07-29 23:16:10,0.365,0.365,0
2021-07-29 23:16:12,1.46,1.46,0
2021-07-29 23:16:14,1.09,1.09,0
2021-07-29 23:16:16,0.730,0.730,0
2021-07-29 23:16:18,0.365,0.365,0
2021-07-29 23:16:20,2.19,2.19,0
2021-07-29 23:16:22,1.82,1.82,0
2021-07-29 23:16:24,2.92,2.92,0
2021-07-29 23:16:26,1.82,1.82,0
2021-07-29 23:16:30,0.730,0.730,0
2021-07-29 23:16:32,1.82,1.82,0
2021-07-29 23:16:34,0.365,0.365,0
2021-07-29 23:16:36,0.365,0.365,0
2021-07-29 23:16:38,0.365,0.365,0
2021-07-29 23:16:40,1.82,1.82,0
2021-07-29 23:16:42,3.65,3.65,0
2021-07-29 23:16:44,2.92,2.92,0
2021-07-29 23:16:46,2.92,2.92,0
2021-07-29 23:16:48,4.38,4.38,0
2021-07-29 23:16:50,3.65,3.65,0
2021-07-29 23:16:52,4.01,4.01,0
2021-07-29 23:16:54,3.65,3.65,0
2021-07-29 23:16:56,4.38,4.38,0
2021-07-29 23:16:58,4.74,4.74,0
2021-07-29 23:17:00,3.28,3.28,0
2021-07-29 23:17:02,8.03,8.03,0
2021-07-29 23:17:04,9.49,9.49,0
2021-07-29 23:17:06,7.66,7.66,0
2021-07-29 23:17:08,9.12,9.12,0
2021-07-29 23:17:10,9.12,9.12,0
2021-07-29 23:17:12,10.2,10.2,0
2021-07-29 23:17:14,12.4,12.4,0
2021-07-29 23:17:16,12.8,12.8,0
2021-07-29 23:17:18,11.7,11.7,0
2021-07-29 23:17:20,13.1,13.1,0
2021-07-29 23:17:22,8.39,8.39,0
2021-07-29 23:17:24,7.66,7.66,0
2021-07-29 23:17:26,9.49,9.49,0
2021-07-29 23:17:28,10.9,10.9,0
2021-07-29 23:17:30,9.49,9.49,0
2021-07-29 23:17:32,6.93,6.93,0
2021-07-29 23:17:34,6.93,6.93,0
2021-07-29 23:17:36,7.66,7.66,0
2021-07-29 23:17:38,8.39,8.39,0
2021-07-29 23:17:40,10.9,10.9,0
2021-07-29 23:17:42,19.7,19.7,0
2021-07-29 23:17:44,20.8,20.8,0
2021-07-29 23:17:46,19.3,19.3,0
2021-07-29 23:17:48,16.4,16.4,0
2021-07-29 23:17:50,13.9,13.9,0
2021-07-29 23:17:52,15.0,15.0,0
2021-07-29 23:17:54,13.5,13.5,0
2021-07-29 23:17:56,14.6,14.6,0
