"Time","unused terminations","success termination","immediate termination"
2021-07-29 21:58:50,,,
2021-07-29 21:58:55,,,
2021-07-29 21:59:00,,,
2021-07-29 21:59:05,,,
2021-07-29 21:59:10,,,
2021-07-29 21:59:15,,,
2021-07-29 21:59:20,,,
2021-07-29 21:59:25,,,
2021-07-29 21:59:30,,,
2021-07-29 21:59:35,,,
2021-07-29 21:59:40,,,
2021-07-29 21:59:45,,,
2021-07-29 21:59:50,,,
2021-07-29 21:59:55,,,
2021-07-29 22:00:00,,,
2021-07-29 22:00:05,,,
2021-07-29 22:00:10,,,
2021-07-29 22:00:15,,,
2021-07-29 22:00:20,,,
2021-07-29 22:00:25,,,
2021-07-29 22:00:30,,,
2021-07-29 22:00:35,,,
2021-07-29 22:00:40,,,
2021-07-29 22:00:45,,,
2021-07-29 22:00:50,,,
2021-07-29 22:00:55,,,
2021-07-29 22:01:00,,,
2021-07-29 22:01:05,,,
2021-07-29 22:01:10,,,
2021-07-29 22:01:15,,,
2021-07-29 22:01:20,,,
2021-07-29 22:01:25,,,
2021-07-29 22:01:30,,,
2021-07-29 22:01:35,,,
2021-07-29 22:01:40,,,
2021-07-29 22:01:45,,,
2021-07-29 22:01:50,,,
2021-07-29 22:01:55,,,
2021-07-29 22:02:00,,,
2021-07-29 22:02:05,,,
2021-07-29 22:02:10,,,
2021-07-29 22:02:15,,,
2021-07-29 22:02:20,,,
2021-07-29 22:02:25,,,
2021-07-29 22:02:30,,,
2021-07-29 22:02:35,,,
2021-07-29 22:02:40,,,
2021-07-29 22:02:45,,,
2021-07-29 22:02:50,,,
2021-07-29 22:02:55,,,
2021-07-29 22:03:00,,,
2021-07-29 22:03:05,,,
2021-07-29 22:03:10,,,
2021-07-29 22:03:15,,,
2021-07-29 22:03:20,,,
2021-07-29 22:03:25,,,
2021-07-29 22:03:30,,,
2021-07-29 22:03:35,,,
2021-07-29 22:03:40,,,
2021-07-29 22:03:45,,,
2021-07-29 22:03:50,,,
2021-07-29 22:03:55,,,
2021-07-29 22:04:00,,,
2021-07-29 22:04:05,,,
2021-07-29 22:04:10,,,
2021-07-29 22:04:15,,,
2021-07-29 22:04:20,,,
2021-07-29 22:04:25,,,
2021-07-29 22:04:30,,,
2021-07-29 22:04:35,,,
2021-07-29 22:04:40,,,
2021-07-29 22:04:45,,,
2021-07-29 22:04:50,,,
2021-07-29 22:04:55,,,
2021-07-29 22:05:00,,,
2021-07-29 22:05:05,,,
2021-07-29 22:05:10,,,
2021-07-29 22:05:15,,,
2021-07-29 22:05:20,,,
2021-07-29 22:05:25,,,
2021-07-29 22:05:30,,,
2021-07-29 22:05:35,,,
2021-07-29 22:05:40,,,
2021-07-29 22:05:45,,,
2021-07-29 22:05:50,,,
2021-07-29 22:05:55,,,
2021-07-29 22:06:00,,,
2021-07-29 22:06:05,,,
2021-07-29 22:06:10,,,
2021-07-29 22:06:15,,,
2021-07-29 22:06:20,,,
2021-07-29 22:06:25,,,
2021-07-29 22:06:30,,,
2021-07-29 22:06:35,,,
2021-07-29 22:06:40,,,
2021-07-29 22:06:45,,,
2021-07-29 22:06:50,,,
2021-07-29 22:06:55,,,
2021-07-29 22:07:00,,,
2021-07-29 22:07:05,,,
2021-07-29 22:07:10,,,
2021-07-29 22:07:15,,,
2021-07-29 22:07:20,,,
2021-07-29 22:07:25,,,
2021-07-29 22:07:30,,,
2021-07-29 22:07:35,,,
2021-07-29 22:07:40,,,
2021-07-29 22:07:45,,,
2021-07-29 22:07:50,,,
2021-07-29 22:07:55,,,
2021-07-29 22:08:00,,,
2021-07-29 22:08:05,,,
2021-07-29 22:08:10,,,
2021-07-29 22:08:15,,,
2021-07-29 22:08:20,,,
2021-07-29 22:08:25,,,
2021-07-29 22:08:30,,,
2021-07-29 22:08:35,,,
2021-07-29 22:08:40,,,
2021-07-29 22:08:45,,,
2021-07-29 22:08:50,,,
2021-07-29 22:08:55,,,
2021-07-29 22:09:00,,,
2021-07-29 22:09:05,,,
2021-07-29 22:09:10,,,
2021-07-29 22:09:15,,,
2021-07-29 22:09:20,,,
2021-07-29 22:09:25,,,
2021-07-29 22:09:30,,,
2021-07-29 22:09:35,,,
2021-07-29 22:09:40,,,
2021-07-29 22:09:45,,,
2021-07-29 22:09:50,,,
2021-07-29 22:09:55,,,
2021-07-29 22:10:00,,,
2021-07-29 22:10:05,,,
2021-07-29 22:10:10,,,
2021-07-29 22:10:15,,,
2021-07-29 22:10:20,,,
2021-07-29 22:10:25,,,
2021-07-29 22:10:30,,,
2021-07-29 22:10:35,,,
2021-07-29 22:10:40,,,
2021-07-29 22:10:45,,,
2021-07-29 22:10:50,,,
2021-07-29 22:10:55,,,
2021-07-29 22:11:00,,,
2021-07-29 22:11:05,,,
2021-07-29 22:11:10,,,
2021-07-29 22:11:15,,,
2021-07-29 22:11:20,,,
2021-07-29 22:11:25,,,
2021-07-29 22:11:30,,,
2021-07-29 22:11:35,,,
2021-07-29 22:11:40,,,
2021-07-29 22:11:45,,,
2021-07-29 22:11:50,,,
2021-07-29 22:11:55,,,
2021-07-29 22:12:00,,,
2021-07-29 22:12:05,,,
2021-07-29 22:12:10,0,0,0
2021-07-29 22:12:15,0,0,0
2021-07-29 22:12:20,0,0,0
2021-07-29 22:12:25,0,0,0
2021-07-29 22:12:30,0,0,0
2021-07-29 22:12:35,0,0,0
2021-07-29 22:12:40,0,0,0
2021-07-29 22:12:45,0,0,0
2021-07-29 22:12:50,0,0,0
2021-07-29 22:12:55,0,0,0
2021-07-29 22:13:00,0,0,0
2021-07-29 22:13:05,0,1,0
2021-07-29 22:13:10,1,9,4
2021-07-29 22:13:15,2,17,9
2021-07-29 22:13:20,3,25,13
2021-07-29 22:13:25,8,37,21
2021-07-29 22:13:30,9,44,24
2021-07-29 22:13:35,10,51,24
2021-07-29 22:13:40,12,58,28
2021-07-29 22:13:45,13,64,30
2021-07-29 22:13:50,20,80,56
2021-07-29 22:13:55,28,86,56
2021-07-29 22:14:00,28,93,61
2021-07-29 22:14:05,31,102,61
2021-07-29 22:14:10,32,112,63
2021-07-29 22:14:15,33,122,64
2021-07-29 22:14:20,35,134,67
2021-07-29 22:14:25,37,144,72
2021-07-29 22:14:30,39,152,75
2021-07-29 22:14:35,41,162,77
2021-07-29 22:14:40,43,166,80
2021-07-29 22:14:45,49,170,83
2021-07-29 22:14:50,57,180,86
2021-07-29 22:14:55,58,185,95
2021-07-29 22:15:00,60,196,102
2021-07-29 22:15:05,62,203,107
2021-07-29 22:15:10,64,209,109
2021-07-29 22:15:15,65,222,112
2021-07-29 22:15:20,66,229,114
2021-07-29 22:15:25,68,245,117
2021-07-29 22:15:30,69,252,123
2021-07-29 22:15:35,75,266,127
2021-07-29 22:15:40,81,267,148
2021-07-29 22:15:45,83,276,155
2021-07-29 22:15:50,85,289,161
2021-07-29 22:15:55,92,299,161
2021-07-29 22:16:00,94,311,167
2021-07-29 22:16:05,108,320,192
2021-07-29 22:16:10,111,329,195
2021-07-29 22:16:15,117,338,204
2021-07-29 22:16:20,141,348,283
2021-07-29 22:16:25,149,348,283
2021-07-29 22:16:30,149,351,357
2021-07-29 22:16:35,188,355,357
2021-07-29 22:16:40,188,358,361
2021-07-29 22:16:45,188,358,364
2021-07-29 22:16:50,188,369,434
2021-07-29 22:16:55,214,396,435
2021-07-29 22:17:00,214,396,443
2021-07-29 22:17:05,216,398,443
2021-07-29 22:17:10,222,400,445
2021-07-29 22:17:15,234,408,483
2021-07-29 22:17:20,240,415,484
2021-07-29 22:17:25,264,417,484
2021-07-29 22:17:30,287,422,487
2021-07-29 22:17:35,301,428,487
2021-07-29 22:17:40,339,434,547
2021-07-29 22:17:45,361,441,550
2021-07-29 22:17:50,365,453,551
2021-07-29 22:17:55,367,463,559
2021-07-29 22:18:00,369,472,566
2021-07-29 22:18:05,369,478,576
2021-07-29 22:18:10,373,489,580
2021-07-29 22:18:15,377,495,580
2021-07-29 22:18:20,387,499,615
2021-07-29 22:18:25,387,527,668
2021-07-29 22:18:30,426,531,668
2021-07-29 22:18:35,430,539,705
2021-07-29 22:18:40,434,539,705
2021-07-29 22:18:45,443,546,707
2021-07-29 22:18:50,444,551,707
2021-07-29 22:18:55,445,552,718
2021-07-29 22:19:00,473,555,718
