EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",61036e0d8e86956dd8b76d3f,"[{""GlobalJobId"":""login04_osgconnect_net#12248955_0#1624906208_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0904682737,""CompletionDate"":1624917482,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3321319,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10361.846126,""JobPrio"":609,""JobStartDate"":1624948385,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1570912,""MemoryUsage"":1535.0927734375,""JobSimSubmitDate"":1627614783.974111,""JobSimStartDate"":1627615667.788936,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12248958_0#1624906208_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0567668881,""CompletionDate"":1624917321,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3312603,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10200.662246,""JobPrio"":609,""JobStartDate"":1624948386,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1572684,""MemoryUsage"":1536.8232421875,""JobSimSubmitDate"":1627614783.975158,""JobSimStartDate"":1627615667.789422,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627615667.9592588,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",61036e0dbb5c74c9d184b0ea,"[{""GlobalJobId"":""login05_osgconnect_net#11319825_7187#1624882053_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9939703063,""CompletionDate"":1624890207,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5713.507129,""JobPrio"":0,""JobStartDate"":1624925762,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1322844,""MemoryUsage"":1292.8388671875,""JobSimSubmitDate"":1627614783.576898,""JobSimStartDate"":1627615660.92776,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_7180#1624882053_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9864859805,""CompletionDate"":1624889933,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5440.166374,""JobPrio"":0,""JobStartDate"":1624925761,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1323356,""MemoryUsage"":1293.3388671875,""JobSimSubmitDate"":1627614783.575965,""JobSimStartDate"":1627615660.97809,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627615661.12091,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",61036e0d8e86956dd8b76d40,"[{""GlobalJobId"":""login04_osgconnect_net#12228876_0#1624880797_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1216952117,""CompletionDate"":1624893443,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3338714,""DiskUsage_RAW"":41,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10633.173636,""JobPrio"":611,""JobStartDate"":1624924077,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1602736,""MemoryUsage"":1566.1708984375,""JobSimSubmitDate"":1627614783.571542,""JobSimStartDate"":1627615661.090421,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_1233#1624882048_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9890973327,""CompletionDate"":1624888275,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5585.426168,""JobPrio"":0,""JobStartDate"":1624923958,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348516,""MemoryUsage"":1317.9091796875,""JobSimSubmitDate"":1627614783.571491,""JobSimStartDate"":1627615661.108448,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627615661.283593,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",61036e0dbb5c74c9d184b0eb,"[{""GlobalJobId"":""login05_osgconnect_net#11319825_1219#1624882048_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9917427597,""CompletionDate"":1624888218,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5538.130433,""JobPrio"":0,""JobStartDate"":1624923947,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1316276,""MemoryUsage"":1286.4248046875,""JobSimSubmitDate"":1627614783.553253,""JobSimStartDate"":1627615661.393461,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.022548335325839854,""WastedCost"":0.022548335325839854,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11319825_1218#1624882048_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957096051,""CompletionDate"":1624888336,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5657.295447,""JobPrio"":0,""JobStartDate"":1624923947,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348396,""MemoryUsage"":1317.7919921875,""JobSimSubmitDate"":1627614783.551998,""JobSimStartDate"":1627615661.396381,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.0302617755414289,""WastedCost"":0.0302617755414289,""Machine"":null,""action"":""start""}]",2,0,124928,131072,compute_haswell,osg,1627615661.492361,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",61036e0d8e86956dd8b76d41,"[{""GlobalJobId"":""login05_osgconnect_net#11319825_510#1624882048_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9900107505,""CompletionDate"":1624886872,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4697.058894,""JobPrio"":0,""JobStartDate"":1624923442,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1354044,""MemoryUsage"":1323.3076171875,""JobSimSubmitDate"":1627614783.533034,""JobSimStartDate"":1627615661.796504,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_504#1624882048_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.093953147,""CompletionDate"":1624886940,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4768.7666,""JobPrio"":0,""JobStartDate"":1624923440,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1327552,""MemoryUsage"":1297.4365234375,""JobSimSubmitDate"":1627614783.530427,""JobSimStartDate"":1627615661.797747,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627615661.9996598,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",61036e0dbb5c74c9d184b0ec,"[{""GlobalJobId"":""login05_osgconnect_net#11320255_1100#1624889412_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9819049375,""CompletionDate"":1624894326,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4131.587081,""JobPrio"":0,""JobStartDate"":1624931462,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":87432,""MemoryUsage"":86.3818359375,""JobSimSubmitDate"":1627614783.691062,""JobSimStartDate"":1627615663.590635,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12237787_0#1624895436_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1784575827,""CompletionDate"":1624908151,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3340709,""DiskUsage_RAW"":43,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9962.844094,""JobPrio"":610,""JobStartDate"":1624939455,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1732156,""MemoryUsage"":1692.5576171875,""JobSimSubmitDate"":1627614783.850923,""JobSimStartDate"":1627615666.097163,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128512,131072,compute_haswell,osg,1627615526.117614,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",61036e0d8e86956dd8b76d42,"[{""GlobalJobId"":""login04_osgconnect_net#12238305_0#1624895943_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1352578348,""CompletionDate"":1624907928,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3336370,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9973.985317,""JobPrio"":610,""JobStartDate"":1624939221,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1571780,""MemoryUsage"":1535.9404296875,""JobSimSubmitDate"":1627614783.840875,""JobSimStartDate"":1627615666.011289,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12238316_0#1624895945_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2362286896,""CompletionDate"":1624907868,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3304393,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9913.85268,""JobPrio"":610,""JobStartDate"":1624939221,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1176984,""MemoryUsage"":1150.3974609375,""JobSimSubmitDate"":1627614783.841919,""JobSimStartDate"":1627615666.024044,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627615412.9020038,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",61036e0dbb5c74c9d184b0ed,"[{""GlobalJobId"":""login04_osgconnect_net#12222854_0#1624871593_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0423410851,""CompletionDate"":1624885436,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3319595,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8962.579079,""JobPrio"":611,""JobStartDate"":1624917739,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1437280,""MemoryUsage"":1404.5927734375,""JobSimSubmitDate"":1627614783.512679,""JobSimStartDate"":1627615657.17457,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_1224#1624882048_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.997873959,""CompletionDate"":1624888456,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5773.123168,""JobPrio"":0,""JobStartDate"":1624923951,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1351988,""MemoryUsage"":1321.2998046875,""JobSimSubmitDate"":1627614783.558471,""JobSimStartDate"":1627615661.39769,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627615154.1903965,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",61036e0d8e86956dd8b76d43,"[{""GlobalJobId"":""login04_osgconnect_net#12233599_0#1624887358_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1253184139,""CompletionDate"":1624897859,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3312421,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9696.098603,""JobPrio"":610,""JobStartDate"":1624929429,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1698320,""MemoryUsage"":1659.5146484375,""JobSimSubmitDate"":1627614783.666577,""JobSimStartDate"":1627615663.363361,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11320255_3337#1624889413_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9958937573,""CompletionDate"":1624898434,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7722.478796,""JobPrio"":0,""JobStartDate"":1624931980,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":77180,""MemoryUsage"":76.3701171875,""JobSimSubmitDate"":1627614783.709843,""JobSimStartDate"":1627615664.504558,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128512,131072,compute_haswell,osg,1627615448.0074382,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",61036e0dbb5c74c9d184b0ee,"[{""GlobalJobId"":""login04_osgconnect_net#12213514_0#1624852511_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2044229702,""CompletionDate"":1624895877,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3345047,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10642.600776,""JobPrio"":610,""JobStartDate"":1624926501,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1607480,""MemoryUsage"":1570.8037109375,""JobSimSubmitDate"":1627614783.62642,""JobSimStartDate"":1627615662.842894,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12233596_0#1624887358_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1690038089,""CompletionDate"":1624897865,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3293952,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9704.043415,""JobPrio"":610,""JobStartDate"":1624929428,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1564468,""MemoryUsage"":1528.7998046875,""JobSimSubmitDate"":1627614783.665543,""JobSimStartDate"":1627615664.600088,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.5179390142415352,""WastedCost"":0.5179390142415352,""Machine"":null,""action"":""start""}]",2,0,128000,131072,compute_haswell,osg,1627615111.7385318,inuse
