"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627841972767,23,0,0
1627841973420,80,1,3
1627841973871,77,1,6
1627841974365,242,1,6
1627841974688,266,2,6
1627841974887,261,2,11
1627841975371,250,2,22
1627841975889,250,2,22
1627841976378,250,2,22
1627841976894,250,2,22
1627841977909,230,2,42
1627841979003,186,2,86
1627841979908,165,2,107
1627841980913,135,1,138
1627841981920,116,1,157
1627841982563,96,1,177
1627841982932,84,0,190
1627841983476,69,0,205
1627841983805,65,0,209
1627841984007,58,1,215
1627841984166,52,2,220
1627841984336,49,3,222
1627841984475,45,4,225
1627841984645,29,7,238
1627841984936,28,3,243
1627841985426,16,3,255
1627841985940,4,3,267
1627841986433,0,3,271
1627841986755,0,1,273
1627841986938,1,1,272
1627841987146,0,2,272
1627841987338,0,3,271
1627841987543,1,3,270
1627841987699,3,1,270
1627841987972,1,0,273
1627841988464,0,0,274
1627841988968,0,0,274
1627841989978,0,0,274
1627841990371,1,0,273
1627841990557,0,1,273
1627841990762,0,2,272
1627841990951,0,3,271
1627841991168,0,4,270
1627841991342,0,5,269
1627841991469,0,5,269
1627841991683,0,6,268
1627841992013,0,5,269
1627841992506,0,5,269
1627841993003,0,5,269
1627841993491,0,5,269
1627841994002,0,5,269
1627841994498,0,5,269
1627841994838,0,6,268
1627841995012,0,7,267
1627841995155,0,7,267
1627841995305,0,7,267
1627841995523,0,5,269
1627841996041,0,5,269
1627841996535,0,5,269
1627841997041,0,5,269
1627841997523,0,5,269
1627841998087,0,5,269
1627841998536,0,4,270
1627841999052,0,0,274
1627841999560,0,0,274
1627842000061,0,0,274
1627842000567,0,0,274
1627842000819,0,1,273
1627842001067,0,1,273
1627842001555,0,1,273
1627842002079,0,1,273
1627842002581,0,1,273
1627842002892,0,2,272
1627842003068,0,3,271
1627842003292,0,3,271
1627842003481,0,4,270
1627842003671,0,5,269
1627842003921,0,2,272
1627842004141,0,2,272
1627842004595,0,1,273
1627842005122,0,1,273
1627842005598,0,1,273
1627842006109,0,1,273
1627842006600,0,1,273
1627842007145,0,1,273
1627842007956,0,2,272
1627842008215,0,2,272
1627842008608,0,1,273
1627842009125,0,1,273
1627842009626,0,1,273
1627842010134,0,1,273
1627842010623,0,1,273
1627842010939,0,2,272
1627842011115,0,3,271
1627842011303,0,3,271
1627842011513,0,4,270
1627842011682,0,4,270
1627842011973,1,2,271
1627842012173,0,2,272
1627842012981,0,1,273
1627842013148,0,2,272
1627842013334,0,3,271
1627842013597,0,4,270
1627842013879,0,5,269
1627842014215,2,3,269
1627842014416,0,3,271
1627842014633,0,2,272
1627842014825,0,9,265
1627842014998,0,9,265
1627842015190,0,8,266
1627842015683,0,8,266
1627842016200,0,8,266
1627842016685,0,8,266
1627842017191,0,8,266
1627842017706,0,8,266
1627842018204,0,8,266
1627842018718,0,8,266
1627842019011,0,9,265
1627842019241,0,10,264
1627842019425,0,10,264
1627842019594,0,11,263
1627842019781,0,12,262
1627842020047,3,9,262
1627842020266,0,9,265
1627842020738,0,8,266
1627842021233,0,8,266
1627842021733,0,8,266
1627842021907,0,9,265
1627842022244,0,9,265
1627842022447,0,10,264
1627842022728,0,10,264
1627842023256,0,10,264
1627842023747,0,10,264
1627842024253,0,10,264
1627842024740,0,10,264
1627842025266,0,10,264
1627842025751,0,10,264
1627842026260,0,10,264
1627842026763,0,10,264
1627842027222,0,10,264
1627842027419,0,11,263
1627842028276,0,10,264
1627842028621,0,11,263
1627842029352,0,11,263
1627842029857,0,11,263
1627842030065,0,12,262
1627842030197,0,12,262
1627842030408,3,10,261
1627842030562,0,11,263
1627842031381,0,10,264
1627842032380,0,10,264
1627842032588,0,12,262
1627842033388,0,23,251
1627842034328,0,22,252
1627842034497,0,23,251
1627842035156,0,23,251
1627842035346,1,23,250
1627842035527,0,24,250
1627842035698,0,25,249
1627842035932,0,26,248
1627842036104,0,26,248
1627842036470,1,23,250
1627842037420,0,23,251
1627842038373,0,22,252
1627842038579,0,23,251
1627842039796,1,23,250
1627842040414,0,24,250
1627842040555,0,25,249
1627842041521,0,25,249
1627842042461,0,25,249
1627842043334,0,25,249
1627842043506,0,26,248
1627842043682,1,26,247
1627842043866,0,27,247
1627842044036,0,28,246
1627842044496,1,25,248
1627842044702,0,27,247
1627842044936,0,32,242
1627842045437,0,32,242
1627842045608,0,33,241
1627842046521,0,34,240
1627842047524,2,35,237
1627842048571,0,32,242
1627842049559,0,32,242
1627842050565,0,32,242
1627842051397,1,32,241
1627842051588,0,33,241
1627842051827,0,34,240
1627842051967,0,35,239
1627842052122,0,35,239
1627842052566,0,32,242
1627842053525,0,23,251
1627842053693,0,24,250
1627842054592,0,22,252
1627842055580,0,21,253
1627842056555,0,21,253
1627842056783,0,27,247
1627842057642,0,26,248
1627842058623,0,26,248
1627842059521,0,27,247
1627842059703,0,27,247
1627842059898,0,28,246
1627842060044,0,29,245
1627842060662,4,26,244
1627842061671,0,26,248
1627842062599,2,18,254
1627842062738,0,19,255
1627842063617,0,18,256
1627842063820,0,19,255
1627842065100,0,18,256
1627842065251,0,19,255
1627842066181,0,19,255
1627842067156,0,19,255
1627842068126,0,18,256
1627842068282,0,19,255
1627842069119,0,19,255
1627842069668,0,18,256
1627842069826,0,19,255
1627842070747,0,19,255
1627842071535,0,20,254
1627842071767,1,27,246
1627842071943,0,28,246
1627842072268,0,32,242
1627842072445,0,39,235
1627842072682,0,48,226
1627842072813,0,49,225
1627842073770,5,53,216
1627842074787,0,53,221
1627842075924,0,56,218
1627842076809,0,53,221
1627842077818,0,53,221
1627842078792,0,53,221
1627842079746,2,44,228
1627842079871,1,45,228
1627842080230,0,45,229
1627842080415,0,46,228
1627842080758,5,36,233
1627842080872,0,37,237
1627842081817,0,37,237
1627842082821,0,37,237
1627842083685,1,37,236
1627842083872,0,38,236
1627842084053,0,39,235
1627842084259,0,40,234
1627842084437,0,40,234
1627842084910,1,37,236
1627842085883,0,37,237
1627842086816,0,38,236
1627842087015,0,39,235
1627842087910,1,39,234
1627842088897,0,37,237
1627842089878,0,37,237
1627842090853,0,36,238
1627842091376,0,37,237
1627842091772,0,37,237
1627842091966,0,38,236
1627842092185,0,39,235
1627842092417,0,40,234
1627842092560,0,40,234
1627842092939,3,37,234
1627842093957,0,37,237
1627842094881,0,35,239
1627842095030,0,36,238
1627842095939,0,36,238
1627842096492,0,38,236
1627842096929,0,38,236
1627842097085,0,39,235
1627842097996,0,39,235
1627842098986,0,39,235
1627842099897,0,40,234
1627842100123,0,41,233
1627842100285,1,41,232
1627842100450,0,42,232
1627842101046,0,39,235
1627842102039,0,40,234
1627842103281,0,39,235
1627842104001,0,39,235
1627842104181,0,40,234
1627842105052,0,37,237
1627842105214,0,39,235
1627842105477,0,41,233
1627842105997,0,41,233
1627842106149,0,42,232
1627842107082,0,42,232
1627842108118,0,44,230
1627842108327,0,45,229
1627842108518,0,45,229
1627842109095,2,42,230
1627842110051,0,41,233
1627842110258,0,42,232
1627842111110,0,42,232
1627842112060,1,40,233
1627842112325,0,41,233
1627842113087,0,40,234
1627842113266,0,41,233
1627842114093,0,40,234
1627842114267,0,41,233
1627842115144,0,41,233
1627842116088,0,42,232
1627842116273,0,43,231
1627842116447,0,43,231
1627842116619,0,44,230
1627842117208,0,41,233
1627842118156,0,41,233
1627842119194,0,41,233
1627842120670,0,41,233
1627842121696,0,41,233
1627842121776,0,41,233
1627842122125,3,35,236
1627842122304,0,36,238
1627842122391,0,36,238
1627842122627,0,35,239
1627842123642,0,35,239
1627842123847,0,36,238
1627842123919,0,36,238
1627842124074,1,35,238
1627842124296,0,36,238
1627842124655,0,35,239
1627842124840,0,36,238
1627842126194,0,35,239
1627842126270,0,35,239
1627842126423,0,35,239
1627842126606,0,36,238
1627842126975,3,35,236
1627842127185,0,35,239
1627842127373,1,35,238
1627842127532,0,35,239
1627842128321,6,34,234
1627842129281,0,34,240
1627842130347,0,29,245
1627842130742,0,30,244
1627842130910,0,31,243
1627842131219,1,31,242
1627842131392,0,32,242
1627842132312,0,34,240
1627842132535,0,35,239
1627842132668,0,35,239
1627842133326,1,32,241
1627842134766,1,33,240
1627842134914,1,33,240
1627842135097,0,34,240
1627842135689,0,35,239
1627842135913,0,36,238
1627842136162,0,36,238
1627842136357,0,36,238
