"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 22:12:12,0,0,0
2021-07-29 22:12:14,5.84,1.09,4.74
2021-07-29 22:12:16,6.57,0.730,5.84
2021-07-29 22:12:18,23.0,1.09,22.3
2021-07-29 22:12:20,41.2,0.365,40.9
2021-07-29 22:12:22,52.6,0,52.6
2021-07-29 22:12:24,66.4,1.82,65.0
2021-07-29 22:12:26,75.5,0.730,74.1
2021-07-29 22:12:28,84.3,0,84.3
2021-07-29 22:12:30,100,1.82,98.2
2021-07-29 22:12:32,99.3,2.19,97.4
2021-07-29 22:12:34,99.6,2.55,97.4
2021-07-29 22:12:36,99.6,1.82,98.2
2021-07-29 22:12:38,98.9,0.365,99.3
2021-07-29 22:12:40,100,0.730,100
2021-07-29 22:12:42,100,1.46,98.5
2021-07-29 22:12:44,99.6,0.365,99.3
2021-07-29 22:12:46,100,0.730,99.6
2021-07-29 22:12:48,99.6,0.365,99.6
2021-07-29 22:12:50,99.6,1.09,98.9
2021-07-29 22:12:52,99.3,0.365,98.9
2021-07-29 22:12:54,99.3,2.92,96.4
2021-07-29 22:12:56,99.6,2.92,97.1
2021-07-29 22:12:58,99.6,3.65,96.0
2021-07-29 22:13:00,99.3,3.28,96.7
2021-07-29 22:13:02,99.6,4.01,96.0
2021-07-29 22:13:04,100,4.01,95.6
2021-07-29 22:13:06,99.6,4.38,95.6
2021-07-29 22:13:08,99.6,3.65,96.4
2021-07-29 22:13:10,99.3,5.11,94.9
2021-07-29 22:13:12,99.6,8.39,91.6
2021-07-29 22:13:14,99.6,8.03,92.0
2021-07-29 22:13:16,98.9,8.39,90.1
2021-07-29 22:13:18,99.6,8.76,91.2
2021-07-29 22:13:20,99.6,9.85,90.1
2021-07-29 22:13:22,100,9.49,90.1
2021-07-29 22:13:24,99.6,9.12,90.5
2021-07-29 22:13:26,99.3,12.4,86.9
2021-07-29 22:13:28,99.3,12.0,86.9
2021-07-29 22:13:30,99.3,12.4,87.6
2021-07-29 22:13:32,99.3,13.5,86.5
2021-07-29 22:13:34,100,8.76,91.2
2021-07-29 22:13:36,99.6,10.6,89.1
2021-07-29 22:13:38,100,10.9,90.1
2021-07-29 22:13:40,99.3,11.3,88.7
2021-07-29 22:13:42,99.3,6.93,92.7
2021-07-29 22:13:44,100,7.66,92.3
2021-07-29 22:13:46,99.6,8.03,92.0
2021-07-29 22:13:48,100,8.39,91.6
2021-07-29 22:13:50,99.3,7.30,92.7
2021-07-29 22:13:52,99.6,17.9,81.8
2021-07-29 22:13:54,99.3,19.7,79.6
2021-07-29 22:13:56,98.9,22.3,79.2
2021-07-29 22:13:58,97.1,16.8,79.9
2021-07-29 22:14:00,97.8,14.2,85.4
2021-07-29 22:14:02,99.6,14.6,85.4
2021-07-29 22:14:04,99.3,15.7,83.9
2021-07-29 22:14:06,98.9,15.0,85.0
2021-07-29 22:14:08,99.6,15.3,84.7
2021-07-29 22:14:10,99.3,13.9,85.8
2021-07-29 22:14:12,99.3,15.3,84.3
2021-07-29 22:14:14,100,13.5,86.1
2021-07-29 22:14:16,100,15.3,84.7
2021-07-29 22:14:18,99.6,15.7,84.3
2021-07-29 22:14:20,99.6,16.1,83.6
2021-07-29 22:14:22,99.6,16.1,83.9
