"Time","unused terminations","success termination","immediate termination"
2021-07-29 22:41:20,,,
2021-07-29 22:41:25,,,
2021-07-29 22:41:30,,,
2021-07-29 22:41:35,,,
2021-07-29 22:41:40,,,
2021-07-29 22:41:45,,,
2021-07-29 22:41:50,,,
2021-07-29 22:41:55,,,
2021-07-29 22:42:00,,,
2021-07-29 22:42:05,,,
2021-07-29 22:42:10,,,
2021-07-29 22:42:15,,,
2021-07-29 22:42:20,,,
2021-07-29 22:42:25,,,
2021-07-29 22:42:30,,,
2021-07-29 22:42:35,,,
2021-07-29 22:42:40,,,
2021-07-29 22:42:45,,,
2021-07-29 22:42:50,,,
2021-07-29 22:42:55,,,
2021-07-29 22:43:00,,,
2021-07-29 22:43:05,,,
2021-07-29 22:43:10,,,
2021-07-29 22:43:15,,,
2021-07-29 22:43:20,,,
2021-07-29 22:43:25,,,
2021-07-29 22:43:30,,,
2021-07-29 22:43:35,,,
2021-07-29 22:43:40,,,
2021-07-29 22:43:45,,,
2021-07-29 22:43:50,,,
2021-07-29 22:43:55,,,
2021-07-29 22:44:00,,,
2021-07-29 22:44:05,,,
2021-07-29 22:44:10,,,
2021-07-29 22:44:15,,,
2021-07-29 22:44:20,,,
2021-07-29 22:44:25,,,
2021-07-29 22:44:30,,,
2021-07-29 22:44:35,,,
2021-07-29 22:44:40,,,
2021-07-29 22:44:45,,,
2021-07-29 22:44:50,,,
2021-07-29 22:44:55,,,
2021-07-29 22:45:00,,,
2021-07-29 22:45:05,,,
2021-07-29 22:45:10,,,
2021-07-29 22:45:15,,,
2021-07-29 22:45:20,,,
2021-07-29 22:45:25,,,
2021-07-29 22:45:30,,,
2021-07-29 22:45:35,,,
2021-07-29 22:45:40,,,
2021-07-29 22:45:45,,,
2021-07-29 22:45:50,,,
2021-07-29 22:45:55,,,
2021-07-29 22:46:00,,,
2021-07-29 22:46:05,,,
2021-07-29 22:46:10,,,
2021-07-29 22:46:15,,,
2021-07-29 22:46:20,,,
2021-07-29 22:46:25,,,
2021-07-29 22:46:30,,,
2021-07-29 22:46:35,,,
2021-07-29 22:46:40,,,
2021-07-29 22:46:45,,,
2021-07-29 22:46:50,,,
2021-07-29 22:46:55,,,
2021-07-29 22:47:00,,,
2021-07-29 22:47:05,,,
2021-07-29 22:47:10,,,
2021-07-29 22:47:15,,,
2021-07-29 22:47:20,,,
2021-07-29 22:47:25,,,
2021-07-29 22:47:30,,,
2021-07-29 22:47:35,,,
2021-07-29 22:47:40,,,
2021-07-29 22:47:45,,,
2021-07-29 22:47:50,,,
2021-07-29 22:47:55,,,
2021-07-29 22:48:00,,,
2021-07-29 22:48:05,,,
2021-07-29 22:48:10,,,
2021-07-29 22:48:15,,,
2021-07-29 22:48:20,,,
2021-07-29 22:48:25,,,
2021-07-29 22:48:30,,,
2021-07-29 22:48:35,,,
2021-07-29 22:48:40,,,
2021-07-29 22:48:45,,,
2021-07-29 22:48:50,,,
2021-07-29 22:48:55,,,
2021-07-29 22:49:00,,,
2021-07-29 22:49:05,,,
2021-07-29 22:49:10,,,
2021-07-29 22:49:15,,,
2021-07-29 22:49:20,,,
2021-07-29 22:49:25,,,
2021-07-29 22:49:30,,,
2021-07-29 22:49:35,,,
2021-07-29 22:49:40,,,
2021-07-29 22:49:45,,,
2021-07-29 22:49:50,,,
2021-07-29 22:49:55,,,
2021-07-29 22:50:00,,,
2021-07-29 22:50:05,,,
2021-07-29 22:50:10,,,
2021-07-29 22:50:15,,,
2021-07-29 22:50:20,,,
2021-07-29 22:50:25,,,
2021-07-29 22:50:30,,,
2021-07-29 22:50:35,,,
2021-07-29 22:50:40,,,
2021-07-29 22:50:45,,,
2021-07-29 22:50:50,,,
2021-07-29 22:50:55,,,
2021-07-29 22:51:00,,,
2021-07-29 22:51:05,,,
2021-07-29 22:51:10,,,
2021-07-29 22:51:15,,,
2021-07-29 22:51:20,,,
2021-07-29 22:51:25,,,
2021-07-29 22:51:30,,,
2021-07-29 22:51:35,,,
2021-07-29 22:51:40,,,
2021-07-29 22:51:45,,,
2021-07-29 22:51:50,,,
2021-07-29 22:51:55,,,
2021-07-29 22:52:00,,,
2021-07-29 22:52:05,,,
2021-07-29 22:52:10,,,
2021-07-29 22:52:15,,,
2021-07-29 22:52:20,,,
2021-07-29 22:52:25,,,
2021-07-29 22:52:30,,,
2021-07-29 22:52:35,,,
2021-07-29 22:52:40,,,
2021-07-29 22:52:45,,,
2021-07-29 22:52:50,,,
2021-07-29 22:52:55,,,
2021-07-29 22:53:00,,,
2021-07-29 22:53:05,,,
2021-07-29 22:53:10,,,
2021-07-29 22:53:15,,,
2021-07-29 22:53:20,,,
2021-07-29 22:53:25,,,
2021-07-29 22:53:30,,,
2021-07-29 22:53:35,,,
2021-07-29 22:53:40,,,
2021-07-29 22:53:45,,,
2021-07-29 22:53:50,,,
2021-07-29 22:53:55,,,
2021-07-29 22:54:00,,,
2021-07-29 22:54:05,,,
2021-07-29 22:54:10,,,
2021-07-29 22:54:15,,,
2021-07-29 22:54:20,,,
2021-07-29 22:54:25,,,
2021-07-29 22:54:30,,,
2021-07-29 22:54:35,,,
2021-07-29 22:54:40,,,
2021-07-29 22:54:45,,,
2021-07-29 22:54:50,,,
2021-07-29 22:54:55,,,
2021-07-29 22:55:00,,,
2021-07-29 22:55:05,,,
2021-07-29 22:55:10,,,
2021-07-29 22:55:15,,,
2021-07-29 22:55:20,,,
2021-07-29 22:55:25,,,
2021-07-29 22:55:30,,,
2021-07-29 22:55:35,,,
2021-07-29 22:55:40,,,
2021-07-29 22:55:45,,,
2021-07-29 22:55:50,,,
2021-07-29 22:55:55,,,
2021-07-29 22:56:00,,,
2021-07-29 22:56:05,,,
2021-07-29 22:56:10,,,
2021-07-29 22:56:15,0,0,0
2021-07-29 22:56:20,0,0,0
2021-07-29 22:56:25,0,0,0
2021-07-29 22:56:30,0,0,0
2021-07-29 22:56:35,0,0,0
2021-07-29 22:56:40,0,0,0
2021-07-29 22:56:45,0,0,0
2021-07-29 22:56:50,0,0,0
2021-07-29 22:56:55,0,0,0
2021-07-29 22:57:00,0,0,0
2021-07-29 22:57:05,0,0,0
2021-07-29 22:57:10,0,2,3
2021-07-29 22:57:15,1,10,9
2021-07-29 22:57:20,2,18,11
2021-07-29 22:57:25,4,27,22
