"Time","running","pending","completed"
2021-07-29 22:56:16,0,1008,12
2021-07-29 22:56:18,6,3252,77
2021-07-29 22:56:20,65,5046,95
2021-07-29 22:56:22,143,6586,217
2021-07-29 22:56:24,230,8224,337
2021-07-29 22:56:26,285,9775,506
2021-07-29 22:56:28,346,11490,667
2021-07-29 22:56:30,396,13034,833
2021-07-29 22:56:32,452,14800,1009
2021-07-29 22:56:34,515,16290,1167
2021-07-29 22:56:36,537,17987,1339
2021-07-29 22:56:38,538,19006,1447
2021-07-29 22:56:40,538,21377,1593
2021-07-29 22:56:42,546,23036,1773
2021-07-29 22:56:44,536,24758,1956
2021-07-29 22:56:46,532,26410,2113
2021-07-29 22:56:48,525,28156,2281
2021-07-29 22:56:50,530,29863,2430
2021-07-29 22:56:52,537,31662,2522
2021-07-29 22:56:54,520,33307,2687
2021-07-29 22:56:56,547,34902,2863
2021-07-29 22:56:58,546,36675,3018
2021-07-29 22:57:00,510,38421,3188
2021-07-29 22:57:02,514,40071,3351
2021-07-29 22:57:04,531,41850,3514
2021-07-29 22:57:06,518,43458,3688
2021-07-29 22:57:08,514,45129,3850
2021-07-29 22:57:10,511,46650,3941
2021-07-29 22:57:12,531,48618,4106
2021-07-29 22:57:14,537,50251,4276
2021-07-29 22:57:16,497,51963,4439
2021-07-29 22:57:18,492,53606,4606
2021-07-29 22:57:20,485,55224,4752
2021-07-29 22:57:22,492,56867,4914
2021-07-29 22:57:24,508,58526,5072
2021-07-29 22:57:26,481,60238,5232
2021-07-29 22:57:28,505,61858,5395
2021-07-29 22:57:30,477,63473,5557
2021-07-29 22:57:32,489,65198,5704
2021-07-29 22:57:34,477,66979,5868
2021-07-29 22:57:36,501,68736,6027
2021-07-29 22:57:38,513,70277,6207
2021-07-29 22:57:40,486,71991,6360
2021-07-29 22:57:42,487,72512,6417
2021-07-29 22:57:44,475,75473,6587
2021-07-29 22:57:46,478,77164,6755
2021-07-29 22:57:48,517,78783,6919
2021-07-29 22:57:50,498,80573,7094
2021-07-29 22:57:52,515,82241,7188
2021-07-29 22:57:54,519,83949,7328
2021-07-29 22:57:56,469,85657,7494
2021-07-29 22:57:58,444,87279,7646
2021-07-29 22:58:00,438,89012,7789
2021-07-29 22:58:02,469,90693,7950
2021-07-29 22:58:04,473,92421,8103
2021-07-29 22:58:06,440,94129,8273
2021-07-29 22:58:08,430,94218,8433
2021-07-29 22:58:10,466,94072,8593
2021-07-29 22:58:12,468,93932,8753
2021-07-29 22:58:14,476,93783,8904
2021-07-29 22:58:16,479,93626,9072
2021-07-29 22:58:18,462,93387,9239
2021-07-29 22:58:20,483,93254,9386
2021-07-29 22:58:22,465,93112,9568
2021-07-29 22:58:24,483,92971,9687
2021-07-29 22:58:26,444,92836,9860
2021-07-29 22:58:28,473,92679,10023
2021-07-29 22:58:30,474,92453,10171
2021-07-29 22:58:32,473,92313,10339
2021-07-29 22:58:34,478,92155,10492
2021-07-29 22:58:36,465,92021,10665
2021-07-29 22:58:38,461,91873,10830
2021-07-29 22:58:40,477,91637,11000
2021-07-29 22:58:42,482,91483,11161
2021-07-29 22:58:44,483,91342,11308
2021-07-29 22:58:46,485,91190,11477
2021-07-29 22:58:48,475,91043,11624
2021-07-29 22:58:50,495,90896,11800
2021-07-29 22:58:52,497,90657,11964
2021-07-29 22:58:54,507,90510,12118
2021-07-29 22:58:56,484,90353,12252
2021-07-29 22:58:58,477,90205,12412
2021-07-29 22:59:00,473,90063,12552
2021-07-29 22:59:02,469,89939,12693
2021-07-29 22:59:04,451,89802,12845
2021-07-29 22:59:06,471,89661,13017
2021-07-29 22:59:08,455,89513,13181
2021-07-29 22:59:10,457,89355,13310
2021-07-29 22:59:12,478,89205,13473
2021-07-29 22:59:14,497,89040,13633
2021-07-29 22:59:16,486,88809,13799
2021-07-29 22:59:18,480,88656,13948
2021-07-29 22:59:20,480,88501,14096
2021-07-29 22:59:22,524,88341,14259
2021-07-29 22:59:24,549,88189,14415
