EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",610378605dd8797377b982d7,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_203#1624804349_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9839445074,""CompletionDate"":1624809790,""CpusProvisioned"":1,""DiskProvisioned"":426313,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5428.427888,""JobPrio"":0,""JobStartDate"":1624855946,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":782572,""MemoryUsage"":765.2294921875,""JobSimSubmitDate"":1627617436.124038,""JobSimStartDate"":1627618278.522402,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":1.7049091411648227,""WastedCost"":1.7049091411648227,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11307050_583#1624798361_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0,""CompletionDate"":1624804381,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":75,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5701.772036,""JobPrio"":0,""JobStartDate"":1624850264,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1443592,""MemoryUsage"":1410.7568359375,""JobSimSubmitDate"":1627617436.11527,""JobSimStartDate"":1627618278.540586,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0,""WastedCost"":0,""Machine"":null,""action"":""start""}]",2,0,127744,131072,compute_haswell,osg,1627618269.667968,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",610378605dd8797377b982d8,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_176#1624804349_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9946881546,""CompletionDate"":1624809996,""CpusProvisioned"":1,""DiskProvisioned"":426314,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5438.492451,""JobPrio"":0,""JobStartDate"":1624856143,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":796096,""MemoryUsage"":778.4365234375,""JobSimSubmitDate"":1627617436.181629,""JobSimStartDate"":1627618278.658738,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":1.9448986631573968,""WastedCost"":1.9448986631573968,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11314257_237#1624811511_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.99710865,""CompletionDate"":1624815778,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3993.651933,""JobPrio"":0,""JobStartDate"":1624863370,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":85640,""MemoryUsage"":84.6318359375,""JobSimSubmitDate"":1627617436.242324,""JobSimStartDate"":1627618279.188109,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,129792,131072,compute_haswell,osg,1627618270.0946996,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",610378602c521db79e61c1f4,"[{""GlobalJobId"":""login05_osgconnect_net#11299590_0#1624794765_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1793231046,""CompletionDate"":1624885947,""CpusProvisioned"":1,""DiskProvisioned"":17052512,""DiskUsage"":39344,""DiskUsage_RAW"":19556,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":90429.173106,""JobPrio"":0,""JobStartDate"":1624847101,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":729452,""MemoryUsage"":713.3544921875,""JobSimSubmitDate"":1627617435.983412,""JobSimStartDate"":1627618270.089845,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11315929_2746#1624818231_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9977599335,""CompletionDate"":1624824085,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5279.875283,""JobPrio"":0,""JobStartDate"":1624870390,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1351560,""MemoryUsage"":1320.8818359375,""JobSimSubmitDate"":1627617436.363411,""JobSimStartDate"":1627618278.929075,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627618270.1702263,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",610378605dd8797377b982d9,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_198#1624804349_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.996677144,""CompletionDate"":1624810012,""CpusProvisioned"":1,""DiskProvisioned"":426314,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5450.430686,""JobPrio"":0,""JobStartDate"":1624856147,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":792744,""MemoryUsage"":775.1630859375,""JobSimSubmitDate"":1627617436.181734,""JobSimStartDate"":1627618278.645958,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":1.914425270589134,""WastedCost"":1.914425270589134,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11316934_4586#1624827268_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959915136,""CompletionDate"":1624838908,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5389.671529,""JobPrio"":0,""JobStartDate"":1624885103,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1350664,""MemoryUsage"":1320.0068359375,""JobSimSubmitDate"":1627617436.542398,""JobSimStartDate"":1627618281.528452,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127744,131072,compute_haswell,osg,1627618248.8802383,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",610378605dd8797377b982da,"[{""GlobalJobId"":""login04_osgconnect_net#12198899_1075#1624804350_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9878814679,""CompletionDate"":1624810546,""CpusProvisioned"":1,""DiskProvisioned"":426314,""DiskUsage"":79494,""DiskUsage_RAW"":21697,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5329.152723,""JobPrio"":0,""JobStartDate"":1624856801,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":797628,""MemoryUsage"":779.9326171875,""JobSimSubmitDate"":1627617436.189251,""JobSimStartDate"":1627618275.336072,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11315929_493#1624818229_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9891888171,""CompletionDate"":1624824597,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5738.038204,""JobPrio"":0,""JobStartDate"":1624870443,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1361804,""MemoryUsage"":1330.8857421875,""JobSimSubmitDate"":1627617436.383769,""JobSimStartDate"":1627618279.431333,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127744,131072,compute_haswell,osg,1627618162.0616496,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",610378602c521db79e61c1f5,"[{""GlobalJobId"":""login05_osgconnect_net#11314257_3394#1624811513_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9947346986,""CompletionDate"":1624818719,""CpusProvisioned"":1,""DiskProvisioned"":1278939,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4919.262804,""JobPrio"":0,""JobStartDate"":1624865384,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":85276,""MemoryUsage"":84.2763671875,""JobSimSubmitDate"":1627617436.250987,""JobSimStartDate"":1627618276.449721,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11315929_435#1624818229_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9982501543,""CompletionDate"":1624824725,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5878.993547,""JobPrio"":0,""JobStartDate"":1624870428,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1359496,""MemoryUsage"":1328.6318359375,""JobSimSubmitDate"":1627617436.370242,""JobSimStartDate"":1627618279.169136,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627618162.0954888,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",610378605dd8797377b982db,"[{""GlobalJobId"":""login05_osgconnect_net#11315929_464#1624818229_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966076302,""CompletionDate"":1624823860,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5543.25877,""JobPrio"":0,""JobStartDate"":1624869901,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1351256,""MemoryUsage"":1320.5849609375,""JobSimSubmitDate"":1627617436.30539,""JobSimStartDate"":1627618277.918193,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11316934_4925#1624827268_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9969582394,""CompletionDate"":1624839082,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5472.788655,""JobPrio"":0,""JobStartDate"":1624885194,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1349828,""MemoryUsage"":1319.1904296875,""JobSimSubmitDate"":1627617436.551227,""JobSimStartDate"":1627618281.651721,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627617635.6142793,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610378602c521db79e61c1f6,"[{""GlobalJobId"":""login05_osgconnect_net#11315929_482#1624818229_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.994593316,""CompletionDate"":1624823676,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5355.881853,""JobPrio"":0,""JobStartDate"":1624869905,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1357388,""MemoryUsage"":1326.5732421875,""JobSimSubmitDate"":1627617436.310301,""JobSimStartDate"":1627618277.86935,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11316934_749#1624827264_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9850652743,""CompletionDate"":1624833571,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5364.528644,""JobPrio"":0,""JobStartDate"":1624879791,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1364700,""MemoryUsage"":1333.7138671875,""JobSimSubmitDate"":1627617436.464651,""JobSimStartDate"":1627618280.434313,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627617635.8094404,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610378605dd8797377b982dc,"[{""GlobalJobId"":""login05_osgconnect_net#11316934_3737#1624827267_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9972665837,""CompletionDate"":1624836946,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5356.837239,""JobPrio"":0,""JobStartDate"":1624883174,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1358784,""MemoryUsage"":1327.9365234375,""JobSimSubmitDate"":1627617436.502065,""JobSimStartDate"":1627618281.097533,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11316934_4933#1624827268_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9969507385,""CompletionDate"":1624839274,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5661.006736,""JobPrio"":0,""JobStartDate"":1624885198,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1319928,""MemoryUsage"":1289.9912109375,""JobSimSubmitDate"":1627617436.551295,""JobSimStartDate"":1627618281.700727,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627617744.6752806,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",610378602c521db79e61c1f7,"[{""GlobalJobId"":""login05_osgconnect_net#11311400_0#1624801557_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.164725216,""CompletionDate"":1624896426,""CpusProvisioned"":1,""DiskProvisioned"":17052512,""DiskUsage"":39332,""DiskUsage_RAW"":19556,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":90847.983031,""JobPrio"":0,""JobStartDate"":1624857163,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":718516,""MemoryUsage"":702.6748046875,""JobSimSubmitDate"":1627617436.189682,""JobSimStartDate"":1627618275.343965,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11314257_3502#1624811513_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9953234201,""CompletionDate"":1624819217,""CpusProvisioned"":1,""DiskProvisioned"":1278939,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5408.493265,""JobPrio"":0,""JobStartDate"":1624865392,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":76604,""MemoryUsage"":75.8076171875,""JobSimSubmitDate"":1627617436.253704,""JobSimStartDate"":1627618276.465395,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627617635.8067224,inuse
