"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627840425495,28,0,0
1627840426702,79,1,4
1627840426857,78,2,4
1627840427090,260,1,4
1627840427415,268,2,4
1627840427609,264,2,8
1627840428106,240,2,32
1627840428619,214,2,58
1627840429121,198,2,74
1627840429617,185,2,87
1627840430629,160,2,112
1627840431627,135,2,137
1627840432652,106,2,166
1627840433641,84,1,189
1627840434637,61,1,212
1627840435283,47,1,226
1627840435650,41,0,233
1627840436181,30,0,244
1627840436524,23,1,250
1627840436695,18,1,255
1627840436834,14,2,258
1627840436977,9,3,262
1627840437115,6,4,264
1627840437257,1,6,267
1627840437673,0,3,271
1627840438178,0,3,271
1627840438679,0,3,271
1627840439171,0,3,271
1627840439484,1,1,272
1627840439635,0,2,272
1627840439817,0,2,272
1627840439991,0,3,271
1627840440260,0,4,270
1627840440516,2,1,271
1627840440741,0,1,273
1627840441208,0,0,274
1627840441701,1,0,273
1627840442725,0,0,274
1627840443120,0,0,274
1627840443298,0,1,273
1627840443494,0,2,272
1627840443658,0,3,271
1627840443796,0,4,270
1627840443975,0,5,269
1627840444160,0,5,269
1627840444298,0,6,268
1627840444727,0,5,269
1627840445212,0,5,269
1627840445733,0,5,269
1627840446255,0,5,269
1627840446736,0,5,269
1627840447231,0,5,269
1627840447562,0,6,268
1627840447769,0,7,267
1627840447943,0,7,267
1627840448121,0,7,267
1627840448319,0,8,266
1627840448774,0,5,269
1627840449263,0,5,269
1627840449771,0,5,269
1627840450265,0,5,269
1627840450788,0,5,269
1627840451270,0,4,270
1627840451793,0,0,274
1627840452293,0,0,274
1627840452804,0,0,274
1627840453303,0,0,274
1627840453449,0,1,273
1627840453801,0,1,273
1627840454298,0,1,273
1627840454813,0,1,273
1627840455311,0,1,273
1627840455628,0,2,272
1627840455799,1,2,271
1627840455963,0,3,271
1627840456156,0,4,270
1627840456326,0,5,269
1627840456525,2,3,269
1627840456836,0,1,273
1627840457855,0,1,273
1627840458046,0,2,272
1627840458334,0,1,273
1627840458850,0,1,273
1627840459363,0,1,273
1627840459860,0,1,273
1627840460353,0,1,273
1627840460869,0,1,273
1627840461363,0,1,273
1627840461884,0,1,273
1627840462372,0,1,273
1627840462880,0,1,273
1627840463369,0,1,273
1627840463689,0,2,272
1627840463902,1,2,271
1627840464125,0,3,271
1627840464321,0,4,270
1627840464519,1,4,269
1627840464708,3,2,269
1627840464928,0,1,273
1627840465720,0,1,273
1627840465889,0,2,272
1627840466098,0,3,271
1627840466354,0,4,270
1627840466582,1,4,269
1627840466826,2,3,269
1627840467121,1,2,271
1627840467310,0,2,272
1627840467463,0,9,265
1627840467665,0,9,265
1627840467944,0,8,266
1627840468430,0,8,266
1627840468969,0,8,266
1627840469452,0,8,266
1627840469950,0,8,266
1627840470458,0,8,266
1627840470953,0,8,266
1627840471444,0,8,266
1627840471785,0,9,265
1627840471987,0,10,264
1627840472158,0,10,264
1627840472329,0,11,263
1627840472574,1,11,262
1627840472791,3,8,263
1627840472990,1,8,265
1627840473494,0,8,266
1627840473986,0,8,266
1627840474480,1,8,265
1627840474742,0,9,265
1627840474998,0,9,265
1627840475199,0,10,264
1627840475490,0,10,264
1627840476009,0,10,264
1627840476521,0,10,264
1627840477017,0,10,264
1627840477505,0,10,264
1627840478022,0,10,264
1627840478509,0,10,264
1627840479036,0,10,264
1627840479518,0,10,264
1627840479972,0,10,264
1627840480186,0,11,263
1627840481052,0,10,264
1627840481596,0,11,263
1627840482110,0,11,263
1627840482652,0,11,263
1627840482831,1,11,262
1627840483002,0,12,262
1627840483247,1,11,262
1627840483418,0,11,263
1627840484150,0,10,264
1627840485134,0,10,264
1627840485282,0,12,262
1627840486144,0,23,251
1627840487111,0,22,252
1627840487324,0,23,251
1627840487920,0,23,251
1627840488142,0,24,250
1627840488343,0,24,250
1627840490259,0,25,249
1627840490461,0,26,248
1627840490643,0,26,248
1627840490985,1,23,250
1627840491290,0,23,251
1627840491694,0,23,251
1627840491894,0,23,251
1627840492186,1,23,250
1627840493155,0,24,250
1627840493299,0,25,249
1627840494216,0,25,249
1627840495225,0,25,249
1627840496086,1,25,248
1627840496295,0,26,248
1627840496497,0,27,247
1627840496660,0,27,247
1627840496857,0,28,246
1627840497282,1,25,248
1627840497491,0,27,247
1627840497672,1,32,241
1627840498199,0,32,242
1627840498431,0,33,241
1627840499267,0,34,240
1627840500339,0,35,239
1627840501758,0,33,241
1627840502323,0,33,241
1627840503283,0,33,241
1627840504148,1,33,240
1627840504386,0,34,240
1627840504590,0,35,239
1627840504800,0,36,238
1627840505013,0,36,238
1627840505389,1,33,240
1627840506268,0,24,250
1627840506439,0,25,249
1627840507328,0,23,251
1627840508334,0,22,252
1627840509268,0,22,252
1627840509567,0,28,246
1627840510387,0,27,247
1627840511352,0,27,247
1627840512311,0,28,246
1627840512496,0,29,245
1627840512735,0,29,245
1627840512906,0,30,244
1627840513423,1,27,246
1627840514415,1,27,246
1627840515353,1,19,254
1627840515537,0,20,254
1627840516344,0,19,255
1627840516544,0,20,254
1627840517840,0,19,255
1627840518024,0,20,254
1627840518916,0,20,254
1627840519910,0,20,254
1627840520885,0,19,255
1627840521295,0,20,254
1627840521839,0,20,254
1627840522389,0,19,255
1627840522556,0,20,254
1627840523453,0,20,254
1627840524116,0,21,253
1627840524420,0,28,246
1627840524587,0,29,245
1627840524992,0,33,241
1627840525161,0,40,234
1627840525435,1,49,224
1627840525569,0,50,224
1627840526535,2,54,218
1627840527499,2,54,218
1627840528678,0,57,217
1627840529564,1,54,219
1627840530566,0,54,220
1627840531559,0,54,220
1627840532487,0,45,229
1627840532644,0,46,228
1627840532982,0,46,228
1627840533157,0,47,227
1627840533502,1,37,236
1627840533709,0,38,236
1627840534557,0,38,236
1627840535561,0,38,236
1627840536454,1,38,235
1627840536671,0,39,235
1627840536823,0,40,234
1627840537071,0,41,233
1627840537277,0,41,233
1627840537612,2,38,234
1627840538662,0,38,236
1627840539557,0,39,235
1627840539744,0,40,234
1627840540641,1,40,233
1627840541651,0,38,236
1627840542714,0,38,236
1627840543607,0,37,237
1627840543791,0,38,236
1627840544511,0,38,236
1627840544738,0,39,235
1627840544895,0,40,234
1627840545087,0,41,233
1627840545241,0,41,233
1627840545703,0,38,236
1627840546707,0,38,236
1627840547653,0,36,238
1627840547825,0,37,237
1627840548691,0,37,237
1627840549241,0,39,235
1627840549662,0,39,235
1627840549846,0,40,234
1627840550760,0,40,234
1627840551751,0,40,234
1627840552674,0,41,233
1627840552851,0,42,232
1627840553078,1,42,231
1627840553249,0,43,231
1627840553787,1,40,233
1627840554787,0,41,233
1627840555766,0,40,234
1627840556750,0,40,234
1627840556897,0,41,233
1627840557771,0,38,236
1627840557941,0,40,234
1627840558223,1,42,231
1627840558750,0,42,232
1627840558929,0,43,231
1627840559819,2,43,229
1627840560816,0,45,229
1627840561045,0,46,228
1627840561294,0,46,228
1627840561836,1,43,230
1627840562808,0,42,232
1627840563000,0,43,231
1627840563858,0,43,231
1627840564843,0,41,233
1627840565048,0,42,232
1627840565827,0,41,233
1627840566037,0,42,232
1627840566817,0,41,233
1627840567018,0,42,232
1627840567867,0,42,232
1627840568836,0,43,231
1627840569026,1,43,230
1627840569212,0,44,230
1627840569405,0,45,229
1627840569914,0,42,232
