"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 22:56:16,5.02,0.386,4.63
2021-07-29 22:56:18,6.93,1.09,5.84
2021-07-29 22:56:20,12.8,0.730,11.7
2021-07-29 22:56:22,27.4,1.09,26.6
2021-07-29 22:56:24,43.1,0.365,42.7
2021-07-29 22:56:26,53.3,1.46,51.8
2021-07-29 22:56:28,64.6,1.09,63.9
2021-07-29 22:56:30,74.1,0.730,73.0
2021-07-29 22:56:32,85.4,0,85.4
2021-07-29 22:56:34,99.6,2.19,97.8
2021-07-29 22:56:36,100,2.19,98.2
2021-07-29 22:56:38,100,2.92,97.1
2021-07-29 22:56:40,99.6,1.82,97.8
2021-07-29 22:56:42,99.3,0,99.6
2021-07-29 22:56:44,99.6,0.730,99.3
2021-07-29 22:56:46,99.6,1.82,97.8
2021-07-29 22:56:48,99.6,0.365,99.6
2021-07-29 22:56:50,99.6,0.365,99.6
2021-07-29 22:56:52,99.6,0.365,98.9
2021-07-29 22:56:54,99.6,1.82,97.8
2021-07-29 22:56:56,100,1.82,97.8
2021-07-29 22:56:58,99.3,2.92,97.1
2021-07-29 22:57:00,99.6,2.92,97.1
2021-07-29 22:57:02,99.6,4.38,95.6
2021-07-29 22:57:04,99.6,2.92,96.7
2021-07-29 22:57:06,99.6,4.01,96.0
2021-07-29 22:57:08,99.6,3.65,96.4
2021-07-29 22:57:10,99.6,4.01,96.0
2021-07-29 22:57:12,99.6,4.38,95.3
2021-07-29 22:57:14,99.3,3.65,96.4
2021-07-29 22:57:16,99.6,8.03,92.0
2021-07-29 22:57:18,99.6,9.49,90.1
2021-07-29 22:57:20,99.6,8.39,91.6
2021-07-29 22:57:22,99.6,9.49,90.5
2021-07-29 22:57:24,99.3,9.49,90.5
2021-07-29 22:57:26,99.6,11.3,88.7
2021-07-29 22:57:28,99.6,11.7,88.0
2021-07-29 22:57:30,98.9,14.2,85.8
2021-07-29 22:57:32,99.6,12.0,87.6
2021-07-29 22:57:34,100,13.1,86.9
2021-07-29 22:57:36,98.9,9.12,90.5
2021-07-29 22:57:38,100,8.03,92.0
2021-07-29 22:57:40,99.6,9.85,90.1
2021-07-29 22:57:42,99.6,10.6,89.1
2021-07-29 22:57:44,99.6,11.3,88.7
2021-07-29 22:57:46,97.1,7.66,90.1
2021-07-29 22:57:48,99.3,6.93,92.7
2021-07-29 22:57:50,99.3,6.93,93.1
2021-07-29 22:57:52,99.6,8.39,91.6
2021-07-29 22:57:54,99.6,7.30,92.7
2021-07-29 22:57:56,99.6,21.5,78.5
2021-07-29 22:57:58,99.6,20.8,80.3
2021-07-29 22:58:00,98.9,19.7,79.9
2021-07-29 22:58:02,98.5,16.8,83.2
2021-07-29 22:58:04,99.6,13.9,86.5
2021-07-29 22:58:06,99.6,14.6,85.4
2021-07-29 22:58:08,98.9,13.5,86.5
2021-07-29 22:58:10,99.6,15.0,85.0
2021-07-29 22:58:12,99.6,13.5,86.5
2021-07-29 22:58:14,99.6,14.2,85.8
2021-07-29 22:58:16,99.6,13.5,86.5
2021-07-29 22:58:18,100,13.1,86.9
2021-07-29 22:58:20,99.6,14.6,85.4
2021-07-29 22:58:22,99.6,15.3,84.7
2021-07-29 22:58:24,99.3,14.2,85.8
2021-07-29 22:58:26,99.6,14.6,84.7
2021-07-29 22:58:28,99.3,14.2,85.8
2021-07-29 22:58:30,99.3,15.0,85.0
2021-07-29 22:58:32,98.9,15.3,84.7
2021-07-29 22:58:34,99.3,14.2,85.4
2021-07-29 22:58:36,99.6,14.2,85.8
2021-07-29 22:58:38,99.6,15.7,84.3
2021-07-29 22:58:40,99.3,14.6,85.4
2021-07-29 22:58:42,98.9,14.6,85.4
2021-07-29 22:58:44,99.6,15.0,85.0
2021-07-29 22:58:46,100,12.4,86.9
2021-07-29 22:58:48,99.6,12.4,87.6
2021-07-29 22:58:50,99.6,14.6,85.0
2021-07-29 22:58:52,99.6,13.5,88.0
2021-07-29 22:58:54,99.3,10.6,89.4
2021-07-29 22:58:56,99.3,12.0,87.6
2021-07-29 22:58:58,99.6,11.3,88.7
2021-07-29 22:59:00,100,14.2,85.8
2021-07-29 22:59:02,99.6,16.4,83.6
2021-07-29 22:59:04,97.8,17.2,80.7
2021-07-29 22:59:06,99.6,17.9,82.8
2021-07-29 22:59:08,99.3,17.2,82.8
2021-07-29 22:59:10,99.3,16.8,83.2
2021-07-29 22:59:12,99.3,17.2,82.5
2021-07-29 22:59:14,100,12.4,87.2
2021-07-29 22:59:16,99.6,12.8,87.2
2021-07-29 22:59:18,99.3,12.4,87.6
2021-07-29 22:59:20,99.3,12.0,88.0
2021-07-29 22:59:22,99.3,6.93,93.1
2021-07-29 22:59:24,99.6,4.01,96.0
2021-07-29 22:59:26,99.6,5.84,94.2
2021-07-29 22:59:28,97.8,2.92,96.4
2021-07-29 22:59:30,99.3,4.38,94.9
2021-07-29 22:59:32,98.9,3.65,96.4
2021-07-29 22:59:34,100,5.11,94.5
2021-07-29 22:59:36,99.3,4.38,96.0
2021-07-29 22:59:38,99.3,5.84,94.2
2021-07-29 22:59:40,99.3,4.74,95.3
2021-07-29 22:59:42,98.9,13.9,88.7
2021-07-29 22:59:44,99.6,10.6,89.1
2021-07-29 22:59:46,99.3,9.49,90.5
2021-07-29 22:59:48,99.6,12.0,87.6
2021-07-29 22:59:50,99.6,11.7,88.0
2021-07-29 22:59:52,99.3,13.5,86.1
2021-07-29 22:59:54,100,15.3,84.7
2021-07-29 22:59:56,98.9,13.1,85.8
2021-07-29 22:59:58,100,11.7,88.3
2021-07-29 23:00:00,99.6,11.3,88.0
2021-07-29 23:00:02,99.6,13.5,86.5
2021-07-29 23:00:04,98.5,12.8,87.2
2021-07-29 23:00:06,99.6,21.9,77.7
2021-07-29 23:00:08,98.9,23.0,77.7
2021-07-29 23:00:10,99.3,20.8,79.2
2021-07-29 23:00:12,99.6,21.9,78.1
2021-07-29 23:00:14,99.6,50.7,49.3
2021-07-29 23:00:16,99.3,53.6,46.4
2021-07-29 23:00:18,99.6,54.7,45.3
2021-07-29 23:00:20,98.9,91.6,7.30
2021-07-29 23:00:22,79.9,59.5,20.4
2021-07-29 23:00:24,94.5,60.9,33.9
2021-07-29 23:00:26,80.7,35.0,45.6
2021-07-29 23:00:28,95.6,36.9,58.8
2021-07-29 23:00:30,99.6,63.1,36.9
2021-07-29 23:00:32,99.3,85.0,15.0
2021-07-29 23:00:34,98.2,89.1,10.9
2021-07-29 23:00:36,98.5,82.1,19.7
2021-07-29 23:00:38,80.7,55.1,25.5
2021-07-29 23:00:40,85.8,49.3,37.2
2021-07-29 23:00:42,99.6,51.1,48.2
2021-07-29 23:00:44,78.5,25.2,53.3
2021-07-29 23:00:46,87.2,27.0,60.2
2021-07-29 23:00:48,99.6,25.9,72.6
2021-07-29 23:00:50,99.6,61.7,38.3
2021-07-29 23:00:52,96.0,57.3,42.7
2021-07-29 23:00:54,99.3,58.8,42.3
2021-07-29 23:00:56,98.9,59.9,39.4
2021-07-29 23:00:58,97.8,55.8,42.0
2021-07-29 23:01:00,75.5,29.6,46.0
2021-07-29 23:01:02,79.6,26.6,52.9
2021-07-29 23:01:04,87.6,24.1,63.9
2021-07-29 23:01:06,97.1,24.8,73.4
2021-07-29 23:01:08,99.6,21.2,78.5
2021-07-29 23:01:10,89.4,10.2,79.9
2021-07-29 23:01:12,94.5,9.49,86.5
2021-07-29 23:01:14,98.2,7.66,92.3
2021-07-29 23:01:16,98.9,21.9,77.7
2021-07-29 23:01:18,99.3,24.1,75.9
2021-07-29 23:01:20,88.7,9.49,79.6
2021-07-29 23:01:22,93.8,10.9,82.8
2021-07-29 23:01:24,97.8,8.03,89.8
2021-07-29 23:01:26,98.2,6.57,93.1
2021-07-29 23:01:28,99.3,5.84,94.2
2021-07-29 23:01:30,99.6,6.93,93.1
2021-07-29 23:01:32,95.3,11.3,90.5
2021-07-29 23:01:34,98.5,6.93,93.8
2021-07-29 23:01:36,98.5,5.11,95.3
2021-07-29 23:01:38,100,24.5,75.2
2021-07-29 23:01:40,99.3,28.5,74.5
2021-07-29 23:01:42,99.6,33.6,66.4
2021-07-29 23:01:44,99.3,26.3,73.4
2021-07-29 23:01:46,99.3,27.4,73.7
2021-07-29 23:01:48,98.9,27.4,72.3
2021-07-29 23:01:50,100,27.7,73.0
2021-07-29 23:01:52,99.6,28.1,71.9
2021-07-29 23:01:54,98.5,30.3,69.7
2021-07-29 23:01:56,99.3,32.8,67.2
2021-07-29 23:01:58,99.6,31.0,69.0
2021-07-29 23:02:00,100,34.3,65.7
2021-07-29 23:02:02,100,36.5,63.5
2021-07-29 23:02:04,99.6,37.6,62.4
2021-07-29 23:02:06,99.6,34.3,66.1
2021-07-29 23:02:08,99.3,35.8,63.9
2021-07-29 23:02:10,99.6,34.3,65.3
2021-07-29 23:02:12,98.5,32.1,67.9
2021-07-29 23:02:14,99.6,33.2,66.4
2021-07-29 23:02:16,99.3,33.9,66.1
2021-07-29 23:02:18,100,46.0,54.0
2021-07-29 23:02:20,99.6,67.5,32.5
2021-07-29 23:02:22,99.6,71.9,28.1
2021-07-29 23:02:24,93.8,76.3,23.4
2021-07-29 23:02:26,96.4,70.1,26.3
2021-07-29 23:02:28,98.9,69.7,28.8
2021-07-29 23:02:30,99.6,78.1,21.2
2021-07-29 23:02:32,98.9,80.3,18.2
2021-07-29 23:02:34,94.9,66.4,28.5
2021-07-29 23:02:36,90.5,48.9,42.0
2021-07-29 23:02:38,94.5,41.2,53.6
2021-07-29 23:02:40,98.5,40.9,57.7
2021-07-29 23:02:42,96.4,39.1,58.8
2021-07-29 23:02:44,97.4,31.8,67.5
2021-07-29 23:02:46,98.9,25.9,74.1
2021-07-29 23:02:48,99.6,28.8,71.2
2021-07-29 23:02:50,98.9,29.2,70.8
2021-07-29 23:02:52,78.8,12.4,66.4
2021-07-29 23:02:54,84.3,6.57,77.4
2021-07-29 23:02:56,93.1,8.39,85.4
2021-07-29 23:02:58,99.6,16.4,83.6
2021-07-29 23:03:00,100,22.6,77.4
2021-07-29 23:03:02,97.4,36.9,63.1
2021-07-29 23:03:04,97.1,41.2,58.8
2021-07-29 23:03:06,95.3,43.1,53.6
2021-07-29 23:03:08,98.5,46.7,53.3
2021-07-29 23:03:10,93.8,35.8,58.0
2021-07-29 23:03:12,99.6,39.1,60.9
2021-07-29 23:03:14,97.8,41.6,58.4
2021-07-29 23:03:16,98.9,39.8,60.2
2021-07-29 23:03:18,98.9,39.4,59.1
2021-07-29 23:03:20,98.5,46.4,53.6
2021-07-29 23:03:22,99.3,52.6,47.1
2021-07-29 23:03:24,97.4,52.2,46.4
2021-07-29 23:03:26,98.2,61.3,38.0
