"Time","unused terminations","success termination","immediate termination"
2021-07-29 21:38:05,,,
2021-07-29 21:38:10,,,
2021-07-29 21:38:15,,,
2021-07-29 21:38:20,,,
2021-07-29 21:38:25,,,
2021-07-29 21:38:30,,,
2021-07-29 21:38:35,,,
2021-07-29 21:38:40,,,
2021-07-29 21:38:45,,,
2021-07-29 21:38:50,,,
2021-07-29 21:38:55,,,
2021-07-29 21:39:00,,,
2021-07-29 21:39:05,,,
2021-07-29 21:39:10,,,
2021-07-29 21:39:15,,,
2021-07-29 21:39:20,,,
2021-07-29 21:39:25,,,
2021-07-29 21:39:30,,,
2021-07-29 21:39:35,,,
2021-07-29 21:39:40,,,
2021-07-29 21:39:45,,,
2021-07-29 21:39:50,,,
2021-07-29 21:39:55,,,
2021-07-29 21:40:00,,,
2021-07-29 21:40:05,,,
2021-07-29 21:40:10,,,
2021-07-29 21:40:15,,,
2021-07-29 21:40:20,,,
2021-07-29 21:40:25,,,
2021-07-29 21:40:30,,,
2021-07-29 21:40:35,,,
2021-07-29 21:40:40,,,
2021-07-29 21:40:45,,,
2021-07-29 21:40:50,,,
2021-07-29 21:40:55,,,
2021-07-29 21:41:00,,,
2021-07-29 21:41:05,,,
2021-07-29 21:41:10,,,
2021-07-29 21:41:15,,,
2021-07-29 21:41:20,,,
2021-07-29 21:41:25,,,
2021-07-29 21:41:30,,,
2021-07-29 21:41:35,,,
2021-07-29 21:41:40,,,
2021-07-29 21:41:45,,,
2021-07-29 21:41:50,,,
2021-07-29 21:41:55,,,
2021-07-29 21:42:00,,,
2021-07-29 21:42:05,,,
2021-07-29 21:42:10,,,
2021-07-29 21:42:15,,,
2021-07-29 21:42:20,,,
2021-07-29 21:42:25,,,
2021-07-29 21:42:30,,,
2021-07-29 21:42:35,,,
2021-07-29 21:42:40,,,
2021-07-29 21:42:45,,,
2021-07-29 21:42:50,,,
2021-07-29 21:42:55,,,
2021-07-29 21:43:00,,,
2021-07-29 21:43:05,,,
2021-07-29 21:43:10,,,
2021-07-29 21:43:15,,,
2021-07-29 21:43:20,,,
2021-07-29 21:43:25,,,
2021-07-29 21:43:30,,,
2021-07-29 21:43:35,,,
2021-07-29 21:43:40,,,
2021-07-29 21:43:45,,,
2021-07-29 21:43:50,,,
2021-07-29 21:43:55,,,
2021-07-29 21:44:00,,,
2021-07-29 21:44:05,,,
2021-07-29 21:44:10,,,
2021-07-29 21:44:15,,,
2021-07-29 21:44:20,,,
2021-07-29 21:44:25,,,
2021-07-29 21:44:30,,,
2021-07-29 21:44:35,,,
2021-07-29 21:44:40,,,
2021-07-29 21:44:45,,,
2021-07-29 21:44:50,,,
2021-07-29 21:44:55,,,
2021-07-29 21:45:00,,,
2021-07-29 21:45:05,,,
2021-07-29 21:45:10,,,
2021-07-29 21:45:15,,,
2021-07-29 21:45:20,0,0,0
2021-07-29 21:45:25,0,0,0
2021-07-29 21:45:30,0,0,0
2021-07-29 21:45:35,0,0,0
2021-07-29 21:45:40,0,0,0
2021-07-29 21:45:45,0,0,0
2021-07-29 21:45:50,0,0,0
2021-07-29 21:45:55,0,0,0
2021-07-29 21:46:00,0,0,0
2021-07-29 21:46:05,0,0,0
2021-07-29 21:46:10,0,0,0
2021-07-29 21:46:15,1,5,3
2021-07-29 21:46:20,1,8,8
2021-07-29 21:46:25,3,20,10
2021-07-29 21:46:30,5,30,21
2021-07-29 21:46:35,9,40,25
2021-07-29 21:46:40,9,46,25
2021-07-29 21:46:45,12,56,27
2021-07-29 21:46:50,12,60,30
2021-07-29 21:46:55,15,70,47
2021-07-29 21:47:00,28,91,58
2021-07-29 21:47:05,28,97,60
2021-07-29 21:47:10,30,108,65
2021-07-29 21:47:15,31,115,68
2021-07-29 21:47:20,32,126,70
2021-07-29 21:47:25,34,134,73
2021-07-29 21:47:30,37,146,78
2021-07-29 21:47:35,39,156,81
2021-07-29 21:47:40,39,162,86
2021-07-29 21:47:45,43,171,87
2021-07-29 21:47:50,43,171,94
2021-07-29 21:47:55,55,176,94
2021-07-29 21:48:00,58,186,99
2021-07-29 21:48:05,58,197,113
2021-07-29 21:48:10,66,205,115
2021-07-29 21:48:15,66,210,119
2021-07-29 21:48:20,69,222,121
2021-07-29 21:48:25,69,226,121
2021-07-29 21:48:30,70,237,123
2021-07-29 21:48:35,72,248,127
2021-07-29 21:48:40,74,256,133
2021-07-29 21:48:45,83,264,155
2021-07-29 21:48:50,87,270,162
2021-07-29 21:48:55,89,282,168
2021-07-29 21:49:00,90,290,170
2021-07-29 21:49:05,96,299,174
2021-07-29 21:49:10,100,309,201
2021-07-29 21:49:15,114,318,202
2021-07-29 21:49:20,116,329,215
2021-07-29 21:49:25,121,335,294
2021-07-29 21:49:30,144,341,294
2021-07-29 21:49:35,151,342,296
2021-07-29 21:49:40,176,345,364
2021-07-29 21:49:45,187,347,364
2021-07-29 21:49:50,187,347,364
2021-07-29 21:49:55,187,354,431
2021-07-29 21:50:00,216,377,431
2021-07-29 21:50:05,217,381,438
2021-07-29 21:50:10,217,381,438
2021-07-29 21:50:15,217,381,439
2021-07-29 21:50:20,230,384,439
2021-07-29 21:50:25,239,397,478
2021-07-29 21:50:30,255,398,478
2021-07-29 21:50:35,262,401,479
2021-07-29 21:50:40,284,408,480
2021-07-29 21:50:45,294,410,483
2021-07-29 21:50:50,330,411,541
2021-07-29 21:50:55,354,416,541
2021-07-29 21:51:00,355,430,548
2021-07-29 21:51:05,357,438,550
2021-07-29 21:51:10,359,445,559
2021-07-29 21:51:15,363,453,566
2021-07-29 21:51:20,365,460,567
2021-07-29 21:51:25,377,466,594
2021-07-29 21:51:30,377,466,654
2021-07-29 21:51:35,407,496,655
2021-07-29 21:51:40,418,497,682
2021-07-29 21:51:45,418,501,691
2021-07-29 21:51:50,419,501,691
2021-07-29 21:51:55,424,506,691
2021-07-29 21:52:00,425,509,702
2021-07-29 21:52:05,454,512,702
2021-07-29 21:52:10,454,512,702
2021-07-29 21:52:15,467,518,743
2021-07-29 21:52:20,500,526,786
2021-07-29 21:52:25,504,529,794
2021-07-29 21:52:30,515,539,803
2021-07-29 21:52:35,520,557,841
2021-07-29 21:52:40,529,580,855
2021-07-29 21:52:45,534,590,872
2021-07-29 21:52:50,554,611,873
2021-07-29 21:52:55,559,615,873
2021-07-29 21:53:00,573,626,891
2021-07-29 21:53:05,573,630,891
2021-07-29 21:53:10,581,638,906
2021-07-29 21:53:15,592,648,906
2021-07-29 21:53:20,593,654,915
2021-07-29 21:53:25,623,660,915
2021-07-29 21:53:30,623,660,915
2021-07-29 21:53:35,624,661,918
2021-07-29 21:53:40,638,665,918
2021-07-29 21:53:45,638,665,943
2021-07-29 21:53:50,658,674,947
2021-07-29 21:53:55,658,674,997
2021-07-29 21:54:00,684,695,998
2021-07-29 21:54:05,684,695,998
2021-07-29 21:54:10,684,695,998
2021-07-29 21:54:15,686,701,1008
2021-07-29 21:54:20,691,705,1014
2021-07-29 21:54:25,696,722,1019
2021-07-29 21:54:30,696,735,1027
2021-07-29 21:54:35,698,744,1030
2021-07-29 21:54:40,698,747,1030
2021-07-29 21:54:45,704,747,1030
2021-07-29 21:54:50,704,748,1032
2021-07-29 21:54:55,720,756,1036
2021-07-29 21:55:00,733,760,1037
2021-07-29 21:55:05,733,772,1039
2021-07-29 21:55:10,735,777,1039
2021-07-29 21:55:15,741,777,1039
2021-07-29 21:55:20,744,787,1040
2021-07-29 21:55:25,749,791,1043
2021-07-29 21:55:30,751,800,1048
2021-07-29 21:55:35,755,821,1061
2021-07-29 21:55:40,768,829,1061
2021-07-29 21:55:45,772,840,1071
2021-07-29 21:55:50,773,850,1086
2021-07-29 21:55:55,773,850,1086
2021-07-29 21:56:00,773,858,1089
2021-07-29 21:56:05,775,869,1091
2021-07-29 21:56:10,777,882,1094
2021-07-29 21:56:15,787,885,1122
2021-07-29 21:56:20,792,893,1135
2021-07-29 21:56:25,796,904,1135
2021-07-29 21:56:30,803,911,1135
2021-07-29 21:56:35,806,920,1135
2021-07-29 21:56:40,807,924,1138
2021-07-29 21:56:45,822,930,1140
2021-07-29 21:56:50,822,932,1140
2021-07-29 21:56:55,822,938,1158
2021-07-29 21:57:00,826,961,1161
2021-07-29 21:57:05,833,969,1172
2021-07-29 21:57:10,842,972,1174
2021-07-29 21:57:15,844,979,1175
2021-07-29 21:57:20,846,980,1179
2021-07-29 21:57:25,850,989,1186
2021-07-29 21:57:30,853,998,1188
2021-07-29 21:57:35,868,1005,1225
