"Time","running","pending","completed"
2021-07-29 21:45:20,22,1519,21
2021-07-29 21:45:22,0,3167,84
2021-07-29 21:45:24,59,5226,107
2021-07-29 21:45:26,151,6911,200
2021-07-29 21:45:28,226,8610,351
2021-07-29 21:45:30,289,10232,509
2021-07-29 21:45:32,337,11992,677
2021-07-29 21:45:34,409,13642,824
2021-07-29 21:45:36,484,15261,990
2021-07-29 21:45:38,537,16922,1134
2021-07-29 21:45:40,517,18781,1314
2021-07-29 21:45:42,539,20313,1481
2021-07-29 21:45:44,542,22084,1648
2021-07-29 21:45:46,548,23810,1829
2021-07-29 21:45:48,528,25558,1994
2021-07-29 21:45:50,547,27326,2069
2021-07-29 21:45:52,547,28956,2222
2021-07-29 21:45:54,546,30671,2366
2021-07-29 21:45:56,527,32279,2533
2021-07-29 21:45:58,520,33858,2693
2021-07-29 21:46:00,524,35576,2841
2021-07-29 21:46:02,516,37219,3004
2021-07-29 21:46:04,532,38946,3177
2021-07-29 21:46:06,507,40469,3345
2021-07-29 21:46:08,530,42135,3505
2021-07-29 21:46:10,516,43831,3674
2021-07-29 21:46:12,508,45539,3828
2021-07-29 21:46:14,530,47183,4014
2021-07-29 21:46:16,507,48733,4178
2021-07-29 21:46:18,530,50385,4326
2021-07-29 21:46:20,493,52008,4482
2021-07-29 21:46:22,493,53837,4557
2021-07-29 21:46:24,488,55479,4706
2021-07-29 21:46:26,485,57123,4851
2021-07-29 21:46:28,503,58746,5012
2021-07-29 21:46:30,471,60438,5175
2021-07-29 21:46:32,498,62013,5337
2021-07-29 21:46:34,455,63552,5503
2021-07-29 21:46:36,483,65166,5646
2021-07-29 21:46:38,466,66765,5809
2021-07-29 21:46:40,494,68392,5957
2021-07-29 21:46:42,505,70008,6130
2021-07-29 21:46:44,482,71560,6293
2021-07-29 21:46:46,476,73152,6455
2021-07-29 21:46:48,496,74696,6627
2021-07-29 21:46:50,511,76295,6785
2021-07-29 21:46:52,511,77943,6881
2021-07-29 21:46:54,495,79742,7002
2021-07-29 21:46:56,496,81283,7134
2021-07-29 21:46:58,478,83079,7296
2021-07-29 21:47:00,429,84596,7457
2021-07-29 21:47:02,446,86327,7604
2021-07-29 21:47:04,421,87983,7762
2021-07-29 21:47:06,458,89634,7908
2021-07-29 21:47:08,470,91294,8086
2021-07-29 21:47:10,420,92883,8242
2021-07-29 21:47:12,418,94251,8404
2021-07-29 21:47:14,442,94105,8563
2021-07-29 21:47:16,449,93963,8727
2021-07-29 21:47:18,459,93827,8891
2021-07-29 21:47:20,460,93589,9045
2021-07-29 21:47:22,440,93434,9212
2021-07-29 21:47:24,440,93369,9323
2021-07-29 21:47:26,447,93231,9451
2021-07-29 21:47:28,441,93083,9613
2021-07-29 21:47:30,438,92936,9766
2021-07-29 21:47:32,424,92792,9916
2021-07-29 21:47:34,417,92652,10079
2021-07-29 21:47:36,443,92496,10226
2021-07-29 21:47:38,437,92257,10398
2021-07-29 21:47:40,460,92118,10544
2021-07-29 21:47:42,447,91977,10709
2021-07-29 21:47:44,444,91853,10861
2021-07-29 21:47:46,440,91695,11018
2021-07-29 21:47:48,445,91454,11180
2021-07-29 21:47:50,459,91309,11335
2021-07-29 21:47:52,452,91160,11507
2021-07-29 21:47:54,455,91027,11679
2021-07-29 21:47:56,477,90953,11741
2021-07-29 21:47:58,457,90818,11883
2021-07-29 21:48:00,474,90575,12055
2021-07-29 21:48:02,467,90421,12208
2021-07-29 21:48:04,462,90287,12377
2021-07-29 21:48:06,448,90148,12521
2021-07-29 21:48:08,424,90010,12684
2021-07-29 21:48:10,429,89873,12852
2021-07-29 21:48:12,430,89731,12986
2021-07-29 21:48:14,452,89571,13149
2021-07-29 21:48:16,457,89422,13290
2021-07-29 21:48:18,469,89162,13475
2021-07-29 21:48:20,477,89019,13619
2021-07-29 21:48:22,458,88878,13776
2021-07-29 21:48:24,461,88712,13932
2021-07-29 21:48:26,502,88555,14084
2021-07-29 21:48:28,508,88489,14155
2021-07-29 21:48:30,518,88326,14312
2021-07-29 21:48:32,499,88186,14457
2021-07-29 21:48:34,531,88042,14614
2021-07-29 21:48:36,509,87889,14767
2021-07-29 21:48:38,502,87728,14921
2021-07-29 21:48:40,500,87594,15084
2021-07-29 21:48:42,527,87354,15226
2021-07-29 21:48:44,503,87230,15373
2021-07-29 21:48:46,523,87115,15527
2021-07-29 21:48:48,478,86972,15685
2021-07-29 21:48:50,462,86822,15837
2021-07-29 21:48:52,495,86667,15994
2021-07-29 21:48:54,475,86540,16137
2021-07-29 21:48:56,472,86392,16285
2021-07-29 21:48:58,466,86242,16442
2021-07-29 21:49:00,463,86178,16506
2021-07-29 21:49:02,477,86036,16663
2021-07-29 21:49:04,478,85788,16822
2021-07-29 21:49:06,483,85646,16959
2021-07-29 21:49:08,461,85597,17117
2021-07-29 21:49:10,458,85350,17275
2021-07-29 21:49:12,447,85251,17431
2021-07-29 21:49:14,404,85113,17579
2021-07-29 21:49:16,411,84976,17728
2021-07-29 21:49:18,432,84828,17870
2021-07-29 21:49:20,420,84696,18009
2021-07-29 21:49:22,335,84711,18144
2021-07-29 21:49:24,277,84593,18247
2021-07-29 21:49:26,246,84686,18384
2021-07-29 21:49:28,219,84622,18423
2021-07-29 21:49:30,170,84474,18481
2021-07-29 21:49:32,198,84387,18546
2021-07-29 21:49:34,231,84232,18697
2021-07-29 21:49:36,292,83961,18847
2021-07-29 21:49:38,331,83928,18962
2021-07-29 21:49:40,250,84017,19049
2021-07-29 21:49:42,234,84034,19076
2021-07-29 21:49:44,204,83904,19113
2021-07-29 21:49:46,128,83853,19203
2021-07-29 21:49:48,187,83614,19328
2021-07-29 21:49:50,256,83442,19468
2021-07-29 21:49:52,295,83272,19618
2021-07-29 21:49:54,343,82995,19778
2021-07-29 21:49:56,403,82829,19909
2021-07-29 21:49:58,393,82868,20022
2021-07-29 21:50:00,303,82724,20129
2021-07-29 21:50:02,247,82714,20247
2021-07-29 21:50:04,230,82644,20315
2021-07-29 21:50:06,218,82505,20450
2021-07-29 21:50:08,248,82344,20591
2021-07-29 21:50:10,298,82068,20737
2021-07-29 21:50:12,349,81891,20887
2021-07-29 21:50:14,397,81720,21044
2021-07-29 21:50:16,416,81548,21187
2021-07-29 21:50:18,449,81388,21342
2021-07-29 21:50:20,488,81210,21488
2021-07-29 21:50:22,507,80955,21634
2021-07-29 21:50:24,519,80896,21773
2021-07-29 21:50:26,452,80762,21910
2021-07-29 21:50:28,422,80701,22032
2021-07-29 21:50:30,486,80564,22160
2021-07-29 21:50:32,487,80292,22323
2021-07-29 21:50:34,509,80231,22440
2021-07-29 21:50:36,519,80164,22494
2021-07-29 21:50:38,528,79999,22656
2021-07-29 21:50:40,513,79836,22791
2021-07-29 21:50:42,503,79732,22929
2021-07-29 21:50:44,528,79566,23079
2021-07-29 21:50:46,536,79413,23247
2021-07-29 21:50:48,542,79266,23377
2021-07-29 21:50:50,500,79252,23517
2021-07-29 21:50:52,422,79122,23625
2021-07-29 21:50:54,390,79009,23754
2021-07-29 21:50:56,403,78836,23893
2021-07-29 21:50:58,424,78694,24030
2021-07-29 21:51:00,397,78534,24198
2021-07-29 21:51:02,395,78386,24327
2021-07-29 21:51:04,384,78326,24480
2021-07-29 21:51:06,401,78176,24580
2021-07-29 21:51:08,380,78105,24674
2021-07-29 21:51:10,400,77951,24817
2021-07-29 21:51:12,378,77806,24956
2021-07-29 21:51:14,358,77667,25111
2021-07-29 21:51:16,349,77511,25241
2021-07-29 21:51:18,355,77348,25396
2021-07-29 21:51:20,358,77299,25523
2021-07-29 21:51:22,374,77052,25677
2021-07-29 21:51:24,386,77016,25793
2021-07-29 21:51:26,393,76847,25944
2021-07-29 21:51:28,370,76746,26078
2021-07-29 21:51:30,293,76654,26219
2021-07-29 21:51:32,241,76593,26338
2021-07-29 21:51:34,188,76620,26421
2021-07-29 21:51:36,149,76499,26509
2021-07-29 21:51:38,142,76433,26593
2021-07-29 21:51:40,161,76269,26689
2021-07-29 21:51:42,152,76225,26803
2021-07-29 21:51:44,141,76139,26909
2021-07-29 21:51:46,162,75988,26997
2021-07-29 21:51:48,222,75821,27129
2021-07-29 21:51:50,273,75643,27263
2021-07-29 21:51:52,303,75466,27341
2021-07-29 21:51:54,331,75302,27476
2021-07-29 21:51:56,340,75145,27630
2021-07-29 21:51:58,370,74975,27754
2021-07-29 21:52:00,405,74895,27889
2021-07-29 21:52:02,400,74760,28036
2021-07-29 21:52:04,408,74595,28181
2021-07-29 21:52:06,403,74448,28305
2021-07-29 21:52:08,398,74313,28447
2021-07-29 21:52:10,436,74241,28510
2021-07-29 21:52:12,473,74053,28655
2021-07-29 21:52:14,491,73904,28803
2021-07-29 21:52:16,431,73798,28926
2021-07-29 21:52:18,379,73670,29071
2021-07-29 21:52:20,369,73625,29173
2021-07-29 21:52:22,312,73607,29285
2021-07-29 21:52:24,297,73459,29415
2021-07-29 21:52:26,324,73283,29556
2021-07-29 21:52:28,352,73126,29692
2021-07-29 21:52:30,331,72991,29816
2021-07-29 21:52:32,326,72841,29956
2021-07-29 21:52:34,328,72688,30075
2021-07-29 21:52:36,327,72652,30228
2021-07-29 21:52:38,287,72564,30340
2021-07-29 21:52:40,260,72442,30464
2021-07-29 21:52:42,247,72420,30536
2021-07-29 21:52:44,219,72265,30643
2021-07-29 21:52:46,199,72213,30774
2021-07-29 21:52:48,171,72120,30892
2021-07-29 21:52:50,186,72009,30983
2021-07-29 21:52:52,215,71838,31114
2021-07-29 21:52:54,263,71655,31221
2021-07-29 21:52:56,321,71491,31357
2021-07-29 21:52:58,291,71423,31473
2021-07-29 21:53:00,229,71330,31579
2021-07-29 21:53:02,238,71166,31708
2021-07-29 21:53:04,280,70989,31840
2021-07-29 21:53:06,325,70823,31969
2021-07-29 21:53:08,344,70646,32122
2021-07-29 21:53:10,373,70645,32238
2021-07-29 21:53:12,316,70481,32360
2021-07-29 21:53:14,339,70402,32389
2021-07-29 21:53:16,346,70249,32528
2021-07-29 21:53:18,346,70194,32643
2021-07-29 21:53:20,340,70043,32784
2021-07-29 21:53:22,327,69898,32898
2021-07-29 21:53:24,346,69768,33039
2021-07-29 21:53:26,324,69730,33156
2021-07-29 21:53:28,340,69551,33288
2021-07-29 21:53:30,391,69384,33401
2021-07-29 21:53:32,427,69196,33531
2021-07-29 21:53:34,473,69025,33669
2021-07-29 21:53:36,496,68849,33824
2021-07-29 21:53:38,512,68688,33937
2021-07-29 21:53:40,532,68524,34084
2021-07-29 21:53:42,534,68466,34204
2021-07-29 21:53:44,560,68297,34321
2021-07-29 21:53:46,573,68203,34368
2021-07-29 21:53:48,589,68082,34501
2021-07-29 21:53:50,495,68138,34612
2021-07-29 21:53:52,440,67975,34731
2021-07-29 21:53:54,453,67805,34865
2021-07-29 21:53:56,474,67648,34985
2021-07-29 21:53:58,422,67747,35105
2021-07-29 21:54:00,313,67621,35229
2021-07-29 21:54:02,309,67456,35344
2021-07-29 21:54:04,363,67275,35471
2021-07-29 21:54:06,391,67194,35610
2021-07-29 21:54:08,432,67012,35736
2021-07-29 21:54:10,470,66829,35877
2021-07-29 21:54:12,500,66646,36025
2021-07-29 21:54:14,545,66468,36150
