"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627837940649,20,0,0
1627837941790,77,1,6
1627837941917,76,2,6
1627837942246,236,1,6
1627837942564,258,2,14
1627837942758,256,2,16
1627837943251,254,2,18
1627837943767,254,2,18
1627837944256,254,2,18
1627837944771,254,2,18
1627837945796,210,2,62
1627837946784,176,2,96
1627837947789,151,2,121
1627837948808,124,1,149
1627837949788,104,1,169
1627837950424,78,1,195
1627837950794,72,0,202
1627837951339,58,0,216
1627837951677,47,1,226
1627837951875,40,1,233
1627837952098,33,2,239
1627837952310,23,3,248
1627837952487,16,4,254
1627837952637,6,6,262
1627837952821,9,3,262
1627837953332,0,3,271
1627837953848,0,3,271
1627837954362,1,3,270
1627837954645,0,1,273
1627837954812,0,2,272
1627837954984,0,2,272
1627837955143,0,3,271
1627837955337,0,4,270
1627837955511,2,1,271
1627837955861,0,0,274
1627837956356,0,0,274
1627837956881,0,0,274
1627837957898,0,0,274
1627837958252,1,0,273
1627837958470,0,1,273
1627837958684,0,2,272
1627837958893,0,3,271
1627837959059,0,4,270
1627837959249,1,4,269
1627837959437,0,5,269
1627837959649,0,6,268
1627837959896,0,5,269
1627837960388,0,5,269
1627837960897,0,5,269
1627837961388,0,5,269
1627837961903,0,5,269
1627837962433,0,5,269
1627837962735,0,6,268
1627837962948,0,7,267
1627837963115,1,6,267
1627837963339,0,7,267
1627837963502,0,8,266
1627837963941,0,5,269
1627837964424,1,5,268
1627837964931,0,5,269
1627837965429,0,5,269
1627837965938,0,5,269
1627837966429,1,4,269
1627837966950,0,0,274
1627837967450,0,0,274
1627837967970,0,0,274
1627837968472,0,0,274
1627837968667,0,1,273
1627837968979,0,1,273
1627837969468,0,1,273
1627837969975,0,1,273
1627837970485,0,1,273
1627837970781,0,2,272
1627837970949,0,3,271
1627837971121,0,3,271
1627837971281,0,4,270
1627837971466,0,5,269
1627837971673,3,2,269
1627837972005,0,1,273
1627837973205,0,2,272
1627837973437,0,2,272
1627837973691,0,2,272
1627837974006,0,1,273
1627837974507,0,1,273
1627837975038,0,1,273
1627837975529,0,1,273
1627837976026,0,1,273
1627837976540,0,1,273
1627837977041,0,1,273
1627837977525,0,1,273
1627837978066,0,1,273
