"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 21:45:20,5.11,0.730,4.38
2021-07-29 21:45:22,6.93,1.09,6.20
2021-07-29 21:45:24,14.2,0.730,13.5
2021-07-29 21:45:26,29.2,1.09,28.5
2021-07-29 21:45:28,44.2,0.365,43.8
2021-07-29 21:45:30,53.6,0,52.9
2021-07-29 21:45:32,65.7,1.82,64.6
2021-07-29 21:45:34,75.9,1.09,75.5
2021-07-29 21:45:36,89.4,0,89.4
2021-07-29 21:45:38,100,2.19,97.8
2021-07-29 21:45:40,100,2.19,98.2
2021-07-29 21:45:42,99.6,2.92,97.1
2021-07-29 21:45:44,100,1.82,98.2
2021-07-29 21:45:46,99.3,0,99.6
2021-07-29 21:45:48,100,0.730,99.3
2021-07-29 21:45:50,99.6,1.09,98.9
2021-07-29 21:45:52,99.6,1.09,98.9
2021-07-29 21:45:54,100,0.365,99.6
2021-07-29 21:45:56,100,0.730,99.6
2021-07-29 21:45:58,99.6,1.82,97.8
2021-07-29 21:46:00,99.3,0.730,97.8
2021-07-29 21:46:02,99.6,2.92,96.7
2021-07-29 21:46:04,99.6,2.92,97.1
2021-07-29 21:46:06,99.6,4.38,95.3
2021-07-29 21:46:08,100,2.92,97.1
2021-07-29 21:46:10,99.6,4.01,96.0
2021-07-29 21:46:12,99.6,3.65,96.4
2021-07-29 21:46:14,99.3,4.38,95.6
2021-07-29 21:46:16,99.6,4.74,95.3
2021-07-29 21:46:18,99.3,3.65,96.4
2021-07-29 21:46:20,99.6,8.03,91.6
2021-07-29 21:46:22,99.6,8.76,90.9
2021-07-29 21:46:24,99.6,8.39,89.8
2021-07-29 21:46:26,99.3,9.49,90.5
2021-07-29 21:46:28,100,9.49,90.1
2021-07-29 21:46:30,100,11.3,88.7
2021-07-29 21:46:32,99.6,13.9,86.1
2021-07-29 21:46:34,99.3,13.9,85.8
2021-07-29 21:46:36,100,12.0,88.0
2021-07-29 21:46:38,99.6,13.9,86.1
2021-07-29 21:46:40,98.5,8.76,91.2
2021-07-29 21:46:42,99.6,8.03,92.0
2021-07-29 21:46:44,99.3,9.85,90.1
2021-07-29 21:46:46,100,10.6,89.4
2021-07-29 21:46:48,99.3,9.85,90.1
2021-07-29 21:46:50,99.3,6.93,93.1
2021-07-29 21:46:52,99.6,6.93,93.1
2021-07-29 21:46:54,99.6,6.93,93.1
2021-07-29 21:46:56,99.6,8.39,91.6
2021-07-29 21:46:58,100,12.0,88.0
2021-07-29 21:47:00,98.9,19.7,80.3
2021-07-29 21:47:02,99.3,22.3,77.4
2021-07-29 21:47:04,99.3,20.1,79.6
2021-07-29 21:47:06,97.4,17.2,82.8
2021-07-29 21:47:08,99.6,14.2,86.1
2021-07-29 21:47:10,99.6,15.0,85.0
2021-07-29 21:47:12,99.3,13.9,85.4
2021-07-29 21:47:14,99.6,15.3,84.7
2021-07-29 21:47:16,99.6,13.9,86.1
2021-07-29 21:47:18,99.3,15.0,85.0
2021-07-29 21:47:20,99.3,13.9,86.1
2021-07-29 21:47:22,99.3,13.5,86.5
2021-07-29 21:47:24,100,15.3,84.7
2021-07-29 21:47:26,99.6,15.7,84.3
2021-07-29 21:47:28,98.9,14.6,85.4
2021-07-29 21:47:30,99.6,15.0,84.7
2021-07-29 21:47:32,99.3,16.1,83.9
2021-07-29 21:47:34,99.3,16.4,83.9
2021-07-29 21:47:36,99.3,16.1,84.3
2021-07-29 21:47:38,100,15.3,84.7
2021-07-29 21:47:40,99.6,15.0,85.0
2021-07-29 21:47:42,99.6,16.4,83.6
2021-07-29 21:47:44,99.3,15.3,84.7
2021-07-29 21:47:46,99.3,15.3,83.9
2021-07-29 21:47:48,98.2,13.5,84.3
2021-07-29 21:47:50,99.3,13.1,86.9
2021-07-29 21:47:52,99.6,13.1,86.9
2021-07-29 21:47:54,99.3,15.7,84.3
2021-07-29 21:47:56,97.8,12.8,86.9
2021-07-29 21:47:58,97.8,13.1,86.5
2021-07-29 21:48:00,99.6,13.5,86.5
2021-07-29 21:48:02,99.3,12.0,88.0
2021-07-29 21:48:04,99.6,13.9,86.1
2021-07-29 21:48:06,99.6,16.4,83.2
2021-07-29 21:48:08,99.6,20.1,79.9
2021-07-29 21:48:10,99.3,19.0,81.0
2021-07-29 21:48:12,99.3,17.9,80.3
2021-07-29 21:48:14,99.6,18.2,81.8
2021-07-29 21:48:16,99.3,16.8,82.8
2021-07-29 21:48:18,98.9,13.5,86.1
2021-07-29 21:48:20,99.3,13.5,86.1
2021-07-29 21:48:22,99.6,13.1,86.9
2021-07-29 21:48:24,99.3,12.8,86.9
2021-07-29 21:48:26,98.9,7.30,92.3
2021-07-29 21:48:28,99.3,6.57,93.1
2021-07-29 21:48:30,99.6,4.74,94.9
2021-07-29 21:48:32,98.5,3.28,95.3
2021-07-29 21:48:34,99.6,4.01,96.4
2021-07-29 21:48:36,99.3,6.20,93.4
2021-07-29 21:48:38,99.6,4.38,94.9
2021-07-29 21:48:40,99.3,6.57,93.1
2021-07-29 21:48:42,99.6,6.20,94.9
2021-07-29 21:48:44,99.3,7.66,92.3
2021-07-29 21:48:46,99.3,12.4,87.6
2021-07-29 21:48:48,99.3,13.1,86.9
2021-07-29 21:48:50,99.3,11.3,88.7
2021-07-29 21:48:52,99.3,10.2,89.8
2021-07-29 21:48:54,99.3,12.8,86.9
2021-07-29 21:48:56,99.6,13.5,86.5
2021-07-29 21:48:58,99.6,14.2,85.4
2021-07-29 21:49:00,99.6,14.2,85.4
2021-07-29 21:49:02,99.3,13.9,86.1
2021-07-29 21:49:04,99.6,13.1,86.9
2021-07-29 21:49:06,100,12.8,86.5
2021-07-29 21:49:08,99.3,13.9,86.1
2021-07-29 21:49:10,99.6,15.3,84.3
2021-07-29 21:49:12,99.6,23.0,77.0
2021-07-29 21:49:14,98.9,23.4,75.5
2021-07-29 21:49:16,99.3,22.6,77.4
2021-07-29 21:49:18,100,23.0,77.0
2021-07-29 21:49:20,99.6,24.1,75.9
2021-07-29 21:49:22,99.3,53.6,46.4
2021-07-29 21:49:24,99.3,56.2,43.8
2021-07-29 21:49:26,99.6,83.2,16.4
2021-07-29 21:49:28,75.5,63.5,12.0
2021-07-29 21:49:30,88.0,59.1,28.8
2021-07-29 21:49:32,96.0,62.0,33.9
2021-07-29 21:49:34,80.3,36.1,44.2
2021-07-29 21:49:36,92.7,38.0,54.7
2021-07-29 21:49:38,99.6,64.2,35.8
2021-07-29 21:49:40,98.9,85.4,14.2
2021-07-29 21:49:42,98.2,90.1,9.49
2021-07-29 21:49:44,99.3,83.6,19.0
2021-07-29 21:49:46,77.0,56.2,20.8
2021-07-29 21:49:48,83.6,50.7,32.8
2021-07-29 21:49:50,97.1,52.6,44.2
2021-07-29 21:49:52,79.2,27.0,52.6
2021-07-29 21:49:54,89.1,28.5,60.6
2021-07-29 21:49:56,99.6,27.4,71.5
2021-07-29 21:49:58,99.3,62.4,37.2
2021-07-29 21:50:00,97.8,55.8,42.0
2021-07-29 21:50:02,98.5,60.9,39.1
2021-07-29 21:50:04,99.3,60.9,38.7
2021-07-29 21:50:06,99.6,59.5,40.5
2021-07-29 21:50:08,74.5,31.0,43.4
2021-07-29 21:50:10,79.6,28.5,51.1
2021-07-29 21:50:12,86.5,25.5,60.6
2021-07-29 21:50:14,95.3,26.3,69.0
2021-07-29 21:50:16,99.6,23.4,76.3
2021-07-29 21:50:18,90.1,12.0,78.1
2021-07-29 21:50:20,98.5,10.6,88.0
2021-07-29 21:50:22,99.3,10.9,88.7
2021-07-29 21:50:24,98.9,9.85,89.1
2021-07-29 21:50:26,99.6,25.9,74.5
2021-07-29 21:50:28,87.2,10.6,76.6
2021-07-29 21:50:30,100,20.8,79.2
2021-07-29 21:50:32,97.1,13.5,86.5
2021-07-29 21:50:34,97.8,10.6,89.4
2021-07-29 21:50:36,99.6,9.12,91.2
2021-07-29 21:50:38,100,7.30,92.7
2021-07-29 21:50:40,99.3,6.57,93.4
2021-07-29 21:50:42,98.5,7.30,91.2
2021-07-29 21:50:44,99.6,8.39,91.6
2021-07-29 21:50:46,98.9,7.66,93.8
2021-07-29 21:50:48,99.6,4.74,95.3
2021-07-29 21:50:50,96.7,26.3,70.4
2021-07-29 21:50:52,98.5,30.3,69.7
2021-07-29 21:50:54,94.9,27.4,67.5
2021-07-29 21:50:56,99.3,28.5,71.5
2021-07-29 21:50:58,99.6,28.1,71.2
2021-07-29 21:51:00,99.3,27.7,72.3
2021-07-29 21:51:02,99.6,29.9,69.7
2021-07-29 21:51:04,98.9,31.8,68.2
2021-07-29 21:51:06,99.6,31.4,69.0
2021-07-29 21:51:08,99.6,32.5,67.2
2021-07-29 21:51:10,98.9,32.1,67.9
2021-07-29 21:51:12,99.6,35.8,64.2
2021-07-29 21:51:14,100,38.7,61.3
2021-07-29 21:51:16,99.6,37.2,62.0
2021-07-29 21:51:18,99.6,36.1,63.9
2021-07-29 21:51:20,99.6,38.0,62.8
2021-07-29 21:51:22,99.6,35.4,63.1
2021-07-29 21:51:24,98.5,37.2,62.4
2021-07-29 21:51:26,96.7,29.9,68.6
2021-07-29 21:51:28,100,41.2,58.8
