"Time","unused terminations","success termination","immediate termination"
2021-07-29 22:21:55,,,
2021-07-29 22:22:00,,,
2021-07-29 22:22:05,,,
2021-07-29 22:22:10,,,
2021-07-29 22:22:15,,,
2021-07-29 22:22:20,,,
2021-07-29 22:22:25,,,
2021-07-29 22:22:30,,,
2021-07-29 22:22:35,,,
2021-07-29 22:22:40,,,
2021-07-29 22:22:45,,,
2021-07-29 22:22:50,,,
2021-07-29 22:22:55,,,
2021-07-29 22:23:00,,,
2021-07-29 22:23:05,,,
2021-07-29 22:23:10,,,
2021-07-29 22:23:15,,,
2021-07-29 22:23:20,,,
2021-07-29 22:23:25,,,
2021-07-29 22:23:30,,,
2021-07-29 22:23:35,,,
2021-07-29 22:23:40,,,
2021-07-29 22:23:45,,,
2021-07-29 22:23:50,,,
2021-07-29 22:23:55,,,
2021-07-29 22:24:00,,,
2021-07-29 22:24:05,,,
2021-07-29 22:24:10,,,
2021-07-29 22:24:15,,,
2021-07-29 22:24:20,,,
2021-07-29 22:24:25,,,
2021-07-29 22:24:30,,,
2021-07-29 22:24:35,,,
2021-07-29 22:24:40,,,
2021-07-29 22:24:45,,,
2021-07-29 22:24:50,,,
2021-07-29 22:24:55,,,
2021-07-29 22:25:00,,,
2021-07-29 22:25:05,,,
2021-07-29 22:25:10,,,
2021-07-29 22:25:15,,,
2021-07-29 22:25:20,,,
2021-07-29 22:25:25,,,
2021-07-29 22:25:30,,,
2021-07-29 22:25:35,,,
2021-07-29 22:25:40,,,
2021-07-29 22:25:45,,,
2021-07-29 22:25:50,,,
2021-07-29 22:25:55,,,
2021-07-29 22:26:00,,,
2021-07-29 22:26:05,,,
2021-07-29 22:26:10,,,
2021-07-29 22:26:15,,,
2021-07-29 22:26:20,,,
2021-07-29 22:26:25,,,
2021-07-29 22:26:30,,,
2021-07-29 22:26:35,,,
2021-07-29 22:26:40,,,
2021-07-29 22:26:45,,,
2021-07-29 22:26:50,,,
2021-07-29 22:26:55,,,
2021-07-29 22:27:00,,,
2021-07-29 22:27:05,,,
2021-07-29 22:27:10,,,
2021-07-29 22:27:15,,,
2021-07-29 22:27:20,,,
2021-07-29 22:27:25,,,
2021-07-29 22:27:30,,,
2021-07-29 22:27:35,,,
2021-07-29 22:27:40,,,
2021-07-29 22:27:45,,,
2021-07-29 22:27:50,,,
2021-07-29 22:27:55,,,
2021-07-29 22:28:00,,,
2021-07-29 22:28:05,,,
2021-07-29 22:28:10,,,
2021-07-29 22:28:15,,,
2021-07-29 22:28:20,,,
2021-07-29 22:28:25,,,
2021-07-29 22:28:30,,,
2021-07-29 22:28:35,,,
2021-07-29 22:28:40,,,
2021-07-29 22:28:45,,,
2021-07-29 22:28:50,,,
2021-07-29 22:28:55,,,
2021-07-29 22:29:00,,,
2021-07-29 22:29:05,,,
2021-07-29 22:29:10,,,
2021-07-29 22:29:15,,,
2021-07-29 22:29:20,,,
2021-07-29 22:29:25,,,
2021-07-29 22:29:30,,,
2021-07-29 22:29:35,,,
2021-07-29 22:29:40,,,
2021-07-29 22:29:45,,,
2021-07-29 22:29:50,,,
2021-07-29 22:29:55,,,
2021-07-29 22:30:00,,,
2021-07-29 22:30:05,,,
2021-07-29 22:30:10,,,
2021-07-29 22:30:15,,,
2021-07-29 22:30:20,,,
2021-07-29 22:30:25,,,
2021-07-29 22:30:30,,,
2021-07-29 22:30:35,,,
2021-07-29 22:30:40,,,
2021-07-29 22:30:45,,,
2021-07-29 22:30:50,,,
2021-07-29 22:30:55,,,
2021-07-29 22:31:00,,,
2021-07-29 22:31:05,,,
2021-07-29 22:31:10,,,
2021-07-29 22:31:15,,,
2021-07-29 22:31:20,,,
2021-07-29 22:31:25,,,
2021-07-29 22:31:30,,,
2021-07-29 22:31:35,,,
2021-07-29 22:31:40,,,
2021-07-29 22:31:45,,,
2021-07-29 22:31:50,,,
2021-07-29 22:31:55,,,
2021-07-29 22:32:00,,,
2021-07-29 22:32:05,,,
2021-07-29 22:32:10,,,
2021-07-29 22:32:15,,,
2021-07-29 22:32:20,,,
2021-07-29 22:32:25,,,
2021-07-29 22:32:30,,,
2021-07-29 22:32:35,,,
2021-07-29 22:32:40,,,
2021-07-29 22:32:45,,,
2021-07-29 22:32:50,,,
2021-07-29 22:32:55,,,
2021-07-29 22:33:00,0,0,0
2021-07-29 22:33:05,0,0,0
2021-07-29 22:33:10,0,0,0
2021-07-29 22:33:15,0,0,0
2021-07-29 22:33:20,0,0,0
2021-07-29 22:33:25,0,0,0
2021-07-29 22:33:30,0,0,0
2021-07-29 22:33:35,0,0,0
2021-07-29 22:33:40,0,0,0
2021-07-29 22:33:45,0,0,0
2021-07-29 22:33:50,0,0,0
2021-07-29 22:33:55,1,3,2
2021-07-29 22:34:00,1,8,7
2021-07-29 22:34:05,3,21,9
2021-07-29 22:34:10,4,29,20
2021-07-29 22:34:15,9,42,21
2021-07-29 22:34:20,9,51,24
2021-07-29 22:34:25,11,60,26
2021-07-29 22:34:30,12,64,29
2021-07-29 22:34:35,15,72,38
2021-07-29 22:34:40,25,92,55
2021-07-29 22:34:45,28,101,56
2021-07-29 22:34:50,29,107,60
2021-07-29 22:34:55,31,119,60
2021-07-29 22:35:00,32,128,64
2021-07-29 22:35:05,34,139,67
2021-07-29 22:35:10,35,149,73
2021-07-29 22:35:15,39,160,75
2021-07-29 22:35:20,39,167,81
2021-07-29 22:35:25,42,176,81
2021-07-29 22:35:30,43,177,87
2021-07-29 22:35:35,54,181,88
2021-07-29 22:35:40,57,191,92
2021-07-29 22:35:45,57,196,103
2021-07-29 22:35:50,60,208,108
2021-07-29 22:35:55,62,219,112
2021-07-29 22:36:00,65,228,114
2021-07-29 22:36:05,65,236,114
2021-07-29 22:36:10,66,247,115
2021-07-29 22:36:15,69,260,117
2021-07-29 22:36:20,71,269,126
2021-07-29 22:36:25,81,277,147
2021-07-29 22:36:30,85,285,153
2021-07-29 22:36:35,86,297,159
2021-07-29 22:36:40,88,307,162
2021-07-29 22:36:45,94,316,165
2021-07-29 22:36:50,98,325,189
2021-07-29 22:36:55,113,337,191
2021-07-29 22:37:00,115,346,197
2021-07-29 22:37:05,120,352,280
2021-07-29 22:37:10,143,358,280
2021-07-29 22:37:15,148,359,281
2021-07-29 22:37:20,173,362,351
2021-07-29 22:37:25,183,363,351
2021-07-29 22:37:30,183,365,354
2021-07-29 22:37:35,183,374,425
2021-07-29 22:37:40,214,397,425
2021-07-29 22:37:45,215,401,431
2021-07-29 22:37:50,215,403,431
2021-07-29 22:37:55,221,407,432
2021-07-29 22:38:00,231,409,432
2021-07-29 22:38:05,237,420,471
2021-07-29 22:38:10,248,420,471
2021-07-29 22:38:15,249,423,473
2021-07-29 22:38:20,280,430,473
2021-07-29 22:38:25,312,432,531
2021-07-29 22:38:30,338,434,532
2021-07-29 22:38:35,340,446,536
2021-07-29 22:38:40,342,458,543
2021-07-29 22:38:45,344,463,550
2021-07-29 22:38:50,348,469,559
2021-07-29 22:38:55,349,475,561
2021-07-29 22:39:00,361,481,574
2021-07-29 22:39:05,361,483,639
2021-07-29 22:39:10,386,513,652
2021-07-29 22:39:15,397,515,670
2021-07-29 22:39:20,397,519,680
2021-07-29 22:39:25,401,521,680
2021-07-29 22:39:30,407,528,680
2021-07-29 22:39:35,407,529,690
2021-07-29 22:39:40,438,535,690
2021-07-29 22:39:45,438,535,707
2021-07-29 22:39:50,451,541,762
2021-07-29 22:39:55,484,546,775
2021-07-29 22:40:00,488,549,789
2021-07-29 22:40:05,504,557,790
2021-07-29 22:40:10,509,578,834
2021-07-29 22:40:15,521,603,849
2021-07-29 22:40:20,523,625,867
2021-07-29 22:40:25,543,629,867
2021-07-29 22:40:30,550,636,888
2021-07-29 22:40:35,565,650,889
2021-07-29 22:40:40,565,653,889
2021-07-29 22:40:45,576,661,903
2021-07-29 22:40:50,581,672,904
2021-07-29 22:40:55,585,679,913
2021-07-29 22:41:00,611,684,913
2021-07-29 22:41:05,611,684,913
2021-07-29 22:41:10,616,686,916
2021-07-29 22:41:15,631,690,921
2021-07-29 22:41:20,651,698,946
2021-07-29 22:41:25,664,698,949
2021-07-29 22:41:30,686,713,996
2021-07-29 22:41:35,686,713,996
2021-07-29 22:41:40,686,713,996
2021-07-29 22:41:45,686,714,996
2021-07-29 22:41:50,692,726,1017
2021-07-29 22:41:55,694,732,1022
2021-07-29 22:42:00,699,756,1028
2021-07-29 22:42:05,699,762,1031
2021-07-29 22:42:10,701,775,1036
2021-07-29 22:42:15,701,775,1036
2021-07-29 22:42:20,703,777,1036
2021-07-29 22:42:25,703,777,1041
2021-07-29 22:42:30,731,789,1041
2021-07-29 22:42:35,732,801,1043
2021-07-29 22:42:40,733,805,1044
2021-07-29 22:42:45,740,813,1044
2021-07-29 22:42:50,743,816,1044
2021-07-29 22:42:55,745,828,1044
2021-07-29 22:43:00,750,832,1048
2021-07-29 22:43:05,752,840,1052
2021-07-29 22:43:10,763,862,1065
2021-07-29 22:43:15,769,872,1071
2021-07-29 22:43:20,773,881,1074
2021-07-29 22:43:25,779,889,1088
2021-07-29 22:43:30,780,890,1088
2021-07-29 22:43:35,780,896,1092
2021-07-29 22:43:40,782,908,1095
2021-07-29 22:43:45,784,917,1121
2021-07-29 22:43:50,797,921,1128
2021-07-29 22:43:55,802,931,1138
2021-07-29 22:44:00,806,943,1139
2021-07-29 22:44:05,813,947,1140
2021-07-29 22:44:10,816,957,1142
2021-07-29 22:44:15,817,960,1147
2021-07-29 22:44:20,825,967,1149
2021-07-29 22:44:25,831,969,1149
2021-07-29 22:44:30,831,975,1158
2021-07-29 22:44:35,835,993,1169
2021-07-29 22:44:40,837,1002,1183
2021-07-29 22:44:45,850,1013,1184
2021-07-29 22:44:50,851,1023,1188
2021-07-29 22:44:55,853,1027,1190
2021-07-29 22:45:00,855,1030,1196
2021-07-29 22:45:05,861,1043,1202
2021-07-29 22:45:10,862,1054,1204
2021-07-29 22:45:15,880,1059,1241
2021-07-29 22:45:20,880,1059,1243
2021-07-29 22:45:25,883,1067,1246
2021-07-29 22:45:30,886,1073,1251
2021-07-29 22:45:35,894,1081,1253
2021-07-29 22:45:40,898,1087,1254
2021-07-29 22:45:45,902,1097,1258
2021-07-29 22:45:50,904,1104,1263
2021-07-29 22:45:55,907,1114,1272
2021-07-29 22:46:00,913,1122,1318
2021-07-29 22:46:05,929,1127,1319
2021-07-29 22:46:10,932,1128,1329
2021-07-29 22:46:15,939,1134,1331
2021-07-29 22:46:20,940,1134,1352
