EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",610372ec66f3b85957576f07,"[{""GlobalJobId"":""login04_osgconnect_net#11939526_10739#1624586444_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9962223728,""CompletionDate"":1624612205,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":160,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":22331.90241,""JobPrio"":0,""JobStartDate"":1624651775,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":312684,""MemoryUsage"":306.3544921875,""JobSimSubmitDate"":1627616047.114255,""JobSimStartDate"":1627617025.430205,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11283460_227#1624592631_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9950298267,""CompletionDate"":1624593579,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":201550,""DiskUsage_RAW"":47664,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":314.096486,""JobPrio"":0,""JobStartDate"":1624655161,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":87032,""MemoryUsage"":85.9912109375,""JobSimSubmitDate"":1627616047.175664,""JobSimStartDate"":1627617027.404789,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127744,131072,compute_haswell,osg,1627615981.7065258,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",610372ec66f3b85957576f08,"[{""GlobalJobId"":""scosg16_jlab_org#3699633_20#1625083852_round_2"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9925308917,""CompletionDate"":1625127892,""CpusProvisioned"":1,""DiskProvisioned"":5115754,""DiskUsage"":1455189,""DiskUsage_RAW"":75,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":16393.569422,""JobPrio"":0,""JobStartDate"":1625121215,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1177748,""MemoryUsage"":1151.1435546875,""JobSimSubmitDate"":1627616000.423599,""JobSimStartDate"":1627616223.819065,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":4.495815396966606,""WastedCost"":4.495815396966606,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login04_osgconnect_net#11939526_4811#1624567095_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.996512795,""CompletionDate"":1624592307,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":159,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":21000.863374,""JobPrio"":0,""JobStartDate"":1624633208,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":310872,""MemoryUsage"":304.5849609375,""JobSimSubmitDate"":1627616046.91525,""JobSimStartDate"":1627617022.635702,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627615981.7510545,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",610372ec66f3b85957576f09,"[{""GlobalJobId"":""login04_osgconnect_net#11957956_0#1624591431_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9374198875,""CompletionDate"":1624604664,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3352696,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11426.354729,""JobPrio"":636,""JobStartDate"":1624655138,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1489268,""MemoryUsage"":1455.3623046875,""JobSimSubmitDate"":1627616047.173258,""JobSimStartDate"":1627617029.265946,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":2,""TotalCost"":0.9179373156565518,""WastedCost"":0.9179373156565518,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11283590_1346#1624598229_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9903210043,""CompletionDate"":1624599985,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":201556,""DiskUsage_RAW"":47664,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":749.723184,""JobPrio"":0,""JobStartDate"":1624661137,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":83944,""MemoryUsage"":82.9755859375,""JobSimSubmitDate"":1627616047.237453,""JobSimStartDate"":1627617029.650322,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,129280,131072,compute_haswell,osg,1627615981.7499034,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",610372ecf8f343a00e387f0f,"[{""GlobalJobId"":""login04_osgconnect_net#11939526_236#1624567092_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.926000878,""CompletionDate"":1624589681,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":160,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":22117.819554,""JobPrio"":0,""JobStartDate"":1624629466,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":309580,""MemoryUsage"":303.3232421875,""JobSimSubmitDate"":1627616046.895492,""JobSimStartDate"":1627617027.511595,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":4.556135452086043,""WastedCost"":4.556135452086043,""Machine"":null,""action"":""start""},{""GlobalJobId"":""scott_grid_uchicago_edu#2559518_0#1624598894_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.995881923,""CompletionDate"":1624605306,""CpusProvisioned"":1,""DiskProvisioned"":8526265,""DiskUsage"":301599,""DiskUsage_RAW"":44,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":6025.434009,""JobPrio"":0,""JobStartDate"":1624661182,""JobState"":""Exited"",""MemoryProvisioned"":8192,""ResidentSetSize"":3017000,""MemoryUsage"":2947.2880859375,""JobSimSubmitDate"":1627616047.238449,""JobSimStartDate"":1627617029.668572,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,119808,131072,compute_haswell,osg,1627615981.7600453,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",610372ecf8f343a00e387f10,"[{""GlobalJobId"":""login04_osgconnect_net#11943287_0#1624576893_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3249344208,""CompletionDate"":1624589873,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3379013,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11692.590636,""JobPrio"":638,""JobStartDate"":1624640081,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1567228,""MemoryUsage"":1531.4951171875,""JobSimSubmitDate"":1627616047.012134,""JobSimStartDate"":1627617023.700062,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#11960062_0#1624593407_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0428183829,""CompletionDate"":1624605988,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3329252,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11449.527247,""JobPrio"":636,""JobStartDate"":1624656439,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1802912,""MemoryUsage"":1761.6552734375,""JobSimSubmitDate"":1627616047.209221,""JobSimStartDate"":1627617028.41373,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627615981.755919,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",610372ec66f3b85957576f0a,"[{""GlobalJobId"":""login04_osgconnect_net#11939526_9072#1624583651_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9942490982,""CompletionDate"":1624611422,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":160,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":22414.445122,""JobPrio"":0,""JobStartDate"":1624650910,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":310620,""MemoryUsage"":304.3388671875,""JobSimSubmitDate"":1627616047.059203,""JobSimStartDate"":1627617026.57102,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#11939526_13353#1624595429_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0,""CompletionDate"":1624618310,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":160,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":21709.523183,""JobPrio"":0,""JobStartDate"":1624658502,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":312340,""MemoryUsage"":306.0185546875,""JobSimSubmitDate"":1627616047.216539,""JobSimStartDate"":1627617028.792771,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627615981.7658532,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610372ecf8f343a00e387f11,"[{""GlobalJobId"":""scosg16_jlab_org#3699645_61#1625084297_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9971088056,""CompletionDate"":1625119724,""CpusProvisioned"":1,""DiskProvisioned"":5115759,""DiskUsage"":1725721,""DiskUsage_RAW"":75,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7654.4221,""JobPrio"":0,""JobStartDate"":1625163054,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1193524,""MemoryUsage"":1166.5498046875,""JobSimSubmitDate"":1627616044.302227,""JobSimStartDate"":1627616970.342798,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11282869_1914#1624577947_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9924126289,""CompletionDate"":1624583633,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5186.133199,""JobPrio"":0,""JobStartDate"":1624640349,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1447452,""MemoryUsage"":1414.5263671875,""JobSimSubmitDate"":1627616047.035323,""JobSimStartDate"":1627617024.298063,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627615981.763167,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",610372ec66f3b85957576f0b,"[{""GlobalJobId"":""login05_osgconnect_net#11282760_471#1624572981_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9958553391,""CompletionDate"":1624575389,""CpusProvisioned"":1,""DiskProvisioned"":1278939,""DiskUsage"":201569,""DiskUsage_RAW"":47664,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":2378.713627,""JobPrio"":0,""JobStartDate"":1624634912,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":94356,""MemoryUsage"":93.1435546875,""JobSimSubmitDate"":1627616046.954868,""JobSimStartDate"":1627617027.547484,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":4.1552492728304715,""WastedCost"":4.1552492728304715,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11283590_1633#1624598229_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9719207786,""CompletionDate"":1624600140,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":201555,""DiskUsage_RAW"":47664,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":709.224013,""JobPrio"":0,""JobStartDate"":1624661333,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":77848,""MemoryUsage"":77.0224609375,""JobSimSubmitDate"":1627616047.239361,""JobSimStartDate"":1627617029.692653,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,130560,131072,compute_haswell,osg,1627615981.7522895,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",610372ecf8f343a00e387f12,"[{""GlobalJobId"":""login04_osgconnect_net#11939526_12919#1624593903_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9953783289,""CompletionDate"":1624616871,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":161,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":22834.13428,""JobPrio"":0,""JobStartDate"":1624655939,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":311900,""MemoryUsage"":305.5888671875,""JobSimSubmitDate"":1627616047.196675,""JobSimStartDate"":1627617028.307229,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#11939526_15660#1624600627_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.992635423,""CompletionDate"":1624622922,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":160,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":22082.415924,""JobPrio"":0,""JobStartDate"":1624662742,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":308272,""MemoryUsage"":302.0458984375,""JobSimSubmitDate"":1627616047.255592,""JobSimStartDate"":1627617030.002516,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627615981.751341,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610372ec66f3b85957576f0c,"[{""GlobalJobId"":""login04_osgconnect_net#11939526_10733#1624586437_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9955478343,""CompletionDate"":1624612012,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":160,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":22139.533699,""JobPrio"":0,""JobStartDate"":1624651775,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":315468,""MemoryUsage"":309.0732421875,""JobSimSubmitDate"":1627616047.114234,""JobSimStartDate"":1627617025.427809,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11283503_452#1624594796_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968219095,""CompletionDate"":1624600603,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5759.221252,""JobPrio"":0,""JobStartDate"":1624656745,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1445116,""MemoryUsage"":1412.2451171875,""JobSimSubmitDate"":1627616047.209331,""JobSimStartDate"":1627617029.289689,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.2964267896218887,""WastedCost"":0.2964267896218887,""Machine"":null,""action"":""start""}]",2,0,124928,131072,compute_haswell,osg,1627615981.7564557,inuse
