"Time","running","pending","completed"
1627870852961,12,380,1
1627870853256,32,646,4
1627870853268,31,649,7
1627870853273,30,649,9
1627870853279,29,669,10
1627870853281,28,674,13
1627870853301,27,688,13
1627870853305,26,688,13
1627870853309,23,693,13
1627870853313,25,693,13
1627870853314,22,700,13
1627870853316,21,703,13
1627870853320,20,706,14
1627870853374,19,754,15
1627870853376,18,755,16
1627870853465,17,831,17
1627870853479,15,834,20
1627870853486,14,847,22
1627870853489,12,847,22
1627870853491,13,847,22
1627870853502,11,856,23
1627870853504,9,861,26
1627870853511,7,868,28
1627870853512,6,868,28
1627870853585,5,938,29
1627870853589,4,940,31
1627870853944,2,1271,32
1627870853998,1,1321,33
1627870854103,0,1409,34
1627870856003,12,3038,35
1627870856090,34,3126,36
1627870856186,40,3221,37
1627870856192,41,3221,38
1627870856347,61,3381,40
1627870856367,64,3399,42
1627870856375,64,3399,42
1627870856393,66,3399,45
1627870856394,67,3399,45
1627870856397,64,3399,42
1627870856409,67,3399,45
1627870856415,66,3444,47
1627870856426,65,3449,49
1627870856434,64,3448,49
1627870856440,63,3460,51
1627870856441,62,3463,51
1627870856569,81,3476,54
1627870856571,80,3476,54
1627870856574,79,3476,54
1627870856597,82,3506,57
1627870856598,81,3506,56
1627870856618,86,3506,57
1627870856773,97,3661,63
1627870856775,99,3661,62
1627870856776,100,3661,62
1627870856778,97,3661,64
1627870856783,99,3661,65
1627870856788,99,3661,65
1627870856806,103,3700,65
1627870856825,104,3700,67
1627870856839,106,3735,68
1627870856859,105,3735,68
1627870856946,120,3836,70
1627870856949,119,3835,71
1627870856952,118,3835,71
1627870856966,118,3845,73
1627870856978,117,3844,73
1627870856990,116,3867,77
1627870857001,113,3865,78
1627870857009,115,3866,78
1627870857015,114,3865,78
1627870857036,114,3891,79
1627870857045,116,3888,81
1627870857056,116,3888,81
1627870857093,120,3851,83
1627870857112,120,3851,85
1627870857113,121,3851,83
1627870857133,121,3851,86
1627870857135,122,3851,86
1627870857156,124,3918,91
1627870857164,122,3918,91
1627870857175,123,3918,91
1627870857176,123,3950,92
1627870857188,123,3968,93
1627870857204,122,3968,94
1627870857208,123,3968,94
1627870857218,124,3968,94
1627870857244,123,4003,96
1627870857278,126,4011,98
1627870857283,125,4011,98
1627870857297,125,4065,100
1627870857299,125,4063,100
1627870857306,124,4065,102
1627870857335,125,4107,104
1627870857339,124,4107,104
1627870857348,126,4107,105
1627870857354,125,4107,105
1627870857479,143,4189,106
1627870857513,147,4262,110
1627870857514,147,4271,110
1627870857536,151,4288,110
1627870857537,151,4288,110
1627870857548,151,4288,111
1627870857562,152,4288,114
1627870857567,152,4288,114
1627870857571,151,4288,114
1627870857596,156,4339,116
1627870857597,155,4339,117
1627870857602,155,4339,118
1627870857610,154,4372,118
1627870857620,153,4376,120
1627870857633,152,4376,122
1627870857639,151,4390,123
1627870857650,151,4387,123
1627870857677,154,4412,125
1627870857683,153,4412,126
1627870857698,154,4408,126
1627870857722,156,4364,128
1627870857753,157,4364,128
1627870857762,156,4412,133
1627870857770,157,4412,133
1627870857775,157,4365,132
1627870857785,157,4413,134
1627870857789,155,4414,135
1627870857792,157,4365,133
1627870857800,156,4414,135
1627870857829,159,4415,137
1627870857833,158,4415,137
1627870857895,160,4546,138
1627870857936,164,4578,145
1627870857943,161,4578,149
1627870857951,159,4578,149
1627870857954,160,4578,149
1627870857962,159,4578,149
1627870857964,160,4578,149
1627870857966,162,4578,146
1627870857991,158,4578,149
1627870858004,158,4628,149
1627870858016,163,4659,150
1627870858064,168,4687,151
1627870858080,170,4688,156
1627870858081,171,4688,156
1627870858095,169,4688,157
1627870858111,169,4746,159
1627870858116,168,4746,159
1627870858130,171,4762,160
1627870858257,185,4871,163
1627870858259,189,4871,163
1627870858262,188,4871,163
1627870858281,188,4873,165
1627870858297,187,4875,166
1627870858314,186,4944,168
1627870858319,185,4944,168
1627870858327,184,4944,170
1627870858340,183,4941,172
1627870858350,182,4962,173
1627870858357,182,4976,174
1627870858360,181,4976,174
1627870858361,181,4976,175
1627870858395,181,4972,176
1627870858417,184,5014,177
1627870858455,190,4956,180
1627870858464,187,4956,182
1627870858466,189,4956,182
1627870858473,188,4956,182
1627870858475,187,4985,183
1627870858502,188,4985,186
1627870858511,187,4985,187
1627870858512,189,4985,187
1627870858513,188,4985,187
1627870858517,186,4985,187
1627870858555,194,5047,189
1627870858588,195,5072,193
