EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",6107568401a8665e595d4710,"[{""GlobalJobId"":""login05_osgconnect_net#11290527_2352#1624706847_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9963746237,""CompletionDate"":1624713018,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5445.777544,""JobPrio"":0,""JobStartDate"":1624759157,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1351272,""MemoryUsage"":1320.6005859375,""JobSimSubmitDate"":1627870912.303108,""JobSimStartDate"":1627871858.908478,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11290527_2374#1624706847_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.997644068,""CompletionDate"":1624713064,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5487.036143,""JobPrio"":0,""JobStartDate"":1624759161,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1350184,""MemoryUsage"":1319.5380859375,""JobSimSubmitDate"":1627870912.314109,""JobSimStartDate"":1627871858.944213,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627871814.8904867,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",6107568401a8665e595d4711,[],2,2,131072,131072,compute_haswell,chameleon,0,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",610756847e63168b519fd494,"[{""GlobalJobId"":""login05_osgconnect_net#11290527_2346#1624706847_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9963824818,""CompletionDate"":1624712714,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5142.533058,""JobPrio"":0,""JobStartDate"":1624759156,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1352096,""MemoryUsage"":1321.4052734375,""JobSimSubmitDate"":1627870912.303075,""JobSimStartDate"":1627871858.507776,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11290527_734#1624706846_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9978813751,""CompletionDate"":1624712348,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5087.070703,""JobPrio"":0,""JobStartDate"":1624758846,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1449820,""MemoryUsage"":1416.8388671875,""JobSimSubmitDate"":1627870912.302865,""JobSimStartDate"":1627871858.511875,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627871812.7287583,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",6107568401a8665e595d4712,"[{""GlobalJobId"":""login04_osgconnect_net#12103584_0#1624728392_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2388181447,""CompletionDate"":1624739141,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3323290,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10133.814163,""JobPrio"":623,""JobStartDate"":1624780591,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1382500,""MemoryUsage"":1351.0966796875,""JobSimSubmitDate"":1627870912.677473,""JobSimStartDate"":1627871867.222148,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12103170_0#1624727671_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1862317807,""CompletionDate"":1624739282,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3323791,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10096.261503,""JobPrio"":623,""JobStartDate"":1624780770,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1476412,""MemoryUsage"":1442.8076171875,""JobSimSubmitDate"":1627870912.692034,""JobSimStartDate"":1627871867.499267,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627871813.2518303,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",610756847e63168b519fd495,"[{""GlobalJobId"":""login04_osgconnect_net#12083692_0#1624713275_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1554017404,""CompletionDate"":1624723627,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3360835,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10183.99541,""JobPrio"":624,""JobStartDate"":1624765026,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1471244,""MemoryUsage"":1437.7607421875,""JobSimSubmitDate"":1627870912.379454,""JobSimStartDate"":1627871859.562823,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12083699_0#1624713276_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2065647366,""CompletionDate"":1624724450,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3387306,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11005.442503,""JobPrio"":624,""JobStartDate"":1624765028,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1594756,""MemoryUsage"":1558.3779296875,""JobSimSubmitDate"":1627870912.379495,""JobSimStartDate"":1627871859.563945,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627871752.1156602,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",6107568401a8665e595d4713,"[{""GlobalJobId"":""login05_osgconnect_net#11290527_2371#1624706847_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957156926,""CompletionDate"":1624712797,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5220.912627,""JobPrio"":0,""JobStartDate"":1624759161,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1354592,""MemoryUsage"":1323.8427734375,""JobSimSubmitDate"":1627870912.314135,""JobSimStartDate"":1627871858.962263,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11290527_2444#1624706847_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0033503681,""CompletionDate"":1624712350,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5292.015829,""JobPrio"":0,""JobStartDate"":1624758643,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348324,""MemoryUsage"":1317.7216796875,""JobSimSubmitDate"":1627870912.253495,""JobSimStartDate"":1627871859.826778,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627871708.4889278,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610756847e63168b519fd496,"[{""GlobalJobId"":""login04_osgconnect_net#12083755_0#1624713286_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2537460466,""CompletionDate"":1624723811,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3330360,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10022.193441,""JobPrio"":624,""JobStartDate"":1624765373,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1560444,""MemoryUsage"":1524.8701171875,""JobSimSubmitDate"":1627870912.44712,""JobSimStartDate"":1627871860.784718,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12103629_0#1624728401_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2619481868,""CompletionDate"":1624739255,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3332747,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10241.423094,""JobPrio"":623,""JobStartDate"":1624780596,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1599072,""MemoryUsage"":1562.5927734375,""JobSimSubmitDate"":1627870912.677554,""JobSimStartDate"":1627871867.275755,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627871514.7882082,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",6107568401a8665e595d4714,"[{""GlobalJobId"":""login05_osgconnect_net#11290527_2377#1624706847_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957098228,""CompletionDate"":1624712848,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5270.597526,""JobPrio"":0,""JobStartDate"":1624759162,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1345672,""MemoryUsage"":1315.1318359375,""JobSimSubmitDate"":1627870912.314154,""JobSimStartDate"":1627871858.965613,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12103478_0#1624728148_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1297804259,""CompletionDate"":1624738961,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3373841,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10066.879034,""JobPrio"":623,""JobStartDate"":1624780478,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1778252,""MemoryUsage"":1737.5732421875,""JobSimSubmitDate"":1627870912.677284,""JobSimStartDate"":1627871866.680955,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627871665.0922673,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",610756847e63168b519fd497,"[{""GlobalJobId"":""login05_osgconnect_net#11290350_506#1624697815_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9976177044,""CompletionDate"":1624703938,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5826.998993,""JobPrio"":0,""JobStartDate"":1624749696,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1449056,""MemoryUsage"":1416.0927734375,""JobSimSubmitDate"":1627870912.194579,""JobSimStartDate"":1627871857.749776,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11290734_1088#1624714674_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9786242703,""CompletionDate"":1624720649,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5606.16515,""JobPrio"":0,""JobStartDate"":1624766628,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1353116,""MemoryUsage"":1322.4013671875,""JobSimSubmitDate"":1627870912.480419,""JobSimStartDate"":1627871861.087818,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627871559.7275457,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6107568401a8665e595d4715,"[{""GlobalJobId"":""login05_osgconnect_net#11290921_1477#1624723106_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964572572,""CompletionDate"":1624729294,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5746.99924,""JobPrio"":0,""JobStartDate"":1624775132,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1323176,""MemoryUsage"":1293.1630859375,""JobSimSubmitDate"":1627870912.585655,""JobSimStartDate"":1627871865.967906,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12096937_0#1624723001_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.116975625,""CompletionDate"":1624734643,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3321689,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9993.074139,""JobPrio"":623,""JobStartDate"":1624776227,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1802836,""MemoryUsage"":1761.5810546875,""JobSimSubmitDate"":1627870912.677009,""JobSimStartDate"":1627871866.519767,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627871713.7535336,inuse
