"Time","unused terminations","success termination","immediate termination"
2021-07-29 18:55:25,,,
2021-07-29 18:55:30,,,
2021-07-29 18:55:35,,,
2021-07-29 18:55:40,,,
2021-07-29 18:55:45,,,
2021-07-29 18:55:50,,,
2021-07-29 18:55:55,,,
2021-07-29 18:56:00,,,
2021-07-29 18:56:05,,,
2021-07-29 18:56:10,,,
2021-07-29 18:56:15,,,
2021-07-29 18:56:20,,,
2021-07-29 18:56:25,,,
2021-07-29 18:56:30,,,
2021-07-29 18:56:35,,,
2021-07-29 18:56:40,,,
2021-07-29 18:56:45,,,
2021-07-29 18:56:50,,,
2021-07-29 18:56:55,,,
2021-07-29 18:57:00,,,
2021-07-29 18:57:05,,,
2021-07-29 18:57:10,,,
2021-07-29 18:57:15,,,
2021-07-29 18:57:20,,,
2021-07-29 18:57:25,,,
2021-07-29 18:57:30,,,
2021-07-29 18:57:35,,,
2021-07-29 18:57:40,,,
2021-07-29 18:57:45,,,
2021-07-29 18:57:50,,,
2021-07-29 18:57:55,,,
2021-07-29 18:58:00,,,
2021-07-29 18:58:05,,,
2021-07-29 18:58:10,,,
2021-07-29 18:58:15,,,
2021-07-29 18:58:20,,,
2021-07-29 18:58:25,,,
2021-07-29 18:58:30,,,
2021-07-29 18:58:35,,,
2021-07-29 18:58:40,,,
2021-07-29 18:58:45,,,
2021-07-29 18:58:50,,,
2021-07-29 18:58:55,,,
2021-07-29 18:59:00,,,
2021-07-29 18:59:05,,,
2021-07-29 18:59:10,,,
2021-07-29 18:59:15,,,
2021-07-29 18:59:20,,,
2021-07-29 18:59:25,,,
2021-07-29 18:59:30,,,
2021-07-29 18:59:35,,,
2021-07-29 18:59:40,,,
2021-07-29 18:59:45,,,
2021-07-29 18:59:50,,,
2021-07-29 18:59:55,,,
2021-07-29 19:00:00,,,
2021-07-29 19:00:05,,,
2021-07-29 19:00:10,,,
2021-07-29 19:00:15,,,
2021-07-29 19:00:20,,,
2021-07-29 19:00:25,,,
2021-07-29 19:00:30,,,
2021-07-29 19:00:35,,,
2021-07-29 19:00:40,,,
2021-07-29 19:00:45,,,
2021-07-29 19:00:50,,,
2021-07-29 19:00:55,,,
2021-07-29 19:01:00,,,
2021-07-29 19:01:05,,,
2021-07-29 19:01:10,,,
2021-07-29 19:01:15,,,
2021-07-29 19:01:20,,,
2021-07-29 19:01:25,,,
2021-07-29 19:01:30,,,
2021-07-29 19:01:35,,,
2021-07-29 19:01:40,,,
2021-07-29 19:01:45,,,
2021-07-29 19:01:50,,,
2021-07-29 19:01:55,,,
2021-07-29 19:02:00,,,
2021-07-29 19:02:05,,,
2021-07-29 19:02:10,,,
2021-07-29 19:02:15,,,
2021-07-29 19:02:20,,,
2021-07-29 19:02:25,,,
2021-07-29 19:02:30,,,
2021-07-29 19:02:35,,,
2021-07-29 19:02:40,,,
2021-07-29 19:02:45,,,
2021-07-29 19:02:50,,,
2021-07-29 19:02:55,,,
2021-07-29 19:03:00,,,
2021-07-29 19:03:05,,,
2021-07-29 19:03:10,,,
2021-07-29 19:03:15,,,
2021-07-29 19:03:20,,,
2021-07-29 19:03:25,,,
2021-07-29 19:03:30,,,
2021-07-29 19:03:35,,,
2021-07-29 19:03:40,,,
2021-07-29 19:03:45,,,
2021-07-29 19:03:50,,,
2021-07-29 19:03:55,,,
2021-07-29 19:04:00,,,
2021-07-29 19:04:05,,,
2021-07-29 19:04:10,,,
2021-07-29 19:04:15,,,
2021-07-29 19:04:20,,,
2021-07-29 19:04:25,,,
2021-07-29 19:04:30,,,
2021-07-29 19:04:35,,,
2021-07-29 19:04:40,,,
2021-07-29 19:04:45,,,
2021-07-29 19:04:50,,,
2021-07-29 19:04:55,,,
2021-07-29 19:05:00,,,
2021-07-29 19:05:05,,,
2021-07-29 19:05:10,,,
2021-07-29 19:05:15,,,
2021-07-29 19:05:20,,,
2021-07-29 19:05:25,,,
2021-07-29 19:05:30,,,
2021-07-29 19:05:35,,,
2021-07-29 19:05:40,,,
2021-07-29 19:05:45,,,
2021-07-29 19:05:50,,,
2021-07-29 19:05:55,,,
2021-07-29 19:06:00,,,
2021-07-29 19:06:05,,,
2021-07-29 19:06:10,,,
2021-07-29 19:06:15,,,
2021-07-29 19:06:20,,,
2021-07-29 19:06:25,,,
2021-07-29 19:06:30,,,
2021-07-29 19:06:35,,,
2021-07-29 19:06:40,,,
2021-07-29 19:06:45,,,
2021-07-29 19:06:50,,,
2021-07-29 19:06:55,,,
2021-07-29 19:07:00,,,
2021-07-29 19:07:05,,,
2021-07-29 19:07:10,,,
2021-07-29 19:07:15,,,
2021-07-29 19:07:20,,,
2021-07-29 19:07:25,,,
2021-07-29 19:07:30,,,
2021-07-29 19:07:35,,,
2021-07-29 19:07:40,,,
2021-07-29 19:07:45,,,
2021-07-29 19:07:50,,,
2021-07-29 19:07:55,,,
2021-07-29 19:08:00,,,
2021-07-29 19:08:05,,,
2021-07-29 19:08:10,,,
2021-07-29 19:08:15,,,
2021-07-29 19:08:20,,,
2021-07-29 19:08:25,,,
2021-07-29 19:08:30,,,
2021-07-29 19:08:35,,,
2021-07-29 19:08:40,,,
2021-07-29 19:08:45,,,
2021-07-29 19:08:50,,,
2021-07-29 19:08:55,,,
2021-07-29 19:09:00,,,
2021-07-29 19:09:05,,,
2021-07-29 19:09:10,,,
2021-07-29 19:09:15,,,
2021-07-29 19:09:20,,,
2021-07-29 19:09:25,0,0,0
2021-07-29 19:09:30,0,0,0
2021-07-29 19:09:35,0,0,0
2021-07-29 19:09:40,0,0,0
2021-07-29 19:09:45,0,0,0
2021-07-29 19:09:50,0,0,0
2021-07-29 19:09:55,0,0,0
2021-07-29 19:10:00,0,0,0
2021-07-29 19:10:05,0,0,0
2021-07-29 19:10:10,0,0,0
2021-07-29 19:10:15,0,0,0
2021-07-29 19:10:20,1,9,0
2021-07-29 19:10:25,1,15,3
2021-07-29 19:10:30,1,24,5
2021-07-29 19:10:35,1,35,16
2021-07-29 19:10:40,1,44,19
2021-07-29 19:10:45,1,51,19
2021-07-29 19:10:50,2,58,23
2021-07-29 19:10:55,4,64,24
2021-07-29 19:11:00,5,72,54
2021-07-29 19:11:05,8,83,60
2021-07-29 19:11:10,11,92,60
2021-07-29 19:11:15,14,104,64
2021-07-29 19:11:20,17,113,66
2021-07-29 19:11:25,21,124,67
2021-07-29 19:11:30,23,133,69
2021-07-29 19:11:35,26,145,72
2021-07-29 19:11:40,30,157,74
2021-07-29 19:11:45,33,169,76
2021-07-29 19:11:50,39,175,76
2021-07-29 19:11:55,44,182,76
2021-07-29 19:12:00,45,190,81
2021-07-29 19:12:05,45,196,94
2021-07-29 19:12:10,46,204,103
2021-07-29 19:12:15,48,217,105
2021-07-29 19:12:20,50,223,108
2021-07-29 19:12:25,53,232,108
2021-07-29 19:12:30,54,236,111
2021-07-29 19:12:35,55,254,114
2021-07-29 19:12:40,57,264,118
2021-07-29 19:12:45,58,275,123
2021-07-29 19:12:50,63,284,142
2021-07-29 19:12:55,64,299,149
2021-07-29 19:13:00,70,309,150
2021-07-29 19:13:05,76,320,150
2021-07-29 19:13:10,78,330,155
2021-07-29 19:13:15,84,341,180
2021-07-29 19:13:20,87,361,187
2021-07-29 19:13:25,94,369,264
2021-07-29 19:13:30,94,376,269
2021-07-29 19:13:35,96,378,269
2021-07-29 19:13:40,99,379,269
2021-07-29 19:13:45,103,391,339
2021-07-29 19:13:50,105,393,340
2021-07-29 19:13:55,106,396,340
2021-07-29 19:14:00,106,410,424
2021-07-29 19:14:05,108,423,428
2021-07-29 19:14:10,108,427,428
2021-07-29 19:14:15,112,431,429
2021-07-29 19:14:20,119,433,429
2021-07-29 19:14:25,125,447,467
2021-07-29 19:14:30,128,460,468
2021-07-29 19:14:35,132,463,468
2021-07-29 19:14:40,141,466,468
2021-07-29 19:14:45,152,472,468
2021-07-29 19:14:50,161,481,523
2021-07-29 19:14:55,167,498,525
2021-07-29 19:15:00,172,512,525
2021-07-29 19:15:05,174,526,530
2021-07-29 19:15:10,177,532,541
2021-07-29 19:15:15,179,542,546
2021-07-29 19:15:20,183,548,546
2021-07-29 19:15:25,185,554,604
2021-07-29 19:15:30,185,563,656
2021-07-29 19:15:35,196,577,657
2021-07-29 19:15:40,199,589,681
2021-07-29 19:15:45,199,589,681
2021-07-29 19:15:50,208,593,681
2021-07-29 19:15:55,216,598,683
2021-07-29 19:16:00,233,604,684
2021-07-29 19:16:05,243,607,684
2021-07-29 19:16:10,250,609,712
2021-07-29 19:16:15,256,630,755
2021-07-29 19:16:20,268,648,775
2021-07-29 19:16:25,276,660,778
2021-07-29 19:16:30,285,660,794
2021-07-29 19:16:35,286,687,835
2021-07-29 19:16:40,305,694,842
2021-07-29 19:16:45,305,714,857
2021-07-29 19:16:50,310,714,857
2021-07-29 19:16:55,327,718,876
2021-07-29 19:17:00,338,722,876
2021-07-29 19:17:05,345,733,902
2021-07-29 19:17:10,356,735,902
2021-07-29 19:17:15,370,749,902
2021-07-29 19:17:20,394,756,902
2021-07-29 19:17:25,399,758,902
2021-07-29 19:17:30,405,758,902
2021-07-29 19:17:35,428,763,902
2021-07-29 19:17:40,431,763,915
2021-07-29 19:17:45,446,772,915
2021-07-29 19:17:50,448,774,966
2021-07-29 19:17:55,454,784,968
2021-07-29 19:18:00,454,784,968
2021-07-29 19:18:05,454,784,968
2021-07-29 19:18:10,458,793,986
2021-07-29 19:18:15,462,800,990
2021-07-29 19:18:20,463,816,996
2021-07-29 19:18:25,468,836,998
2021-07-29 19:18:30,473,845,998
2021-07-29 19:18:35,476,855,999
2021-07-29 19:18:40,476,855,999
2021-07-29 19:18:45,479,857,999
2021-07-29 19:18:50,485,868,999
2021-07-29 19:18:55,494,880,999
2021-07-29 19:19:00,499,891,1000
2021-07-29 19:19:05,507,903,1001
2021-07-29 19:19:10,516,910,1001
2021-07-29 19:19:15,520,913,1001
2021-07-29 19:19:20,525,924,1001
2021-07-29 19:19:25,530,927,1001
2021-07-29 19:19:30,531,933,1010
2021-07-29 19:19:35,533,942,1033
2021-07-29 19:19:40,535,952,1037
2021-07-29 19:19:45,539,965,1043
2021-07-29 19:19:50,544,974,1059
2021-07-29 19:19:55,544,974,1059
2021-07-29 19:20:00,546,978,1059
2021-07-29 19:20:05,549,991,1059
2021-07-29 19:20:10,553,999,1060
2021-07-29 19:20:15,557,1007,1061
2021-07-29 19:20:20,561,1013,1086
2021-07-29 19:20:25,567,1018,1094
2021-07-29 19:20:30,570,1030,1102
2021-07-29 19:20:35,573,1041,1102
2021-07-29 19:20:40,577,1049,1105
2021-07-29 19:20:45,585,1055,1105
2021-07-29 19:20:50,589,1065,1106
2021-07-29 19:20:55,592,1068,1106
2021-07-29 19:21:00,593,1070,1106
2021-07-29 19:21:05,595,1082,1120
2021-07-29 19:21:10,595,1094,1131
2021-07-29 19:21:15,600,1105,1138
2021-07-29 19:21:20,602,1113,1141
2021-07-29 19:21:25,605,1122,1143
2021-07-29 19:21:30,605,1123,1144
2021-07-29 19:21:35,608,1128,1148
2021-07-29 19:21:40,612,1138,1152
2021-07-29 19:21:45,616,1147,1152
