"Time","running","pending","completed"
2021-07-29 19:09:24,21,1467,13
2021-07-29 19:09:26,0,3077,83
2021-07-29 19:09:28,89,5053,134
2021-07-29 19:09:30,181,6600,232
2021-07-29 19:09:32,272,8356,377
2021-07-29 19:09:34,334,9872,534
2021-07-29 19:09:36,396,11554,700
2021-07-29 19:09:38,455,13110,870
2021-07-29 19:09:40,510,14748,1002
2021-07-29 19:09:42,529,16414,1178
2021-07-29 19:09:44,540,18152,1322
2021-07-29 19:09:46,516,19911,1495
2021-07-29 19:09:48,518,21602,1664
2021-07-29 19:09:50,544,23189,1811
2021-07-29 19:09:52,533,24924,1987
2021-07-29 19:09:54,530,26593,2143
2021-07-29 19:09:56,549,28250,2308
2021-07-29 19:09:58,528,29905,2481
2021-07-29 19:10:00,552,31508,2649
2021-07-29 19:10:02,552,33194,2813
2021-07-29 19:10:04,551,34961,2969
2021-07-29 19:10:06,529,36709,3130
2021-07-29 19:10:08,525,38309,3300
2021-07-29 19:10:10,542,39964,3475
2021-07-29 19:10:12,527,41616,3638
2021-07-29 19:10:14,541,43380,3796
2021-07-29 19:10:16,539,44982,3979
2021-07-29 19:10:18,522,46685,4137
2021-07-29 19:10:20,514,48356,4297
2021-07-29 19:10:22,512,49984,4469
2021-07-29 19:10:24,502,51868,4632
2021-07-29 19:10:26,489,53560,4785
2021-07-29 19:10:28,512,55053,4942
2021-07-29 19:10:30,492,56776,5101
2021-07-29 19:10:32,491,58444,5270
2021-07-29 19:10:34,481,60171,5438
2021-07-29 19:10:36,484,61901,5562
2021-07-29 19:10:38,470,63583,5734
2021-07-29 19:10:40,492,65274,5892
2021-07-29 19:10:42,477,66954,6050
2021-07-29 19:10:44,495,68473,6209
2021-07-29 19:10:46,517,70208,6370
2021-07-29 19:10:48,489,71889,6532
2021-07-29 19:10:50,482,73365,6664
2021-07-29 19:10:52,508,75275,6834
2021-07-29 19:10:54,508,76815,7019
2021-07-29 19:10:56,526,78486,7154
2021-07-29 19:10:58,513,79969,7324
2021-07-29 19:11:00,504,81680,7501
2021-07-29 19:11:02,501,83317,7630
2021-07-29 19:11:04,452,84873,7778
2021-07-29 19:11:06,438,86703,7926
2021-07-29 19:11:08,440,88333,8086
2021-07-29 19:11:10,401,89965,8253
2021-07-29 19:11:12,440,91561,8394
2021-07-29 19:11:14,463,93276,8564
2021-07-29 19:11:16,474,93901,8710
2021-07-29 19:11:18,478,93777,8888
2021-07-29 19:11:20,488,93628,9045
2021-07-29 19:11:22,459,93485,9221
2021-07-29 19:11:24,459,93231,9390
2021-07-29 19:11:26,487,93096,9519
2021-07-29 19:11:28,473,92955,9667
2021-07-29 19:11:30,454,92819,9820
2021-07-29 19:11:32,440,92668,9973
2021-07-29 19:11:34,472,92519,10146
2021-07-29 19:11:36,475,92378,10298
2021-07-29 19:11:38,454,92247,10431
