EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",61034334832214ceb0bf61a3,[],2,2,131072,131072,compute_haswell,chameleon,0,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",6103433481e21f565049f9da,"[{""GlobalJobId"":""login04_osgconnect_net#12219610_0#1624867159_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9949507971,""CompletionDate"":1624876438,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3340575,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8616.824565,""JobPrio"":612,""JobStartDate"":1624919405,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1582632,""MemoryUsage"":1546.5380859375,""JobSimSubmitDate"":1627603825.041937,""JobSimStartDate"":1627604658.352162,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12219612_0#1624867160_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0527825794,""CompletionDate"":1624876315,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3320152,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8492.375485,""JobPrio"":612,""JobStartDate"":1624919406,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1693624,""MemoryUsage"":1654.9287109375,""JobSimSubmitDate"":1627603825.042955,""JobSimStartDate"":1627604658.36467,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627604643.3974326,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",61034334832214ceb0bf61a4,"[{""GlobalJobId"":""login05_osgconnect_net#11319269_5637#1624871816_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.159923767,""CompletionDate"":1624880738,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5295.980833,""JobPrio"":0,""JobStartDate"":1624927026,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1350624,""MemoryUsage"":1319.9677734375,""JobSimSubmitDate"":1627603825.106297,""JobSimStartDate"":1627604659.147786,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319269_5647#1624871816_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9951671892,""CompletionDate"":1624880958,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5508.505461,""JobPrio"":0,""JobStartDate"":1624927033,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1365708,""MemoryUsage"":1334.6982421875,""JobSimSubmitDate"":1627603825.106459,""JobSimStartDate"":1627604659.212692,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627604643.7374425,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",6103433481e21f565049f9db,"[{""GlobalJobId"":""login05_osgconnect_net#11318616_6025#1624862181_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9955576654,""CompletionDate"":1624870727,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5459.369746,""JobPrio"":0,""JobStartDate"":1624916853,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356460,""MemoryUsage"":1325.6669921875,""JobSimSubmitDate"":1627603824.981255,""JobSimStartDate"":1627604657.235206,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12235947_0#1624893006_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1801567683,""CompletionDate"":1624905833,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3357529,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10544.766091,""JobPrio"":610,""JobStartDate"":1624946872,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1475304,""MemoryUsage"":1441.7255859375,""JobSimSubmitDate"":1627603825.447211,""JobSimStartDate"":1627604664.308217,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627604627.447678,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",61034334832214ceb0bf61a5,"[{""GlobalJobId"":""login04_osgconnect_net#12222307_0#1624870840_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.3976918132,""CompletionDate"":1624884791,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3339650,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9049.918971,""JobPrio"":611,""JobStartDate"":1624927325,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1590428,""MemoryUsage"":1554.1513671875,""JobSimSubmitDate"":1627603825.157379,""JobSimStartDate"":1627604659.446982,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_7186#1624882053_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9690359304,""CompletionDate"":1624890639,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5611.406558,""JobPrio"":0,""JobStartDate"":1624936612,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1422216,""MemoryUsage"":1389.8818359375,""JobSimSubmitDate"":1627603825.235082,""JobSimStartDate"":1627604661.051528,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627604627.4548674,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6103433481e21f565049f9dc,"[{""GlobalJobId"":""login05_osgconnect_net#11318616_7690#1624862183_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9943369611,""CompletionDate"":1624871167,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5596.636389,""JobPrio"":0,""JobStartDate"":1624917154,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348768,""MemoryUsage"":1318.1552734375,""JobSimSubmitDate"":1627603825.013501,""JobSimStartDate"":1627604657.672759,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_7219#1624882053_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.960233079,""CompletionDate"":1624890643,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5606.678162,""JobPrio"":0,""JobStartDate"":1624936621,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1358952,""MemoryUsage"":1328.1005859375,""JobSimSubmitDate"":1627603825.248624,""JobSimStartDate"":1627604661.230617,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627604501.5902987,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",61034334832214ceb0bf61a6,"[{""GlobalJobId"":""login04_osgconnect_net#12219278_0#1624866865_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1129480394,""CompletionDate"":1624876150,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3344163,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8639.763605,""JobPrio"":612,""JobStartDate"":1624919094,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1506152,""MemoryUsage"":1471.8505859375,""JobSimSubmitDate"":1627603825.039024,""JobSimStartDate"":1627604659.113423,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_7228#1624882053_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9945461599,""CompletionDate"":1624890749,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5709.762035,""JobPrio"":0,""JobStartDate"":1624936624,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1366604,""MemoryUsage"":1335.5732421875,""JobSimSubmitDate"":1627603825.253182,""JobSimStartDate"":1627604661.332891,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627603765.1468594,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",6103433481e21f565049f9dd,"[{""GlobalJobId"":""login05_osgconnect_net#11318616_7702#1624862183_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9943520677,""CompletionDate"":1624871018,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5440.256173,""JobPrio"":0,""JobStartDate"":1624917163,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1357340,""MemoryUsage"":1326.5263671875,""JobSimSubmitDate"":1627603825.020083,""JobSimStartDate"":1627604658.083268,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_1233#1624882048_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9890973327,""CompletionDate"":1624888275,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5585.426168,""JobPrio"":0,""JobStartDate"":1624934275,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348516,""MemoryUsage"":1317.9091796875,""JobSimSubmitDate"":1627603825.205834,""JobSimStartDate"":1627604660.691927,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627604025.406682,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",61034334832214ceb0bf61a7,"[{""GlobalJobId"":""login05_osgconnect_net#11318616_310#1624862177_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959558709,""CompletionDate"":1624867691,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5245.027728,""JobPrio"":0,""JobStartDate"":1624914031,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1449864,""MemoryUsage"":1416.8818359375,""JobSimSubmitDate"":1627603824.952954,""JobSimStartDate"":1627604657.006662,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11318616_6023#1624862181_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9947897936,""CompletionDate"":1624870860,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5593.763656,""JobPrio"":0,""JobStartDate"":1624916851,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1349916,""MemoryUsage"":1319.2763671875,""JobSimSubmitDate"":1627603824.981219,""JobSimStartDate"":1627604657.151106,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627604134.6378505,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",6103433481e21f565049f9de,"[{""GlobalJobId"":""login05_osgconnect_net#11319269_175#1624871813_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9945980679,""CompletionDate"":1624876752,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4798.349385,""JobPrio"":0,""JobStartDate"":1624923538,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1323128,""MemoryUsage"":1293.1162109375,""JobSimSubmitDate"":1627603825.067247,""JobSimStartDate"":1627604658.600395,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319269_5650#1624871816_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964346821,""CompletionDate"":1624880958,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5506.149726,""JobPrio"":0,""JobStartDate"":1624927036,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1446340,""MemoryUsage"":1413.4404296875,""JobSimSubmitDate"":1627603825.109978,""JobSimStartDate"":1627604659.26944,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627603765.2847145,inuse
