"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627860869537,29,0,0
1627860870527,70,1,13
1627860870708,67,2,15
1627860871129,251,1,15
1627860871453,257,2,15
1627860871725,256,3,15
1627860872150,257,2,15
1627860872661,257,2,15
1627860873152,257,2,15
1627860873666,257,2,15
1627860874676,207,2,65
1627860875679,152,2,120
1627860876680,143,2,129
1627860877683,113,1,160
1627860878691,86,1,187
1627860879325,71,1,202
1627860879699,64,0,210
1627860880220,52,0,222
1627860880569,51,0,223
1627860880711,46,1,227
1627860880846,35,2,237
1627860881021,30,3,241
1627860881155,29,4,241
1627860881323,20,6,248
1627860881709,15,3,256
1627860882203,0,3,271
1627860882727,0,3,271
1627860883218,0,3,271
1627860883538,0,1,273
1627860883697,0,2,272
1627860883899,0,2,272
1627860884158,0,3,271
1627860884387,0,4,270
1627860884561,2,1,271
1627860884751,1,0,273
1627860885242,1,0,273
1627860885762,0,0,274
1627860886772,0,0,274
1627860887142,0,0,274
1627860887372,0,1,273
1627860887600,0,2,272
1627860887835,0,3,271
1627860888085,0,4,270
1627860888284,0,5,269
1627860888447,0,5,269
1627860888636,0,5,269
1627860888800,0,6,268
1627860889285,0,5,269
1627860889786,0,5,269
1627860890282,1,5,268
1627860890815,0,5,269
1627860891302,0,5,269
1627860891614,0,6,268
1627860891820,0,6,268
1627860892018,1,6,267
1627860892265,0,7,267
1627860892444,1,7,266
1627860892815,0,5,269
1627860893298,0,5,269
1627860893826,0,5,269
1627860894348,0,5,269
1627860894820,0,5,269
1627860895309,0,4,270
1627860895827,0,0,274
1627860896320,0,0,274
1627860896851,0,0,274
1627860897326,0,0,274
1627860897529,0,1,273
1627860897851,0,1,273
1627860898344,0,1,273
1627860898859,0,1,273
1627860899349,0,1,273
1627860899688,0,2,272
1627860899914,0,3,271
1627860900151,0,3,271
1627860900320,0,4,270
1627860900511,0,5,269
1627860901118,2,3,269
1627860901317,0,2,272
1627860901463,0,2,272
1627860901883,0,1,273
1627860902396,0,1,273
1627860902904,0,1,273
1627860903379,0,1,273
1627860903904,0,1,273
1627860904397,0,1,273
1627860904908,0,1,273
1627860905396,0,1,273
1627860905909,0,1,273
1627860906401,0,1,273
1627860906912,0,1,273
1627860907422,0,1,273
1627860907728,0,2,272
1627860907868,0,3,271
1627860908045,0,3,271
1627860908241,0,4,270
1627860908399,0,5,269
1627860908629,2,3,269
1627860908933,0,1,273
1627860909746,0,1,273
1627860909967,0,2,272
1627860910138,0,3,271
1627860910276,0,4,270
1627860910489,1,4,269
1627860910666,2,3,269
1627860910972,2,1,271
1627860911259,0,2,272
1627860911450,0,9,265
1627860911660,0,9,265
1627860911979,0,8,266
1627860912465,0,8,266
1627860912979,0,8,266
1627860913469,0,8,266
1627860913989,0,8,266
1627860914493,0,8,266
1627860914987,0,8,266
1627860915486,0,8,266
1627860915796,0,9,265
1627860915979,0,10,264
1627860916211,0,10,264
1627860916397,0,11,263
1627860916621,0,12,262
1627860916831,3,9,262
1627860917074,1,8,265
1627860917561,0,8,266
1627860918016,0,8,266
1627860918527,0,8,266
1627860918736,0,9,265
1627860919035,0,9,265
1627860919249,0,10,264
1627860919542,0,10,264
1627860920044,0,10,264
1627860920529,0,10,264
1627860921042,0,10,264
1627860921553,0,10,264
1627860922055,0,10,264
1627860922556,0,10,264
1627860923073,0,10,264
1627860923557,0,10,264
1627860924002,0,10,264
1627860924181,0,11,263
1627860925066,0,10,264
1627860925205,0,11,263
1627860926128,0,11,263
1627860926766,0,11,263
1627860926929,0,12,262
1627860927198,1,12,261
1627860927333,0,11,263
1627860928123,0,10,264
1627860929113,0,10,264
1627860929278,0,12,262
1627860930117,0,23,251
1627860931150,0,23,251
1627860932192,0,24,250
1627860932389,0,24,250
1627860932574,0,25,249
1627860932745,1,25,248
1627860932881,0,26,248
1627860933398,1,23,250
1627860934163,0,23,251
1627860935155,0,22,252
1627860935286,0,23,251
1627860936181,0,23,251
1627860936990,0,24,250
1627860937384,0,25,249
1627860937494,0,25,249
1627860938203,0,25,249
1627860939193,0,25,249
1627860940110,0,25,249
1627860940319,0,26,248
1627860940569,0,27,247
1627860940734,0,27,247
1627860940866,0,28,246
1627860941220,4,25,245
1627860941435,0,27,247
1627860941716,0,32,242
1627860942223,0,32,242
1627860942361,0,33,241
1627860942929,0,34,240
1627860943232,0,33,241
1627860943359,0,34,240
1627860944263,0,35,239
1627860945248,2,33,239
1627860946260,0,33,241
1627860947287,0,33,241
1627860948164,1,33,240
1627860948302,0,34,240
1627860948495,0,35,239
1627860948650,1,35,238
1627860948749,0,36,238
1627860949297,0,33,241
1627860950289,0,25,249
1627860951324,0,23,251
1627860952315,0,22,252
1627860953308,0,22,252
1627860953450,0,28,246
1627860954333,0,27,247
1627860955352,0,27,247
1627860956248,0,28,246
1627860956458,0,28,246
1627860956643,0,29,245
1627860956876,0,29,245
1627860957011,0,30,244
1627860957370,1,27,246
1627860958379,1,27,246
1627860959370,7,20,247
1627860960375,0,20,254
1627860961868,0,20,254
1627860962897,0,20,254
1627860963954,0,20,254
1627860964878,0,19,255
1627860965018,0,20,254
1627860965822,1,20,253
1627860966165,0,22,252
1627860966407,1,19,254
1627860966514,0,20,254
1627860967434,0,20,254
1627860968124,0,21,253
1627860968420,0,28,246
1627860968709,0,29,245
1627860968997,0,30,244
1627860969226,0,40,234
1627860969509,0,50,224
