"Time","unused terminations","success termination","immediate termination"
1627935562188,0,0,0
1627935562432,0,0,0
1627935562840,0,0,0
1627935563341,0,0,0
1627935563642,0,0,0
1627935563880,0,0,0
1627935564340,0,0,0
1627935564860,0,0,0
1627935565345,0,0,0
1627935565912,0,0,0
1627935566892,0,0,0
1627935567904,0,0,0
1627935568888,0,0,0
1627935569911,0,0,0
1627935570880,0,0,0
1627935572173,0,0,0
1627935572386,0,0,0
1627935572551,0,0,0
1627935572805,0,0,0
1627935573007,0,0,0
1627935573189,0,0,0
1627935573361,0,0,0
1627935573551,0,0,0
1627935573776,0,0,0
1627935573983,0,0,0
1627935574472,0,0,0
1627935574957,0,0,0
1627935575481,0,0,0
1627935575780,0,0,0
1627935575921,0,0,0
1627935576090,0,0,0
1627935576261,0,0,0
1627935576477,0,0,0
1627935576661,0,0,0
1627935576987,0,0,0
1627935577492,0,0,0
1627935578028,0,0,0
1627935578983,0,0,0
1627935579422,0,0,0
1627935579588,0,0,0
1627935579765,0,0,0
1627935579934,0,0,0
1627935580135,0,0,0
1627935580329,0,0,0
1627935580530,0,0,0
1627935580698,0,0,0
1627935581026,0,0,0
1627935581483,0,0,0
1627935582081,0,0,0
1627935582552,0,0,0
1627935583051,0,0,0
1627935583556,0,0,0
1627935583823,0,0,0
1627935583975,0,0,0
1627935584136,0,0,0
1627935584310,0,0,0
1627935584528,0,0,0
1627935585045,0,0,0
1627935585532,0,0,0
1627935586063,0,0,0
1627935586571,0,0,0
1627935587074,0,0,0
1627935587570,0,0,0
1627935588086,0,0,0
1627935588553,0,0,0
1627935589060,0,0,0
1627935589622,0,0,0
1627935589828,0,0,0
1627935590133,0,0,0
1627935590603,0,0,0
1627935591103,0,0,0
1627935591642,0,0,0
1627935591933,0,0,0
1627935592166,0,0,0
1627935592336,0,0,0
1627935592554,0,0,0
1627935592698,0,0,0
1627935592894,0,0,0
1627935593117,0,0,0
1627935593760,0,0,0
1627935594113,0,0,0
1627935594637,0,0,0
1627935595161,0,0,0
1627935595656,0,0,0
1627935596150,0,0,0
1627935596633,0,0,0
1627935597116,0,0,0
1627935597660,0,0,0
1627935598160,0,0,0
1627935598646,0,0,0
1627935599192,0,0,0
1627935599672,0,0,0
1627935600002,0,0,0
1627935600227,0,0,0
1627935600413,0,0,0
1627935600626,0,0,0
1627935600816,0,0,0
1627935601065,0,0,0
1627935601213,0,0,0
1627935602032,0,0,0
1627935602241,0,0,0
1627935602477,0,0,0
1627935602707,0,0,0
1627935602882,0,0,0
1627935603085,0,0,0
1627935603262,0,0,0
1627935603451,0,0,0
1627935603620,0,0,0
1627935603799,0,0,0
1627935604229,0,0,0
1627935604812,0,0,0
1627935605229,0,0,0
1627935605705,0,0,0
1627935606218,0,0,0
1627935606770,0,0,0
1627935607251,0,0,0
1627935607719,0,0,0
1627935608034,0,0,0
1627935608212,0,0,0
1627935608383,0,0,0
1627935608553,0,0,0
1627935608710,0,0,0
1627935608970,0,0,0
1627935609273,0,0,0
1627935609773,0,0,0
1627935610275,0,0,0
1627935610795,0,0,0
1627935610975,0,0,0
1627935611286,0,0,0
1627935611501,0,0,0
1627935611784,0,0,0
1627935612304,0,0,0
1627935612793,0,0,0
1627935613313,0,0,0
1627935613785,0,0,0
1627935614332,0,0,0
1627935614977,0,0,0
1627935615339,0,0,0
1627935615821,0,0,0
1627935616278,0,0,0
1627935616537,0,0,0
1627935617441,0,0,0
1627935618358,1,1,0
1627935618523,1,1,0
1627935618806,1,1,0
1627935619047,1,1,1
1627935619216,1,1,2
1627935619558,1,3,3
1627935619744,1,3,3
1627935620344,1,5,3
1627935620746,1,5,3
1627935621395,1,7,3
1627935621549,1,7,3
1627935621751,1,7,3
1627935622354,1,9,3
1627935622757,1,9,3
1627935623413,1,11,3
1627935623762,1,11,3
1627935624102,1,11,3
1627935624375,1,11,4
1627935624705,1,11,5
1627935624878,1,11,6
1627935625185,1,13,7
1627935625261,1,13,7
1627935625414,1,15,7
1627935625792,1,15,7
1627935626401,1,15,7
1627935626796,1,15,7
1627935626926,1,15,7
1627935627603,1,17,8
1627935627805,1,17,8
1627935628416,1,19,8
1627935628819,1,19,8
1627935629078,1,19,8
1627935629296,1,19,9
1627935629632,1,21,10
1627935629830,1,21,10
1627935630434,1,23,10
1627935630830,1,23,10
1627935631442,1,25,10
1627935631837,1,25,10
1627935632157,1,25,10
1627935632332,1,25,11
1627935632510,1,25,12
1627935632699,1,25,13
1627935633019,1,27,14
1627935633103,1,27,14
1627935633466,1,29,14
1627935633625,1,29,20
1627935634000,1,29,21
1627935634614,1,31,22
1627935634875,1,31,22
1627935634986,1,31,22
1627935635165,1,31,23
1627935635628,1,33,24
1627935635753,1,33,24
1627935635883,1,33,24
1627935636543,1,36,24
1627935636888,1,36,24
1627935637528,1,38,24
1627935637902,1,38,24
1627935638537,1,40,24
1627935638911,1,40,24
1627935639543,1,42,24
1627935639920,1,42,24
1627935640243,1,42,24
1627935640473,1,42,25
1627935640654,1,42,26
1627935640826,1,42,27
1627935641181,1,44,28
1627935641268,1,44,28
1627935641565,1,46,28
1627935641948,1,46,28
1627935642577,1,48,28
1627935642956,1,48,28
1627935643593,1,50,28
1627935643967,1,50,28
1627935644626,1,52,28
1627935644979,1,52,28
1627935645571,1,52,28
1627935645758,1,54,28
1627935645985,1,54,28
1627935646638,1,56,28
1627935646991,1,56,28
1627935647608,1,58,28
1627935647996,1,58,28
1627935648317,1,58,28
1627935648520,1,58,28
1627935648683,1,58,29
1627935648866,1,58,30
1627935649115,1,60,31
1627935649187,1,60,31
1627935649633,1,62,31
1627935650676,2,63,31
1627935651026,2,63,31
1627935651650,2,65,31
1627935652036,2,65,31
1627935652671,2,66,31
1627935653039,2,66,31
1627935654150,2,68,31
1627935655174,3,69,31
1627935656204,4,69,31
1627935656472,4,69,31
1627935656527,4,69,31
1627935657295,4,70,32
1627935658093,5,71,32
1627935658178,5,71,32
1627935658252,5,71,32
1627935658463,5,71,33
1627935658811,5,73,34
1627935659076,5,73,34
1627935659699,5,75,34
1627935660083,5,75,34
1627935660191,5,75,34
1627935660398,5,75,42
1627935660820,5,77,43
1627935660897,5,77,43
1627935661098,5,77,43
1627935661304,5,77,53
1627935661455,5,77,63
1627935661882,5,79,64
1627935662109,5,79,64
1627935662299,5,79,64
1627935662395,5,79,64
1627935662645,5,79,65
1627935662870,5,79,66
1627935663153,5,82,67
1627935663203,5,82,67
1627935663775,6,84,67
1627935664132,6,84,67
1627935664448,6,84,67
1627935664556,6,84,67
1627935664771,6,84,68
1627935665050,6,84,69
1627935665389,6,87,70
1627935665466,6,87,70
1627935665869,7,89,70
1627935666160,7,89,70
1627935666839,8,91,70
1627935667160,8,91,70
1627935667816,9,93,70
1627935668175,9,93,70
1627935668856,10,95,70
1627935669065,10,95,70
1627935669188,10,95,70
1627935669315,10,95,70
1627935669915,10,96,71
1627935670193,10,96,71
1627935670827,11,98,71
1627935671201,11,98,71
1627935671813,12,100,71
1627935672206,12,100,71
1627935672524,12,100,71
1627935672635,12,100,71
1627935672812,12,100,72
1627935673047,12,100,73
1627935673352,12,103,74
1627935673420,12,103,74
1627935673843,13,105,74
1627935674241,13,105,74
1627935674875,14,107,74
1627935675245,14,107,74
1627935675374,14,107,74
1627935675514,14,107,74
1627935675997,14,110,75
1627935676254,14,110,75
1627935676954,15,112,75
1627935677267,15,112,75
1627935677938,16,114,75
1627935678277,16,114,75
1627935678925,17,116,75
1627935679288,17,116,75
1627935679961,18,118,75
1627935680293,18,118,75
1627935680610,18,118,75
1627935680713,18,118,75
1627935680891,18,118,76
1627935681112,18,118,77
1627935681471,18,121,78
1627935681556,18,121,78
1627935681935,19,123,78
1627935682317,19,123,78
1627935682998,20,125,78
1627935683334,20,125,78
1627935683486,20,125,78
1627935683967,20,128,78
1627935684341,20,128,78
1627935685006,21,130,78
1627935685187,21,130,78
1627935685260,21,130,78
1627935685334,21,130,78
1627935685507,21,130,79
1627935686097,21,133,80
1627935686357,21,133,80
1627935686997,22,135,80
1627935687364,22,135,80
1627935688043,23,137,80
1627935688369,23,137,80
1627935688686,23,137,80
1627935688792,23,137,80
1627935688966,23,137,81
1627935689148,23,137,82
1627935689420,23,139,83
1627935689517,23,139,83
1627935690148,24,141,83
1627935690214,24,141,83
1627935690395,24,141,83
1627935691042,24,144,83
1627935691414,24,144,83
1627935692076,25,146,83
1627935692418,25,146,83
1627935692888,25,146,83
1627935693049,25,149,83
1627935693434,25,149,83
1627935694127,26,151,83
1627935694346,26,151,85
1627935694534,26,151,86
1627935695176,26,154,87
1627935695452,26,154,87
1627935696086,27,156,87
1627935696454,27,156,87
1627935696769,27,156,87
1627935696882,27,156,87
1627935697094,27,156,88
1627935697243,27,156,89
1627935697561,27,159,90
1627935697639,27,159,90
1627935698155,28,161,90
1627935698486,28,161,90
1627935698721,28,161,90
1627935699156,28,164,90
1627935699502,28,164,90
1627935700151,29,166,90
1627935700505,29,166,90
1627935701157,30,168,90
1627935701512,30,168,90
1627935702175,31,170,90
1627935702531,31,170,90
1627935703283,32,172,90
1627935703531,32,172,90
1627935704172,33,174,90
1627935704535,33,174,90
1627935704860,33,174,90
1627935704961,33,174,90
1627935705151,33,174,91
1627935705332,33,174,92
1627935705757,33,177,93
1627935705833,33,177,93
1627935706343,34,179,93
1627935706565,34,179,93
1627935706797,34,179,93
1627935707169,34,182,93
1627935707571,34,182,93
1627935708279,35,184,93
1627935708575,35,184,93
1627935709712,36,186,93
1627935710698,38,187,93
1627935711297,40,188,93
1627935711599,40,188,93
1627935712720,41,190,93
1627935713025,41,190,93
1627935713096,41,190,93
1627935713770,41,193,93
1627935715252,43,194,93
1627935715404,45,195,93
1627935715484,45,195,93
1627935715554,45,195,93
1627935715656,45,195,93
1627935715906,45,195,94
1627935716405,45,197,95
1627935716641,45,197,95
1627935717376,46,199,95
1627935717653,46,199,95
1627935718047,46,199,95
1627935718318,46,202,95
1627935718660,46,202,95
1627935719304,46,204,95
1627935719561,46,204,95
1627935719667,46,204,95
1627935719890,46,204,96
1627935720080,46,204,97
1627935720454,46,206,98
1627935720688,46,206,98
1627935721014,46,206,98
1627935721259,46,206,99
1627935721466,46,206,100
1627935721683,46,206,101
1627935721949,46,208,102
1627935722034,46,208,102
1627935722391,46,210,102
1627935722495,46,210,102
1627935722561,46,210,102
1627935722874,46,210,103
1627935723487,46,212,104
1627935723733,46,212,104
1627935723819,46,212,104
1627935724009,46,212,105
1627935724188,46,212,106
1627935724426,46,212,107
1627935724821,46,214,108
1627935724868,46,214,108
1627935724944,46,214,108
1627935725163,46,214,109
1627935725355,46,214,110
1627935725553,46,214,111
1627935725754,46,214,112
1627935725931,46,214,113
1627935726172,46,214,114
1627935726382,46,214,115
1627935726595,46,214,116
1627935726946,46,216,117
1627935727012,46,216,117
1627935727095,46,216,117
1627935727164,46,216,117
1627935727596,46,216,118
1627935727784,46,216,119
1627935727972,46,216,120
1627935728172,46,216,121
1627935728305,46,216,122
1627935728523,46,216,123
1627935728849,46,219,123
1627935728909,46,219,123
1627935729093,47,221,123
1627935729161,47,221,123
1627935729350,48,223,123
1627935729411,48,223,123
1627935729477,48,223,123
1627935729553,48,223,123
1627935729752,48,223,124
1627935729961,48,223,125
1627935730310,48,226,126
1627935730397,48,226,126
1627935730687,49,228,126
1627935731074,49,228,126
1627935731475,50,230,126
1627935731691,50,230,126
1627935731772,50,230,126
1627935731844,50,230,126
1627935732661,50,233,127
1627935732738,50,233,127
1627935732856,50,233,127
1627935732953,50,233,127
1627935733166,50,233,128
1627935733418,50,233,129
1627935733826,50,236,130
1627935733927,50,236,130
1627935734005,50,236,130
1627935734075,50,236,130
1627935734254,50,236,130
1627935734611,50,239,131
1627935734911,50,239,131
1627935735650,51,241,131
1627935735914,51,241,131
1627935736523,52,243,131
1627935736919,52,243,131
1627935737241,52,243,131
1627935737342,52,243,131
1627935737544,52,243,132
1627935737790,52,243,133
1627935738121,52,246,134
1627935738189,52,246,134
1627935738615,53,248,134
1627935738944,53,248,134
1627935739638,54,250,134
1627935739952,54,250,134
1627935740069,54,250,134
1627935740603,54,253,134
1627935740972,54,253,134
1627935741653,55,255,134
1627935741985,55,255,134
1627935742376,55,255,134
1627935742589,55,258,134
1627935742994,55,258,134
1627935743645,56,260,134
1627935744009,56,260,134
1627935744668,57,262,134
1627935745009,57,262,134
1627935745327,57,262,134
1627935745433,57,262,134
1627935745702,57,262,135
1627935745920,57,262,136
1627935746215,57,265,137
1627935746272,57,265,137
1627935746690,58,267,137
1627935746754,58,267,137
1627935747034,58,267,137
1627935747723,58,270,137
1627935748038,58,270,137
1627935748118,58,270,137
1627935748677,58,273,137
1627935749047,58,273,137
1627935749154,58,273,137
1627935749527,58,273,137
1627935749872,58,276,138
1627935750055,58,276,138
1627935750278,58,276,138
1627935750458,58,276,138
1627935750631,58,276,138
1627935751060,58,279,139
1627935751160,58,279,139
1627935751247,58,279,139
1627935751702,58,282,139
1627935752080,58,282,139
1627935752535,58,282,139
1627935752657,58,282,139
1627935753008,58,285,140
1627935753095,58,285,140
1627935753413,58,285,140
1627935753516,58,285,140
1627935753719,58,285,141
1627935753879,58,285,142
1627935754251,58,288,143
1627935754345,58,288,143
1627935754787,59,290,143
1627935755119,59,290,143
1627935755355,59,290,143
1627935755741,59,293,143
1627935756137,59,293,143
1627935756605,59,293,143
1627935756791,59,296,143
1627935757071,59,296,143
1627935757276,59,296,144
1627935757570,59,296,147
1627935757990,59,299,148
1627935758269,59,299,148
1627935758822,60,301,148
1627935759166,60,301,148
1627935759235,60,301,148
1627935759398,60,301,148
1627935760014,60,303,149
1627935760098,60,303,149
1627935760179,60,303,149
1627935760257,60,303,149
1627935760459,60,303,150
1627935760939,60,306,150
1627935761191,60,306,150
1627935761508,60,306,150
1627935761846,60,306,150
1627935762055,60,306,151
1627935762280,60,306,152
1627935762585,60,309,153
1627935762682,60,309,153
1627935762986,61,311,153
1627935763854,63,311,153
1627935764117,63,311,170
1627935764340,63,311,171
1627935765049,63,314,172
1627935765234,63,314,172
1627935765914,64,316,172
1627935766248,64,316,172
1627935766842,65,317,172
1627935767252,65,317,172
1627935767925,66,319,172
1627935768273,66,319,172
1627935768904,67,321,172
1627935769210,67,321,172
1627935769406,67,321,173
1627935769722,67,321,174
1627935769992,67,321,175
1627935770227,67,321,176
1627935770431,67,321,177
1627935770741,67,324,178
1627935770818,67,324,178
1627935770907,67,324,178
1627935771296,67,324,178
1627935771962,67,328,178
1627935772302,67,328,178
1627935772417,67,328,178
1627935772478,67,328,178
1627935772767,67,328,178
1627935773055,67,332,179
1627935773104,67,332,179
1627935773313,67,332,179
1627935773788,67,332,179
1627935773982,67,336,179
1627935774337,67,336,179
1627935774944,69,338,179
1627935775176,69,338,179
1627935775966,69,342,179
1627935776349,69,342,179
1627935777089,71,344,179
1627935777358,71,344,179
1627935777675,71,344,179
1627935777782,71,344,179
1627935777879,71,344,179
1627935778062,71,344,180
1627935778496,71,348,181
1627935778591,71,348,181
1627935779036,73,350,181
1627935779130,73,350,181
1627935779383,73,350,181
1627935780192,74,353,181
1627935780388,74,353,181
1627935781005,76,355,181
1627935781415,76,355,181
1627935781885,76,355,181
1627935782031,76,358,181
1627935782424,76,358,181
1627935783183,77,360,181
1627935783430,77,360,181
1627935784105,78,362,181
1627935784433,78,362,181
1627935785120,79,364,181
1627935785441,79,364,181
1627935785766,79,364,181
1627935785930,79,364,181
1627935786184,79,364,182
1627935786397,79,364,183
1627935786834,79,367,184
1627935786933,79,367,184
1627935787009,79,367,184
1627935787232,79,367,185
1627935787575,79,370,186
1627935787634,79,370,186
1627935787710,79,370,186
1627935788098,79,373,186
1627935788472,79,373,186
1627935789375,80,375,186
1627935789480,80,375,186
1627935790222,81,377,186
1627935790496,81,377,208
1627935790728,81,377,209
1627935790900,81,377,210
1627935791253,81,380,211
1627935791496,81,380,211
1627935792221,83,382,211
1627935792504,83,382,211
1627935793207,85,384,211
1627935793509,85,384,211
1627935793931,85,384,211
1627935794201,86,387,211
1627935794864,86,387,211
1627935795650,87,389,211
1627935795847,87,389,211
1627935795968,87,389,211
1627935796152,87,392,211
1627935796217,87,392,211
1627935796543,87,392,211
1627935796602,87,392,211
1627935797227,87,396,211
1627935797304,87,396,211
1627935797402,87,396,211
1627935797623,87,396,212
1627935797856,87,396,213
1627935798025,87,396,214
1627935798230,87,396,214
1627935798397,87,396,214
1627935798682,87,400,215
1627935798734,87,400,215
1627935798812,87,400,215
1627935798880,87,400,215
1627935799332,87,404,216
1627935800232,90,405,216
1627935800413,90,405,217
1627935800723,90,405,218
1627935801294,90,409,219
1627935803508,93,410,219
1627935803791,96,410,219
1627935803860,96,410,219
1627935803963,96,410,219
1627935804360,97,413,219
1627935804595,97,413,219
1627935804821,97,413,291
1627935805053,97,413,295
1627935805369,97,415,296
1627935805612,97,415,296
1627935805676,97,415,296
1627935805760,97,415,296
1627935805843,97,415,296
1627935806089,97,415,296
1627935806455,97,420,296
1627935806536,97,420,296
1627935806587,97,420,296
1627935806679,97,420,296
1627935806767,97,420,296
1627935806853,97,420,296
1627935807113,97,420,296
1627935807321,97,420,296
1627935807493,97,420,296
1627935807644,97,420,296
1627935807803,97,420,296
1627935807968,97,420,296
1627935808175,97,420,296
1627935808349,97,420,296
1627935808689,97,420,297
1627935808763,97,420,297
1627935808994,97,420,298
1627935809228,97,420,300
1627935809488,97,420,301
1627935809985,97,425,302
1627935810079,97,425,302
1627935810354,100,427,302
1627935810433,100,427,302
1627935810507,100,427,302
1627935810566,100,427,302
1627935810648,100,427,302
1627935810729,100,427,302
1627935810910,100,427,302
1627935811180,100,427,302
1627935811293,100,427,302
1627935811498,100,427,302
1627935811770,100,427,302
1627935811857,100,427,302
1627935811945,100,427,302
1627935812395,100,427,302
1627935812638,100,427,302
1627935812720,100,427,302
1627935813331,100,427,302
1627935814372,104,427,302
1627935814728,104,427,302
1627935815379,107,428,302
1627935815542,107,428,362
1627935815849,107,428,363
1627935816457,107,433,364
1627935816749,107,433,364
1627935817446,111,435,364
1627935817762,111,435,364
1627935818081,111,435,364
1627935818180,111,435,364
1627935818234,111,435,364
1627935818310,111,435,364
1627935818497,111,441,364
1627935818778,111,441,364
1627935819492,115,443,364
1627935819787,115,443,364
1627935820019,115,443,364
1627935820367,115,443,364
1627935820590,115,443,364
1627935820692,115,443,364
1627935820759,115,443,364
1627935820833,115,443,364
1627935820882,115,443,364
1627935820949,115,443,364
1627935821025,115,443,364
1627935821267,115,443,364
1627935821459,115,443,364
1627935821629,115,443,364
1627935821868,115,443,364
1627935822132,115,443,365
1627935822322,115,443,366
1627935822533,115,443,367
1627935822689,115,443,368
1627935822892,115,443,369
1627935823253,115,443,370
1627935823309,115,443,370
1627935823376,115,443,370
1627935823695,116,448,370
1627935823780,116,448,370
1627935824121,120,450,370
1627935824205,120,450,370
1627935824293,120,450,370
1627935824547,123,453,370
1627935824833,123,453,370
1627935824930,123,453,370
1627935825487,123,453,370
1627935825672,123,453,370
1627935825851,123,453,370
1627935826168,123,453,370
1627935826271,123,453,370
1627935826346,123,453,370
1627935826415,123,453,370
1627935826708,123,453,370
1627935826870,123,453,370
1627935827893,123,453,370
1627935827966,123,453,370
1627935828044,123,453,370
1627935828116,123,453,370
1627935829067,124,457,370
1627935829137,124,457,370
1627935829415,124,457,435
1627935829991,124,462,441
1627935830067,124,462,441
1627935830122,124,462,441
1627935830200,124,462,441
1627935830266,124,462,441
1627935830405,124,462,441
1627935830664,124,470,441
