"Time","running","pending","completed"
1627935562616,13,877,1
1627935562821,24,1063,3
1627935562829,21,1074,7
1627935562832,22,1074,7
1627935562834,19,1074,10
1627935562838,18,1091,11
1627935562845,17,1095,12
1627935562860,15,1108,12
1627935562861,16,1108,12
1627935562865,14,1114,12
1627935562957,13,1199,13
1627935562963,12,1205,15
1627935562964,11,1205,15
1627935563082,10,1311,16
1627935563085,9,1320,17
1627935563091,8,1325,19
1627935563094,7,1328,20
1627935563098,6,1331,20
1627935563103,5,1335,21
1627935563107,4,1340,23
1627935563112,2,1345,25
1627935563113,1,1345,25
1627935563666,0,1881,26
1627935565449,21,3508,27
1627935565551,28,3606,28
1627935565567,31,3606,30
1627935565568,33,3606,30
1627935565589,39,3606,31
1627935565610,40,3670,32
1627935565718,54,3768,33
1627935565730,56,3791,34
1627935565756,61,3791,37
1627935565757,60,3791,37
1627935565766,62,3791,37
1627935565799,63,3816,41
1627935565800,62,3816,42
1627935565806,64,3816,40
1627935565808,65,3816,42
1627935565811,64,3816,43
1627935565815,63,3816,44
1627935565824,63,3816,45
1627935565827,62,3816,45
1627935565833,61,3815,46
1627935565850,60,3899,47
1627935565858,59,3909,48
1627935565968,72,3932,49
1627935565974,72,3935,50
1627935566093,88,4002,51
1627935566209,102,4160,52
1627935566222,101,4177,54
1627935566239,100,4177,57
1627935566249,105,4177,58
1627935566256,104,4177,58
1627935566271,106,4226,59
1627935566277,108,4226,59
1627935566381,125,4194,61
1627935566390,127,4194,61
1627935566406,127,4194,62
1627935566428,129,4194,63
1627935566432,127,4194,65
1627935566434,128,4194,65
1627935566450,129,4319,66
1627935566464,132,4319,69
1627935566492,136,4319,70
1627935566496,133,4319,69
1627935566504,136,4319,72
1627935566511,136,4320,72
1627935566536,137,4382,74
1627935566538,136,4383,74
1627935566559,136,4388,75
1627935566581,135,4388,76
1627935566607,137,4388,78
1627935566622,136,4388,78
1627935566623,134,4388,80
1627935566625,135,4388,80
1627935566630,136,4388,81
1627935566655,139,4504,84
1627935566657,138,4504,84
1627935566668,140,4527,86
1627935566674,139,4536,87
1627935566690,142,4536,87
1627935566715,142,4536,88
1627935566740,146,4585,90
1627935566744,145,4585,90
1627935566793,154,4617,96
1627935566796,153,4617,91
1627935566800,153,4655,96
1627935566804,152,4655,96
1627935566810,150,4655,97
1627935566816,151,4655,98
1627935566826,153,4655,99
1627935566841,154,4698,100
1627935566847,153,4698,101
1627935566857,153,4707,102
1627935566858,153,4710,102
1627935566875,153,4730,103
1627935566895,153,4739,105
1627935566900,152,4737,105
1627935567056,172,4784,107
1627935567057,172,4784,108
1627935567069,172,4784,109
1627935567073,172,4784,110
1627935567103,174,4845,112
1627935567141,182,4859,114
1627935567144,181,4859,114
1627935567151,181,4859,114
1627935567164,180,4860,115
1627935567178,180,4862,116
1627935567198,183,4936,119
1627935567214,184,4963,122
1627935567228,182,4963,123
1627935567241,183,4963,123
1627935567243,181,4963,123
1627935567245,182,4989,124
1627935567247,182,4989,124
1627935567269,184,5007,126
1627935567285,184,5007,127
1627935567290,187,5007,128
1627935567303,186,5007,129
1627935567309,185,5008,129
1627935567336,185,5011,130
1627935567343,184,5013,135
1627935567351,183,5013,135
1627935567366,184,5013,135
1627935567380,185,5120,135
1627935567392,185,5120,135
1627935567407,185,5148,136
1627935567473,185,5198,137
1627935567489,186,5207,139
1627935567493,185,5207,139
1627935567500,186,5217,141
1627935567507,187,5221,141
1627935567519,187,5221,144
1627935567530,186,5221,145
1627935567539,186,5221,148
1627935567545,186,5221,148
1627935567551,185,5221,148
1627935567557,190,5273,149
1627935567632,196,5271,151
1627935567635,197,5319,152
1627935567639,196,5236,154
1627935567653,196,5236,156
1627935567664,196,5257,157
1627935567671,196,5257,158
1627935567674,195,5257,158
1627935567676,196,5257,158
1627935567806,215,5375,159
1627935567830,216,5379,161
1627935567844,216,5378,161
1627935567853,215,5379,162
1627935567890,219,5474,163
1627935567903,220,5474,164
1627935567920,221,5474,167
1627935567924,221,5474,167
1627935567939,221,5517,167
1627935567945,222,5517,169
1627935567971,223,5517,169
1627935567974,225,5517,170
1627935567989,227,5517,173
1627935568007,226,5517,173
1627935568021,226,5583,173
1627935568028,228,5583,174
1627935568042,227,5583,175
1627935568047,229,5619,176
1627935568062,230,5628,179
1627935568079,231,5629,180
1627935568082,231,5628,180
1627935568098,232,5631,181
1627935568103,232,5632,182
1627935568124,232,5692,184
1627935568156,230,5723,185
1627935568163,229,5727,187
1627935568164,228,5729,187
1627935568166,227,5732,188
1627935568184,226,5734,190
1627935568189,225,5733,190
1627935568215,225,5760,192
1627935568217,226,5744,192
1627935568222,226,5757,194
1627935568254,225,5757,194
1627935568259,227,5671,195
1627935568292,233,5721,198
1627935568304,232,5721,198
1627935568307,233,5721,198
1627935568319,234,5721,199
1627935568346,236,5801,202
1627935568366,238,5801,203
