EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",610853498992e23083389ae2,"[{""GlobalJobId"":""login05_osgconnect_net#11328331_8415#1625016688_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9956966749,""CompletionDate"":1625025358,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5542.760738,""JobPrio"":0,""JobStartDate"":1625081717,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1351968,""MemoryUsage"":1321.2802734375,""JobSimSubmitDate"":1627935637.397629,""JobSimStartDate"":1627936594.13601,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324682_13511#1625017640_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.0182532758,""CompletionDate"":1625021667,""CpusProvisioned"":1,""DiskProvisioned"":15986747,""DiskUsage"":24,""DiskUsage_RAW"":427839,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":59.849567,""JobPrio"":0,""JobStartDate"":1625083509,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":70900,""MemoryUsage"":70.2373046875,""JobSimSubmitDate"":1627935637.3982,""JobSimStartDate"":1627936594.429764,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627936512.0000713,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",610853498992e23083389ae3,"[{""GlobalJobId"":""login05_osgconnect_net#11324682_13856#1625021611_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957835348,""CompletionDate"":1625022704,""CpusProvisioned"":1,""DiskProvisioned"":15986730,""DiskUsage"":24,""DiskUsage_RAW"":48777,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":64.538629,""JobPrio"":0,""JobStartDate"":1625084541,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":81520,""MemoryUsage"":80.6083984375,""JobSimSubmitDate"":1627935637.457361,""JobSimStartDate"":1627936594.977476,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324701_481#1624942254_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0358560923,""CompletionDate"":1625025752,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":34,""DiskUsage_RAW"":246,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":2985.953669,""JobPrio"":0,""JobStartDate"":1625084668,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":129052,""MemoryUsage"":127.0263671875,""JobSimSubmitDate"":1627935637.457396,""JobSimStartDate"":1627936595.016801,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,122880,131072,compute_haswell,osg,1627936512.338636,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",610853493ecc263327927748,"[{""GlobalJobId"":""scott_grid_uchicago_edu#2713633_0#1625001238_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9798000311,""CompletionDate"":1625007042,""CpusProvisioned"":1,""DiskProvisioned"":8526265,""DiskUsage"":298107,""DiskUsage_RAW"":44,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5369.375456,""JobPrio"":0,""JobStartDate"":1625063575,""JobState"":""Exited"",""MemoryProvisioned"":8192,""ResidentSetSize"":2910092,""MemoryUsage"":2842.8857421875,""JobSimSubmitDate"":1627935637.20967,""JobSimStartDate"":1627936591.042089,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""scott_grid_uchicago_edu#2713283_0#1625000755_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.981827748,""CompletionDate"":1625007339,""CpusProvisioned"":1,""DiskProvisioned"":8526265,""DiskUsage"":304640,""DiskUsage_RAW"":44,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5673.348189,""JobPrio"":0,""JobStartDate"":1625063567,""JobState"":""Exited"",""MemoryProvisioned"":8192,""ResidentSetSize"":3002224,""MemoryUsage"":2932.8583984375,""JobSimSubmitDate"":1627935637.209621,""JobSimStartDate"":1627936591.064039,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,114688,131072,compute_haswell,osg,1627936517.9766839,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",610853493ecc263327927749,"[{""GlobalJobId"":""xd-submit0000_chtc_wisc_edu#761_233#1624995350_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9994336464,""CompletionDate"":1625017927,""CpusProvisioned"":1,""DiskProvisioned"":4476289,""DiskUsage"":3484671,""DiskUsage_RAW"":4,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":21995.00882,""JobPrio"":0,""JobStartDate"":1625057833,""JobState"":""Exited"",""MemoryProvisioned"":1664,""ResidentSetSize"":952812,""MemoryUsage"":931.4794921875,""JobSimSubmitDate"":1627935637.028975,""JobSimStartDate"":1627936591.538064,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11327931_53#1624997332_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9941710175,""CompletionDate"":1625003102,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":62,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5536.551759,""JobPrio"":0,""JobStartDate"":1625059467,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1353800,""MemoryUsage"":1323.0693359375,""JobSimSubmitDate"":1627935637.063351,""JobSimStartDate"":1627936591.657603,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126336,131072,compute_haswell,osg,1627936518.530575,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",610853498992e23083389ae4,"[{""GlobalJobId"":""scosg16_jlab_org#3699257_40#1625019456_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0026759304,""CompletionDate"":1625039690,""CpusProvisioned"":1,""DiskProvisioned"":5115759,""DiskUsage"":955894,""DiskUsage_RAW"":75,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":18799.913655,""JobPrio"":0,""JobStartDate"":1625082773,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1190888,""MemoryUsage"":1163.9755859375,""JobSimSubmitDate"":1627935637.398049,""JobSimStartDate"":1627936594.431781,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""xd-submit0000_chtc_wisc_edu#767_295#1625009894_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9952896243,""CompletionDate"":1625037599,""CpusProvisioned"":1,""DiskProvisioned"":4476285,""DiskUsage"":3484671,""DiskUsage_RAW"":4,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":22379.614876,""JobPrio"":0,""JobStartDate"":1625077120,""JobState"":""Exited"",""MemoryProvisioned"":1664,""ResidentSetSize"":882364,""MemoryUsage"":862.6826171875,""JobSimSubmitDate"":1627935637.314861,""JobSimStartDate"":1627936594.657393,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125312,131072,compute_haswell,osg,1627936484.760497,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610853493ecc26332792774a,"[{""GlobalJobId"":""login05_osgconnect_net#11300949_0#1624795852_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.995236191,""CompletionDate"":1625093495,""CpusProvisioned"":1,""DiskProvisioned"":17052512,""DiskUsage"":39342,""DiskUsage_RAW"":8005761,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":106182.394415,""JobPrio"":0,""JobStartDate"":1625049214,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":735956,""MemoryUsage"":719.7060546875,""JobSimSubmitDate"":1627935636.933384,""JobSimStartDate"":1627936587.423417,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""scosg16_jlab_org#3699213_20#1625014803_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0010663221,""CompletionDate"":1625033796,""CpusProvisioned"":1,""DiskProvisioned"":5115759,""DiskUsage"":958593,""DiskUsage_RAW"":75,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":18391.013587,""JobPrio"":0,""JobStartDate"":1625077295,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1199768,""MemoryUsage"":1172.6474609375,""JobSimSubmitDate"":1627935637.314921,""JobSimStartDate"":1627936593.650861,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627936466.260924,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",610853493ecc26332792774b,"[{""GlobalJobId"":""scott_grid_uchicago_edu#2715647_0#1625007760_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9942637952,""CompletionDate"":1625014670,""CpusProvisioned"":1,""DiskProvisioned"":8526265,""DiskUsage"":304326,""DiskUsage_RAW"":44,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":6067.874821,""JobPrio"":0,""JobStartDate"":1625070504,""JobState"":""Exited"",""MemoryProvisioned"":8192,""ResidentSetSize"":2964688,""MemoryUsage"":2896.2021484375,""JobSimSubmitDate"":1627935637.243845,""JobSimStartDate"":1627936592.094933,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324682_10956#1625008392_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0597862725,""CompletionDate"":1625016417,""CpusProvisioned"":1,""DiskProvisioned"":15986747,""DiskUsage"":33,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7800.647069,""JobPrio"":0,""JobStartDate"":1625070518,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":196560,""MemoryUsage"":192.9521484375,""JobSimSubmitDate"":1627935637.243906,""JobSimStartDate"":1627936592.087705,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,118784,131072,compute_haswell,osg,1627936509.1439803,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",610853498992e23083389ae5,"[{""GlobalJobId"":""login05_osgconnect_net#11327786_5468#1624990060_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9963310838,""CompletionDate"":1624997605,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4901.226948,""JobPrio"":0,""JobStartDate"":1625054606,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1355844,""MemoryUsage"":1325.0654296875,""JobSimSubmitDate"":1627935637.009817,""JobSimStartDate"":1627936588.799987,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12274903_0#1624999930_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9956172255,""CompletionDate"":1625003378,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":131716,""DiskUsage_RAW"":87047,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":1750.60798,""JobPrio"":30,""JobStartDate"":1625063529,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":104864,""MemoryUsage"":103.4052734375,""JobSimSubmitDate"":1627935637.143169,""JobSimStartDate"":1627936591.044361,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627936512.670146,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",610853493ecc26332792774c,"[{""GlobalJobId"":""login04_osgconnect_net#12271567_0#1624998264_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.99450325,""CompletionDate"":1625000930,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":131985,""DiskUsage_RAW"":10600,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":1744.865056,""JobPrio"":30,""JobStartDate"":1625061086,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":113132,""MemoryUsage"":111.4794921875,""JobSimSubmitDate"":1627935637.112291,""JobSimStartDate"":1627936589.977685,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12276767_0#1625001046_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.995459965,""CompletionDate"":1625001260,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":139921,""DiskUsage_RAW"":77442,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":111.71328,""JobPrio"":40,""JobStartDate"":1625063050,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":57168,""MemoryUsage"":56.8271484375,""JobSimSubmitDate"":1627935637.143056,""JobSimStartDate"":1627936590.514488,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,129024,131072,compute_haswell,osg,1627936524.750053,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",610853498992e23083389ae6,"[{""GlobalJobId"":""login05_osgconnect_net#11328254_1087#1625013056_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9667102545,""CompletionDate"":1625019172,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5392.87621,""JobPrio"":0,""JobStartDate"":1625075681,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1354404,""MemoryUsage"":1323.6591796875,""JobSimSubmitDate"":1627935637.314294,""JobSimStartDate"":1627936592.853844,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11328254_9006#1625013061_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9950102096,""CompletionDate"":1625019991,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5481.147323,""JobPrio"":0,""JobStartDate"":1625076412,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1438532,""MemoryUsage"":1405.8154296875,""JobSimSubmitDate"":1627935637.314431,""JobSimStartDate"":1627936592.936436,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627936462.3295906,inuse
