"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627935561681,51,0,0
1627935562371,75,1,8
1627935562773,70,1,13
1627935563269,250,1,13
1627935563589,259,2,13
1627935563787,259,2,13
1627935564274,259,2,13
1627935564789,259,2,13
1627935565285,259,2,13
1627935565821,240,2,32
1627935566815,195,2,77
1627935567816,164,2,108
1627935568824,137,2,135
1627935569821,110,1,163
1627935570815,76,1,197
1627935571442,58,1,215
1627935572295,0,2,272
1627935572459,0,0,274
1627935572710,0,1,273
1627935572870,0,1,273
1627935573079,0,2,272
1627935573265,0,3,271
1627935573438,0,4,270
1627935573653,0,7,267
1627935573870,0,3,271
1627935574350,0,3,271
1627935574857,0,3,271
1627935575363,0,3,271
1627935575696,0,1,273
1627935575847,0,2,272
1627935575995,0,2,272
1627935576162,0,3,271
1627935576335,0,4,270
1627935576552,0,2,272
1627935576886,0,0,274
1627935577401,0,0,274
1627935577894,0,0,274
1627935578897,0,0,274
1627935579332,0,0,274
1627935579496,0,1,273
1627935579655,0,2,272
1627935579815,0,3,271
1627935580025,0,4,270
1627935580233,0,5,269
1627935580439,0,5,269
1627935580623,0,6,268
1627935580917,0,5,269
1627935581405,0,5,269
1627935581957,0,5,269
1627935582425,0,5,269
1627935582939,0,5,269
1627935583416,0,5,269
1627935583733,0,6,268
1627935583888,0,7,267
1627935584065,1,6,267
1627935584209,0,7,267
1627935584430,0,5,269
1627935584949,0,5,269
1627935585446,0,5,269
1627935585952,0,5,269
1627935586454,0,5,269
1627935586965,0,5,269
1627935587456,0,4,270
1627935587990,0,0,274
1627935588467,0,0,274
1627935588979,0,0,274
1627935589486,0,0,274
1627935589725,0,1,273
1627935589995,0,1,273
1627935590484,0,1,273
1627935590997,0,1,273
1627935591501,0,1,273
1627935591806,0,2,272
1627935592037,0,3,271
1627935592247,0,3,271
1627935592450,0,4,270
1627935592636,0,5,269
1627935592813,2,2,270
1627935593029,0,1,273
1627935593518,0,1,273
1627935594033,0,1,273
1627935594523,0,1,273
1627935595043,0,1,273
1627935595537,0,1,273
1627935596046,0,1,273
1627935596540,0,1,273
1627935597051,0,1,273
1627935597554,0,1,273
1627935598055,0,1,273
1627935598562,0,1,273
1627935599072,0,1,273
1627935599554,0,1,273
1627935599877,0,2,272
1627935600134,0,3,271
1627935600322,0,3,271
1627935600518,0,4,270
1627935600723,0,5,269
1627935600926,0,1,273
1627935601150,1,1,272
1627935601913,0,1,273
1627935602134,0,2,272
1627935602324,0,3,271
1627935602594,0,4,270
1627935602790,0,5,269
1627935602975,1,3,270
1627935603168,1,2,271
1627935603332,0,2,272
1627935603528,0,9,265
1627935603695,0,9,265
1627935604123,0,8,266
1627935604643,0,8,266
1627935605127,0,8,266
1627935605619,1,8,265
1627935606133,0,8,266
1627935606636,0,8,266
1627935607160,0,8,266
1627935607639,0,8,266
1627935607948,0,9,265
1627935608128,1,9,264
1627935608282,0,10,264
1627935608458,0,11,263
1627935608627,0,12,262
1627935608853,2,10,262
1627935609187,0,8,266
1627935609656,0,8,266
1627935610182,0,8,266
1627935610682,0,8,266
1627935610878,0,9,265
1627935611176,0,9,265
1627935611387,0,10,264
1627935611695,0,10,264
1627935612188,0,10,264
1627935612688,0,10,264
1627935613197,0,10,264
1627935613689,0,10,264
1627935614204,1,10,263
1627935614694,0,10,264
1627935615214,0,10,264
1627935615718,0,10,264
1627935616175,0,10,264
1627935616405,0,11,263
1627935617221,0,10,264
1627935617339,0,11,263
1627935618263,0,11,263
1627935618925,0,11,263
1627935619127,0,12,262
1627935619345,2,10,262
1627935619457,0,11,263
1627935620275,0,10,264
1627935621279,0,10,264
1627935621461,0,12,262
1627935622286,0,23,251
1627935623301,0,23,251
1627935624263,0,24,250
1627935624607,0,24,250
1627935624781,0,25,249
1627935624978,1,25,248
1627935625120,0,26,248
1627935625362,5,23,246
1627935626320,0,23,251
1627935627359,0,22,252
1627935627518,0,23,251
1627935628349,0,23,251
1627935629165,0,24,250
1627935629394,1,24,249
1627935629539,0,25,249
1627935630369,0,25,249
1627935631367,0,25,249
1627935632260,1,25,248
1627935632426,0,26,248
1627935632609,0,27,247
1627935632782,0,27,247
1627935632891,0,28,246
1627935633398,0,25,249
1627935633534,0,27,247
1627935633881,0,32,242
1627935634389,0,32,242
1627935634515,0,33,241
1627935635069,0,34,240
1627935635409,1,33,240
1627935635545,0,34,240
1627935636412,0,35,239
1627935637423,0,33,241
1627935638459,0,33,241
1627935639443,0,33,241
1627935640357,0,33,241
1627935640552,0,34,240
1627935640721,0,35,239
1627935640947,0,36,238
1627935641073,0,36,238
1627935641467,0,33,241
1627935642486,0,25,249
1627935643494,0,23,251
1627935644518,0,22,252
1627935645483,0,22,252
1627935645680,0,28,246
1627935646523,0,27,247
1627935647512,0,27,247
1627935648419,1,27,246
1627935648594,0,28,246
1627935648756,0,29,245
1627935648924,0,29,245
1627935649029,0,30,244
1627935649558,0,27,247
1627935650586,0,27,247
1627935651567,1,20,253
1627935652576,0,20,254
1627935654060,0,20,254
1627935655086,1,20,253
1627935656118,1,20,253
1627935657071,0,19,255
1627935657190,0,20,254
1627935658008,1,20,253
1627935658358,0,22,252
1627935658605,2,19,253
1627935658738,0,20,254
1627935659619,0,20,254
1627935660282,0,21,253
1627935660606,1,28,245
1627935660737,0,29,245
1627935661205,0,30,244
1627935661356,0,40,234
1627935661640,0,49,225
1627935661799,0,50,224
1627935662513,0,52,222
1627935662752,0,53,221
1627935662949,0,54,220
1627935663057,0,54,220
1627935663677,1,54,219
1627935664640,0,55,219
1627935664936,0,56,218
1627935665171,0,57,217
1627935665327,0,57,217
1627935665677,2,54,218
1627935666738,1,54,219
1627935667715,0,54,220
1627935668726,8,46,220
1627935669710,0,37,237
1627935669837,0,38,236
1627935670745,0,38,236
1627935671742,1,38,235
1627935672696,0,39,235
1627935672912,0,40,234
1627935673169,0,41,233
1627935673282,0,41,233
1627935673765,1,38,235
1627935674814,1,38,235
1627935675763,0,39,235
1627935675899,0,40,234
1627935676844,1,40,233
1627935677847,0,38,236
1627935678833,0,38,236
1627935679879,0,38,236
1627935680810,0,39,235
1627935680978,0,40,234
1627935681206,0,41,233
1627935681382,0,41,233
1627935681845,0,38,236
1627935682913,0,38,236
1627935683884,0,37,237
1627935684916,0,37,237
1627935685416,0,39,235
1627935685879,0,39,235
1627935686017,0,40,234
1627935686901,1,40,233
1627935687936,1,40,233
1627935688845,0,41,233
1627935689037,0,42,232
1627935689215,0,43,231
1627935689342,0,43,231
1627935689981,0,40,234
1627935690931,0,41,233
1627935692004,0,40,234
1627935692951,0,41,233
1627935694048,0,38,236
1627935694215,0,41,233
1627935694433,0,42,232
1627935694971,0,42,232
1627935695124,0,43,231
1627935696019,0,43,231
1627935696979,0,44,230
1627935697148,0,45,229
1627935697334,1,45,228
1627935697480,0,46,228
1627935698047,0,43,231
1627935699040,0,43,231
1627935700056,1,43,230
1627935701053,1,42,231
1627935702088,0,42,232
1627935703164,0,42,232
1627935704103,0,42,232
1627935705051,0,43,231
1627935705235,0,44,230
1627935705453,0,44,230
1627935705631,0,45,229
1627935706222,0,42,232
1627935707107,0,42,232
1627935708196,0,42,232
1627935709631,1,42,231
1627935710598,2,42,230
1627935711177,0,37,237
1627935712621,1,37,236
1627935713675,0,37,237
1627935715155,2,36,236
1627935715326,2,37,235
1627935715819,0,36,238
1627935716165,0,35,239
1627935716306,0,36,238
1627935717202,0,35,239
1627935718207,0,35,239
1627935719215,0,30,244
1627935719789,0,31,243
1627935719979,0,32,242
1627935720228,1,32,241
1627935720368,0,33,241
1627935721148,0,33,241
1627935721380,0,34,240
1627935721575,0,35,239
1627935721773,0,36,238
1627935721889,0,36,238
1627935722313,0,33,241
1627935722757,0,34,240
1627935723242,0,34,240
1627935723375,0,35,239
1627935723902,0,36,238
1627935724097,0,37,237
1627935724320,2,36,236
1627935724534,0,37,237
1627935724702,0,38,236
1627935725040,0,40,234
1627935725235,0,41,233
1627935725444,0,42,232
1627935725650,0,43,231
1627935725832,0,43,231
1627935726036,0,44,230
1627935726274,0,45,229
1627935726472,0,45,229
1627935726706,0,46,228
1627935726846,0,47,227
1627935727282,1,49,224
1627935727663,0,50,224
1627935727881,0,51,223
1627935728071,0,52,222
1627935728222,0,53,221
1627935728447,0,54,220
1627935728623,1,54,219
1627935728760,0,49,225
1627935729030,3,49,222
1627935729266,1,49,224
1627935729653,1,50,223
1627935729873,0,51,223
1627935730035,0,52,222
1627935730199,0,52,222
1627935730562,4,49,221
1627935731387,0,49,225
1627935732389,0,45,229
1627935732576,0,46,228
1627935733063,0,42,232
1627935733281,0,43,231
1627935733550,3,41,230
1627935733722,0,41,233
1627935734192,3,36,235
1627935734418,0,35,239
1627935734535,0,36,238
1627935735529,0,36,238
1627935736462,1,36,237
1627935737434,0,37,237
1627935737681,0,38,236
1627935737889,0,39,235
1627935738035,0,39,235
1627935738552,0,36,238
1627935739532,0,35,239
1627935740521,0,35,239
1627935741571,0,31,243
1627935742520,0,29,245
1627935743566,0,16,258
1627935744568,0,13,261
1627935745553,0,14,260
1627935745831,0,15,259
1627935746016,1,15,258
1627935746118,0,16,258
1627935746610,0,13,261
1627935747613,0,14,260
1627935748567,0,15,259
1627935749646,0,16,258
1627935749793,0,17,257
1627935750566,1,7,266
1627935750771,0,8,266
1627935750988,0,9,265
1627935751606,0,10,264
1627935752742,0,11,263
1627935752925,0,12,262
1627935753645,0,13,261
1627935753764,0,14,260
1627935754008,0,15,259
1627935754179,0,15,259
1627935754686,0,12,262
1627935755675,0,12,262
1627935756714,0,12,262
1627935757157,0,14,260
1627935757439,1,14,259
1627935757709,2,15,257
1627935757890,0,16,258
1627935758750,1,13,260
1627935759723,0,13,261
1627935759918,0,14,260
1627935760345,0,16,258
1627935760718,2,14,258
1627935760830,1,15,258
1627935761969,0,16,258
1627935762178,0,17,257
1627935762362,0,18,256
1627935762512,0,18,256
1627935762861,1,15,258
1627935763756,2,14,258
1627935764040,0,17,257
1627935764234,0,33,241
1627935764796,0,32,242
1627935764930,0,33,241
1627935765844,1,33,240
1627935766771,1,33,240
1627935767856,0,31,243
1627935768812,1,28,245
1627935769279,0,30,244
1627935769611,0,31,243
1627935769871,1,31,242
1627935770128,0,32,242
1627935770347,0,33,241
1627935770522,1,33,240
1627935770643,0,34,240
1627935771850,0,31,243
1627935772849,0,33,241
1627935772979,0,34,240
1627935773884,0,35,239
1627935774874,1,35,238
1627935775873,0,38,236
1627935776986,0,38,236
1627935777974,0,40,234
1627935778167,1,40,233
1627935778399,0,41,233
1627935778941,0,38,236
1627935780020,1,39,234
1627935780937,2,36,236
1627935781967,0,35,239
1627935783033,0,35,239
1627935784005,0,35,239
1627935785033,0,35,239
1627935786049,0,36,238
1627935786275,0,37,237
1627935786507,0,38,236
1627935786723,0,38,236
1627935787117,0,38,236
1627935787359,0,38,236
1627935787509,0,38,236
1627935788017,0,38,236
1627935789046,0,38,236
1627935790098,0,37,237
1627935790355,0,40,234
1627935790620,0,62,212
1627935790818,0,62,212
1627935791015,0,62,212
1627935791150,0,63,211
1627935792103,0,63,211
1627935793117,0,63,211
1627935794103,0,64,210
1627935795583,0,60,214
1627935796078,0,61,213
1627935797114,0,60,214
1627935797539,0,63,211
1627935797733,0,64,210
1627935797950,0,65,209
1627935798150,0,66,208
1627935798292,0,66,208
1627935798470,0,141,133
1627935798575,0,142,132
1627935799088,0,144,130
1627935799239,0,145,129
1627935800154,0,145,129
1627935800316,0,149,125
1627935800617,0,149,125
1627935801103,0,149,125
1627935801208,0,150,124
1627935803424,2,150,122
1627935803714,0,151,123
1627935804261,2,150,122
1627935804721,0,153,121
1627935804953,0,225,49
1627935805166,0,227,47
1627935805279,0,228,46
1627935806222,8,217,49
1627935806390,66,151,57
1627935807012,48,155,71
1627935807232,39,156,79
1627935807416,31,157,86
1627935807587,21,158,95
1627935807743,18,158,98
1627935807911,8,159,107
1627935808091,5,160,109
1627935808254,0,161,113
1627935808424,0,161,113
1627935808605,0,162,112
1627935808883,0,167,107
1627935809102,1,167,106
1627935809352,0,169,105
1627935809582,0,170,104
1627935809726,0,170,104
1627935810283,79,95,100
1627935810836,62,98,114
1627935811011,54,99,121
1627935811130,54,99,121
1627935811403,47,100,127
1627935811689,31,104,139
1627935812324,25,105,144
1627935812530,15,110,149
1627935813268,3,175,96
1627935814282,4,168,102
1627935815305,3,156,115
1627935815459,1,160,113
1627935815769,0,219,55
1627935816284,0,219,55
1627935816372,0,220,54
1627935817394,0,220,54
1627935818408,1,220,53
1627935819429,59,147,68
1627935820492,13,148,113
1627935821171,0,154,120
1627935821381,12,135,127
1627935821570,11,136,127
1627935821782,6,137,131
1627935822003,4,138,132
1627935822232,0,138,136
1627935822436,0,139,135
1627935822614,0,140,134
1627935822784,0,141,133
1627935823018,0,142,132
1627935823162,0,142,132
1627935823592,1,144,129
1627935824032,0,142,132
1627935824459,70,73,131
1627935825438,47,74,153
1627935826505,14,78,182
1627935826637,14,78,182
1627935827775,1,75,198
1627935828957,3,66,205
1627935829274,1,70,203
1627935829781,0,135,139
1627935829906,0,141,133
1627935830577,0,145,129
1627935831407,0,151,123
1627935831610,0,152,122
1627935831764,0,153,121
1627935832504,0,159,115
1627935833524,0,165,109
1627935834645,4,167,103
1627935835574,6,163,105
1627935836666,6,157,111
1627935838160,69,83,122
1627935838638,63,79,132
1627935839584,44,72,158
1627935840626,30,69,175
1627935841615,8,66,200
1627935842946,1,69,204
1627935843697,4,66,204
1627935844711,3,62,209
1627935845679,6,59,209
1627935846791,6,58,210
1627935847754,20,32,222
1627935848778,5,32,237
1627935849672,6,26,242
1627935850846,0,28,246
1627935851755,6,25,243
1627935852706,6,25,243
1627935853809,2,25,247
1627935854322,0,32,242
1627935854730,0,64,210
1627935854901,0,65,209
1627935855795,1,69,204
1627935856849,5,70,199
1627935857755,6,68,200
1627935859808,21,28,225
1627935860846,3,29,242
1627935861801,3,28,243
1627935862970,3,29,242
1627935863845,5,26,243
1627935864879,0,24,250
1627935866003,4,21,249
1627935866903,4,21,249
1627935867877,5,20,249
1627935868878,5,18,251
1627935869918,0,18,256
1627935870921,1,17,256
1627935871888,2,17,255
1627935872941,0,17,257
1627935873868,4,17,253
1627935875025,0,18,256
1627935875915,4,17,253
1627935877061,2,17,255
1627935877922,3,17,254
1627935878912,3,14,257
1627935879981,0,14,260
1627935880608,0,17,257
1627935880903,0,70,204
1627935881033,0,71,203
1627935882050,3,71,200
1627935883014,0,72,202
1627935883957,5,71,198
1627935885008,1,73,200
1627935886085,0,73,201
1627935887069,0,73,201
1627935887904,1,74,199
1627935888210,0,76,198
1627935888369,0,77,197
1627935889127,0,76,198
1627935890013,0,76,198
1627935891074,0,78,196
1627935892087,1,76,197
1627935893111,0,77,197
1627935894075,1,77,196
1627935895124,0,79,195
1627935895321,0,80,194
1627935896100,0,82,192
1627935896266,0,83,191
1627935896404,0,84,190
1627935896542,0,85,189
1627935896655,0,86,188
1627935897127,2,84,188
1627935898171,0,86,188
1627935898314,0,87,187
1627935899171,0,89,185
1627935899450,1,89,184
1627935899555,0,90,184
1627935900263,0,87,187
1627935901196,0,87,187
1627935902068,0,89,185
1627935902249,0,90,184
1627935902502,0,91,183
1627935902665,0,92,182
1627935902928,0,93,181
1627935903177,0,94,180
1627935903853,0,98,176
1627935904037,0,99,175
1627935904264,0,100,174
1627935904440,0,101,173
1627935904657,0,102,172
1627935904878,0,103,171
1627935905113,0,104,170
1627935905338,0,105,169
1627935905567,0,106,168
1627935905783,2,104,168
1627935905876,0,103,171
1627935906213,3,97,174
1627935906547,1,96,177
1627935906682,0,97,177
1627935907314,1,99,174
1627935907501,0,100,174
1627935907727,2,99,173
1627935907863,0,99,175
1627935908423,1,101,172
1627935908786,4,99,171
1627935909303,1,97,176
1627935910413,2,89,183
1627935911447,0,82,192
1627935911785,0,85,189
1627935912055,0,89,185
1627935912316,0,93,181
1627935912501,0,97,177
1627935912665,0,101,173
1627935912904,0,105,169
1627935913105,0,109,165
1627935913316,0,113,161
1627935913525,0,117,157
1627935914112,0,121,153
1627935914338,0,122,152
1627935914560,0,126,148
1627935914779,0,130,144
1627935915010,0,134,140
1627935915208,0,138,136
1627935915453,0,141,133
1627935915981,0,145,129
1627935916210,0,149,125
1627935916479,0,153,121
1627935916664,0,157,117
1627935916821,0,161,113
1627935917202,0,166,108
1627935917381,0,170,104
1627935917579,0,174,100
1627935917746,0,178,96
1627935917929,0,182,92
1627935918166,1,185,88
1627935918403,0,188,86
1627935918698,0,192,82
1627935918892,0,196,78
1627935919119,0,200,74
1627935919244,0,201,73
1627935919721,4,196,74
1627935920291,1,199,74
1627935920615,5,196,73
1627935920898,4,197,73
1627935921318,0,198,76
1627935921492,0,199,75
1627935921756,0,200,74
1627935922017,0,206,68
1627935922249,0,207,67
1627935922455,0,211,63
1627935922624,0,212,62
1627935922804,0,216,58
1627935923008,1,219,54
1627935923243,0,220,54
1627935923363,0,221,53
1627935923721,50,174,50
1627935924010,42,177,55
1627935924219,49,168,57
1627935924412,51,157,66
1627935924807,85,117,72
1627935925166,80,117,77
1627935925853,63,120,91
1627935926240,61,117,96
1627935926639,47,117,110
1627935927095,46,112,116
1627935927608,59,92,123
1627935928725,46,76,152
1627935929685,33,76,165
1627935930770,11,76,187
1627935931628,0,81,193
1627935931828,0,82,192
1627935932141,0,83,191
1627935932325,0,83,191
1627935932709,7,80,187
1627935933685,6,79,189
1627935934730,1,79,194
1627935935780,1,77,196
1627935936771,5,77,192
1627935937716,59,19,196
1627935938747,33,19,222
1627935939093,24,21,229
1627935939273,17,24,233
1627935939515,14,24,236
1627935939661,10,25,239
1627935939855,5,25,244
1627935939975,3,26,245
1627935940185,0,27,247
1627935940398,0,27,247
1627935940845,7,24,243
1627935941764,1,24,249
1627935942858,2,24,248
1627935943121,0,30,244
1627935943335,0,35,239
1627935943511,0,39,235
1627935943670,0,42,232
1627935943840,0,46,228
1627935944154,0,50,224
1627935944406,0,54,220
1627935944648,0,58,216
1627935944857,0,59,215
1627935945466,0,63,211
1627935945649,0,64,210
1627935945801,0,65,209
1627935946000,0,66,208
1627935946165,0,67,207
1627935946876,1,66,207
1627935947111,1,72,201
1627935947325,0,105,169
1627935947509,0,106,168
1627935947627,0,106,168
1627935947951,2,106,166
1627935948229,6,104,164
1627935948418,0,118,156
1627935948586,0,119,155
1627935948761,0,119,155
1627935948995,0,120,154
1627935949123,0,120,154
1627935949574,6,118,150
1627935950052,0,125,149
1627935950251,0,129,145
1627935950460,0,129,145
1627935950913,6,129,139
1627935951540,32,96,146
1627935951729,27,98,149
1627935951989,15,100,159
1627935952211,16,99,159
1627935952370,15,100,159
1627935952753,6,104,164
1627935952929,3,104,167
1627935953051,0,105,169
1627935953386,0,112,162
1627935953608,0,116,158
1627935953972,2,113,159
1627935954139,0,114,160
1627935954933,4,114,156
1627935956199,1,117,156
1627935956966,5,114,155
1627935958114,1,109,164
1627935959035,6,107,161
1627935959326,0,115,159
1627935959521,0,116,158
1627935959797,4,116,154
1627935960057,0,121,153
1627935960300,0,126,148
1627935960514,0,127,147
1627935960774,0,132,142
1627935961004,4,133,137
1627935961240,0,134,140
1627935961390,1,138,135
1627935961539,0,138,136
1627935961825,0,143,131
1627935961982,0,144,130
1627935962201,4,140,130
1627935962439,0,145,129
1627935962704,0,150,124
1627935962896,0,154,120
1627935963338,13,148,113
1627935963489,1,157,116
1627935963701,0,159,115
1627935963894,1,169,104
1627935964058,0,170,104
1627935964207,0,170,104
1627935964887,2,173,99
1627935965255,9,170,95
1627935966111,7,169,98
1627935966970,0,178,96
1627935967168,0,179,95
