"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 16:50:28,10.3,0.493,9.85
2021-07-29 16:50:30,15.7,1.09,15.0
2021-07-29 16:50:32,32.8,0.730,32.1
2021-07-29 16:50:34,47.8,1.09,47.1
2021-07-29 16:50:36,60.2,0.365,59.9
2021-07-29 16:50:38,74.1,1.09,73.0
2021-07-29 16:50:40,87.2,1.09,86.1
2021-07-29 16:50:42,97.4,1.09,97.1
2021-07-29 16:50:44,100,0,100
2021-07-29 16:50:46,99.6,2.19,97.8
2021-07-29 16:50:48,100,2.19,98.2
2021-07-29 16:50:50,100,2.92,97.1
2021-07-29 16:50:52,99.6,2.19,97.8
2021-07-29 16:50:54,100,0,100
2021-07-29 16:50:56,100,0.730,99.3
2021-07-29 16:50:58,99.6,1.46,98.5
2021-07-29 16:51:00,99.6,0.365,99.3
2021-07-29 16:51:02,99.6,0.730,99.3
2021-07-29 16:51:04,99.6,0.365,99.6
2021-07-29 16:51:06,99.6,1.82,97.8
2021-07-29 16:51:08,99.3,1.82,97.8
2021-07-29 16:51:10,99.6,2.92,97.1
2021-07-29 16:51:12,100,3.28,97.1
2021-07-29 16:51:14,100,4.38,95.6
2021-07-29 16:51:16,99.6,2.92,97.1
2021-07-29 16:51:18,99.6,4.01,96.0
2021-07-29 16:51:20,99.6,3.65,96.4
2021-07-29 16:51:22,99.6,4.38,95.6
2021-07-29 16:51:24,99.6,4.38,95.6
2021-07-29 16:51:26,100,3.65,96.4
2021-07-29 16:51:28,99.6,8.39,91.6
2021-07-29 16:51:30,99.6,9.49,90.1
2021-07-29 16:51:32,99.6,8.03,92.0
2021-07-29 16:51:34,99.6,8.76,91.2
2021-07-29 16:51:36,99.3,9.49,90.1
2021-07-29 16:51:38,99.6,10.6,89.1
2021-07-29 16:51:40,99.6,12.8,88.0
2021-07-29 16:51:42,99.6,12.8,87.2
2021-07-29 16:51:44,100,12.8,88.0
2021-07-29 16:51:46,99.6,13.5,86.1
2021-07-29 16:51:48,98.2,8.76,91.2
2021-07-29 16:51:50,99.3,8.03,92.0
2021-07-29 16:51:52,99.6,9.85,89.4
2021-07-29 16:51:54,100,11.7,88.3
2021-07-29 16:51:56,97.4,7.66,89.4
2021-07-29 16:51:58,99.6,8.03,92.7
2021-07-29 16:52:00,100,7.66,92.0
2021-07-29 16:52:02,99.3,7.66,92.3
2021-07-29 16:52:04,99.6,8.39,91.2
2021-07-29 16:52:06,99.6,10.9,89.1
2021-07-29 16:52:08,99.6,20.4,79.6
2021-07-29 16:52:10,99.6,20.8,78.8
2021-07-29 16:52:12,99.6,19.7,80.3
2021-07-29 16:52:14,99.3,17.9,83.2
2021-07-29 16:52:16,99.6,14.2,86.1
2021-07-29 16:52:18,99.6,15.0,84.7
2021-07-29 16:52:20,98.9,13.9,85.8
2021-07-29 16:52:22,99.6,15.3,84.7
2021-07-29 16:52:24,98.9,13.9,86.1
2021-07-29 16:52:26,99.3,13.9,86.1
2021-07-29 16:52:28,99.3,13.9,85.4
2021-07-29 16:52:30,99.6,13.5,86.5
2021-07-29 16:52:32,100,15.3,84.7
2021-07-29 16:52:34,99.3,15.7,84.3
2021-07-29 16:52:36,99.3,14.6,83.9
2021-07-29 16:52:38,100,15.0,83.6
2021-07-29 16:52:40,99.6,13.9,86.1
2021-07-29 16:52:42,99.3,16.1,83.9
2021-07-29 16:52:44,99.3,15.7,84.3
2021-07-29 16:52:46,99.3,15.7,84.3
2021-07-29 16:52:48,100,15.7,83.9
2021-07-29 16:52:50,99.6,16.1,83.9
2021-07-29 16:52:52,99.3,15.3,84.7
2021-07-29 16:52:54,100,15.3,83.6
2021-07-29 16:52:56,98.5,14.2,85.4
2021-07-29 16:52:58,100,13.9,86.5
2021-07-29 16:53:00,99.3,13.1,86.1
