"Time","unused terminations","success termination","immediate termination"
2021-07-29 18:35:45,,,
2021-07-29 18:35:50,,,
2021-07-29 18:35:55,,,
2021-07-29 18:36:00,,,
2021-07-29 18:36:05,,,
2021-07-29 18:36:10,,,
2021-07-29 18:36:15,,,
2021-07-29 18:36:20,,,
2021-07-29 18:36:25,,,
2021-07-29 18:36:30,,,
2021-07-29 18:36:35,,,
2021-07-29 18:36:40,,,
2021-07-29 18:36:45,,,
2021-07-29 18:36:50,,,
2021-07-29 18:36:55,,,
2021-07-29 18:37:00,,,
2021-07-29 18:37:05,,,
2021-07-29 18:37:10,,,
2021-07-29 18:37:15,,,
2021-07-29 18:37:20,,,
2021-07-29 18:37:25,,,
2021-07-29 18:37:30,,,
2021-07-29 18:37:35,,,
2021-07-29 18:37:40,,,
2021-07-29 18:37:45,,,
2021-07-29 18:37:50,,,
2021-07-29 18:37:55,,,
2021-07-29 18:38:00,,,
2021-07-29 18:38:05,,,
2021-07-29 18:38:10,,,
2021-07-29 18:38:15,,,
2021-07-29 18:38:20,,,
2021-07-29 18:38:25,,,
2021-07-29 18:38:30,,,
2021-07-29 18:38:35,,,
2021-07-29 18:38:40,,,
2021-07-29 18:38:45,,,
2021-07-29 18:38:50,,,
2021-07-29 18:38:55,,,
2021-07-29 18:39:00,,,
2021-07-29 18:39:05,,,
2021-07-29 18:39:10,,,
2021-07-29 18:39:15,,,
2021-07-29 18:39:20,,,
2021-07-29 18:39:25,,,
2021-07-29 18:39:30,,,
2021-07-29 18:39:35,,,
2021-07-29 18:39:40,,,
2021-07-29 18:39:45,,,
2021-07-29 18:39:50,,,
2021-07-29 18:39:55,,,
2021-07-29 18:40:00,,,
2021-07-29 18:40:05,,,
2021-07-29 18:40:10,,,
2021-07-29 18:40:15,,,
2021-07-29 18:40:20,,,
2021-07-29 18:40:25,,,
2021-07-29 18:40:30,,,
2021-07-29 18:40:35,,,
2021-07-29 18:40:40,,,
2021-07-29 18:40:45,,,
2021-07-29 18:40:50,,,
2021-07-29 18:40:55,,,
2021-07-29 18:41:00,,,
2021-07-29 18:41:05,,,
2021-07-29 18:41:10,,,
2021-07-29 18:41:15,,,
2021-07-29 18:41:20,,,
2021-07-29 18:41:25,,,
2021-07-29 18:41:30,,,
2021-07-29 18:41:35,,,
2021-07-29 18:41:40,,,
2021-07-29 18:41:45,,,
2021-07-29 18:41:50,,,
2021-07-29 18:41:55,,,
2021-07-29 18:42:00,,,
2021-07-29 18:42:05,,,
2021-07-29 18:42:10,,,
2021-07-29 18:42:15,,,
2021-07-29 18:42:20,,,
2021-07-29 18:42:25,,,
2021-07-29 18:42:30,,,
2021-07-29 18:42:35,,,
2021-07-29 18:42:40,,,
2021-07-29 18:42:45,,,
2021-07-29 18:42:50,,,
2021-07-29 18:42:55,,,
2021-07-29 18:43:00,,,
2021-07-29 18:43:05,,,
2021-07-29 18:43:10,,,
2021-07-29 18:43:15,,,
2021-07-29 18:43:20,,,
2021-07-29 18:43:25,,,
2021-07-29 18:43:30,,,
2021-07-29 18:43:35,,,
2021-07-29 18:43:40,,,
2021-07-29 18:43:45,,,
2021-07-29 18:43:50,,,
2021-07-29 18:43:55,,,
2021-07-29 18:44:00,,,
2021-07-29 18:44:05,0,0,0
2021-07-29 18:44:10,0,0,0
2021-07-29 18:44:15,0,0,0
2021-07-29 18:44:20,0,0,0
2021-07-29 18:44:25,0,0,0
2021-07-29 18:44:30,0,0,0
2021-07-29 18:44:35,0,0,0
2021-07-29 18:44:40,0,0,0
2021-07-29 18:44:45,0,0,0
2021-07-29 18:44:50,0,0,0
2021-07-29 18:44:55,0,0,0
2021-07-29 18:45:00,1,5,2
2021-07-29 18:45:05,1,15,6
2021-07-29 18:45:10,1,23,9
2021-07-29 18:45:15,1,32,21
2021-07-29 18:45:20,1,41,23
2021-07-29 18:45:25,1,51,24
2021-07-29 18:45:30,2,58,28
