"Time","running","pending","completed"
1627862566801,17,536,1
1627862567000,42,649,3
1627862567024,41,674,3
1627862567049,41,698,5
1627862567052,41,698,5
1627862567062,41,698,7
1627862567071,41,698,8
1627862567098,42,698,8
1627862567112,45,757,12
1627862567119,45,757,10
1627862567128,44,790,12
1627862567133,45,790,14
1627862567134,45,790,14
1627862567140,45,757,12
1627862567158,44,790,15
1627862567302,72,909,16
1627862567318,76,985,18
1627862567325,76,985,19
1627862567329,75,985,19
1627862567350,76,1009,22
1627862567366,76,1009,22
1627862567387,78,1051,23
1627862567392,77,1051,23
1627862567394,77,1051,25
1627862567400,76,1051,26
1627862567409,73,1079,28
1627862567411,74,1079,28
1627862567412,75,1079,28
1627862567460,74,1103,29
1627862567474,74,1113,31
1627862567484,73,1113,31
1627862567489,75,1111,32
1627862567502,76,1106,35
1627862567508,75,1106,36
1627862567510,75,1106,36
1627862567529,75,1101,39
1627862567530,74,1101,39
1627862567542,74,1102,39
1627862567547,74,1021,40
1627862567566,75,1021,40
1627862567619,83,1152,41
1627862567620,84,1152,42
1627862567644,90,1152,43
1627862567767,106,1332,44
1627862567783,107,1341,47
1627862567790,108,1359,48
1627862567798,108,1359,48
1627862567800,107,1361,49
1627862567806,108,1361,49
1627862567814,108,1362,51
1627862567818,108,1363,51
1627862567956,123,1533,52
1627862567970,122,1555,54
1627862567987,119,1555,56
1627862567991,120,1555,56
1627862568003,118,1580,59
1627862568005,117,1579,60
1627862568010,116,1579,60
1627862568012,115,1592,61
1627862568031,113,1605,63
1627862568036,113,1607,63
1627862568056,117,1625,64
1627862568103,120,1538,65
1627862568141,126,1619,71
1627862568144,125,1619,71
1627862568147,124,1619,71
1627862568153,124,1619,73
1627862568157,124,1619,73
1627862568162,125,1619,73
1627862568166,124,1619,73
1627862568184,127,1648,75
1627862568190,128,1648,75
1627862568208,129,1648,77
1627862568217,130,1678,77
1627862568284,138,1714,79
1627862568297,141,1716,79
1627862568319,141,1718,80
1627862568328,141,1718,85
1627862568334,141,1718,86
1627862568338,140,1718,86
1627862568339,138,1718,87
1627862568350,140,1718,88
1627862568361,140,1718,88
1627862568399,145,1719,89
1627862568414,145,1722,90
1627862568443,144,1893,91
1627862568482,143,1894,94
1627862568484,144,1894,94
1627862568510,142,1951,96
1627862568524,144,1951,98
1627862568534,142,1951,98
1627862568536,144,1951,99
1627862568567,148,2002,102
1627862568568,149,2002,102
1627862568588,153,2002,103
1627862568739,172,2056,106
1627862568755,174,2056,108
1627862568760,173,2056,108
1627862568773,173,2117,109
1627862568784,174,2126,111
1627862568790,173,2126,111
1627862568802,178,2126,111
1627862568835,184,2174,113
1627862568849,183,2188,114
1627862568861,182,2188,114
1627862568884,185,2190,116
1627862568886,184,2191,116
1627862568903,184,2193,119
1627862568910,184,2193,119
1627862568926,185,2194,123
1627862568928,183,2194,123
1627862568931,184,2194,123
1627862568933,182,2194,123
1627862568937,182,2194,124
1627862568941,182,2194,124
1627862568977,185,2296,126
1627862568980,184,2296,126
1627862568993,189,2321,127
1627862569015,191,2321,130
1627862569018,193,2321,130
1627862569029,192,2321,130
1627862569053,195,2321,133
1627862569055,194,2321,134
1627862569058,193,2387,134
1627862569065,192,2391,135
1627862569091,198,2393,138
1627862569092,193,2391,136
1627862569095,197,2421,138
1627862569101,196,2423,138
1627862569116,196,2453,141
1627862569121,195,2453,141
1627862569124,196,2454,141
1627862569231,197,2550,142
1627862569236,198,2558,143
1627862569256,199,2564,146
1627862569260,196,2571,148
1627862569261,197,2571,148
1627862569267,198,2571,148
1627862569274,195,2569,151
1627862569281,194,2569,151
1627862569286,194,2569,151
1627862569297,196,2568,153
1627862569325,195,2563,154
1627862569327,196,2561,154
1627862569365,200,2569,156
1627862569374,200,2569,157
1627862569379,200,2569,159
1627862569384,198,2569,159
1627862569385,199,2569,159
1627862569407,203,2569,160
1627862569441,205,2623,163
1627862569445,206,2623,163
1627862569454,207,2623,163
1627862569601,223,2787,164
1627862569620,223,2805,166
1627862569624,224,2805,166
1627862569645,225,2824,169
1627862569654,225,2824,169
1627862569662,225,2824,169
1627862569688,227,2868,171
