EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",61033d453b9119e517bc17e8,"[{""GlobalJobId"":""login04_osgconnect_net#11960314_0#1624593449_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9929398384,""CompletionDate"":1624622416,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3343034,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11131.27102,""JobPrio"":634,""JobStartDate"":1624683503,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1574572,""MemoryUsage"":1538.6669921875,""JobSimSubmitDate"":1627602326.036079,""JobSimStartDate"":1627603515.42738,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#11964117_0#1624594651_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0694621389,""CompletionDate"":1624623210,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3341076,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11405.904832,""JobPrio"":632,""JobStartDate"":1624684022,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1472420,""MemoryUsage"":1438.9091796875,""JobSimSubmitDate"":1627602326.068422,""JobSimStartDate"":1627603518.080491,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":2.177983079519012,""WastedCost"":2.177983079519012,""Machine"":null,""action"":""start""}]",2,0,128000,131072,compute_haswell,osg,1627602246.8524222,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",61033d453b9119e517bc17e9,"[{""GlobalJobId"":""login04_osgconnect_net#11468824_32875#1624601143_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9952828356,""CompletionDate"":1624613894,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":265,""DiskUsage_RAW"":204,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":12451.819364,""JobPrio"":0,""JobStartDate"":1624673661,""JobState"":""Exited"",""MemoryProvisioned"":512,""ResidentSetSize"":243264,""MemoryUsage"":238.5615234375,""JobSimSubmitDate"":1627602326.021386,""JobSimStartDate"":1627603512.646656,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#11939526_15657#1624600620_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9956675673,""CompletionDate"":1624622823,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":160,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":21985.890154,""JobPrio"":0,""JobStartDate"":1624673056,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":313096,""MemoryUsage"":306.7568359375,""JobSimSubmitDate"":1627602326.021074,""JobSimStartDate"":1627603513.055284,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127488,131072,compute_haswell,osg,1627602246.4710352,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",61033d453b9119e517bc17ea,"[{""GlobalJobId"":""login04_osgconnect_net#11973906_0#1624611544_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9157880385,""CompletionDate"":1624623356,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3333986,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11315.967458,""JobPrio"":634,""JobStartDate"":1624684256,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1564392,""MemoryUsage"":1528.7255859375,""JobSimSubmitDate"":1627602326.0808,""JobSimStartDate"":1627603514.77584,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#11991204_0#1624621351_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9824240711,""CompletionDate"":1624633359,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3323952,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10739.601127,""JobPrio"":633,""JobStartDate"":1624694837,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1667280,""MemoryUsage"":1629.2021484375,""JobSimSubmitDate"":1627602326.238424,""JobSimStartDate"":1627603519.747786,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627602247.4087887,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",61033d45abdb7bd53800d874,"[{""GlobalJobId"":""login05_osgconnect_net#11283452_3592#1624592198_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.7463968914,""CompletionDate"":1624618604,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":33,""DiskUsage_RAW"":18,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":123.977852,""JobPrio"":0,""JobStartDate"":1624690699,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":74508,""MemoryUsage"":73.7607421875,""JobSimSubmitDate"":1627602326.141102,""JobSimStartDate"":1627603517.69316,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.06478056134761791,""WastedCost"":0.06478056134761791,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login04_osgconnect_net#11939526_14653#1624597289_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9975024551,""CompletionDate"":1624620514,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":160,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":20820.682821,""JobPrio"":0,""JobStartDate"":1624671912,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":309072,""MemoryUsage"":302.8271484375,""JobSimSubmitDate"":1627602326.020855,""JobSimStartDate"":1627603518.084538,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":2,""TotalCost"":4.2679846154064025,""WastedCost"":4.2679846154064025,""Machine"":null,""action"":""start""}]",2,0,123904,131072,compute_haswell,osg,1627602246.767536,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",61033d453b9119e517bc17eb,"[{""GlobalJobId"":""login05_osgconnect_net#11283460_1233#1624592632_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0019360707,""CompletionDate"":1624594340,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":201555,""DiskUsage_RAW"":47664,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":770.502105,""JobPrio"":0,""JobStartDate"":1624665788,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":85208,""MemoryUsage"":84.2099609375,""JobSimSubmitDate"":1627602325.875081,""JobSimStartDate"":1627603516.881085,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":5.721390628562757,""WastedCost"":5.721390628562757,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11283452_7490#1624592200_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9954202766,""CompletionDate"":1624618883,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":33,""DiskUsage_RAW"":41,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":114.252785,""JobPrio"":0,""JobStartDate"":1624690987,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":72800,""MemoryUsage"":72.0927734375,""JobSimSubmitDate"":1627602326.152805,""JobSimStartDate"":1627603518.447511,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126720,131072,compute_haswell,osg,1627602246.768716,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",61033d453b9119e517bc17ec,"[{""GlobalJobId"":""login04_osgconnect_net#11939526_14465#1624596931_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968329161,""CompletionDate"":1624620014,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":160,""DiskUsage_RAW"":18034,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":21819.471766,""JobPrio"":0,""JobStartDate"":1624670413,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":312056,""MemoryUsage"":305.7412109375,""JobSimSubmitDate"":1627602325.941828,""JobSimStartDate"":1627603512.120749,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#11468824_33025#1624605370_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9945339477,""CompletionDate"":1624617621,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":262,""DiskUsage_RAW"":204,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":12086.574686,""JobPrio"":0,""JobStartDate"":1624677754,""JobState"":""Exited"",""MemoryProvisioned"":512,""ResidentSetSize"":241564,""MemoryUsage"":236.9013671875,""JobSimSubmitDate"":1627602326.022513,""JobSimStartDate"":1627603515.467653,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127488,131072,compute_haswell,osg,1627602246.76796,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",61033d453b9119e517bc17ed,"[{""GlobalJobId"":""login04_osgconnect_net#11979690_0#1624613698_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0564525969,""CompletionDate"":1624625755,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3354995,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11747.855013,""JobPrio"":635,""JobStartDate"":1624686224,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1630376,""MemoryUsage"":1593.1630859375,""JobSimSubmitDate"":1627602326.104461,""JobSimStartDate"":1627603515.818586,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11283452_1500#1624592197_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.037006366,""CompletionDate"":1624618908,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":33,""DiskUsage_RAW"":40,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":117.134554,""JobPrio"":0,""JobStartDate"":1624691010,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":71404,""MemoryUsage"":70.7294921875,""JobSimSubmitDate"":1627602326.153687,""JobSimStartDate"":1627603518.471941,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125440,131072,compute_haswell,osg,1627602246.7728631,inuse
UPDATE,2018-03-14 11:40:08,86528408,9877ba81c06fe4ce59e306f089d09448,"{'placement.rack': 1, 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}",61033d453b9119e517bc17ee,"[{""GlobalJobId"":""login04_osgconnect_net#11961943_0#1624593782_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0283677272,""CompletionDate"":1624622197,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3379960,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10859.714126,""JobPrio"":633,""JobStartDate"":1624683535,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1734536,""MemoryUsage"":1694.8818359375,""JobSimSubmitDate"":1627602326.040505,""JobSimStartDate"":1627603517.029998,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.8186979117568771,""WastedCost"":0.8186979117568771,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11283452_2499#1624592197_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.0586773101,""CompletionDate"":1624619029,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":22,""DiskUsage_RAW"":295,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":116.060527,""JobPrio"":0,""JobStartDate"":1624691132,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":75044,""MemoryUsage"":74.2841796875,""JobSimSubmitDate"":1627602326.172306,""JobSimStartDate"":1627603518.65574,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125440,131072,compute_haswell,osg,1627602246.7712526,inuse
UPDATE,2018-03-14 11:40:09,86528409,87b458a5c11dee878137c907de62cdf8,"{'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'placement.rack': 0, 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48'}",61033d453b9119e517bc17ef,"[{""GlobalJobId"":""login04_osgconnect_net#11974728_0#1624611675_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2087689002,""CompletionDate"":1624623714,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3349255,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11259.296819,""JobPrio"":634,""JobStartDate"":1624684672,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1703644,""MemoryUsage"":1664.7138671875,""JobSimSubmitDate"":1627602326.092671,""JobSimStartDate"":1627603517.125792,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.710842930871513,""WastedCost"":0.710842930871513,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login04_osgconnect_net#11939526_14316#1624596629_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.988078893,""CompletionDate"":1624624213,""CpusProvisioned"":1,""DiskProvisioned"":426313,""DiskUsage"":289278,""DiskUsage_RAW"":289428,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":19479.51809,""JobPrio"":0,""JobStartDate"":1624676952,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":270320,""MemoryUsage"":264.9833984375,""JobSimSubmitDate"":1627602326.022293,""JobSimStartDate"":1627603517.179695,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":2.715310907375046,""WastedCost"":2.715310907375046,""Machine"":null,""action"":""start""}]",2,0,126464,131072,compute_haswell,osg,1627602246.8424563,inuse
UPDATE,2018-03-14 11:40:12,86528412,b809f1a55f50d240ce372da1c5912288,"{'architecture.smt_size': '48', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64'}",61033d453b9119e517bc17f0,"[{""GlobalJobId"":""login04_osgconnect_net#11468824_33024#1624605360_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9946782607,""CompletionDate"":1624618265,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":261,""DiskUsage_RAW"":204,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":12398.018831,""JobPrio"":0,""JobStartDate"":1624678086,""JobState"":""Exited"",""MemoryProvisioned"":512,""ResidentSetSize"":242772,""MemoryUsage"":238.0810546875,""JobSimSubmitDate"":1627602326.022532,""JobSimStartDate"":1627603515.497907,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11283528_650#1624596120_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9447121203,""CompletionDate"":1624598452,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":201551,""DiskUsage_RAW"":47664,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":318.131091,""JobPrio"":0,""JobStartDate"":1624670353,""JobState"":""Exited"",""MemoryProvisioned"":256,""ResidentSetSize"":84564,""MemoryUsage"":83.5810546875,""JobSimSubmitDate"":1627602325.941796,""JobSimStartDate"":1627603518.10944,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":2,""TotalCost"":4.684370052890304,""WastedCost"":4.684370052890304,""Machine"":null,""action"":""start""}]",2,0,130304,131072,compute_haswell,osg,1627602246.845909,inuse
