"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627862566221,27,0,0
1627862566999,60,1,23
1627862567318,44,1,39
1627862567836,189,1,56
1627862568153,201,2,71
1627862568346,199,3,72
1627862568823,180,2,92
1627862569345,169,2,103
1627862569832,148,2,124
1627862570342,136,2,136
1627862571355,114,2,158
1627862572353,82,2,190
1627862573347,60,2,212
1627862574355,39,1,234
1627862575382,15,1,258
1627862576003,2,1,271
1627862576386,0,0,274
1627862576905,0,0,274
1627862577242,0,1,273
1627862577423,0,1,273
1627862577600,0,2,272
1627862577797,0,3,271
1627862577994,0,4,270
1627862578162,0,7,267
1627862578404,4,3,267
1627862578907,0,3,271
1627862579406,0,3,271
1627862579893,0,3,271
1627862580234,0,1,273
1627862580407,0,2,272
1627862580594,0,2,272
1627862580726,0,3,271
1627862580927,1,3,270
1627862581156,1,3,270
1627862581435,0,0,274
1627862581906,0,0,274
1627862582419,0,0,274
1627862583434,0,0,274
1627862583858,1,0,273
1627862584105,0,1,273
1627862584318,0,2,272
1627862584519,0,3,271
1627862584677,0,4,270
1627862584865,0,5,269
1627862585051,0,5,269
1627862585208,0,6,268
1627862585448,0,5,269
1627862585955,0,5,269
1627862586468,0,5,269
1627862586942,0,5,269
1627862587465,0,5,269
1627862587960,0,5,269
1627862588282,0,6,268
1627862588460,0,7,267
1627862588608,1,6,267
1627862588767,0,7,267
1627862589046,1,5,268
1627862589484,0,5,269
1627862589966,0,5,269
1627862590490,0,5,269
1627862590985,0,5,269
1627862591493,0,5,269
1627862591976,0,4,270
1627862592504,0,0,274
1627862592996,0,0,274
1627862593517,0,0,274
1627862594025,0,0,274
1627862594210,0,1,273
1627862594506,0,1,273
1627862595006,0,1,273
1627862595541,0,1,273
1627862596792,0,2,272
1627862596974,0,2,272
1627862597193,0,3,271
1627862597406,0,3,271
1627862597651,0,4,270
1627862597909,0,5,269
1627862598111,2,3,269
1627862598275,0,2,272
1627862598443,0,2,272
1627862598658,0,2,272
1627862599064,0,1,273
1627862599559,0,1,273
1627862600048,0,1,273
1627862600568,0,1,273
1627862601046,0,1,273
1627862601589,0,1,273
1627862602064,0,1,273
1627862602585,0,1,273
1627862603083,0,1,273
1627862603588,0,1,273
1627862604065,0,1,273
1627862604380,0,2,272
1627862604585,0,3,271
1627862604772,0,3,271
1627862604978,0,4,270
1627862605155,0,5,269
1627862605352,4,1,269
1627862605611,0,1,273
1627862606412,0,1,273
1627862606575,0,2,272
1627862606755,0,3,271
1627862606928,0,4,270
1627862607162,1,4,269
1627862607345,0,3,271
1627862607596,1,2,271
1627862607887,0,2,272
1627862608083,1,8,265
1627862608259,0,9,265
1627862608630,0,8,266
1627862609116,0,8,266
1627862609628,0,8,266
1627862610126,0,8,266
1627862610648,0,8,266
1627862611125,0,8,266
1627862611640,0,8,266
1627862612135,0,8,266
1627862612456,0,9,265
1627862612653,0,10,264
1627862612827,0,10,264
1627862613004,0,11,263
1627862613168,0,12,262
1627862613505,2,8,264
1627862613709,1,8,265
1627862614165,0,8,266
1627862614689,0,8,266
1627862615178,0,8,266
1627862615342,0,9,265
1627862615693,0,9,265
1627862615931,0,10,264
1627862616179,0,10,264
1627862616691,0,10,264
1627862617191,0,10,264
1627862617700,0,10,264
1627862618195,0,10,264
1627862618725,0,10,264
1627862619203,0,10,264
1627862619723,0,10,264
1627862620217,0,10,264
1627862620685,0,10,264
1627862620929,0,11,263
1627862621739,0,10,264
1627862621863,0,11,263
1627862622754,0,11,263
1627862623420,0,11,263
1627862623568,0,12,262
1627862623743,1,12,261
1627862623858,0,11,263
1627862624766,0,10,264
1627862625777,0,10,264
1627862625945,0,12,262
1627862626793,0,23,251
1627862627803,0,23,251
1627862628702,1,23,250
1627862628924,0,24,250
1627862629101,0,25,249
1627862629291,1,25,248
1627862629387,0,26,248
1627862629807,0,23,251
1627862630842,0,23,251
1627862631820,0,22,252
1627862631970,0,23,251
1627862632829,0,23,251
1627862633657,0,24,250
1627862633843,1,24,249
1627862633978,0,25,249
1627862634855,0,25,249
1627862635875,0,25,249
1627862636756,0,25,249
1627862636933,0,26,248
1627862637132,0,27,247
1627862637280,0,27,247
1627862637390,0,28,246
1627862637911,0,25,249
1627862638125,0,27,247
1627862638374,0,32,242
1627862638891,0,32,242
1627862639044,0,33,241
1627862639561,1,33,240
1627862639906,0,33,241
1627862640008,0,34,240
1627862640949,0,35,239
1627862641937,0,33,241
1627862642926,0,33,241
1627862643961,0,33,241
1627862644836,1,33,240
1627862644960,0,34,240
1627862645202,0,35,239
1627862645363,1,35,238
1627862645459,0,36,238
