"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 18:44:04,0,0,0
2021-07-29 18:44:06,6.93,1.09,5.84
2021-07-29 18:44:08,7.30,0.730,6.57
2021-07-29 18:44:10,16.8,0.730,16.1
2021-07-29 18:44:12,35.0,0.365,35.0
2021-07-29 18:44:14,41.2,0.365,40.9
2021-07-29 18:44:16,52.2,1.46,50.7
2021-07-29 18:44:18,63.5,0.365,63.1
2021-07-29 18:44:20,75.9,0,75.9
2021-07-29 18:44:22,85.4,1.09,84.3
2021-07-29 18:44:24,97.1,2.19,95.3
2021-07-29 18:44:26,99.6,2.55,98.2
2021-07-29 18:44:28,99.6,1.82,98.2
2021-07-29 18:44:30,99.3,1.46,98.5
2021-07-29 18:44:32,99.3,0,100
2021-07-29 18:44:34,100,0.730,99.6
2021-07-29 18:44:36,99.3,1.82,97.8
2021-07-29 18:44:38,100,0.365,99.6
2021-07-29 18:44:40,99.6,0.365,99.3
2021-07-29 18:44:42,100,0.730,99.6
2021-07-29 18:44:44,99.3,1.82,99.3
2021-07-29 18:44:46,99.6,3.28,96.4
2021-07-29 18:44:48,100,2.92,97.1
2021-07-29 18:44:50,99.6,2.92,97.1
2021-07-29 18:44:52,99.6,4.38,95.6
2021-07-29 18:44:54,99.3,2.92,96.4
2021-07-29 18:44:56,99.6,3.65,96.4
2021-07-29 18:44:58,99.6,3.65,96.4
2021-07-29 18:45:00,99.6,4.74,95.3
2021-07-29 18:45:02,99.6,5.11,94.9
2021-07-29 18:45:04,100,8.76,91.2
2021-07-29 18:45:06,99.6,9.12,90.9
2021-07-29 18:45:08,99.3,9.85,90.1
2021-07-29 18:45:10,99.6,8.03,92.0
2021-07-29 18:45:12,99.6,9.85,90.1
2021-07-29 18:45:14,100,9.85,90.9
2021-07-29 18:45:16,99.6,10.6,88.7
2021-07-29 18:45:18,99.3,13.5,86.5
2021-07-29 18:45:20,100,12.0,87.6
2021-07-29 18:45:22,99.6,12.8,87.2
2021-07-29 18:45:24,100,13.5,86.5
2021-07-29 18:45:26,99.6,8.39,91.6
2021-07-29 18:45:28,99.6,10.2,89.8
2021-07-29 18:45:30,99.6,9.85,90.1
2021-07-29 18:45:32,99.6,11.3,88.0
2021-07-29 18:45:34,98.2,8.03,92.0
2021-07-29 18:45:36,100,8.03,92.7
2021-07-29 18:45:38,99.6,7.66,92.3
2021-07-29 18:45:40,98.9,6.93,92.7
2021-07-29 18:45:42,99.6,8.39,91.6
2021-07-29 18:45:44,98.9,17.9,81.8
2021-07-29 18:45:46,99.6,20.1,79.6
2021-07-29 18:45:48,99.6,21.2,78.5
2021-07-29 18:45:50,100,19.7,79.2
2021-07-29 18:45:52,98.2,17.9,83.2
2021-07-29 18:45:54,99.3,14.6,85.4
2021-07-29 18:45:56,99.6,15.3,84.3
2021-07-29 18:45:58,99.3,13.9,86.1
