"Time","unused terminations","success termination","immediate termination"
1627833997967,0,0,0
1627833998270,0,0,0
1627833998494,0,0,0
1627833999004,0,0,0
1627833999247,0,0,0
1627833999428,0,0,0
1627833999931,0,0,0
1627834000486,0,0,0
1627834000938,0,0,0
1627834001473,0,0,0
1627834002509,0,0,0
1627834003503,0,0,0
1627834004500,0,0,0
1627834005484,0,0,0
1627834006491,0,0,0
1627834007134,0,0,0
1627834007494,0,0,0
1627834008050,0,0,0
1627834008367,0,0,0
1627834008514,0,0,0
1627834008693,0,0,0
1627834008852,0,0,0
1627834009013,0,0,0
1627834009203,0,0,0
1627834009526,0,0,0
1627834009981,0,0,0
1627834010522,0,0,0
1627834011046,0,0,0
1627834011370,0,0,0
1627834011547,0,0,0
1627834011723,0,0,0
1627834011902,0,0,0
1627834012072,0,0,0
1627834012293,0,0,0
1627834012610,0,0,0
1627834013061,0,0,0
1627834013554,0,0,0
1627834014568,0,0,0
1627834014951,0,0,0
1627834015170,0,0,0
1627834015428,0,0,0
1627834015589,0,0,0
1627834015767,0,0,0
1627834015929,0,0,0
1627834016110,0,0,0
1627834016286,0,0,0
1627834016605,0,0,0
1627834017079,0,0,0
1627834017633,0,0,0
1627834018073,0,0,0
1627834018607,0,0,0
1627834019103,0,0,0
1627834019419,0,0,0
1627834019621,0,0,0
1627834019803,0,0,0
1627834019984,0,0,0
1627834020249,0,0,0
1627834020637,0,0,0
1627834021115,0,0,0
1627834021654,0,0,0
1627834022157,0,0,0
1627834022628,0,0,0
1627834023118,0,0,0
1627834023629,0,0,0
1627834024146,0,0,0
1627834024692,0,0,0
1627834025190,0,0,0
1627834025374,0,0,0
1627834025794,0,0,0
1627834026161,0,0,0
1627834026684,0,0,0
1627834027189,0,0,0
1627834027493,0,0,0
1627834027692,0,0,0
1627834027893,0,0,0
1627834028085,0,0,0
1627834028272,0,0,0
1627834028472,0,0,0
1627834028690,0,0,0
1627834029180,0,0,0
1627834029719,0,0,0
1627834030230,0,0,0
1627834030817,0,0,0
1627834031194,0,0,0
1627834031779,0,0,0
1627834032419,0,0,0
1627834032729,0,0,0
1627834033235,0,0,0
1627834033766,0,0,0
1627834034217,0,0,0
1627834034742,0,0,0
1627834035248,0,0,0
1627834035570,0,0,0
1627834035778,0,0,0
1627834035938,0,0,0
1627834036160,0,0,0
1627834036333,0,0,0
1627834036579,0,0,0
1627834036766,0,0,0
1627834037597,0,0,0
1627834037809,0,0,0
1627834037986,0,0,0
1627834038169,0,0,0
1627834038395,0,0,0
1627834038538,0,0,0
1627834038678,0,0,0
1627834038900,0,0,0
1627834039108,0,0,0
1627834039268,0,0,0
1627834039790,0,0,0
1627834040297,0,0,0
1627834040826,0,0,0
1627834041296,0,0,0
1627834041834,0,0,0
1627834042328,0,0,0
1627834042822,0,0,0
1627834043287,0,0,0
1627834043612,0,0,0
1627834043814,0,0,0
1627834044057,0,0,0
1627834044252,0,0,0
1627834044417,0,0,0
1627834044755,0,0,0
1627834044925,0,0,0
1627834045332,0,0,0
1627834045850,0,0,0
1627834046317,0,0,0
1627834046544,0,0,0
1627834046885,0,0,0
1627834047082,0,0,0
1627834047326,0,0,0
1627834047857,0,0,0
1627834048342,0,0,0
1627834048901,0,0,0
1627834049358,0,0,0
1627834049884,0,0,0
1627834050376,0,0,0
1627834050862,0,0,0
1627834051386,0,0,0
1627834051864,0,0,0
1627834052047,0,0,0
1627834053092,0,0,0
1627834053900,1,1,0
1627834054083,1,1,0
1627834054361,1,1,0
1627834054589,1,1,1
1627834054769,1,1,2
1627834055039,1,2,2
1627834055291,1,2,2
1627834055949,1,4,2
1627834056298,1,4,2
1627834056913,1,6,2
1627834057088,1,6,2
1627834057310,1,6,2
1627834057945,1,8,2
1627834058313,1,8,2
1627834058941,1,10,2
1627834059317,1,10,2
1627834059646,1,10,2
1627834059864,1,10,3
1627834060131,1,10,4
1627834060294,1,10,5
1627834060589,1,12,6
1627834060680,1,12,6
1627834060976,1,14,6
1627834061339,1,14,6
1627834061969,1,16,6
1627834062343,1,16,6
1627834062470,1,16,6
1627834063062,1,18,7
1627834063355,1,18,7
1627834063974,1,20,7
1627834064358,1,20,7
1627834064618,1,20,7
1627834064827,1,20,8
1627834065159,1,22,9
1627834065365,1,22,9
1627834065994,1,24,9
1627834066373,1,24,9
1627834067036,1,26,9
1627834067378,1,26,9
1627834067693,1,26,9
1627834067909,1,26,10
1627834068083,1,26,11
1627834068265,1,26,12
1627834068565,1,28,13
1627834068657,1,28,13
1627834069012,1,30,13
1627834069173,1,30,19
1627834069516,1,30,20
1627834070155,1,32,21
1627834070401,1,32,21
1627834070521,1,32,21
1627834070662,1,32,21
1627834071214,1,34,22
1627834071299,1,34,22
1627834071412,1,34,22
1627834072240,1,36,23
1627834072423,1,36,23
1627834073053,1,38,23
1627834073437,1,38,23
1627834074042,1,40,23
1627834074441,1,40,23
1627834075077,1,42,23
1627834075446,1,42,23
1627834075771,1,42,23
1627834075969,1,42,24
1627834076159,1,42,25
1627834076301,1,42,26
1627834076592,1,44,27
1627834076658,1,44,27
1627834077120,1,46,27
1627834077471,1,46,27
1627834078088,1,48,27
1627834078478,1,48,27
1627834079114,1,50,27
1627834079491,1,50,27
1627834080115,1,52,27
1627834080495,1,52,27
1627834081099,1,52,27
1627834081299,1,54,27
1627834081498,1,54,27
1627834082171,1,56,27
1627834082513,1,56,27
1627834083122,1,58,27
1627834083518,1,58,27
1627834083843,1,58,27
1627834084068,1,58,28
1627834084275,1,58,29
1627834084510,1,58,30
1627834084839,1,60,31
1627834084929,1,60,31
1627834085167,1,62,31
1627834086217,2,63,31
1627834086565,2,63,31
1627834087202,2,65,31
1627834087567,2,65,31
1627834088249,2,67,31
1627834088575,2,67,31
1627834089761,2,69,31
1627834090680,3,70,31
1627834091725,4,70,31
1627834091999,4,70,31
1627834092074,4,70,31
1627834092816,4,72,32
1627834093651,5,73,32
1627834093717,5,73,32
1627834093795,5,73,32
1627834093972,5,73,33
1627834094335,5,75,33
1627834094612,5,75,33
1627834095217,5,77,33
1627834095614,5,77,33
1627834095726,5,77,33
1627834095924,5,77,41
1627834096303,5,79,42
1627834096424,5,79,42
1627834096627,5,79,42
1627834096843,5,79,52
1627834097037,5,79,62
1627834097319,5,81,63
1627834097635,5,81,63
1627834097823,5,81,63
1627834097977,5,81,64
1627834098125,5,81,65
1627834098269,5,81,66
1627834098518,5,83,67
1627834098648,5,83,67
1627834099277,5,85,67
1627834099654,5,85,67
1627834099967,5,85,67
1627834100159,5,85,68
1627834100340,5,85,69
1627834100560,5,85,70
1627834100827,5,87,71
1627834100929,5,87,71
1627834101290,5,89,71
1627834101668,5,89,71
1627834102290,5,91,71
1627834102678,5,91,71
1627834103283,5,93,71
1627834103688,5,93,71
1627834104313,5,95,71
1627834104574,5,95,71
1627834104697,5,95,71
1627834104906,5,95,71
1627834105476,5,97,72
1627834105705,5,97,72
1627834106309,5,99,72
1627834106706,5,99,72
1627834107355,5,101,72
1627834107717,5,101,72
1627834108033,5,101,72
1627834108241,5,101,73
1627834108394,5,101,74
1627834108579,5,101,75
1627834108922,5,103,76
1627834109016,5,103,76
1627834109360,5,105,76
1627834109740,5,105,76
1627834110349,5,107,76
1627834110746,5,107,76
1627834110872,5,107,76
1627834111096,5,107,77
1627834111453,5,109,78
1627834111764,5,109,78
1627834112410,5,111,78
1627834112764,5,111,78
1627834113403,5,113,78
1627834113773,5,113,78
1627834114397,5,115,78
1627834114781,5,115,78
1627834115405,5,117,78
1627834115785,5,117,78
1627834116110,5,117,78
1627834116313,5,117,79
1627834116524,5,117,80
1627834116690,5,117,81
1627834116975,5,119,82
1627834117041,5,119,82
1627834117436,5,121,82
1627834117812,5,121,82
1627834118506,5,123,82
1627834118814,5,123,82
1627834118975,5,123,82
1627834119574,5,125,83
1627834119829,5,125,83
1627834120575,5,127,83
1627834120697,5,127,83
1627834120758,5,127,83
1627834120949,5,127,84
1627834121113,5,127,85
1627834121597,5,129,86
1627834121852,5,129,86
1627834122451,5,131,86
1627834122850,5,131,86
1627834123456,5,133,86
1627834123865,5,133,86
1627834124184,5,133,86
1627834124393,5,133,87
1627834124570,5,133,88
1627834124787,5,133,89
1627834125111,5,135,90
1627834125213,5,135,90
1627834125525,5,137,90
1627834125747,5,137,90
1627834125893,5,137,90
1627834126672,5,139,91
1627834126895,5,139,91
1627834127554,5,141,91
1627834127905,5,141,91
1627834128376,5,141,91
1627834128638,5,143,92
1627834128921,5,143,92
1627834129539,5,145,92
1627834129733,5,145,95
1627834130059,5,145,96
1627834130715,5,147,97
1627834130933,5,147,97
1627834131560,5,149,97
1627834131936,5,149,97
1627834132255,5,149,97
1627834132508,5,149,98
1627834132671,5,149,99
1627834132888,5,149,100
1627834133206,5,151,100
1627834133301,5,151,100
1627834133640,5,153,100
1627834133964,5,153,100
1627834134206,5,153,100
1627834134652,5,155,101
1627834134973,5,155,101
1627834135580,5,157,101
1627834135978,5,157,101
1627834136620,5,159,101
1627834136987,5,159,101
