"Time","unused terminations","success termination","immediate termination"
2021-07-29 20:17:50,,,
2021-07-29 20:17:55,,,
2021-07-29 20:18:00,,,
2021-07-29 20:18:05,,,
2021-07-29 20:18:10,,,
2021-07-29 20:18:15,,,
2021-07-29 20:18:20,,,
2021-07-29 20:18:25,,,
2021-07-29 20:18:30,,,
2021-07-29 20:18:35,,,
2021-07-29 20:18:40,,,
2021-07-29 20:18:45,,,
2021-07-29 20:18:50,,,
2021-07-29 20:18:55,,,
2021-07-29 20:19:00,,,
2021-07-29 20:19:05,,,
2021-07-29 20:19:10,,,
2021-07-29 20:19:15,,,
2021-07-29 20:19:20,,,
2021-07-29 20:19:25,,,
2021-07-29 20:19:30,,,
2021-07-29 20:19:35,,,
2021-07-29 20:19:40,,,
2021-07-29 20:19:45,,,
2021-07-29 20:19:50,,,
2021-07-29 20:19:55,,,
2021-07-29 20:20:00,,,
2021-07-29 20:20:05,,,
2021-07-29 20:20:10,,,
2021-07-29 20:20:15,,,
2021-07-29 20:20:20,,,
2021-07-29 20:20:25,,,
2021-07-29 20:20:30,,,
2021-07-29 20:20:35,,,
2021-07-29 20:20:40,,,
2021-07-29 20:20:45,,,
2021-07-29 20:20:50,,,
2021-07-29 20:20:55,,,
2021-07-29 20:21:00,,,
2021-07-29 20:21:05,,,
2021-07-29 20:21:10,,,
2021-07-29 20:21:15,,,
2021-07-29 20:21:20,,,
2021-07-29 20:21:25,,,
2021-07-29 20:21:30,,,
2021-07-29 20:21:35,,,
2021-07-29 20:21:40,,,
2021-07-29 20:21:45,,,
2021-07-29 20:21:50,,,
2021-07-29 20:21:55,,,
2021-07-29 20:22:00,,,
2021-07-29 20:22:05,,,
2021-07-29 20:22:10,,,
2021-07-29 20:22:15,,,
2021-07-29 20:22:20,,,
2021-07-29 20:22:25,,,
2021-07-29 20:22:30,,,
2021-07-29 20:22:35,,,
2021-07-29 20:22:40,,,
2021-07-29 20:22:45,,,
2021-07-29 20:22:50,,,
2021-07-29 20:22:55,,,
2021-07-29 20:23:00,,,
2021-07-29 20:23:05,,,
2021-07-29 20:23:10,,,
2021-07-29 20:23:15,,,
2021-07-29 20:23:20,,,
2021-07-29 20:23:25,,,
2021-07-29 20:23:30,,,
2021-07-29 20:23:35,,,
2021-07-29 20:23:40,,,
2021-07-29 20:23:45,,,
2021-07-29 20:23:50,,,
2021-07-29 20:23:55,,,
2021-07-29 20:24:00,,,
2021-07-29 20:24:05,,,
2021-07-29 20:24:10,,,
2021-07-29 20:24:15,,,
2021-07-29 20:24:20,,,
2021-07-29 20:24:25,,,
2021-07-29 20:24:30,,,
2021-07-29 20:24:35,,,
2021-07-29 20:24:40,,,
2021-07-29 20:24:45,,,
2021-07-29 20:24:50,,,
2021-07-29 20:24:55,,,
2021-07-29 20:25:00,,,
2021-07-29 20:25:05,,,
2021-07-29 20:25:10,,,
2021-07-29 20:25:15,,,
2021-07-29 20:25:20,,,
2021-07-29 20:25:25,,,
2021-07-29 20:25:30,,,
2021-07-29 20:25:35,,,
2021-07-29 20:25:40,,,
