"Time","running","pending","completed"
2021-07-29 20:29:30,22,1903,23
2021-07-29 20:29:32,0,3593,93
2021-07-29 20:29:34,97,5573,157
2021-07-29 20:29:36,187,7194,256
2021-07-29 20:29:38,260,8897,416
2021-07-29 20:29:40,292,10327,572
2021-07-29 20:29:42,377,12084,735
2021-07-29 20:29:44,449,13707,891
2021-07-29 20:29:46,517,15228,1073
2021-07-29 20:29:48,523,16942,1228
2021-07-29 20:29:50,526,18597,1394
2021-07-29 20:29:52,514,20041,1563
2021-07-29 20:29:54,541,21807,1738
2021-07-29 20:29:56,531,23559,1880
2021-07-29 20:29:58,531,25278,1999
2021-07-29 20:30:00,524,26945,2155
2021-07-29 20:30:02,551,28463,2311
2021-07-29 20:30:04,552,30278,2455
2021-07-29 20:30:06,540,32030,2605
2021-07-29 20:30:08,535,33736,2751
2021-07-29 20:30:10,529,35420,2925
2021-07-29 20:30:12,529,36968,3086
2021-07-29 20:30:14,541,38609,3245
2021-07-29 20:30:16,514,40240,3410
2021-07-29 20:30:18,546,41917,3554
2021-07-29 20:30:20,525,43567,3712
2021-07-29 20:30:22,541,45246,3873
2021-07-29 20:30:24,525,46880,4013
2021-07-29 20:30:26,521,48551,4177
2021-07-29 20:30:28,542,50013,4317
2021-07-29 20:30:30,501,52026,4381
2021-07-29 20:30:32,494,53633,4539
2021-07-29 20:30:34,518,55150,4709
2021-07-29 20:30:36,502,56972,4826
2021-07-29 20:30:38,493,58561,4986
2021-07-29 20:30:40,486,60247,5151
2021-07-29 20:30:42,491,61893,5293
2021-07-29 20:30:44,476,63533,5458
2021-07-29 20:30:46,499,65181,5626
2021-07-29 20:30:48,478,66793,5773
2021-07-29 20:30:50,512,68379,5936
2021-07-29 20:30:52,517,69960,6068
2021-07-29 20:30:54,495,71687,6235
2021-07-29 20:30:56,485,73208,6396
2021-07-29 20:30:58,521,74841,6530
2021-07-29 20:31:00,527,76467,6700
2021-07-29 20:31:02,506,78202,6771
2021-07-29 20:31:04,525,79845,6946
2021-07-29 20:31:06,502,81509,7089
2021-07-29 20:31:08,501,83192,7229
2021-07-29 20:31:10,455,84614,7360
2021-07-29 20:31:12,439,86437,7519
2021-07-29 20:31:14,458,88087,7690
2021-07-29 20:31:16,476,89720,7838
2021-07-29 20:31:18,489,91192,8007
2021-07-29 20:31:20,444,92894,8147
2021-07-29 20:31:22,434,94409,8308
2021-07-29 20:31:24,438,94179,8458
2021-07-29 20:31:26,461,94044,8603
2021-07-29 20:31:28,457,93901,8765
2021-07-29 20:31:30,482,93757,8910
2021-07-29 20:31:32,462,93618,9086
2021-07-29 20:31:34,460,93549,9164
2021-07-29 20:31:36,480,93408,9292
2021-07-29 20:31:38,487,93159,9460
2021-07-29 20:31:40,484,93022,9603
2021-07-29 20:31:42,468,92884,9742
2021-07-29 20:31:44,443,92748,9898
2021-07-29 20:31:46,441,92604,10059
2021-07-29 20:31:48,465,92463,10206
2021-07-29 20:31:50,474,92322,10376
2021-07-29 20:31:52,473,92254,10445
2021-07-29 20:31:54,451,92113,10603
2021-07-29 20:31:56,479,91885,10760
2021-07-29 20:31:58,483,91746,10897
2021-07-29 20:32:00,489,91604,11065
2021-07-29 20:32:02,492,91449,11230
2021-07-29 20:32:04,474,91301,11367
2021-07-29 20:32:06,494,91134,11465
2021-07-29 20:32:08,496,90993,11618
2021-07-29 20:32:10,499,90938,11741
2021-07-29 20:32:12,471,90704,11905
2021-07-29 20:32:14,465,90650,12042
2021-07-29 20:32:16,457,90442,12190
2021-07-29 20:32:18,453,90294,12351
2021-07-29 20:32:20,472,90145,12477
2021-07-29 20:32:22,480,89986,12625
2021-07-29 20:32:24,461,89834,12783
2021-07-29 20:32:26,472,89685,12918
2021-07-29 20:32:28,499,89525,13084
2021-07-29 20:32:30,530,89376,13235
2021-07-29 20:32:32,525,89218,13405
2021-07-29 20:32:34,526,89068,13573
2021-07-29 20:32:36,543,88917,13662
2021-07-29 20:32:38,528,88857,13777
2021-07-29 20:32:40,552,88698,13934
2021-07-29 20:32:42,545,88554,14069
2021-07-29 20:32:44,549,88414,14216
2021-07-29 20:32:46,533,88165,14375
2021-07-29 20:32:48,526,88021,14531
2021-07-29 20:32:50,530,87886,14652
2021-07-29 20:32:52,524,87775,14811
2021-07-29 20:32:54,507,87622,14951
2021-07-29 20:32:56,507,87487,15094
2021-07-29 20:32:58,501,87338,15256
2021-07-29 20:33:00,501,87208,15384
2021-07-29 20:33:02,491,87047,15549
2021-07-29 20:33:04,482,86904,15719
2021-07-29 20:33:06,489,86762,15854
2021-07-29 20:33:08,489,86679,15976
2021-07-29 20:33:10,509,86539,16074
2021-07-29 20:33:12,497,86400,16197
2021-07-29 20:33:14,493,86253,16339
2021-07-29 20:33:16,503,86203,16415
2021-07-29 20:33:18,508,86055,16551
2021-07-29 20:33:20,487,85965,16697
2021-07-29 20:33:22,447,85819,16847
2021-07-29 20:33:24,466,85681,16971
2021-07-29 20:33:26,443,85686,17123
2021-07-29 20:33:28,419,85670,17209
2021-07-29 20:33:30,311,85538,17325
2021-07-29 20:33:32,269,85553,17445
2021-07-29 20:33:34,252,85523,17509
2021-07-29 20:33:36,203,85360,17589
2021-07-29 20:33:38,251,85218,17718
2021-07-29 20:33:40,260,85056,17857
