EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",6106cbb96009e8d161680528,"[{""GlobalJobId"":""login05_osgconnect_net#11319269_5623#1624871816_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9951053996,""CompletionDate"":1624880639,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5206.064137,""JobPrio"":0,""JobStartDate"":1624937335,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1328664,""MemoryUsage"":1298.5224609375,""JobSimSubmitDate"":1627835393.317002,""JobSimStartDate"":1627836353.587908,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_7220#1624882053_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9904322971,""CompletionDate"":1624890128,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5624.893657,""JobPrio"":0,""JobStartDate"":1624946405,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1344164,""MemoryUsage"":1313.6591796875,""JobSimSubmitDate"":1627835393.466223,""JobSimStartDate"":1627836354.908041,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627836289.354972,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",6106cbb96009e8d161680529,[],2,2,131072,131072,compute_haswell,chameleon,0,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",6106cbb9a5078ac36550a70f,[],2,2,131072,131072,compute_haswell,chameleon,0,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",6106cbb9a5078ac36550a710,"[{""GlobalJobId"":""login05_osgconnect_net#11318616_7703#1624862183_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966438531,""CompletionDate"":1624871189,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5610.613916,""JobPrio"":0,""JobStartDate"":1624927481,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1320948,""MemoryUsage"":1290.9873046875,""JobSimSubmitDate"":1627835393.24296,""JobSimStartDate"":1627836349.634113,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319269_3290#1624871815_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9963264711,""CompletionDate"":1624879031,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5231.274131,""JobPrio"":0,""JobStartDate"":1624935702,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348128,""MemoryUsage"":1317.5302734375,""JobSimSubmitDate"":1627835393.2931,""JobSimStartDate"":1627836352.556009,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627836286.8301604,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",6106cbb96009e8d16168052a,"[{""GlobalJobId"":""login05_osgconnect_net#11319269_5648#1624871816_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964354922,""CompletionDate"":1624880954,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5505.072354,""JobPrio"":0,""JobStartDate"":1624937351,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1365704,""MemoryUsage"":1334.6943359375,""JobSimSubmitDate"":1627835393.334497,""JobSimStartDate"":1627836353.641992,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319269_6844#1624871817_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9972825198,""CompletionDate"":1624880902,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5154.009051,""JobPrio"":0,""JobStartDate"":1624937650,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348264,""MemoryUsage"":1317.6630859375,""JobSimSubmitDate"":1627835393.362326,""JobSimStartDate"":1627836353.709189,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627836288.3459456,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6106cbb9a5078ac36550a711,"[{""GlobalJobId"":""scosg16_jlab_org#3699645_61#1625084297_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9971088056,""CompletionDate"":1625119724,""CpusProvisioned"":1,""DiskProvisioned"":5115759,""DiskUsage"":1725721,""DiskUsage_RAW"":75,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7654.4221,""JobPrio"":0,""JobStartDate"":1625163054,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1193524,""MemoryUsage"":1166.5498046875,""JobSimSubmitDate"":1627835385.857544,""JobSimStartDate"":1627836232.103795,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":2.0952546882357255,""WastedCost"":2.0952546882357255,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11318616_7704#1624862183_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966861721,""CompletionDate"":1624871128,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5548.702481,""JobPrio"":0,""JobStartDate"":1624927481,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1350064,""MemoryUsage"":1319.4208984375,""JobSimSubmitDate"":1627835393.242982,""JobSimStartDate"":1627836349.642008,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627836177.7986782,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",6106cbb96009e8d16168052b,"[{""GlobalJobId"":""login05_osgconnect_net#11319825_7236#1624882053_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9945104687,""CompletionDate"":1624890743,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5697.661171,""JobPrio"":0,""JobStartDate"":1624946947,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1439428,""MemoryUsage"":1406.6904296875,""JobSimSubmitDate"":1627835393.583803,""JobSimStartDate"":1627836354.626769,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11320255_6852#1624889415_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9972366181,""CompletionDate"":1624895062,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":1860,""DiskUsage_RAW"":1821,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3353.336201,""JobPrio"":0,""JobStartDate"":1624953610,""JobState"":""Exited"",""MemoryProvisioned"":1024,""ResidentSetSize"":81460,""MemoryUsage"":80.5498046875,""JobSimSubmitDate"":1627835393.638125,""JobSimStartDate"":1627836356.680395,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627836178.2378666,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",6106cbb9a5078ac36550a712,"[{""GlobalJobId"":""login05_osgconnect_net#11319269_3293#1624871815_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9971966082,""CompletionDate"":1624879032,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5229.603998,""JobPrio"":0,""JobStartDate"":1624935705,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1346068,""MemoryUsage"":1315.5185546875,""JobSimSubmitDate"":1627835393.293166,""JobSimStartDate"":1627836352.545428,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319269_6845#1624871817_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959403346,""CompletionDate"":1624881138,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5389.50612,""JobPrio"":0,""JobStartDate"":1624937650,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1320972,""MemoryUsage"":1291.0107421875,""JobSimSubmitDate"":1627835393.362363,""JobSimStartDate"":1627836353.725639,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627835987.5996554,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",6106cbb96009e8d16168052c,"[{""GlobalJobId"":""login04_osgconnect_net#12217639_0#1624861292_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.2141396211,""CompletionDate"":1624875381,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3356499,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9204.710883,""JobPrio"":612,""JobStartDate"":1624928077,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1562020,""MemoryUsage"":1526.4091796875,""JobSimSubmitDate"":1627835393.243129,""JobSimStartDate"":1627836349.937883,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319269_3292#1624871815_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9963257223,""CompletionDate"":1624878949,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5144.881143,""JobPrio"":0,""JobStartDate"":1624935704,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1421956,""MemoryUsage"":1389.6279296875,""JobSimSubmitDate"":1627835393.293135,""JobSimStartDate"":1627836352.555224,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627835986.1462343,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",6106cbb9a5078ac36550a713,"[{""GlobalJobId"":""login05_osgconnect_net#11318616_7708#1624862183_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9989982049,""CompletionDate"":1624871100,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5516.290511,""JobPrio"":0,""JobStartDate"":1624927485,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1349316,""MemoryUsage"":1318.6904296875,""JobSimSubmitDate"":1627835393.243054,""JobSimStartDate"":1627836349.939319,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11319825_1230#1624882048_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9970310171,""CompletionDate"":1624888137,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":62,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5448.983406,""JobPrio"":0,""JobStartDate"":1624944590,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1354768,""MemoryUsage"":1324.0146484375,""JobSimSubmitDate"":1627835393.439569,""JobSimStartDate"":1627836353.445488,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627835986.151529,inuse
