"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 20:29:28,0,0,0
2021-07-29 20:29:30,6.20,1.46,4.74
2021-07-29 20:29:32,7.30,0.730,6.20
2021-07-29 20:29:34,19.0,0.730,17.9
2021-07-29 20:29:36,36.1,0.365,35.4
2021-07-29 20:29:38,47.8,0,47.8
2021-07-29 20:29:40,60.9,2.19,58.8
2021-07-29 20:29:42,70.1,0.365,69.7
2021-07-29 20:29:44,85.4,0,85.4
2021-07-29 20:29:46,96.0,1.46,94.5
2021-07-29 20:29:48,99.6,2.19,97.8
2021-07-29 20:29:50,99.6,2.19,97.8
2021-07-29 20:29:52,99.6,1.82,97.1
2021-07-29 20:29:54,99.6,1.09,98.5
2021-07-29 20:29:56,100,0,100
2021-07-29 20:29:58,99.3,1.09,98.9
2021-07-29 20:30:00,99.6,1.82,98.2
2021-07-29 20:30:02,100,0.365,99.6
2021-07-29 20:30:04,99.6,0.365,99.6
2021-07-29 20:30:06,100,0.730,99.6
2021-07-29 20:30:08,99.6,1.82,98.2
2021-07-29 20:30:10,99.6,3.65,96.0
2021-07-29 20:30:12,100,2.92,97.1
2021-07-29 20:30:14,99.6,2.92,97.1
2021-07-29 20:30:16,99.3,4.38,95.3
2021-07-29 20:30:18,100,4.01,96.0
2021-07-29 20:30:20,99.6,3.65,96.4
2021-07-29 20:30:22,99.6,3.65,96.4
2021-07-29 20:30:24,99.6,4.74,95.3
2021-07-29 20:30:26,99.6,4.74,94.9
2021-07-29 20:30:28,99.6,9.12,90.9
2021-07-29 20:30:30,99.6,8.39,91.6
2021-07-29 20:30:32,99.6,9.85,90.1
2021-07-29 20:30:34,99.3,8.03,92.0
2021-07-29 20:30:36,100,9.12,90.5
2021-07-29 20:30:38,99.6,9.12,90.5
2021-07-29 20:30:40,100,12.4,87.2
2021-07-29 20:30:42,99.3,13.1,86.9
2021-07-29 20:30:44,99.3,13.5,86.5
2021-07-29 20:30:46,99.6,12.8,87.2
2021-07-29 20:30:48,99.6,13.5,86.1
2021-07-29 20:30:50,98.9,8.39,91.2
2021-07-29 20:30:52,100,10.2,89.8
2021-07-29 20:30:54,99.6,9.85,90.1
2021-07-29 20:30:56,99.3,11.3,88.0
2021-07-29 20:30:58,99.6,8.03,92.0
2021-07-29 20:31:00,100,8.03,92.7
2021-07-29 20:31:02,99.3,7.66,92.0
