"Time","unused terminations","success termination","immediate termination"
2021-07-29 19:16:20,,,
2021-07-29 19:16:25,,,
2021-07-29 19:16:30,,,
2021-07-29 19:16:35,,,
2021-07-29 19:16:40,,,
2021-07-29 19:16:45,,,
2021-07-29 19:16:50,,,
2021-07-29 19:16:55,,,
2021-07-29 19:17:00,,,
2021-07-29 19:17:05,,,
2021-07-29 19:17:10,,,
2021-07-29 19:17:15,,,
2021-07-29 19:17:20,,,
2021-07-29 19:17:25,,,
2021-07-29 19:17:30,,,
2021-07-29 19:17:35,,,
2021-07-29 19:17:40,,,
2021-07-29 19:17:45,,,
2021-07-29 19:17:50,,,
2021-07-29 19:17:55,,,
2021-07-29 19:18:00,,,
2021-07-29 19:18:05,,,
2021-07-29 19:18:10,,,
2021-07-29 19:18:15,,,
2021-07-29 19:18:20,,,
2021-07-29 19:18:25,,,
2021-07-29 19:18:30,,,
2021-07-29 19:18:35,,,
2021-07-29 19:18:40,,,
2021-07-29 19:18:45,,,
2021-07-29 19:18:50,,,
2021-07-29 19:18:55,,,
2021-07-29 19:19:00,,,
2021-07-29 19:19:05,,,
2021-07-29 19:19:10,,,
2021-07-29 19:19:15,,,
2021-07-29 19:19:20,,,
2021-07-29 19:19:25,,,
2021-07-29 19:19:30,,,
2021-07-29 19:19:35,,,
2021-07-29 19:19:40,,,
2021-07-29 19:19:45,,,
2021-07-29 19:19:50,,,
2021-07-29 19:19:55,,,
2021-07-29 19:20:00,,,
2021-07-29 19:20:05,,,
2021-07-29 19:20:10,,,
2021-07-29 19:20:15,,,
2021-07-29 19:20:20,,,
2021-07-29 19:20:25,,,
2021-07-29 19:20:30,,,
2021-07-29 19:20:35,,,
2021-07-29 19:20:40,,,
2021-07-29 19:20:45,,,
2021-07-29 19:20:50,,,
2021-07-29 19:20:55,,,
2021-07-29 19:21:00,,,
2021-07-29 19:21:05,,,
2021-07-29 19:21:10,,,
2021-07-29 19:21:15,,,
2021-07-29 19:21:20,,,
2021-07-29 19:21:25,,,
2021-07-29 19:21:30,,,
2021-07-29 19:21:35,,,
2021-07-29 19:21:40,,,
2021-07-29 19:21:45,,,
2021-07-29 19:21:50,,,
2021-07-29 19:21:55,,,
2021-07-29 19:22:00,,,
2021-07-29 19:22:05,,,
2021-07-29 19:22:10,,,
2021-07-29 19:22:15,,,
2021-07-29 19:22:20,,,
2021-07-29 19:22:25,,,
2021-07-29 19:22:30,,,
2021-07-29 19:22:35,,,
2021-07-29 19:22:40,,,
2021-07-29 19:22:45,,,
2021-07-29 19:22:50,,,
2021-07-29 19:22:55,,,
2021-07-29 19:23:00,,,
2021-07-29 19:23:05,,,
2021-07-29 19:23:10,,,
