"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 19:28:56,0,0,0
2021-07-29 19:28:58,4.74,1.09,3.65
2021-07-29 19:29:00,6.57,0.730,5.47
2021-07-29 19:29:02,21.9,0.730,20.8
2021-07-29 19:29:04,38.7,0.365,38.3
2021-07-29 19:29:06,50.7,0.365,50
2021-07-29 19:29:08,65.7,2.19,63.5
2021-07-29 19:29:10,75.9,0.730,75.2
2021-07-29 19:29:12,84.3,0,84.3
2021-07-29 19:29:14,98.9,1.46,97.4
2021-07-29 19:29:16,99.6,2.19,98.2
2021-07-29 19:29:18,99.6,2.55,97.4
2021-07-29 19:29:20,100,1.82,98.2
2021-07-29 19:29:22,99.6,1.09,98.5
2021-07-29 19:29:24,99.6,0,100
2021-07-29 19:29:26,99.6,1.09,98.9
2021-07-29 19:29:28,99.6,1.82,97.8
2021-07-29 19:29:30,100,0.365,99.3
2021-07-29 19:29:32,100,0.730,99.6
2021-07-29 19:29:34,100,1.09,98.9
2021-07-29 19:29:36,99.6,1.82,97.8
2021-07-29 19:29:38,99.3,3.28,96.4
2021-07-29 19:29:40,99.6,2.92,97.1
2021-07-29 19:29:42,100,3.28,97.1
2021-07-29 19:29:44,99.3,4.38,95.6
2021-07-29 19:29:46,99.6,4.01,96.0
2021-07-29 19:29:48,99.6,3.65,96.4
2021-07-29 19:29:50,99.6,3.65,96.4
2021-07-29 19:29:52,99.3,4.74,95.3
2021-07-29 19:29:54,99.6,4.74,95.3
2021-07-29 19:29:56,99.3,8.76,91.2
2021-07-29 19:29:58,99.6,9.12,90.9
2021-07-29 19:30:00,99.6,9.49,90.1
2021-07-29 19:30:02,99.3,8.76,91.2
2021-07-29 19:30:04,99.6,9.49,90.1
2021-07-29 19:30:06,99.6,9.85,90.1
2021-07-29 19:30:08,99.6,12.4,87.2
2021-07-29 19:30:10,98.9,13.1,86.9
2021-07-29 19:30:12,100,13.1,87.6
2021-07-29 19:30:14,99.6,12.8,87.2
2021-07-29 19:30:16,99.3,14.2,85.8
2021-07-29 19:30:18,99.6,8.39,91.2
2021-07-29 19:30:20,100,10.9,89.1
2021-07-29 19:30:22,99.3,9.85,89.4
2021-07-29 19:30:24,99.6,11.3,88.0
2021-07-29 19:30:26,99.6,7.66,92.0
2021-07-29 19:30:28,100,8.03,92.7
2021-07-29 19:30:30,99.6,7.66,92.3
2021-07-29 19:30:32,99.6,7.66,92.3
2021-07-29 19:30:34,98.9,8.39,91.2
2021-07-29 19:30:36,99.6,17.9,81.4
2021-07-29 19:30:38,99.6,20.1,79.6
2021-07-29 19:30:40,99.6,21.2,78.5
2021-07-29 19:30:42,100,19.7,79.6
2021-07-29 19:30:44,98.5,14.6,85.0
2021-07-29 19:30:46,99.6,13.9,86.1
2021-07-29 19:30:48,99.6,15.3,84.3
2021-07-29 19:30:50,100,13.9,85.8
2021-07-29 19:30:52,99.6,13.9,86.1
2021-07-29 19:30:54,99.6,13.9,86.1
2021-07-29 19:30:56,99.6,15.3,84.7
2021-07-29 19:30:58,99.3,13.1,86.5
2021-07-29 19:31:00,99.6,14.6,85.4
2021-07-29 19:31:02,99.6,15.0,85.0
2021-07-29 19:31:04,99.6,15.7,83.9
2021-07-29 19:31:06,99.6,14.6,85.4
2021-07-29 19:31:08,98.9,14.2,84.3
2021-07-29 19:31:10,99.6,16.1,83.6
2021-07-29 19:31:12,99.6,17.2,82.5
2021-07-29 19:31:14,99.3,15.7,84.3
2021-07-29 19:31:16,99.6,15.3,84.7
2021-07-29 19:31:18,99.6,15.7,84.3
2021-07-29 19:31:20,99.6,16.4,83.6
2021-07-29 19:31:22,99.6,15.3,84.3
2021-07-29 19:31:24,99.6,15.7,84.3
2021-07-29 19:31:26,99.3,13.5,86.5
2021-07-29 19:31:28,99.3,13.1,86.5
2021-07-29 19:31:30,100,13.1,86.9
2021-07-29 19:31:32,99.3,14.6,86.1
2021-07-29 19:31:34,100,12.0,87.2
2021-07-29 19:31:36,99.6,12.8,88.0
2021-07-29 19:31:38,99.3,13.5,86.1
2021-07-29 19:31:40,99.6,15.3,84.7
2021-07-29 19:31:42,99.6,17.9,82.1
2021-07-29 19:31:44,98.5,20.1,79.9
2021-07-29 19:31:46,99.6,19.0,81.8
2021-07-29 19:31:48,99.3,18.2,81.4
2021-07-29 19:31:50,99.3,17.2,82.5
