"Time","unused terminations","success termination","immediate termination"
2021-07-29 19:56:25,,,
2021-07-29 19:56:30,,,
2021-07-29 19:56:35,,,
2021-07-29 19:56:40,,,
2021-07-29 19:56:45,,,
2021-07-29 19:56:50,,,
2021-07-29 19:56:55,,,
2021-07-29 19:57:00,,,
2021-07-29 19:57:05,,,
2021-07-29 19:57:10,,,
2021-07-29 19:57:15,,,
2021-07-29 19:57:20,,,
2021-07-29 19:57:25,,,
2021-07-29 19:57:30,,,
2021-07-29 19:57:35,,,
2021-07-29 19:57:40,,,
2021-07-29 19:57:45,,,
2021-07-29 19:57:50,,,
2021-07-29 19:57:55,,,
2021-07-29 19:58:00,,,
2021-07-29 19:58:05,,,
2021-07-29 19:58:10,,,
2021-07-29 19:58:15,,,
2021-07-29 19:58:20,,,
2021-07-29 19:58:25,,,
2021-07-29 19:58:30,,,
2021-07-29 19:58:35,,,
2021-07-29 19:58:40,,,
2021-07-29 19:58:45,,,
2021-07-29 19:58:50,,,
2021-07-29 19:58:55,,,
2021-07-29 19:59:00,,,
2021-07-29 19:59:05,,,
2021-07-29 19:59:10,,,
2021-07-29 19:59:15,,,
2021-07-29 19:59:20,,,
2021-07-29 19:59:25,,,
2021-07-29 19:59:30,,,
2021-07-29 19:59:35,,,
2021-07-29 19:59:40,,,
2021-07-29 19:59:45,,,
2021-07-29 19:59:50,,,
2021-07-29 19:59:55,,,
2021-07-29 20:00:00,,,
2021-07-29 20:00:05,,,
2021-07-29 20:00:10,,,
2021-07-29 20:00:15,,,
2021-07-29 20:00:20,,,
2021-07-29 20:00:25,,,
2021-07-29 20:00:30,,,
2021-07-29 20:00:35,,,
2021-07-29 20:00:40,,,
2021-07-29 20:00:45,,,
2021-07-29 20:00:50,,,
2021-07-29 20:00:55,,,
2021-07-29 20:01:00,,,
2021-07-29 20:01:05,,,
2021-07-29 20:01:10,,,
2021-07-29 20:01:15,,,
2021-07-29 20:01:20,,,
2021-07-29 20:01:25,,,
2021-07-29 20:01:30,,,
2021-07-29 20:01:35,,,
2021-07-29 20:01:40,,,
2021-07-29 20:01:45,,,
2021-07-29 20:01:50,,,
2021-07-29 20:01:55,,,
2021-07-29 20:02:00,,,
2021-07-29 20:02:05,,,
2021-07-29 20:02:10,,,
2021-07-29 20:02:15,,,
2021-07-29 20:02:20,,,
2021-07-29 20:02:25,,,
2021-07-29 20:02:30,,,
2021-07-29 20:02:35,,,
2021-07-29 20:02:40,,,
2021-07-29 20:02:45,,,
2021-07-29 20:02:50,,,
2021-07-29 20:02:55,,,
2021-07-29 20:03:00,,,
2021-07-29 20:03:05,,,
2021-07-29 20:03:10,,,
2021-07-29 20:03:15,,,
2021-07-29 20:03:20,,,
2021-07-29 20:03:25,,,
2021-07-29 20:03:30,,,
2021-07-29 20:03:35,,,
2021-07-29 20:03:40,,,
2021-07-29 20:03:45,,,
2021-07-29 20:03:50,,,
2021-07-29 20:03:55,,,
2021-07-29 20:04:00,,,
2021-07-29 20:04:05,,,
2021-07-29 20:04:10,,,
2021-07-29 20:04:15,,,
2021-07-29 20:04:20,,,
2021-07-29 20:04:25,,,
2021-07-29 20:04:30,,,
2021-07-29 20:04:35,,,
2021-07-29 20:04:40,,,
2021-07-29 20:04:45,,,
2021-07-29 20:04:50,,,
2021-07-29 20:04:55,,,
2021-07-29 20:05:00,,,
2021-07-29 20:05:05,,,
2021-07-29 20:05:10,,,
2021-07-29 20:05:15,,,
2021-07-29 20:05:20,,,
2021-07-29 20:05:25,,,
2021-07-29 20:05:30,,,
2021-07-29 20:05:35,,,
2021-07-29 20:05:40,,,
2021-07-29 20:05:45,,,
2021-07-29 20:05:50,,,
2021-07-29 20:05:55,,,
2021-07-29 20:06:00,,,
2021-07-29 20:06:05,,,
2021-07-29 20:06:10,,,
2021-07-29 20:06:15,,,
2021-07-29 20:06:20,,,
2021-07-29 20:06:25,,,
2021-07-29 20:06:30,,,
2021-07-29 20:06:35,,,
2021-07-29 20:06:40,,,
2021-07-29 20:06:45,,,
2021-07-29 20:06:50,,,
2021-07-29 20:06:55,,,
2021-07-29 20:07:00,,,
2021-07-29 20:07:05,,,
2021-07-29 20:07:10,,,
2021-07-29 20:07:15,,,
2021-07-29 20:07:20,,,
2021-07-29 20:07:25,,,
2021-07-29 20:07:30,,,
2021-07-29 20:07:35,,,
2021-07-29 20:07:40,,,
2021-07-29 20:07:45,,,
2021-07-29 20:07:50,,,
2021-07-29 20:07:55,,,
2021-07-29 20:08:00,,,
2021-07-29 20:08:05,,,
2021-07-29 20:08:10,,,
2021-07-29 20:08:15,,,
2021-07-29 20:08:20,,,
2021-07-29 20:08:25,,,
2021-07-29 20:08:30,,,
2021-07-29 20:08:35,,,
2021-07-29 20:08:40,,,
2021-07-29 20:08:45,,,
2021-07-29 20:08:50,,,
2021-07-29 20:08:55,,,
2021-07-29 20:09:00,,,
2021-07-29 20:09:05,,,
2021-07-29 20:09:10,,,
2021-07-29 20:09:15,0,0,0
2021-07-29 20:09:20,0,0,0
2021-07-29 20:09:25,0,0,0
2021-07-29 20:09:30,0,0,0
2021-07-29 20:09:35,0,0,0
2021-07-29 20:09:40,0,0,0
2021-07-29 20:09:45,0,0,0
2021-07-29 20:09:50,0,0,0
2021-07-29 20:09:55,0,0,0
2021-07-29 20:10:00,0,0,0
2021-07-29 20:10:05,0,0,0
2021-07-29 20:10:10,1,4,2
2021-07-29 20:10:15,1,12,6
2021-07-29 20:10:20,1,21,9
2021-07-29 20:10:25,1,29,20
2021-07-29 20:10:30,1,39,22
2021-07-29 20:10:35,1,45,25
2021-07-29 20:10:40,1,55,29
2021-07-29 20:10:45,3,61,29
2021-07-29 20:10:50,4,67,39
2021-07-29 20:10:55,4,75,68
2021-07-29 20:11:00,4,83,68
2021-07-29 20:11:05,4,91,72
2021-07-29 20:11:10,4,100,73
2021-07-29 20:11:15,4,107,79
2021-07-29 20:11:20,4,117,85
2021-07-29 20:11:25,4,126,90
2021-07-29 20:11:30,4,136,94
2021-07-29 20:11:35,4,143,96
2021-07-29 20:11:40,4,152,97
