EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",6103513c0b779f344790b462,"[{""GlobalJobId"":""login05_osgconnect_net#11283452_4717#1624592198_round_2"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.6296570739,""CompletionDate"":1624618696,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":33,""DiskUsage_RAW"":31,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":118.845959,""JobPrio"":0,""JobStartDate"":1624628892,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":65092,""MemoryUsage"":64.5654296875,""JobSimSubmitDate"":1627607368.016929,""JobSimStartDate"":1627607493.070848,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12319766_0#1625107082_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9976890057,""CompletionDate"":1625119424,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5352.053071,""JobPrio"":0,""JobStartDate"":1625165656,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":196472,""MemoryUsage"":192.8662109375,""JobSimSubmitDate"":1627607422.02173,""JobSimStartDate"":1627608327.880929,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627607360.3654366,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",6103513cb9611cede665ef4e,"[{""GlobalJobId"":""login05_osgconnect_net#11330335_3692#1625107783_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.993115274,""CompletionDate"":1625114090,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":62,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5081.712921,""JobPrio"":0,""JobStartDate"":1625160594,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1351516,""MemoryUsage"":1320.8388671875,""JobSimSubmitDate"":1627607421.953527,""JobSimStartDate"":1627608325.813068,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11329887_11530#1625116082_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9946158835,""CompletionDate"":1625129107,""CpusProvisioned"":1,""DiskProvisioned"":2344721,""DiskUsage"":14518,""DiskUsage_RAW"":11450,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":6737.219862,""JobPrio"":0,""JobStartDate"":1625173955,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":212396,""MemoryUsage"":208.4169921875,""JobSimSubmitDate"":1627607422.22909,""JobSimStartDate"":1627608330.800775,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627607356.8812306,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",6103513c0b779f344790b463,"[{""GlobalJobId"":""login05_osgconnect_net#11330335_3691#1625107783_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9857195438,""CompletionDate"":1625114758,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5548.995341,""JobPrio"":0,""JobStartDate"":1625160794,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1354588,""MemoryUsage"":1323.8388671875,""JobSimSubmitDate"":1627607421.95521,""JobSimStartDate"":1627608326.782455,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""scosg16_jlab_org#3699627_19#1625083187_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.999310327,""CompletionDate"":1625121223,""CpusProvisioned"":1,""DiskProvisioned"":5115754,""DiskUsage"":1401640,""DiskUsage_RAW"":288403,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9942.421946,""JobPrio"":0,""JobStartDate"":1625162265,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1186992,""MemoryUsage"":1160.1708984375,""JobSimSubmitDate"":1627607421.982503,""JobSimStartDate"":1627608327.343928,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627607356.9085577,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",6103513cb9611cede665ef4f,"[{""GlobalJobId"":""login05_osgconnect_net#11324700_6381#1625100896_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0113412524,""CompletionDate"":1625105008,""CpusProvisioned"":1,""DiskProvisioned"":15986747,""DiskUsage"":33,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3802.345876,""JobPrio"":0,""JobStartDate"":1625152790,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":139464,""MemoryUsage"":137.1943359375,""JobSimSubmitDate"":1627607421.801198,""JobSimStartDate"":1627608322.795784,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324700_6405#1625101094_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0073064191,""CompletionDate"":1625104783,""CpusProvisioned"":1,""DiskProvisioned"":15986747,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3572.932972,""JobPrio"":0,""JobStartDate"":1625152795,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":134008,""MemoryUsage"":131.8662109375,""JobSimSubmitDate"":1627607421.801233,""JobSimStartDate"":1627608322.843336,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,122880,131072,compute_haswell,osg,1627607356.9137347,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",6103513c0b779f344790b464,"[{""GlobalJobId"":""login04_osgconnect_net#12319582_0#1625106951_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9935626761,""CompletionDate"":1625120080,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5618.302169,""JobPrio"":0,""JobStartDate"":1625166046,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":195872,""MemoryUsage"":192.2802734375,""JobSimSubmitDate"":1627607422.044434,""JobSimStartDate"":1627608328.288542,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12319807_0#1625107091_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9863675146,""CompletionDate"":1625120433,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5726.744902,""JobPrio"":0,""JobStartDate"":1625166291,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":197644,""MemoryUsage"":194.0107421875,""JobSimSubmitDate"":1627607422.0489,""JobSimStartDate"":1627608328.328575,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627607356.990294,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6103513cb9611cede665ef50,"[{""GlobalJobId"":""login05_osgconnect_net#11330087_7149#1625094550_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9990869408,""CompletionDate"":1625109554,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5462.935856,""JobPrio"":0,""JobStartDate"":1625155676,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1445992,""MemoryUsage"":1413.1005859375,""JobSimSubmitDate"":1627607421.870534,""JobSimStartDate"":1627608324.109203,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11329887_6892#1625096450_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9945966768,""CompletionDate"":1625114306,""CpusProvisioned"":1,""DiskProvisioned"":2344723,""DiskUsage"":15585,""DiskUsage_RAW"":11450,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":9459.80506,""JobPrio"":0,""JobStartDate"":1625156431,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":198656,""MemoryUsage"":194.9990234375,""JobSimSubmitDate"":1627607421.8706,""JobSimStartDate"":1627608324.169258,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627607356.993679,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",6103513c0b779f344790b465,"[{""GlobalJobId"":""login05_osgconnect_net#11324700_6516#1625101172_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0264501928,""CompletionDate"":1625105622,""CpusProvisioned"":1,""DiskProvisioned"":15986730,""DiskUsage"":33,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4492.007477,""JobPrio"":0,""JobStartDate"":1625152715,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":136048,""MemoryUsage"":133.8583984375,""JobSimSubmitDate"":1627607421.79317,""JobSimStartDate"":1627608322.794565,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11330503_200#1625115014_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9977721114,""CompletionDate"":1625121117,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5406.752352,""JobPrio"":0,""JobStartDate"":1625167293,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1355128,""MemoryUsage"":1324.3662109375,""JobSimSubmitDate"":1627607422.070173,""JobSimStartDate"":1627608328.641034,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627607356.991195,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",6103513cb9611cede665ef51,"[{""GlobalJobId"":""login05_osgconnect_net#11330335_3771#1625107783_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9928727936,""CompletionDate"":1625113934,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4919.541354,""JobPrio"":0,""JobStartDate"":1625160599,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1350736,""MemoryUsage"":1320.0771484375,""JobSimSubmitDate"":1627607421.95357,""JobSimStartDate"":1627608325.788524,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.024277696809487916,""WastedCost"":0.024277696809487916,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11330503_40#1625115014_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968302871,""CompletionDate"":1625120827,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5556.538498,""JobPrio"":0,""JobStartDate"":1625166853,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1444828,""MemoryUsage"":1411.9638671875,""JobSimSubmitDate"":1627607422.070105,""JobSimStartDate"":1627608328.898892,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627607357.0415475,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",6103513c0b779f344790b466,"[{""GlobalJobId"":""login04_osgconnect_net#12322263_0#1625111183_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0097959685,""CompletionDate"":1625125420,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5498.592614,""JobPrio"":0,""JobStartDate"":1625171506,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":197016,""MemoryUsage"":193.3974609375,""JobSimSubmitDate"":1627607422.133344,""JobSimStartDate"":1627608329.592724,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12322121_0#1625110606_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964280329,""CompletionDate"":1625124814,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5315.526297,""JobPrio"":0,""JobStartDate"":1625171083,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":193560,""MemoryUsage"":190.0224609375,""JobSimSubmitDate"":1627607422.122119,""JobSimStartDate"":1627608330.431817,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627607357.0423572,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",6103513cb9611cede665ef52,"[{""GlobalJobId"":""login05_osgconnect_net#11330087_2429#1625094547_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9946863849,""CompletionDate"":1625108561,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":62,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5437.096993,""JobPrio"":0,""JobStartDate"":1625154709,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348004,""MemoryUsage"":1317.4091796875,""JobSimSubmitDate"":1627607421.851218,""JobSimStartDate"":1627608323.883834,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":1,""TotalCost"":0.11505723728114098,""WastedCost"":0.11505723728114098,""Machine"":null,""action"":""start""},{""GlobalJobId"":""login05_osgconnect_net#11330748_13#1625119989_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.2106673275,""CompletionDate"":1625123385,""CpusProvisioned"":1,""DiskProvisioned"":6607849,""DiskUsage"":657599,""DiskUsage_RAW"":415404,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":26.283737,""JobPrio"":0,""JobStartDate"":1625174942,""JobState"":""Exited"",""MemoryProvisioned"":15360,""ResidentSetSize"":111876,""MemoryUsage"":110.2529296875,""JobSimSubmitDate"":1627607422.22933,""JobSimStartDate"":1627608330.996568,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,112640,131072,compute_haswell,osg,1627607357.0471346,inuse
