"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 20:09:16,4.45,0.405,4.05
2021-07-29 20:09:18,4.74,1.09,3.65
2021-07-29 20:09:20,21.5,0.730,20.8
2021-07-29 20:09:22,37.2,1.09,36.5
2021-07-29 20:09:24,49.3,0.365,48.9
2021-07-29 20:09:26,63.1,1.09,62.0
2021-07-29 20:09:28,71.9,1.09,70.8
2021-07-29 20:09:30,79.9,0,79.9
2021-07-29 20:09:32,93.4,0.365,93.1
2021-07-29 20:09:34,100,2.19,98.2
2021-07-29 20:09:36,99.6,1.82,98.2
2021-07-29 20:09:38,99.6,2.92,97.1
2021-07-29 20:09:40,100,2.19,98.2
2021-07-29 20:09:42,99.6,0,100
2021-07-29 20:09:44,99.6,0.730,99.3
2021-07-29 20:09:46,99.6,1.82,98.2
2021-07-29 20:09:48,100,0.365,99.6
2021-07-29 20:09:50,99.6,0.730,99.3
2021-07-29 20:09:52,100,0.730,99.6
2021-07-29 20:09:54,99.6,1.82,98.2
2021-07-29 20:09:56,99.6,1.82,97.8
2021-07-29 20:09:58,100,2.92,97.1
2021-07-29 20:10:00,99.6,2.92,97.1
2021-07-29 20:10:02,99.6,4.38,95.6
2021-07-29 20:10:04,99.6,2.92,97.1
2021-07-29 20:10:06,99.6,3.65,96.4
2021-07-29 20:10:08,99.6,3.65,96.4
2021-07-29 20:10:10,99.6,4.38,96.4
2021-07-29 20:10:12,99.6,4.38,95.6
2021-07-29 20:10:14,99.6,3.65,96.4
2021-07-29 20:10:16,99.6,8.39,91.6
2021-07-29 20:10:18,99.6,9.49,90.1
2021-07-29 20:10:20,99.6,8.39,91.2
2021-07-29 20:10:22,100,8.03,92.0
2021-07-29 20:10:24,99.6,9.12,90.9
2021-07-29 20:10:26,99.6,10.2,89.4
2021-07-29 20:10:28,99.6,11.7,88.3
2021-07-29 20:10:30,99.3,13.1,86.9
2021-07-29 20:10:32,99.6,12.4,88.3
2021-07-29 20:10:34,99.6,13.5,86.5
2021-07-29 20:10:36,98.9,8.03,90.9
2021-07-29 20:10:38,99.6,7.66,92.3
2021-07-29 20:10:40,99.3,9.49,90.5
2021-07-29 20:10:42,99.6,10.6,89.4
2021-07-29 20:10:44,97.4,7.30,90.5
2021-07-29 20:10:46,100,7.30,93.1
2021-07-29 20:10:48,100,7.30,92.3
2021-07-29 20:10:50,99.6,6.93,93.1
2021-07-29 20:10:52,99.6,8.39,91.6
2021-07-29 20:10:54,100,14.2,85.8
2021-07-29 20:10:56,99.6,20.1,79.9
2021-07-29 20:10:58,99.6,20.4,79.2
2021-07-29 20:11:00,99.3,19.3,80.3
2021-07-29 20:11:02,96.4,13.5,83.6
2021-07-29 20:11:04,99.6,13.9,86.5
2021-07-29 20:11:06,100,14.6,85.4
2021-07-29 20:11:08,99.3,13.5,86.1
2021-07-29 20:11:10,99.6,14.6,85.4
2021-07-29 20:11:12,100,14.2,86.5
2021-07-29 20:11:14,99.6,14.6,85.4
2021-07-29 20:11:16,99.3,13.5,86.5
2021-07-29 20:11:18,99.6,13.9,86.1
2021-07-29 20:11:20,99.6,14.6,85.0
2021-07-29 20:11:22,100,15.3,84.7
2021-07-29 20:11:24,99.3,14.2,85.4
2021-07-29 20:11:26,99.6,15.3,85.0
2021-07-29 20:11:28,99.6,15.7,83.9
2021-07-29 20:11:30,100,16.4,83.6
2021-07-29 20:11:32,99.3,15.3,84.3
2021-07-29 20:11:34,99.6,15.0,84.7
2021-07-29 20:11:36,99.6,15.7,85.0
2021-07-29 20:11:38,99.6,16.1,83.9
2021-07-29 20:11:40,99.3,15.0,84.3
2021-07-29 20:11:42,99.6,15.7,85.0
2021-07-29 20:11:44,98.9,13.1,85.8
2021-07-29 20:11:46,100,12.8,86.9
2021-07-29 20:11:48,99.3,12.8,86.5
2021-07-29 20:11:50,99.3,13.9,86.1
2021-07-29 20:11:52,100,12.8,87.2
2021-07-29 20:11:54,99.6,11.7,88.0
2021-07-29 20:11:56,99.6,13.1,86.9
2021-07-29 20:11:58,100,14.6,85.4
2021-07-29 20:12:00,99.6,17.5,82.5
2021-07-29 20:12:02,98.5,19.7,79.9
2021-07-29 20:12:04,99.6,17.2,81.4
2021-07-29 20:12:06,99.3,17.9,81.4
2021-07-29 20:12:08,99.3,16.8,83.2
2021-07-29 20:12:10,99.3,15.3,84.3
2021-07-29 20:12:12,99.3,13.5,86.1
2021-07-29 20:12:14,99.6,11.7,88.3
2021-07-29 20:12:16,97.1,4.74,92.3
2021-07-29 20:12:18,99.3,3.65,96.4
2021-07-29 20:12:20,99.3,5.11,94.2
2021-07-29 20:12:22,100,5.11,94.9
2021-07-29 20:12:24,98.9,2.19,96.7
2021-07-29 20:12:26,100,4.01,96.0
2021-07-29 20:12:28,99.3,4.74,94.5
2021-07-29 20:12:30,99.6,4.38,95.6
2021-07-29 20:12:32,99.3,3.65,96.4
2021-07-29 20:12:34,99.6,5.47,94.5
2021-07-29 20:12:36,99.6,4.38,95.6
2021-07-29 20:12:38,99.3,10.9,88.7
2021-07-29 20:12:40,99.3,11.7,89.1
2021-07-29 20:12:42,99.3,9.12,90.5
2021-07-29 20:12:44,100,10.9,89.1
2021-07-29 20:12:46,99.3,11.3,88.3
2021-07-29 20:12:48,99.6,12.4,88.7
2021-07-29 20:12:50,99.3,12.8,86.9
2021-07-29 20:12:52,100,12.4,87.6
2021-07-29 20:12:54,99.6,11.7,88.3
2021-07-29 20:12:56,99.3,11.3,88.7
2021-07-29 20:12:58,99.6,11.7,88.3
2021-07-29 20:13:00,99.3,12.4,87.2
2021-07-29 20:13:02,99.3,12.0,88.0
2021-07-29 20:13:04,99.3,21.2,78.5
2021-07-29 20:13:06,99.3,21.5,78.1
2021-07-29 20:13:08,98.9,20.4,79.6
2021-07-29 20:13:10,100,21.5,78.5
2021-07-29 20:13:12,99.6,50.7,48.9
2021-07-29 20:13:14,99.3,52.6,46.7
2021-07-29 20:13:16,99.3,53.6,46.4
2021-07-29 20:13:18,99.6,79.9,19.7
2021-07-29 20:13:20,76.6,54.0,22.6
2021-07-29 20:13:22,95.3,56.6,38.7
2021-07-29 20:13:24,99.6,60.2,39.1
2021-07-29 20:13:26,83.6,33.2,50
2021-07-29 20:13:28,94.2,35.8,57.7
2021-07-29 20:13:30,98.9,59.5,39.8
2021-07-29 20:13:32,99.3,82.5,17.2
2021-07-29 20:13:34,98.9,79.2,19.7
2021-07-29 20:13:36,79.2,52.9,26.3
2021-07-29 20:13:38,90.5,49.3,41.2
2021-07-29 20:13:40,77.0,24.8,52.2
2021-07-29 20:13:42,88.3,27.0,61.3
2021-07-29 20:13:44,98.2,24.8,73.0
2021-07-29 20:13:46,99.6,52.6,47.4
2021-07-29 20:13:48,98.9,52.6,47.4
2021-07-29 20:13:50,99.6,56.2,43.4
2021-07-29 20:13:52,99.6,59.1,40.5
2021-07-29 20:13:54,98.9,54.7,44.2
2021-07-29 20:13:56,79.9,25.9,53.3
2021-07-29 20:13:58,86.1,24.8,60.9
2021-07-29 20:14:00,94.2,22.3,71.5
2021-07-29 20:14:02,99.6,21.2,78.5
2021-07-29 20:14:04,98.5,19.3,80.7
2021-07-29 20:14:06,90.9,9.85,81.8
2021-07-29 20:14:08,96.4,7.30,89.1
2021-07-29 20:14:10,99.6,7.66,93.1
2021-07-29 20:14:12,99.3,6.20,93.8
2021-07-29 20:14:14,98.9,21.9,78.1
2021-07-29 20:14:16,99.3,23.7,76.3
2021-07-29 20:14:18,88.7,8.76,80.3
2021-07-29 20:14:20,97.4,7.66,89.8
2021-07-29 20:14:22,99.3,5.84,94.2
2021-07-29 20:14:24,99.6,4.38,95.3
2021-07-29 20:14:26,99.3,3.28,96.4
2021-07-29 20:14:28,98.9,2.92,96.0
2021-07-29 20:14:30,99.6,4.38,95.6
2021-07-29 20:14:32,100,3.28,96.0
2021-07-29 20:14:34,99.3,23.7,76.3
2021-07-29 20:14:36,99.6,24.1,75.9
2021-07-29 20:14:38,99.6,24.1,75.9
2021-07-29 20:14:40,99.6,23.0,76.6
2021-07-29 20:14:42,98.9,25.2,74.8
2021-07-29 20:14:44,99.6,25.5,74.5
2021-07-29 20:14:46,99.6,24.5,75.2
2021-07-29 20:14:48,99.3,25.9,74.1
2021-07-29 20:14:50,99.6,28.5,71.5
2021-07-29 20:14:52,100,29.6,70.4
2021-07-29 20:14:54,99.6,28.5,71.5
2021-07-29 20:14:56,99.6,31.8,68.2
2021-07-29 20:14:58,100,34.7,65.3
2021-07-29 20:15:00,99.6,35.8,64.2
2021-07-29 20:15:02,98.9,34.3,64.2
2021-07-29 20:15:04,99.3,34.7,66.4
2021-07-29 20:15:06,99.6,32.1,67.9
2021-07-29 20:15:08,100,29.2,70.8
2021-07-29 20:15:10,99.6,33.9,65.7
2021-07-29 20:15:12,100,44.2,55.8
2021-07-29 20:15:14,99.6,54.0,46.0
2021-07-29 20:15:16,99.6,65.7,33.9
2021-07-29 20:15:18,99.3,69.3,29.6
2021-07-29 20:15:20,99.3,70.1,29.9
2021-07-29 20:15:22,98.9,68.2,29.6
2021-07-29 20:15:24,99.6,77.0,23.0
2021-07-29 20:15:26,98.9,74.8,24.1
2021-07-29 20:15:28,90.9,58.0,32.8
2021-07-29 20:15:30,87.2,41.2,46.4
