lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
616617ec3345dae069762a3da637519a,273c67bff1d74021f9e1852a9a3c8fc0,f846bdc98852d8f822535d98bc31ccee,2016-10-26 16:42:55,2016-10-26 16:51:54,2016-10-26 19:00:00,2016-10-26 20:00:00,completed,2,"[""="", ""$node_type"", ""compute""]",2-2,compute
4a95a35ea706701bd169a980b8e19ab1,3cfb13287815d51c5a747b232f312f65,1259290f35f0de6209c542b86f6e6e78,2016-11-01 01:49:31,2016-11-09 20:20:30,2016-11-01 06:30:00,2016-11-07 23:59:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
df2ca954d36a4e2c5a0d1ed98cf604e8,b8db4174800bf470d0827be549b4f87a,ef2da8dfc88e4cb7a41f2cdbdd2eebaa,2016-11-01 09:19:09,2016-11-14 20:02:09,2016-11-01 11:00:00,2016-11-08 10:59:00,completed,3,"[""="", ""$node_type"", ""compute""]",1-3,compute
3c26267bcd9b237624f8a11bbf0c6a97,e01ae3122ada3f92e792a54413c2ba38,f52054649ef644eb5be56f3249c303df,2016-10-31 17:34:37,2016-11-07 19:16:49,2016-11-01 13:00:00,2016-11-07 13:00:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
25452867f42ee5b2d5e9a1454878d75e,cdfa9e732cbefd06ca74b9c66e4d23f6,7c70f5fe1d1ae5f9e3afc123590e815b,2016-11-02 21:44:40,2016-11-02 21:46:11,2016-11-03 02:45:00,2016-11-09 18:00:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
a0c18366ef24055566367888c4228495,d79a64ad06b4569c01b79595b62207fb,91ce9948bd806abe8e508fb497b2519b,2016-11-02 14:12:00,2016-11-02 14:13:10,2016-11-03 05:05:00,2016-11-10 06:01:00,completed,31,"[""="", ""$node_type"", ""compute""]",31-31,compute
6af5e41cf0bfeb4e32d83adf4e5c26e2,d79a64ad06b4569c01b79595b62207fb,91ce9948bd806abe8e508fb497b2519b,2016-11-02 13:26:11,2016-11-02 14:10:57,2016-11-03 05:05:00,2016-11-10 06:01:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
92e1f72967a1f0cf2f7f41cc193ccd38,b2eaf4c6c3022e6d0ef350e23a02ba90,6b8fc80406b03ebf1e72b7afa8b6f0ef,2016-11-03 14:30:40,2016-11-09 14:47:28,2016-11-03 15:00:00,2016-11-09 04:00:00,completed,4,"[""="", ""$node_type"", ""compute""]",4-4,compute
0fb566b8e6e6196d292d3183e7909a3e,2827662d028624c33f2220b86055d318,8f1f7808db8e213585721d8b86b61e22,2016-11-03 17:47:19,2016-11-18 20:48:31,2016-11-03 18:00:00,2016-11-10 18:00:00,completed,5,"[""="", ""$node_type"", ""compute""]",1-5,compute
3169c37bba8e63f10125c5750d098a93,b2eaf4c6c3022e6d0ef350e23a02ba90,1ab1e35afedcdf77d558c8f97f9332b9,2016-11-03 21:14:46,2016-11-06 01:56:29,2016-11-03 22:50:00,2016-11-05 04:30:00,completed,6,"[""="", ""$node_type"", ""compute""]",6-6,compute
7deb14ebe017794b4aa9d25319800059,5cdf60b8314d74a22e8b165764e8554f,650cf76dea3a0e2ae6f6902f53dc96e4,2016-11-03 22:46:52,2016-11-03 22:47:58,2016-11-03 23:00:00,2016-11-10 23:00:00,completed,2,"[""="", ""$node_type"", ""compute""]",2-2,compute
eb48b7bfa4e43be2486b1ab54ae74333,b2eaf4c6c3022e6d0ef350e23a02ba90,70c761730b846e22433cf231fe2c7d81,2016-11-02 02:45:45,2016-11-02 02:47:59,2016-11-04 01:00:00,2016-11-09 17:00:00,completed,2,"[""="", ""$node_type"", ""compute""]",2-2,compute
940c3a90849a35d1641c1ae1fcd38f0e,02b6a653b8592040ca9f8ba4d4ec8c2d,153f4d39cd8e7664d1e59eb8fac129aa,2016-11-05 18:49:53,2016-11-11 21:15:42,2016-11-05 19:30:00,2016-11-12 19:00:00,completed,4,"[""="", ""$node_type"", ""compute""]",4-4,compute
f8aed0b380964a2c15f103d2f48b65d6,5cf42b9070c79e847beadc58dc0ce25f,38b909f85788ef4be549e79f1327d855,2016-11-04 22:16:41,2016-11-29 22:52:34,2016-11-06 01:00:00,2016-11-06 17:00:00,completed,4,"[""="", ""$node_type"", ""compute""]",2-4,compute
66ecca06dc6b7d1c409a726e0eda5a89,190564f38b3bb625af04cd043cad9939,91369a38044f7848309442fbc596531e,2016-11-06 08:10:35,2016-11-15 15:14:43,2016-11-06 11:00:00,2016-11-13 11:00:00,completed,2,"[""="", ""$node_type"", ""compute""]",1-2,compute
989cc4a55a63c9509eb2fdd250a31254,e01ae3122ada3f92e792a54413c2ba38,f52054649ef644eb5be56f3249c303df,2016-11-07 19:23:07,2017-02-27 18:50:25,2016-11-08 00:00:00,2016-11-14 00:00:00,completed,3,"[""="", ""$node_type"", ""compute""]",1-3,compute
24bc61eef7985651f0a86a40d5e7ee1a,190564f38b3bb625af04cd043cad9939,3305b67efe77c46b1bc72d22ae289073,2016-11-08 18:08:19,2016-11-18 19:20:01,2016-11-08 19:08:00,2016-11-15 18:07:00,completed,2,"[""="", ""$node_type"", ""compute""]",1-2,compute
986c0bae157790bc90f7f27413df10c8,d79a64ad06b4569c01b79595b62207fb,3a64e23985e1a931a725afd202a72c6a,2016-11-08 21:02:11,2016-11-10 16:01:02,2016-11-10 06:00:00,2016-11-11 05:59:00,completed,60,"[""="", ""$node_type"", ""compute""]",60-60,compute
3d1ef4f105f6a8c2c7e9890e4b4d7a8c,3cfb13287815d51c5a747b232f312f65,e3c05dd13a18270e5127f3a149e35a88,2016-11-09 20:20:54,2016-11-22 15:19:37,2016-11-10 09:00:00,2016-11-16 23:59:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
ae873dcd26b12efe7f76fec77991a03a,f105f6bb078a743d30698c0a13f118a2,85daf107babc97733ecdd497f0cca8b6,2016-11-10 19:28:23,2016-11-10 19:33:51,2016-11-10 20:27:00,2016-11-11 04:59:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
94abd7acf2ffa72e9af90264dabc4f6d,f105f6bb078a743d30698c0a13f118a2,85daf107babc97733ecdd497f0cca8b6,2016-11-10 19:35:09,2016-11-13 21:54:19,2016-11-10 20:34:00,2016-11-17 20:34:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
48c777028a08a1d4fe42be709dc7327b,f105f6bb078a743d30698c0a13f118a2,b242ff82c4dd3503b73ccd980bff2e95,2016-11-10 19:29:37,2016-11-13 21:53:04,2016-11-10 22:30:00,2016-11-12 07:59:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
8c2edc6f7e9e3e5fea6becc3710c237b,f105f6bb078a743d30698c0a13f118a2,d34e164f83f8ecb0610fe637354f9ae9,2016-11-10 19:34:40,2016-11-13 21:53:58,2016-11-11 00:01:00,2016-11-14 23:00:00,completed,16,"[""="", ""$node_type"", ""compute""]",8-16,compute
25e9dd88eb2ccdf3cdfe0560cbaff5ef,f105f6bb078a743d30698c0a13f118a2,d34e164f83f8ecb0610fe637354f9ae9,2016-11-10 19:32:18,2016-11-10 19:33:30,2016-11-11 12:00:00,2016-11-13 23:00:00,completed,16,"[""="", ""$node_type"", ""compute""]",8-16,compute
8506b5eb3576b9a1c6cdd809b3701fa9,f105f6bb078a743d30698c0a13f118a2,d34e164f83f8ecb0610fe637354f9ae9,2016-11-10 19:25:46,2016-11-10 19:33:29,2016-11-11 12:10:00,2016-11-17 12:10:00,completed,4,"[""="", ""$node_type"", ""compute""]",2-4,compute
42a2cdc8923f1259f65e303887564355,f105f6bb078a743d30698c0a13f118a2,6b814686838a05d152fe8e027e200889,2016-11-10 19:39:10,2016-11-13 21:54:49,2016-11-11 19:30:00,2016-11-17 04:59:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
6e50410b17ded62213a606c320f94dd0,75a473eea8cee8617ec2c20566ad8fab,937070ffdec415ca0b9b65b4850ae709,2016-11-14 19:04:30,2016-11-14 19:05:44,2016-11-14 19:15:00,2016-11-15 23:30:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
df2b3aa5842fae8747d060a058d00295,104cb5b2a84a2137e06ef3f7e63e9a48,f08be1590af3a67dd585f2311807d2b2,2016-11-14 20:27:38,2016-11-14 20:32:20,2016-11-14 21:30:00,2016-11-15 05:00:00,completed,16,"[""="", ""$node_type"", ""compute""]",1-16,compute
55d18720a2e62c624af5585001abd2a2,02b6a653b8592040ca9f8ba4d4ec8c2d,153f4d39cd8e7664d1e59eb8fac129aa,2016-11-15 19:07:18,2016-11-15 19:26:07,2016-11-15 20:15:00,2016-11-22 20:15:00,completed,5,"[""="", ""$node_type"", ""compute""]",5-5,compute
f2220fecc38cd58f116610570ea0254d,190564f38b3bb625af04cd043cad9939,91369a38044f7848309442fbc596531e,2016-11-15 15:18:04,2016-11-21 16:00:28,2016-11-16 05:00:00,2016-11-21 11:00:00,completed,2,"[""="", ""$node_type"", ""compute""]",1-2,compute
f5cc4de14dcdd5ff7d73d4a4332dd897,69368756659940222c168cfe84b716ae,417c834cb58f3d67cde99c7bb6d9f483,2016-11-17 20:47:50,2017-10-17 18:39:45,2016-11-18 20:00:00,2016-11-23 11:59:00,completed,2,"[""="", ""$node_type"", ""compute""]",1-2,compute
9767d3f84298d86bcc6af10aaaea7b3f,5cf42b9070c79e847beadc58dc0ce25f,3ef4175b7af200b2d59c77eb9bc5f588,2016-11-18 19:19:00,2016-11-29 22:52:40,2016-11-19 14:30:00,2016-11-21 14:30:00,completed,2,"[""="", ""$node_type"", ""compute""]",2-2,compute
263e920890d565d70b19983061c30bb7,190564f38b3bb625af04cd043cad9939,91369a38044f7848309442fbc596531e,2016-11-21 06:18:25,2016-11-27 18:11:56,2016-11-21 09:30:00,2016-11-27 11:00:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
8d3aac7ddb5784ac449d0953dc85c289,190564f38b3bb625af04cd043cad9939,91369a38044f7848309442fbc596531e,2016-11-21 18:34:00,2016-11-29 15:10:43,2016-11-21 19:00:00,2016-11-28 11:00:00,completed,2,"[""="", ""$node_type"", ""compute""]",1-2,compute
43b8951b5e27e78d6d635a22aabefe0a,104cb5b2a84a2137e06ef3f7e63e9a48,f08be1590af3a67dd585f2311807d2b2,2016-11-21 23:01:50,2016-11-29 17:05:25,2016-11-22 09:00:00,2016-11-24 23:59:00,completed,4,"[""="", ""$node_type"", ""compute""]",1-4,compute
