lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
165d5ace9fcd2f473bda855911cc9920,fb348a3cac4abf3feb12e141eb967416,c1a68c7d7d73f86b7159c579606b4b18,2020-02-13 23:00:13,2020-02-18 08:05:55,2020-02-17 23:01:00,2020-02-24 23:00:00,active,12,"[""=="",""$node_type"",""compute_cascadelake""]",12-12,compute_cascadelake
37bd55e4a3ef64f458d82a1ebf0b5500,fb348a3cac4abf3feb12e141eb967416,c1a68c7d7d73f86b7159c579606b4b18,2020-03-09 02:58:06,2020-03-11 12:05:57,2020-03-11 02:58:00,2020-03-18 02:57:00,active,15,"[""=="",""$node_type"",""compute_cascadelake""]",12-15,compute_cascadelake
349f05130e48831a7cf06d5825c92928,fcce246ec2a5ea1eead359d3ef4ed3fb,487bc2e8fa0471a316a08b6b818d72e8,2020-03-07 21:38:21,2020-03-11 17:05:45,2020-03-11 08:00:00,2020-03-14 06:30:00,active,2,"[""=="",""$node_type"",""compute_cascadelake""]",2-2,compute_cascadelake
ce477ed8fc3406674c506770c497fefd,7cf6909d178a2178147d874da863780f,5efea25ff114c6f32cfaa4ff6483efdb,2020-09-07 18:53:43,2020-09-13 19:11:29,2020-09-07 20:30:00,2020-09-13 19:53:00,active,1,"[""=="",""$node_type"",""compute_cascadelake""]",1-1,compute_cascadelake
9045a0be0d6dfb20953f0ca53176e2ab,f99d9532a5b5d343b83d24d66f222d74,09bf9b381601466600058056f17dac95,2020-11-04 14:44:45,2020-11-21 22:31:06,2020-11-09 15:00:00,2020-11-22 15:00:00,active,7,"[""=="",""$node_type"",""compute_cascadelake""]",6-6,compute_cascadelake
e33b718656e12bad9378bea8520138f3,72e5dc4ebc0ec715cec51cc33d12b68f,b9917d6f4bcf84b6617cd8bf0d46eae6,2021-01-05 04:08:25,2021-01-06 07:18:24,2021-01-05 16:00:00,2021-01-06 23:59:00,active,1,"[""=="",""$node_type"",""compute_cascadelake""]",1-1,compute_cascadelake
ee0b5f4d4a6581556739e36eb769b2ba,15a727bd277271b0b813885217375d94,ed5c0f6cb912aae6abce99e9a0060d25,2021-02-24 21:42:15,2021-02-28 05:03:04,2021-02-27 21:42:00,2021-03-06 21:41:00,active,10,"[""=="",""$node_type"",""compute_cascadelake""]",10-10,compute_cascadelake
4109d24e4cbc7942a1d3ef96104e84f8,fcbf9c08899b0ee2a12897364585691a,a80da557d9c461507efde97b22e454d5,2021-02-26 03:43:35,2021-03-02 13:08:03,2021-03-02 03:44:00,2021-03-09 03:43:00,active,1,"[""=="",""$node_type"",""compute_cascadelake""]",1-1,compute_cascadelake
5ea0203751577f2eaaf46d79d535d8c6,cb634f9eb6765329bc1afe63c926d23a,38a5c80d1be71d4be4e9d76ae774aa9a,2021-02-27 04:11:19,2021-03-25 13:21:52,2021-03-02 04:12:00,2021-03-26 04:11:00,active,2,"[""=="",""$node_type"",""compute_cascadelake""]",2-2,compute_cascadelake
bc6b6809b6b7c7845cab50cdc768dd01,15a727bd277271b0b813885217375d94,ed5c0f6cb912aae6abce99e9a0060d25,2021-04-06 14:51:42,2021-04-23 03:15:25,2021-04-10 14:52:00,2021-04-25 14:51:00,active,11,"[""=="",""$node_type"",""compute_cascadelake""]",11-11,compute_cascadelake
